QUARTER,TIME_REMAINING,MEMPHIS_ACTION,HOUSTON_ACTION,MEMPHIS_SCORE,HOUSTON_SCORE
1,11:38.0,J. Carter misses 3-pt jump shot from 25 ft,,0,0
1,11:36.0,,Defensive rebound by D. House,0,0
1,11:27.0,,J. Harden makes 2-pt jump shot from 10 ft,0,2
1,11:10.0,J. Jackson makes 2-pt hook shot from 5 ft (assist by G. Temple),,2,2
1,10:54.0,,J. Harden misses 2-pt jump shot from 4 ft,2,2
1,10:53.0,Defensive rebound by J. Carter,,2,2
1,10:49.0,Personal foul by P. Tucker (drawn by J. Jackson),,2,2
1,10:40.0,G. Temple misses 3-pt jump shot from 23 ft,,2,2
1,10:39.0,Offensive rebound by M. Gasol,,2,2
1,10:28.0,Shooting foul by A. Rivers (drawn by J. Carter),,2,2
1,10:28.0,J. Carter makes free throw 1 of 2,,3,2
1,10:28.0,J. Carter makes free throw 2 of 2,,4,2
1,10:16.0,,Personal foul by J. Jackson (drawn by P. Tucker),4,2
1,10:04.0,,D. House makes 3-pt jump shot from 23 ft (assist by P. Tucker),4,5
1,9:38.0,G. Temple makes 3-pt jump shot from 27 ft (assist by J. Carter),,7,5
1,9:11.0,,J. Harden makes 3-pt jump shot from 23 ft,7,8
1,9:01.0,J. Carter makes 3-pt jump shot from 24 ft (assist by M. Conley),,10,8
1,8:44.0,,D. House makes 2-pt layup at rim (assist by J. Harden),10,10
1,8:39.0,Turnover by M. Conley (bad pass),,10,10
1,8:18.0,,Turnover by J. Harden (bad pass),10,10
1,8:18.0,,M. Chriss enters the game for N. Hilário,10,10
1,7:59.0,M. Gasol misses 2-pt jump shot from 14 ft,,10,10
1,7:58.0,,Defensive rebound by P. Tucker,10,10
1,7:53.0,,P. Tucker misses 2-pt layup from 3 ft (block by M. Gasol),10,10
1,7:52.0,,Offensive rebound by Team,10,10
1,7:45.0,,Shooting foul by J. Carter (drawn by J. Harden),10,10
1,7:45.0,,J. Harden makes free throw 1 of 3,10,11
1,7:45.0,,J. Harden makes free throw 2 of 3,10,12
1,7:45.0,,J. Harden makes free throw 3 of 3,10,13
1,7:27.0,J. Carter misses 2-pt jump shot from 5 ft,,10,13
1,7:26.0,Offensive rebound by M. Gasol,,10,13
1,7:22.0,M. Gasol makes 2-pt layup from 5 ft,,12,13
1,7:06.0,,J. Harden makes 3-pt jump shot from 25 ft,12,16
1,6:48.0,Turnover by G. Temple (bad pass; steal by J. Harden),,12,16
1,6:43.0,,J. Harden misses 2-pt layup from 1 ft,12,16
1,6:43.0,Defensive rebound by J. Jackson,,12,16
1,6:38.0,G. Temple makes 2-pt dunk from 1 ft (assist by M. Conley),,14,16
1,6:24.0,,A. Rivers misses 3-pt jump shot from 24 ft,14,16
1,6:24.0,Defensive rebound by M. Conley,,14,16
1,6:15.0,Turnover by M. Gasol (bad pass; steal by D. House),,14,16
1,6:10.0,,D. House misses 2-pt layup at rim,14,16
1,6:10.0,Defensive rebound by M. Conley,,14,16
1,6:10.0,Personal foul by M. Chriss (drawn by M. Conley),,14,16
1,6:10.0,,Houston full timeout,14,16
1,6:10.0,,G. Green enters the game for A. Rivers,14,16
1,5:55.0,J. Jackson misses 3-pt jump shot from 23 ft,,14,16
1,5:54.0,,Defensive rebound by M. Chriss,14,16
1,5:47.0,,J. Harden makes 2-pt layup at rim,14,18
1,5:24.0,J. Carter makes 3-pt jump shot from 22 ft (assist by J. Jackson),,17,18
1,5:10.0,,Turnover by D. House (lost ball; steal by M. Conley),17,18
1,5:04.0,M. Gasol makes 2-pt dunk from 1 ft (assist by M. Conley),,19,18
1,4:50.0,,M. Chriss misses 3-pt jump shot from 26 ft,19,18
1,4:49.0,Defensive rebound by Team,,19,18
1,4:49.0,J. Green enters the game for M. Conley,,19,18
1,4:49.0,S. Mack enters the game for J. Jackson,,19,18
1,4:49.0,,I. Hartenstein enters the game for M. Chriss,19,18
1,4:35.0,Shooting foul by I. Hartenstein (drawn by M. Gasol),,19,18
1,4:35.0,M. Gasol misses free throw 1 of 2,,19,18
1,4:35.0,Offensive rebound by Team,,19,18
1,4:35.0,O. Casspi enters the game for J. Carter,,19,18
1,4:35.0,M. Gasol misses free throw 2 of 2,,19,18
1,4:35.0,,Defensive rebound by J. Harden,19,18
1,4:29.0,,G. Green misses 2-pt layup from 1 ft,19,18
1,4:28.0,,Offensive rebound by I. Hartenstein,19,18
1,4:28.0,,I. Hartenstein misses 2-pt layup from 1 ft,19,18
1,4:27.0,,Offensive rebound by I. Hartenstein,19,18
1,4:21.0,,G. Green misses 3-pt jump shot from 23 ft,19,18
1,4:20.0,Defensive rebound by J. Green,,19,18
1,4:05.0,G. Temple makes 3-pt jump shot from 25 ft (assist by M. Gasol),,22,18
1,3:42.0,,Turnover by J. Harden (bad pass; steal by J. Green),22,18
1,3:37.0,O. Casspi makes 2-pt layup at rim (assist by J. Green),,24,18
1,3:16.0,,J. Harden makes 2-pt layup from 1 ft,24,20
1,3:07.0,Turnover by O. Casspi (bad pass),,24,20
1,3:07.0,J. Noah enters the game for M. Gasol,,24,20
1,2:59.0,,D. House misses 3-pt jump shot from 26 ft,24,20
1,2:57.0,Defensive rebound by J. Noah,,24,20
1,2:53.0,Memphis full timeout,,24,20
1,2:53.0,,J. Ennis enters the game for J. Harden,24,20
1,2:53.0,,A. Rivers enters the game for D. House,24,20
1,2:35.0,S. Mack misses 2-pt jump shot from 8 ft,,24,20
1,2:33.0,Offensive rebound by S. Mack,,24,20
1,2:19.0,J. Green misses 3-pt jump shot from 26 ft,,24,20
1,2:18.0,,Defensive rebound by I. Hartenstein,24,20
1,2:04.0,,G. Green misses 3-pt jump shot from 26 ft,24,20
1,2:04.0,,Offensive rebound by G. Green,24,20
1,1:52.0,,A. Rivers misses 3-pt jump shot from 24 ft,24,20
1,1:50.0,Defensive rebound by J. Noah,,24,20
1,1:44.0,O. Casspi makes 3-pt jump shot from 25 ft (assist by S. Mack),,27,20
1,1:28.0,,Shooting foul by J. Green (drawn by P. Tucker),27,20
1,1:28.0,,P. Tucker makes free throw 1 of 2,27,21
1,1:28.0,J. Holiday enters the game for G. Temple,,27,21
1,1:28.0,,G. Clark enters the game for I. Hartenstein,27,21
1,1:28.0,,P. Tucker makes free throw 2 of 2,27,22
1,1:18.0,Turnover by J. Holiday (lost ball; steal by P. Tucker),,27,22
1,1:14.0,,A. Rivers makes 2-pt layup from 1 ft (assist by P. Tucker),27,24
1,0:56.0,Memphis full timeout,,27,24
1,0:52.0,Turnover by J. Noah (traveling),,27,24
1,0:31.0,,A. Rivers misses 2-pt jump shot from 5 ft,27,24
1,0:29.0,Defensive rebound by J. Noah,,27,24
1,0:10.0,S. Mack makes 2-pt jump shot from 6 ft,,29,24
1,0:01.0,,G. Green misses 3-pt jump shot from 24 ft,29,24
1,0:00.0,Defensive rebound by J. Noah,,29,24
2,11:44.0,,G. Green makes 2-pt layup at rim (assist by D. House),29,26
2,11:32.0,Turnover by O. Casspi (traveling),,29,26
2,11:25.0,,G. Green misses 3-pt jump shot from 26 ft,29,26
2,11:24.0,Defensive rebound by M. Conley,,29,26
2,11:12.0,J. Holiday misses 2-pt jump shot from 19 ft,,29,26
2,11:10.0,,Defensive rebound by G. Clark,29,26
2,11:02.0,,Turnover by A. Rivers (lost ball; steal by O. Casspi),29,26
2,10:58.0,Shooting foul by G. Green (drawn by J. Green),,29,26
2,10:58.0,J. Green misses free throw 1 of 2,,29,26
2,10:58.0,Offensive rebound by Team,,29,26
2,10:58.0,J. Green misses free throw 2 of 2,,29,26
2,10:58.0,Offensive rebound by J. Noah,,29,26
2,10:58.0,J. Noah misses 2-pt layup at rim,,29,26
2,10:57.0,,Defensive rebound by J. Ennis,29,26
2,10:34.0,,D. House misses 3-pt jump shot from 34 ft,29,26
2,10:34.0,,Offensive rebound by Team,29,26
2,10:34.0,,Turnover by Team (shot clock),29,26
2,10:16.0,J. Green makes 2-pt dunk from 1 ft (assist by J. Noah),,31,26
2,10:02.0,,D. House makes 2-pt dunk at rim (assist by A. Rivers),31,28
2,9:45.0,J. Green misses 2-pt layup from 1 ft,,31,28
2,9:43.0,,Defensive rebound by G. Green,31,28
2,9:28.0,,A. Rivers misses 2-pt jump shot from 8 ft,31,28
2,9:27.0,Defensive rebound by J. Noah,,31,28
2,9:23.0,Memphis full timeout,,31,28
2,9:23.0,,J. Harden enters the game for G. Green,31,28
2,9:05.0,J. Noah makes 2-pt layup from 2 ft (assist by J. Green),,33,28
2,8:52.0,,J. Harden makes 2-pt layup at rim,33,30
2,8:39.0,J. Green makes 2-pt jump shot from 18 ft (assist by J. Noah),,35,30
2,8:28.0,,Shooting foul by J. Noah (drawn by J. Harden),35,30
2,8:28.0,,J. Harden makes free throw 1 of 2,35,31
2,8:28.0,J. Carter enters the game for O. Casspi,,35,31
2,8:28.0,,J. Harden makes free throw 2 of 2,35,32
2,8:14.0,Offensive foul by J. Green (drawn by G. Clark),,35,32
2,8:14.0,Turnover by J. Green (offensive foul),,35,32
2,8:04.0,,G. Clark makes 3-pt jump shot from 27 ft (assist by A. Rivers),35,35
2,7:49.0,Shooting foul by D. House (drawn by J. Holiday),,35,35
2,7:49.0,J. Holiday misses free throw 1 of 2,,35,35
2,7:49.0,Offensive rebound by Team,,35,35
2,7:49.0,M. Gasol enters the game for J. Green,,35,35
2,7:49.0,J. Jackson enters the game for J. Noah,,35,35
2,7:49.0,,N. Hilário enters the game for J. Ennis,35,35
2,7:49.0,J. Holiday makes free throw 2 of 2,,36,35
2,7:29.0,,J. Harden misses 2-pt jump shot from 10 ft,36,35
2,7:28.0,,Offensive rebound by Team,36,35
2,7:28.0,Loose ball foul by J. Holiday (drawn by N. Hilário),,36,35
2,7:19.0,,J. Harden makes 2-pt jump shot from 3 ft,36,37
2,7:19.0,,Shooting foul by M. Gasol (drawn by J. Harden),36,37
2,7:19.0,G. Temple enters the game for J. Holiday,,36,37
2,7:19.0,,J. Harden makes free throw 1 of 1,36,38
2,7:08.0,Turnover by M. Gasol (bad pass; steal by G. Clark),,36,38
2,6:52.0,,J. Harden makes 2-pt layup from 1 ft,36,40
2,6:52.0,,Shooting foul by J. Carter (drawn by J. Harden),36,40
2,6:52.0,O. Casspi enters the game for J. Carter,,36,40
2,6:52.0,,J. Harden makes free throw 1 of 1,36,41
2,6:42.0,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Conley),,38,41
2,6:33.0,,J. Harden misses 3-pt jump shot from 26 ft,38,41
2,6:31.0,,Offensive rebound by J. Harden,38,41
2,6:27.0,,J. Harden misses 3-pt jump shot from 25 ft,38,41
2,6:25.0,Defensive rebound by M. Conley,,38,41
2,6:20.0,Personal foul by G. Clark (drawn by J. Jackson),,38,41
2,6:10.0,M. Gasol misses 2-pt jump shot from 20 ft,,38,41
2,6:07.0,Offensive rebound by O. Casspi,,38,41
2,5:58.0,Turnover by M. Gasol (lost ball; steal by A. Rivers),,38,41
2,5:52.0,,J. Harden misses 2-pt layup from 1 ft,38,41
2,5:52.0,,Offensive rebound by J. Harden,38,41
2,5:50.0,,Shooting foul by O. Casspi (drawn by J. Harden),38,41
2,5:50.0,,J. Harden makes free throw 1 of 2,38,42
2,5:50.0,,P. Tucker enters the game for A. Rivers,38,42
2,5:50.0,,J. Harden makes free throw 2 of 2,38,43
2,5:35.0,O. Casspi makes 3-pt jump shot from 24 ft (assist by M. Conley),,41,43
2,5:19.0,,Turnover by G. Clark (traveling),41,43
2,5:03.0,Personal foul by J. Harden (drawn by M. Gasol),,41,43
2,4:54.0,Turnover by M. Gasol (bad pass),,41,43
2,4:39.0,,G. Clark misses 3-pt jump shot from 25 ft,41,43
2,4:38.0,,Offensive rebound by N. Hilário,41,43
2,4:24.0,,J. Harden misses 3-pt jump shot from 25 ft,41,43
2,4:22.0,Defensive rebound by J. Jackson,,41,43
2,4:11.0,J. Jackson makes 2-pt hook shot from 5 ft (assist by M. Gasol),,43,43
2,4:11.0,Shooting foul by D. House (drawn by J. Jackson),,43,43
