QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
1,11:43.0,K. Irving makes 2-pt jump shot from 17 ft,,2,0
1,11:27.0,,Personal foul by M. Morris (drawn by K. Durant),2,0
1,11:16.0,,A. McKinnie misses 3-pt jump shot from 23 ft,2,0
1,11:14.0,Defensive rebound by A. Horford,,2,0
1,11:06.0,Personal foul by S. Curry (drawn by M. Smart),,2,0
1,10:55.0,M. Morris makes 2-pt layup from 2 ft (assist by A. Horford),,4,0
1,10:34.0,,Turnover by D. Cousins (bad pass; steal by J. Tatum),4,0
1,10:25.0,J. Tatum misses 2-pt layup from 3 ft (block by D. Green),,4,0
1,10:24.0,,Defensive rebound by D. Cousins,4,0
1,10:17.0,,S. Curry misses 3-pt jump shot from 26 ft,4,0
1,10:15.0,Defensive rebound by J. Tatum,,4,0
1,10:08.0,M. Smart makes 2-pt jump shot from 23 ft (assist by A. Horford),,6,0
1,9:43.0,,D. Cousins misses 3-pt jump shot from 26 ft,6,0
1,9:41.0,Defensive rebound by J. Tatum,,6,0
1,9:32.0,J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford),,8,0
1,9:32.0,Shooting foul by D. Cousins (drawn by J. Tatum),,8,0
1,9:32.0,J. Tatum makes free throw 1 of 1,,9,0
1,9:15.0,,K. Durant misses 2-pt jump shot from 14 ft,9,0
1,9:14.0,Defensive rebound by K. Irving,,9,0
1,9:09.0,K. Irving misses 3-pt jump shot from 30 ft,,9,0
1,9:07.0,,Defensive rebound by D. Cousins,9,0
1,8:50.0,,Turnover by A. McKinnie (bad pass; steal by K. Irving),9,0
1,8:44.0,M. Morris makes 2-pt jump shot from 18 ft (assist by K. Irving),,11,0
1,8:42.0,,Golden State full timeout,11,0
1,8:42.0,,D. Lee enters the game for A. McKinnie,11,0
1,8:26.0,,S. Curry makes 2-pt jump shot from 20 ft,11,2
1,8:07.0,K. Irving misses 3-pt jump shot from 27 ft,,11,2
1,8:05.0,,Defensive rebound by D. Green,11,2
1,7:59.0,,D. Lee makes 2-pt layup from 2 ft (assist by D. Green),11,4
1,7:46.0,M. Smart misses 3-pt jump shot from 26 ft,,11,4
1,7:44.0,,Defensive rebound by D. Green,11,4
1,7:41.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),11,7
1,7:14.0,J. Tatum makes 2-pt jump shot from 5 ft (assist by K. Irving),,13,7
1,7:01.0,,D. Cousins makes 2-pt layup from 2 ft,13,9
1,6:43.0,A. Horford misses 2-pt hook shot from 7 ft,,13,9
1,6:42.0,,Defensive rebound by D. Cousins,13,9
1,6:23.0,,D. Green makes 3-pt jump shot from 26 ft (assist by D. Cousins),13,12
1,6:03.0,Personal foul by D. Lee (drawn by M. Smart),,13,12
1,6:03.0,A. Baynes enters the game for A. Horford,,13,12
1,6:03.0,J. Brown enters the game for M. Morris,,13,12
1,6:03.0,G. Hayward enters the game for J. Tatum,,13,12
1,5:58.0,A. Baynes misses 3-pt jump shot from 27 ft,,13,12
1,5:56.0,,Defensive rebound by D. Lee,13,12
1,5:46.0,,Offensive foul by K. Durant (drawn by M. Smart),13,12
1,5:46.0,,Turnover by K. Durant (offensive foul),13,12
1,5:38.0,G. Hayward makes 3-pt jump shot from 27 ft (assist by K. Irving),,16,12
1,5:24.0,,Offensive foul by D. Cousins (drawn by M. Smart),16,12
1,5:24.0,,Turnover by D. Cousins (offensive foul),16,12
1,5:24.0,,J. Bell enters the game for D. Green,16,12
1,5:02.0,M. Smart makes 3-pt jump shot from 27 ft (assist by K. Irving),,19,12
1,4:42.0,,S. Curry makes 2-pt jump shot from 18 ft,19,14
1,4:27.0,G. Hayward misses 3-pt jump shot from 26 ft,,19,14
1,4:25.0,,Defensive rebound by D. Cousins,19,14
1,4:19.0,,K. Durant misses 3-pt jump shot from 26 ft,19,14
1,4:17.0,Defensive rebound by A. Baynes,,19,14
1,4:08.0,K. Irving makes 3-pt jump shot from 31 ft (assist by A. Baynes),,22,14
1,4:08.0,,A. Iguodala enters the game for D. Cousins,22,14
1,3:58.0,,K. Durant makes 2-pt jump shot from 13 ft (assist by S. Curry),22,16
1,3:35.0,J. Brown makes 2-pt hook shot from 3 ft (assist by K. Irving),,24,16
1,3:22.0,,D. Lee misses 3-pt jump shot from 27 ft,24,16
1,3:20.0,Defensive rebound by A. Baynes,,24,16
1,3:07.0,G. Hayward makes 2-pt jump shot from 9 ft (assist by A. Baynes),,26,16
1,2:52.0,,D. Lee makes 2-pt jump shot from 13 ft (assist by A. Iguodala),26,18
1,2:52.0,Boston full timeout,,26,18
1,2:52.0,A. Horford enters the game for A. Baynes,,26,18
1,2:52.0,,Q. Cook enters the game for S. Curry,26,18
1,2:36.0,Personal foul by A. Iguodala (drawn by G. Hayward),,26,18
1,2:36.0,T. Rozier enters the game for M. Smart,,26,18
1,2:24.0,K. Irving makes 2-pt layup from 3 ft,,28,18
1,2:14.0,,Personal foul by J. Brown (drawn by K. Durant),28,18
1,2:07.0,,Q. Cook makes 3-pt jump shot from 25 ft (assist by J. Bell),28,21
1,1:54.0,T. Rozier misses 2-pt jump shot from 10 ft,,28,21
1,1:53.0,,Defensive rebound by J. Bell,28,21
1,1:47.0,,Shooting foul by A. Horford (drawn by J. Bell),28,21
1,1:47.0,,J. Bell makes free throw 1 of 2,28,22
1,1:47.0,,J. Bell misses free throw 2 of 2,28,22
1,1:46.0,Defensive rebound by G. Hayward,,28,22
1,1:35.0,Turnover by K. Irving (bad pass; steal by K. Durant),,28,22
1,1:31.0,,Shooting foul by K. Irving (drawn by K. Durant),28,22
1,1:31.0,,K. Durant makes free throw 1 of 2,28,23
1,1:31.0,,K. Durant makes free throw 2 of 2,28,24
1,1:22.0,Turnover by K. Irving (bad pass),,28,24
1,1:10.0,,Turnover by K. Durant (traveling),28,24
1,0:54.0,G. Hayward makes 2-pt jump shot from 14 ft (assist by T. Rozier),,30,24
1,0:45.0,,K. Durant misses 2-pt jump shot from 19 ft,30,24
1,0:44.0,Defensive rebound by K. Irving,,30,24
1,0:37.0,T. Rozier makes 2-pt layup from 3 ft (assist by G. Hayward),,32,24
1,0:24.0,,K. Durant misses 2-pt layup from 3 ft,32,24
1,0:23.0,Defensive rebound by J. Brown,,32,24
1,0:15.0,J. Brown misses 2-pt jump shot from 3 ft,,32,24
1,0:14.0,,Defensive rebound by A. Iguodala,32,24
1,0:02.0,,A. Iguodala misses 3-pt jump shot from 25 ft,32,24
1,0:00.0,Defensive rebound by J. Brown,,32,24
2,11:42.0,,Personal foul by A. Baynes (drawn by D. Cousins),32,24
2,11:30.0,,D. Cousins misses 2-pt layup from 3 ft,32,24
2,11:29.0,Defensive rebound by A. Baynes,,32,24
2,11:25.0,J. Tatum makes 3-pt jump shot from 28 ft (assist by T. Rozier),,35,24
2,11:12.0,,Q. Cook misses 2-pt jump shot from 15 ft,35,24
2,11:11.0,Defensive rebound by T. Rozier,,35,24
2,11:03.0,T. Rozier makes 2-pt layup from 2 ft,,37,24
2,10:50.0,,D. Cousins misses 3-pt jump shot from 25 ft,37,24
2,10:48.0,,Offensive rebound by J. Evans,37,24
2,10:35.0,,D. Green misses 3-pt jump shot from 27 ft,37,24
2,10:33.0,Defensive rebound by G. Hayward,,37,24
2,10:16.0,Personal foul by J. Evans (drawn by T. Rozier),,37,24
2,10:16.0,,S. Curry enters the game for Q. Cook,37,24
2,10:08.0,G. Hayward makes 3-pt jump shot from 27 ft (assist by A. Baynes),,40,24
2,9:58.0,,Personal foul by T. Rozier (drawn by S. Curry),40,24
2,9:47.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),40,27
2,9:41.0,J. Brown makes 3-pt jump shot from 28 ft (assist by J. Tatum),,43,27
