QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
1,11:48.0,,D. Dedmon misses 3-pt jump shot from 25 ft,0,0
1,11:45.0,Defensive rebound by E. Fournier,,0,0
1,11:31.0,Shooting foul by T. Prince (drawn by A. Gordon),,0,0
1,11:31.0,A. Gordon misses free throw 1 of 2,,0,0
1,11:31.0,Offensive rebound by Team,,0,0
1,11:31.0,A. Gordon makes free throw 2 of 2,,1,0
1,11:10.0,,T. Prince makes 2-pt jump shot from 16 ft (assist by T. Young),1,2
1,10:57.0,Turnover by N. Vučević (bad pass),,1,2
1,10:48.0,,K. Huerter makes 2-pt dunk from 1 ft (assist by T. Young),1,4
1,10:34.0,J. Isaac misses 2-pt jump shot from 21 ft,,1,4
1,10:31.0,Offensive rebound by N. Vučević,,1,4
1,10:24.0,A. Gordon misses 2-pt layup from 4 ft (block by T. Prince),,1,4
1,10:24.0,Offensive rebound by Team,,1,4
1,10:20.0,E. Fournier makes 2-pt jump shot from 21 ft (assist by D. Augustin),,3,4
1,10:04.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by T. Young),3,7
1,9:49.0,E. Fournier misses 2-pt jump shot from 13 ft,,3,7
1,9:47.0,,Defensive rebound by J. Collins,3,7
1,9:41.0,,D. Dedmon misses 2-pt dunk from 1 ft,3,7
1,9:39.0,Defensive rebound by N. Vučević,,3,7
1,9:31.0,N. Vučević makes 2-pt jump shot from 10 ft (assist by D. Augustin),,5,7
1,9:05.0,,J. Collins misses 2-pt layup from 3 ft (block by N. Vučević),5,7
1,9:03.0,Defensive rebound by E. Fournier,,5,7
1,8:53.0,N. Vučević makes 2-pt hook shot from 10 ft (assist by A. Gordon),,7,7
1,8:30.0,,D. Dedmon makes 3-pt jump shot from 23 ft (assist by T. Prince),7,10
1,8:11.0,N. Vučević misses 2-pt layup from 2 ft (block by J. Collins),,7,10
1,8:11.0,Offensive rebound by Team,,7,10
1,8:09.0,Turnover by A. Gordon (bad pass; steal by T. Prince),,7,10
1,8:06.0,,Shooting foul by A. Gordon (drawn by J. Collins),7,10
1,8:06.0,,J. Collins makes free throw 1 of 2,7,11
1,8:06.0,,J. Collins makes free throw 2 of 2,7,12
1,7:49.0,N. Vučević makes 2-pt hook shot from 6 ft (assist by E. Fournier),,9,12
1,7:35.0,,T. Young makes 3-pt jump shot from 26 ft,9,15
1,7:27.0,Orlando full timeout,,9,15
1,7:12.0,D. Augustin makes 3-pt jump shot from 25 ft (assist by N. Vučević),,12,15
1,6:55.0,,Turnover by T. Young (bad pass; steal by J. Isaac),12,15
1,6:50.0,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),,14,15
1,6:34.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),14,17
1,6:15.0,N. Vučević misses 3-pt jump shot from 25 ft,,14,17
1,6:11.0,,Defensive rebound by T. Young,14,17
1,6:03.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),14,19
1,5:48.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by N. Vučević),,17,19
1,5:28.0,,K. Huerter makes 2-pt jump shot from 10 ft,17,21
1,5:12.0,J. Isaac makes 2-pt dunk from 1 ft (assist by D. Augustin),,19,21
1,4:45.0,,J. Collins misses 2-pt layup from 2 ft,19,21
1,4:44.0,Defensive rebound by Team,,19,21
1,4:44.0,I. Briscoe enters the game for D. Augustin,,19,21
1,4:44.0,W. Iwundu enters the game for A. Gordon,,19,21
1,4:44.0,,D. Bembry enters the game for J. Collins,19,21
1,4:44.0,,O. Spellman enters the game for K. Huerter,19,21
1,4:32.0,E. Fournier misses 2-pt layup from 2 ft,,19,21
1,4:26.0,Offensive rebound by N. Vučević,,19,21
1,4:26.0,N. Vučević misses 2-pt layup at rim,,19,21
1,4:25.0,,Defensive rebound by D. Dedmon,19,21
