QUARTER,TIME_REMAINING,HOUSTON_ACTION,DALLAS_ACTION,HOUSTON_SCORE,DALLAS_SCORE
1,11:40.0,,H. Barnes misses 2-pt jump shot from 7 ft,0,0
1,11:40.0,,Offensive rebound by Team,0,0
1,11:40.0,,Personal foul by P. Tucker (drawn by H. Barnes),0,0
1,11:28.0,,L. Dončić misses 3-pt jump shot from 26 ft,0,0
1,11:26.0,,Offensive rebound by D. Jordan,0,0
1,11:24.0,,D. Jordan makes 2-pt layup from 1 ft,0,2
1,11:07.0,P. Tucker makes 3-pt jump shot from 24 ft (assist by C. Paul),,3,2
1,10:59.0,,Personal foul by C. Paul (drawn by J. Brunson),3,2
1,10:51.0,,H. Barnes misses 2-pt jump shot from 15 ft,3,2
1,10:48.0,Defensive rebound by C. Capela,,3,2
1,10:41.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by J. Harden),,6,2
1,10:19.0,,H. Barnes makes 2-pt jump shot from 4 ft,6,4
1,9:58.0,J. Ennis makes 2-pt dunk at rim (assist by J. Harden),,8,4
1,9:44.0,,Def 3 sec tech foul by Team,8,4
1,9:44.0,,W. Matthews makes technical free throw,8,5
1,9:31.0,,J. Brunson makes 2-pt jump shot from 9 ft (assist by W. Matthews),8,7
1,9:21.0,J. Harden misses 3-pt jump shot from 24 ft,,8,7
1,9:18.0,,Defensive rebound by D. Jordan,8,7
1,9:03.0,,L. Dončić misses 2-pt layup from 1 ft,8,7
1,9:01.0,Defensive rebound by C. Capela,,8,7
1,8:54.0,Turnover by C. Capela (bad pass; steal by L. Dončić),,8,7
1,8:48.0,,D. Jordan misses 2-pt layup from 1 ft,8,7
1,8:46.0,,Offensive rebound by D. Jordan,8,7
1,8:41.0,,H. Barnes misses 2-pt layup from 1 ft (block by J. Ennis),8,7
1,8:37.0,,Offensive rebound by D. Jordan,8,7
1,8:35.0,,D. Jordan makes 2-pt dunk at rim,8,9
1,8:23.0,J. Harden makes 2-pt layup from 2 ft,,10,9
1,8:01.0,,L. Dončić misses 3-pt jump shot from 26 ft,10,9
1,7:59.0,Defensive rebound by J. Harden,,10,9
1,7:49.0,Turnover by C. Paul (bad pass; steal by L. Dončić),,10,9
1,7:44.0,,J. Brunson makes 2-pt layup from 1 ft (assist by W. Matthews),10,11
1,7:27.0,Shooting foul by L. Dončić (drawn by J. Harden),,10,11
1,7:27.0,J. Harden makes free throw 1 of 2,,11,11
1,7:27.0,J. Harden makes free throw 2 of 2,,12,11
1,7:16.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by H. Barnes),12,14
1,7:09.0,C. Paul misses 3-pt jump shot from 26 ft,,12,14
1,7:06.0,Offensive rebound by J. Ennis,,12,14
1,7:00.0,C. Paul misses 2-pt jump shot from 15 ft,,12,14
1,6:58.0,Offensive rebound by C. Capela,,12,14
1,6:52.0,J. Harden makes 3-pt jump shot from 25 ft (assist by C. Paul),,15,14
1,6:51.0,,Dallas full timeout,15,14
1,6:51.0,E. Gordon enters the game for C. Paul,,15,14
1,6:51.0,,D. Finney-Smith enters the game for W. Matthews,15,14
1,6:37.0,,Personal foul by J. Harden (drawn by H. Barnes),15,14
1,6:30.0,,Shooting foul by J. Harden (drawn by H. Barnes),15,14
1,6:30.0,,H. Barnes makes free throw 1 of 2,15,15
1,6:30.0,,H. Barnes makes free throw 2 of 2,15,16
1,6:15.0,E. Gordon misses 3-pt jump shot from 28 ft,,15,16
1,6:10.0,,Defensive rebound by L. Dončić,15,16
1,5:53.0,,L. Dončić misses 2-pt layup from 5 ft,15,16
1,5:51.0,,Offensive rebound by D. Jordan,15,16
1,5:49.0,,D. Jordan makes 2-pt layup from 1 ft,15,18
1,5:38.0,J. Harden makes 3-pt jump shot from 25 ft,,18,18
1,5:29.0,,J. Brunson misses 3-pt jump shot from 26 ft,18,18
1,5:25.0,Defensive rebound by J. Ennis,,18,18
1,5:10.0,J. Harden misses 3-pt jump shot from 25 ft,,18,18
1,5:07.0,,Defensive rebound by D. Jordan,18,18
1,5:03.0,,D. Finney-Smith makes 2-pt layup from 1 ft (assist by J. Brunson),18,20
1,4:57.0,J. Ennis misses 3-pt jump shot from 25 ft,,18,20
1,4:53.0,,Defensive rebound by D. Finney-Smith,18,20
