QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
1,11:39.0,J. Holiday misses 2-pt jump shot from 20 ft,,0,0
1,11:35.0,,Defensive rebound by N. Vučević,0,0
1,11:23.0,,D. Augustin misses 3-pt jump shot from 27 ft,0,0
1,11:18.0,Defensive rebound by L. Markkanen,,0,0
1,11:03.0,Shooting foul by D. Augustin (drawn by R. Arcidiacono),,0,0
1,11:03.0,R. Arcidiacono makes free throw 1 of 2,,1,0
1,11:03.0,R. Arcidiacono misses free throw 2 of 2,,1,0
1,11:00.0,,Defensive rebound by J. Isaac,1,0
1,10:44.0,,A. Gordon misses 2-pt jump shot from 13 ft,1,0
1,10:41.0,Defensive rebound by L. Markkanen,,1,0
1,10:23.0,W. Carter makes 2-pt jump shot from 17 ft (assist by R. Arcidiacono),,3,0
1,10:14.0,,J. Isaac makes 2-pt layup from 3 ft,3,2
1,10:14.0,,Shooting foul by Z. LaVine (drawn by J. Isaac),3,2
1,10:14.0,,J. Isaac makes free throw 1 of 1,3,3
1,9:57.0,W. Carter makes 2-pt jump shot from 14 ft (assist by Z. LaVine),,5,3
1,9:44.0,,N. Vučević misses 2-pt jump shot from 19 ft,5,3
1,9:42.0,Defensive rebound by R. Arcidiacono,,5,3
1,9:31.0,Shooting foul by E. Fournier (drawn by J. Holiday),,5,3
1,9:31.0,J. Holiday misses free throw 1 of 3,,5,3
1,9:31.0,Offensive rebound by Team,,5,3
1,9:31.0,J. Holiday makes free throw 2 of 3,,6,3
1,9:31.0,J. Holiday makes free throw 3 of 3,,7,3
1,9:16.0,,Turnover by J. Isaac (bad pass; steal by L. Markkanen),7,3
1,9:09.0,L. Markkanen misses 2-pt layup from 2 ft,,7,3
1,9:06.0,,Defensive rebound by N. Vučević,7,3
1,8:56.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by D. Augustin),7,5
1,8:41.0,J. Holiday misses 2-pt layup from 4 ft (block by J. Isaac),,7,5
1,8:37.0,Offensive rebound by J. Holiday,,7,5
1,8:37.0,J. Holiday misses 2-pt jump shot from 10 ft,,7,5
1,8:37.0,,Defensive rebound by D. Augustin,7,5
1,8:25.0,,E. Fournier makes 2-pt layup from 2 ft,7,7
1,8:14.0,Offensive foul by W. Carter (drawn by J. Isaac),,7,7
1,8:14.0,Turnover by W. Carter (offensive foul),,7,7
1,8:14.0,R. Lopez enters the game for W. Carter,,7,7
1,8:03.0,,A. Gordon misses 3-pt jump shot from 26 ft,7,7
1,7:59.0,Defensive rebound by J. Holiday,,7,7
1,7:51.0,Z. LaVine makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),,10,7
1,7:38.0,,Personal foul by R. Arcidiacono (drawn by D. Augustin),10,7
1,7:28.0,,E. Fournier makes 2-pt jump shot from 13 ft,10,9
1,7:12.0,Z. LaVine misses 3-pt jump shot from 26 ft,,10,9
1,7:10.0,,Defensive rebound by D. Augustin,10,9
1,7:02.0,,A. Gordon misses 3-pt jump shot from 23 ft,10,9
1,7:00.0,Defensive rebound by J. Holiday,,10,9
1,6:51.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),,13,9
1,6:26.0,,N. Vučević misses 2-pt jump shot from 20 ft,13,9
1,6:22.0,Defensive rebound by Z. LaVine,,13,9
1,6:15.0,Z. LaVine makes 2-pt layup from 3 ft,,15,9
1,6:01.0,,J. Isaac misses 3-pt jump shot from 25 ft,15,9
1,5:58.0,Defensive rebound by R. Lopez,,15,9
1,5:40.0,Turnover by Z. LaVine (bad pass; steal by N. Vučević),,15,9
1,5:35.0,,E. Fournier misses 2-pt hook shot from 3 ft,15,9
1,5:32.0,Defensive rebound by R. Arcidiacono,,15,9
1,5:23.0,L. Markkanen misses 3-pt jump shot from 23 ft,,15,9
1,5:19.0,,Defensive rebound by D. Augustin,15,9
1,5:18.0,,Orlando full timeout,15,9
1,5:18.0,K. Dunn enters the game for R. Arcidiacono,,15,9
1,5:18.0,B. Portis enters the game for L. Markkanen,,15,9
1,5:18.0,,J. Simmons enters the game for A. Gordon,15,9
1,5:11.0,,N. Vučević makes 2-pt hook shot from 1 ft (assist by E. Fournier),15,11
1,4:56.0,B. Portis misses 3-pt jump shot from 25 ft,,15,11
1,4:53.0,Offensive rebound by Team,,15,11
1,4:53.0,,J. Grant enters the game for D. Augustin,15,11
1,4:42.0,Shooting foul by J. Grant (drawn by B. Portis),,15,11
1,4:42.0,B. Portis makes free throw 1 of 2,,16,11
1,4:42.0,B. Portis makes free throw 2 of 2,,17,11
1,4:28.0,,N. Vučević makes 2-pt hook shot from 4 ft (assist by E. Fournier),17,13
1,4:08.0,R. Lopez misses 2-pt hook shot from 6 ft,,17,13
1,4:05.0,,Defensive rebound by J. Isaac,17,13
