QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
1,11:40.0,,Shooting foul by T. Bryant (drawn by H. Whiteside),0,0
1,11:40.0,,H. Whiteside makes free throw 1 of 2,0,1
1,11:40.0,,H. Whiteside makes free throw 2 of 2,0,2
1,11:23.0,J. Green makes 2-pt jump shot from 17 ft (assist by B. Beal),,2,2
1,11:04.0,,J. Winslow makes 3-pt jump shot from 25 ft (assist by J. Richardson),2,5
1,10:55.0,T. Ariza misses 3-pt jump shot from 25 ft,,2,5
1,10:53.0,,Defensive rebound by J. Johnson,2,5
1,10:44.0,,J. Johnson misses 3-pt jump shot from 23 ft,2,5
1,10:44.0,Defensive rebound by B. Beal,,2,5
1,10:38.0,Turnover by B. Beal (bad pass; steal by J. Richardson),,2,5
1,10:27.0,,J. Richardson misses 3-pt jump shot from 25 ft,2,5
1,10:25.0,Defensive rebound by B. Beal,,2,5
1,10:20.0,Shooting foul by H. Whiteside (drawn by B. Beal),,2,5
1,10:20.0,B. Beal makes free throw 1 of 2,,3,5
1,10:20.0,B. Beal makes free throw 2 of 2,,4,5
1,10:06.0,,H. Whiteside makes 2-pt dunk from 1 ft,4,7
1,9:47.0,J. Green misses 3-pt jump shot from 23 ft,,4,7
1,9:44.0,,Defensive rebound by H. Whiteside,4,7
1,9:36.0,,J. Johnson misses 2-pt layup from 2 ft,4,7
1,9:35.0,,Offensive rebound by Team,4,7
1,9:35.0,Loose ball foul by T. Bryant (drawn by J. Winslow),,4,7
1,9:35.0,I. Mahinmi enters the game for T. Bryant,,4,7
1,9:23.0,,J. Richardson misses 3-pt jump shot from 26 ft,4,7
1,9:22.0,,Offensive rebound by Team,4,7
1,9:21.0,,Turnover by Team (shot clock),4,7
1,9:12.0,Personal foul by R. McGruder (drawn by B. Beal),,4,7
1,9:03.0,T. Ariza misses 2-pt layup from 2 ft,,4,7
1,9:01.0,,Defensive rebound by Team,4,7
1,8:50.0,,J. Richardson misses 2-pt layup from 1 ft,4,7
1,8:49.0,,Offensive rebound by H. Whiteside,4,7
1,8:49.0,,H. Whiteside makes 2-pt layup at rim,4,9
1,8:49.0,,Shooting foul by J. Green (drawn by H. Whiteside),4,9
1,8:49.0,,H. Whiteside misses free throw 1 of 1,4,9
1,8:47.0,Defensive rebound by T. Ariza,,4,9
1,8:41.0,J. Green misses 2-pt layup from 1 ft,,4,9
1,8:39.0,,Defensive rebound by J. Richardson,4,9
1,8:39.0,,Technical foul by S. Brooks,4,9
1,8:39.0,,J. Richardson makes technical free throw,4,10
1,8:25.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by J. Winslow),4,13
1,8:24.0,Washington full timeout,,4,13
1,8:04.0,B. Beal misses 2-pt jump shot from 22 ft,,4,13
1,8:00.0,Offensive rebound by I. Mahinmi,,4,13
1,8:00.0,I. Mahinmi misses 2-pt layup from 1 ft,,4,13
1,8:00.0,,Defensive rebound by H. Whiteside,4,13
1,7:46.0,,J. Winslow makes 2-pt jump shot from 16 ft,4,15
1,7:34.0,B. Beal makes 2-pt layup from 1 ft,,6,15
1,7:17.0,,J. Johnson makes 2-pt layup from 1 ft,6,17
1,7:15.0,Shooting foul by J. Winslow (drawn by T. Ariza),,6,17
1,7:15.0,T. Ariza makes free throw 1 of 2,,7,17
1,7:15.0,T. Ariza makes free throw 2 of 2,,8,17
1,6:57.0,,R. McGruder misses 2-pt layup from 2 ft,8,17
1,6:54.0,Defensive rebound by J. Green,,8,17
1,6:51.0,B. Beal misses 3-pt jump shot from 26 ft,,8,17
1,6:48.0,Offensive rebound by I. Mahinmi,,8,17
1,6:45.0,I. Mahinmi makes 2-pt layup from 2 ft,,10,17
1,6:40.0,,J. Johnson makes 3-pt jump shot from 26 ft (assist by J. Winslow),10,20
1,6:24.0,T. Satoranský misses 2-pt jump shot from 8 ft,,10,20
1,6:24.0,,Defensive rebound by H. Whiteside,10,20
1,6:17.0,,Turnover by J. Richardson (bad pass),10,20
1,6:10.0,T. Ariza misses 2-pt layup from 1 ft,,10,20
1,6:08.0,,Defensive rebound by J. Richardson,10,20
1,6:01.0,,Offensive foul by J. Johnson (drawn by I. Mahinmi),10,20
1,6:01.0,,Turnover by J. Johnson (offensive foul),10,20
1,5:47.0,B. Beal makes 2-pt jump shot from 15 ft (assist by T. Ariza),,12,20
1,5:34.0,,J. Johnson misses 2-pt layup from 2 ft (block by I. Mahinmi),12,20
1,5:34.0,,Offensive rebound by Team,12,20
