QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
1,11:40.0,,H. Barnes misses 2-pt hook shot from 6 ft,0,0
1,11:37.0,Defensive rebound by N. Vonleh,,0,0
1,11:25.0,K. Knox makes 2-pt hook shot from 8 ft (assist by D. Dotson),,2,0
1,11:16.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Hield),2,3
1,11:01.0,N. Vonleh misses 2-pt jump shot from 20 ft,,2,3
1,10:56.0,,Defensive rebound by W. Cauley-Stein,2,3
1,10:53.0,,Shooting foul by K. Knox (drawn by H. Barnes),2,3
1,10:53.0,,H. Barnes misses free throw 1 of 2,2,3
1,10:53.0,,Offensive rebound by Team,2,3
1,10:53.0,,H. Barnes makes free throw 2 of 2,2,4
1,10:35.0,D. Dotson misses 2-pt jump shot from 15 ft,,2,4
1,10:29.0,Offensive rebound by K. Knox,,2,4
1,10:28.0,Shooting foul by W. Cauley-Stein (drawn by K. Knox),,2,4
1,10:28.0,K. Knox makes free throw 1 of 2,,3,4
1,10:28.0,K. Knox makes free throw 2 of 2,,4,4
1,10:21.0,,D. Fox misses 2-pt jump shot from 17 ft,4,4
1,10:18.0,Defensive rebound by N. Vonleh,,4,4
1,10:13.0,D. Smith misses 2-pt layup from 3 ft,,4,4
1,10:10.0,Offensive rebound by N. Vonleh,,4,4
1,10:09.0,N. Vonleh makes 2-pt dunk from 2 ft,,6,4
1,9:57.0,,W. Cauley-Stein misses 2-pt layup from 3 ft,6,4
1,9:54.0,,Offensive rebound by W. Cauley-Stein,6,4
1,9:40.0,,B. Hield misses 2-pt layup from 2 ft,6,4
1,9:38.0,Defensive rebound by N. Vonleh,,6,4
1,9:38.0,Personal take foul by B. Bogdanović (drawn by D. Smith),,6,4
1,9:25.0,K. Knox misses 2-pt jump shot from 12 ft,,6,4
1,9:22.0,,Defensive rebound by D. Fox,6,4
1,9:15.0,,Turnover by D. Fox (bad pass; steal by D. Smith),6,4
1,9:09.0,Personal foul by D. Fox (drawn by N. Vonleh),,6,4
1,9:02.0,K. Knox makes 2-pt layup from 2 ft (assist by N. Vonleh),,8,4
1,8:50.0,,H. Barnes misses 2-pt layup from 3 ft,8,4
1,8:47.0,Defensive rebound by N. Vonleh,,8,4
1,8:45.0,D. Dotson misses 3-pt jump shot from 25 ft,,8,4
1,8:41.0,,Defensive rebound by B. Bogdanović,8,4
1,8:31.0,,D. Fox makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),8,7
1,8:07.0,D. Smith misses 3-pt jump shot from 25 ft,,8,7
1,8:03.0,,Defensive rebound by B. Hield,8,7
1,7:55.0,,W. Cauley-Stein misses 2-pt layup from 1 ft,8,7
1,7:53.0,Defensive rebound by L. Kornet,,8,7
1,7:48.0,L. Kornet misses 3-pt jump shot from 26 ft,,8,7
1,7:44.0,,Defensive rebound by H. Barnes,8,7
1,7:40.0,,D. Fox misses 2-pt layup from 2 ft,8,7
1,7:32.0,,Offensive rebound by B. Hield,8,7
1,7:32.0,,B. Hield makes 2-pt dunk at rim,8,9
1,7:27.0,D. Smith makes 2-pt layup from 2 ft,,10,9
1,7:03.0,,W. Cauley-Stein misses 2-pt layup from 4 ft (block by L. Kornet),10,9
1,7:02.0,,Offensive rebound by Team,10,9
1,7:02.0,,Sacramento full timeout,10,9
1,6:58.0,,B. Hield misses 3-pt jump shot from 25 ft,10,9
1,6:55.0,Defensive rebound by L. Kornet,,10,9
1,6:54.0,Turnover by L. Kornet (bad pass; steal by W. Cauley-Stein),,10,9
1,6:50.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Hield),10,11
1,6:25.0,Turnover by Team (shot clock),,10,11
1,6:15.0,,B. Hield misses 3-pt jump shot from 25 ft,10,11
1,6:12.0,Defensive rebound by K. Knox,,10,11
1,6:02.0,Turnover by L. Kornet (bad pass; steal by W. Cauley-Stein),,10,11
1,5:57.0,,D. Fox makes 2-pt dunk from 1 ft (assist by W. Cauley-Stein),10,13
1,5:49.0,New York full timeout,,10,13
1,5:49.0,,N. Bjelica enters the game for B. Bogdanović,10,13
1,5:40.0,N. Vonleh makes 2-pt layup from 1 ft (assist by D. Smith),,12,13
1,5:22.0,,B. Hield misses 2-pt layup from 4 ft,12,13
1,5:17.0,Defensive rebound by D. Dotson,,12,13
1,5:14.0,L. Kornet misses 3-pt jump shot from 25 ft,,12,13
1,5:10.0,,Defensive rebound by B. Hield,12,13
1,5:04.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by B. Hield),12,16
1,4:43.0,D. Smith makes 3-pt jump shot from 25 ft,,15,16
1,4:33.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by H. Barnes),15,19
1,4:12.0,L. Kornet makes 3-pt jump shot from 25 ft (assist by D. Dotson),,18,19
1,4:01.0,,D. Fox misses 2-pt jump shot from 3 ft (block by D. Smith),18,19
1,3:57.0,Defensive rebound by N. Vonleh,,18,19
1,3:57.0,Turnover by D. Smith (bad pass),,18,19
1,3:57.0,H. Ellenson enters the game for L. Kornet,,18,19
1,3:57.0,M. Robinson enters the game for N. Vonleh,,18,19
1,3:41.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),18,22
1,3:26.0,D. Smith misses 3-pt jump shot from 25 ft,,18,22
1,3:24.0,,Defensive rebound by W. Cauley-Stein,18,22
1,3:19.0,,B. Hield makes 2-pt layup from 2 ft,18,24
1,3:08.0,D. Dotson misses 3-pt jump shot from 25 ft,,18,24
1,3:04.0,,Defensive rebound by H. Barnes,18,24
1,2:58.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by B. Hield),18,26
1,2:58.0,,Shooting foul by K. Knox (drawn by W. Cauley-Stein),18,26
1,2:58.0,E. Mudiay enters the game for K. Knox,,18,26
1,2:58.0,L. Thomas enters the game for D. Smith,,18,26
1,2:58.0,,Y. Ferrell enters the game for D. Fox,18,26
1,2:58.0,,W. Cauley-Stein misses free throw 1 of 1,18,26
1,2:54.0,Defensive rebound by H. Ellenson,,18,26
1,2:37.0,L. Thomas makes 2-pt layup from 1 ft (assist by H. Ellenson),,20,26
1,2:27.0,,Personal foul by E. Mudiay (drawn by Y. Ferrell),20,26
1,2:27.0,,H. Giles enters the game for W. Cauley-Stein,20,26
1,2:15.0,,B. Hield makes 3-pt jump shot from 22 ft,20,29
1,2:01.0,H. Ellenson makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,23,29
1,1:43.0,,B. Hield misses 3-pt jump shot from 25 ft,23,29
1,1:41.0,Defensive rebound by E. Mudiay,,23,29
