QUARTER,TIME_REMAINING,TORONTO_ACTION,GOLDEN STATE_ACTION,TORONTO_SCORE,GOLDEN STATE_SCORE
1,11:45.0,,S. Curry misses 3-pt jump shot from 26 ft,0,0
1,11:43.0,Defensive rebound by P. Siakam,,0,0
1,11:36.0,Shooting foul by S. Livingston (drawn by K. Lowry),,0,0
1,11:36.0,K. Lowry makes free throw 1 of 2,,1,0
1,11:36.0,K. Lowry makes free throw 2 of 2,,2,0
1,11:22.0,,D. Green misses 3-pt jump shot from 25 ft,2,0
1,11:20.0,,Offensive rebound by S. Curry,2,0
1,11:16.0,,S. Curry makes 2-pt jump shot from 16 ft (assist by S. Livingston),2,2
1,11:03.0,Personal foul by S. Curry (drawn by D. Green),,2,2
1,10:50.0,Shooting foul by D. Cousins (drawn by M. Gasol),,2,2
1,10:50.0,M. Gasol makes free throw 1 of 2,,3,2
1,10:50.0,M. Gasol makes free throw 2 of 2,,4,2
1,10:42.0,,S. Curry makes 3-pt jump shot from 30 ft,4,5
1,10:25.0,P. Siakam makes 2-pt hook shot from 10 ft,,6,5
1,10:13.0,,A. Iguodala misses 3-pt jump shot from 28 ft,6,5
1,10:11.0,Defensive rebound by D. Green,,6,5
1,10:04.0,M. Gasol misses 3-pt jump shot from 29 ft,,6,5
1,10:02.0,,Defensive rebound by S. Curry,6,5
1,9:56.0,,S. Curry misses 2-pt layup from 5 ft,6,5
1,9:55.0,Defensive rebound by D. Green,,6,5
1,9:42.0,D. Green makes 3-pt jump shot from 23 ft (assist by K. Lowry),,9,5
1,9:29.0,,Shooting foul by M. Gasol (drawn by D. Cousins),9,5
1,9:29.0,,D. Cousins makes free throw 1 of 3,9,6
1,9:29.0,,D. Cousins makes free throw 2 of 3,9,7
1,9:29.0,,D. Cousins misses free throw 3 of 3,9,7
1,9:27.0,Defensive rebound by K. Leonard,,9,7
1,9:08.0,M. Gasol makes 2-pt hook shot from 7 ft,,11,7
1,8:51.0,,Turnover by D. Cousins (lost ball; steal by D. Green),11,7
1,8:28.0,K. Leonard misses 2-pt jump shot from 11 ft,,11,7
1,8:27.0,Offensive rebound by P. Siakam,,11,7
1,8:22.0,K. Leonard makes 2-pt jump shot from 12 ft (assist by P. Siakam),,13,7
1,8:13.0,,D. Green misses 3-pt jump shot from 23 ft,13,7
1,8:11.0,Defensive rebound by M. Gasol,,13,7
1,8:07.0,K. Lowry misses 3-pt jump shot from 28 ft,,13,7
1,8:05.0,,Defensive rebound by D. Cousins,13,7
1,7:53.0,,S. Livingston misses 2-pt jump shot from 13 ft,13,7
1,7:52.0,Defensive rebound by D. Green,,13,7
1,7:37.0,P. Siakam makes 2-pt jump shot from 5 ft,,15,7
1,7:37.0,,Golden State full timeout,15,7
1,7:18.0,,D. Cousins misses 3-pt jump shot from 27 ft,15,7
1,7:16.0,Defensive rebound by Team,,15,7
1,6:53.0,P. Siakam makes 2-pt jump shot from 20 ft,,17,7
1,6:38.0,,S. Curry makes 2-pt layup from 2 ft,17,9
1,6:16.0,M. Gasol makes 2-pt layup from 3 ft (assist by P. Siakam),,19,9
1,6:07.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),19,12
1,5:51.0,M. Gasol misses 3-pt jump shot from 27 ft,,19,12
1,5:48.0,,Defensive rebound by S. Curry,19,12
1,5:45.0,,S. Curry misses 3-pt jump shot from 29 ft,19,12
1,5:42.0,Defensive rebound by Team,,19,12
1,5:42.0,,A. Bogut enters the game for D. Cousins,19,12
1,5:42.0,,Q. Cook enters the game for S. Livingston,19,12
1,5:34.0,Turnover by K. Lowry (bad pass),,19,12
1,5:23.0,,Q. Cook misses 3-pt jump shot from 22 ft,19,12
1,5:21.0,,Offensive rebound by A. Bogut,19,12
1,5:18.0,,S. Curry makes 2-pt jump shot from 17 ft (assist by A. Bogut),19,14
1,5:09.0,K. Lowry makes 2-pt jump shot from 20 ft,,21,14
1,4:52.0,,S. Curry misses 3-pt jump shot from 23 ft,21,14
1,4:50.0,Defensive rebound by K. Leonard,,21,14
1,4:43.0,D. Green makes 3-pt jump shot from 23 ft (assist by K. Leonard),,24,14
1,4:24.0,,Personal foul by D. Green (drawn by S. Curry),24,14
1,4:24.0,F. VanVleet enters the game for D. Green,,24,14
1,4:24.0,,A. McKinnie enters the game for A. Iguodala,24,14
1,4:14.0,,A. Bogut makes 2-pt layup from 2 ft (assist by S. Curry),24,16
1,4:08.0,Personal foul by A. Bogut (drawn by K. Lowry),,24,16
