QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
1,11:39.0,,L. Aldridge makes 2-pt hook shot from 9 ft,0,2
1,11:24.0,A. Iguodala misses 3-pt jump shot from 25 ft,,0,2
1,11:21.0,,Defensive rebound by L. Aldridge,0,2
1,11:16.0,,B. Forbes misses 2-pt jump shot from 13 ft,0,2
1,11:16.0,Defensive rebound by Team,,0,2
1,11:16.0,Personal foul by D. Cunningham (drawn by J. Jerebko),,0,2
1,11:05.0,K. Thompson misses 2-pt jump shot from 15 ft,,0,2
1,11:01.0,,Defensive rebound by L. Aldridge,0,2
1,10:43.0,,R. Gay makes 3-pt jump shot from 25 ft (assist by B. Forbes),0,5
1,10:21.0,K. Durant misses 2-pt jump shot from 11 ft,,0,5
1,10:18.0,,Defensive rebound by L. Aldridge,0,5
1,10:03.0,,D. Cunningham misses 3-pt jump shot from 23 ft,0,5
1,9:59.0,Defensive rebound by J. Jerebko,,0,5
1,9:56.0,Shooting foul by B. Forbes (drawn by J. Jerebko),,0,5
1,9:56.0,J. Jerebko makes free throw 1 of 2,,1,5
1,9:56.0,J. Jerebko makes free throw 2 of 2,,2,5
1,9:43.0,,R. Gay makes 2-pt jump shot from 12 ft (assist by B. Forbes),2,7
1,9:27.0,K. Thompson makes 2-pt jump shot from 12 ft,,4,7
1,9:14.0,,D. Cunningham makes 3-pt jump shot from 23 ft (assist by D. DeRozan),4,10
1,8:54.0,K. Looney misses 2-pt layup from 1 ft,,4,10
1,8:50.0,Offensive rebound by K. Looney,,4,10
1,8:50.0,K. Looney makes 2-pt layup at rim,,6,10
1,8:35.0,,B. Forbes misses 3-pt jump shot from 25 ft,6,10
1,8:31.0,Defensive rebound by K. Durant,,6,10
1,8:24.0,K. Looney misses 2-pt layup from 3 ft (block by L. Aldridge),,6,10
1,8:20.0,,Defensive rebound by R. Gay,6,10
1,8:18.0,,Personal foul by K. Looney (drawn by L. Aldridge),6,10
1,8:07.0,,D. DeRozan misses 2-pt jump shot from 10 ft,6,10
1,8:07.0,,Offensive rebound by Team,6,10
1,8:07.0,Loose ball foul by K. Looney (drawn by L. Aldridge),,6,10
1,8:07.0,D. Jones enters the game for K. Looney,,6,10
1,8:02.0,,B. Forbes makes 2-pt jump shot from 19 ft,6,12
1,7:50.0,K. Thompson misses 2-pt jump shot from 15 ft,,6,12
1,7:45.0,Offensive rebound by J. Jerebko,,6,12
1,7:45.0,J. Jerebko makes 2-pt layup at rim,,8,12
1,7:33.0,,R. Gay makes 3-pt jump shot from 26 ft,8,15
1,7:21.0,Shooting foul by D. Cunningham (drawn by K. Durant),,8,15
1,7:21.0,K. Durant makes free throw 1 of 2,,9,15
1,7:21.0,K. Durant makes free throw 2 of 2,,10,15
1,7:03.0,,D. DeRozan makes 2-pt jump shot from 19 ft,10,17
1,6:39.0,D. Jones makes 2-pt dunk from 2 ft (assist by A. Iguodala),,12,17
1,6:30.0,,San Antonio full timeout,12,17
1,6:30.0,,M. Belinelli enters the game for D. Cunningham,12,17
1,6:30.0,,Turnover by (5 sec),12,17
1,6:19.0,Shooting foul by M. Belinelli (drawn by K. Durant),,12,17
1,6:19.0,K. Durant misses free throw 1 of 2,,12,17
1,6:19.0,Offensive rebound by Team,,12,17
1,6:19.0,,P. Mills enters the game for B. Forbes,12,17
1,6:19.0,,Q. Pondexter enters the game for R. Gay,12,17
1,6:19.0,K. Durant makes free throw 2 of 2,,13,17
1,6:02.0,,D. DeRozan misses 2-pt jump shot from 15 ft,13,17
1,5:58.0,Defensive rebound by J. Jerebko,,13,17
1,5:52.0,K. Durant misses 3-pt jump shot from 24 ft,,13,17
1,5:51.0,Offensive rebound by Team,,13,17
1,5:51.0,Offensive foul by K. Thompson (drawn by M. Belinelli),,13,17
1,5:51.0,Turnover by K. Thompson (offensive foul),,13,17
1,5:41.0,,Turnover by M. Belinelli (traveling),13,17
1,5:25.0,K. Durant makes 2-pt layup at rim,,15,17
1,5:10.0,,D. DeRozan makes 2-pt layup from 1 ft,15,19
1,5:02.0,K. Durant misses 2-pt layup from 1 ft,,15,19
1,4:59.0,,Defensive rebound by L. Aldridge,15,19
1,4:52.0,,Q. Pondexter makes 2-pt layup from 1 ft (assist by D. DeRozan),15,21
1,4:37.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by J. Jerebko),,17,21
1,4:11.0,,M. Belinelli misses 3-pt jump shot from 25 ft,17,21
1,4:08.0,Defensive rebound by K. Thompson,,17,21
1,4:02.0,D. Jones makes 2-pt dunk from 1 ft (assist by K. Thompson),,19,21
1,3:44.0,,Turnover by Q. Pondexter (step out of bounds),19,21
1,3:44.0,Q. Cook enters the game for A. Iguodala,,19,21
1,3:44.0,D. Lee enters the game for J. Jerebko,,19,21
1,3:44.0,S. Livingston enters the game for K. Thompson,,19,21
1,3:44.0,,R. Gay enters the game for D. DeRozan,19,21
1,3:44.0,,D. White enters the game for Q. Pondexter,19,21
1,3:44.0,Golden State full timeout,,19,21
1,3:31.0,S. Livingston makes 2-pt jump shot from 15 ft (assist by K. Durant),,21,21
1,3:14.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by P. Mills),21,24
1,3:02.0,Turnover by K. Durant (bad pass; steal by D. White),,21,24
1,2:51.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by L. Aldridge),21,27
1,2:32.0,K. Durant makes 2-pt jump shot from 5 ft,,23,27
1,2:20.0,,L. Aldridge misses 2-pt jump shot from 18 ft,23,27
1,2:13.0,Defensive rebound by Q. Cook,,23,27
1,2:07.0,K. Durant misses 3-pt jump shot from 25 ft,,23,27
1,2:04.0,,Defensive rebound by P. Mills,23,27
1,1:59.0,,R. Gay makes 2-pt layup from 2 ft (assist by P. Mills),23,29
1,1:46.0,Q. Cook misses 3-pt jump shot from 25 ft,,23,29
1,1:46.0,,Defensive rebound by L. Aldridge,23,29
1,1:39.0,,M. Belinelli misses 3-pt jump shot from 25 ft,23,29
1,1:36.0,,Offensive rebound by L. Aldridge,23,29
1,1:33.0,,R. Gay makes 2-pt dunk from 1 ft (assist by L. Aldridge),23,31
1,1:20.0,Personal foul by D. White (drawn by K. Durant),,23,31
1,1:20.0,K. Durant makes free throw 1 of 2,,24,31
1,1:20.0,,J. Poeltl enters the game for L. Aldridge,24,31
1,1:20.0,K. Durant makes free throw 2 of 2,,25,31
1,1:09.0,,Personal foul by Q. Cook (drawn by P. Mills),25,31
1,1:02.0,,M. Belinelli misses 2-pt jump shot from 7 ft,25,31
1,1:01.0,,J. Poeltl makes 2-pt layup from 1 ft,25,33
1,1:01.0,,Offensive rebound by J. Poeltl,25,33
