QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,INDIANA_ACTION,SACRAMENTO_SCORE,INDIANA_SCORE
1,11:38.0,N. Bjelica misses 3-pt jump shot from 30 ft,,0,0
1,11:34.0,,Defensive rebound by M. Turner,0,0
1,11:20.0,Violation by Team (kicked ball),,0,0
1,11:09.0,,T. Young makes 3-pt jump shot from 28 ft (assist by T. Evans),0,3
1,10:57.0,D. Fox misses 2-pt jump shot from 18 ft,,0,3
1,10:54.0,Offensive rebound by N. Bjelica,,0,3
1,10:53.0,N. Bjelica makes 2-pt layup from 7 ft,,2,3
1,10:34.0,,Turnover by B. Bogdanović (bad pass),2,3
1,10:23.0,D. Fox misses 2-pt jump shot from 7 ft,,2,3
1,10:20.0,,Defensive rebound by M. Turner,2,3
1,10:15.0,,T. Evans makes 2-pt layup from 1 ft,2,5
1,10:04.0,Personal foul by T. Evans (drawn by N. Bjelica),,2,5
1,9:56.0,B. Hield misses 2-pt jump shot from 18 ft,,2,5
1,9:53.0,,Defensive rebound by B. Bogdanović,2,5
1,9:37.0,,D. Collison makes 3-pt jump shot from 22 ft (assist by T. Evans),2,8
1,9:18.0,Turnover by W. Cauley-Stein (back court),,2,8
1,9:07.0,,Turnover by T. Young (bad pass; steal by B. Bogdanović),2,8
1,9:03.0,B. Hield misses 2-pt jump shot from 5 ft,,2,8
1,9:01.0,Offensive rebound by Team,,2,8
1,8:51.0,B. Hield makes 3-pt jump shot from 24 ft (assist by D. Fox),,5,8
1,8:38.0,,Personal foul by D. Fox (drawn by D. Collison),5,8
1,8:28.0,,M. Turner misses 2-pt jump shot from 4 ft,5,8
1,8:25.0,,Offensive rebound by M. Turner,5,8
1,8:24.0,,T. Young misses 3-pt jump shot from 24 ft,5,8
1,8:21.0,Defensive rebound by W. Cauley-Stein,,5,8
1,8:19.0,N. Bjelica makes 2-pt layup from 1 ft (assist by D. Fox),,7,8
1,7:55.0,,T. Evans makes 3-pt jump shot from 28 ft (assist by M. Turner),7,11
1,7:47.0,B. Hield makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,10,11
1,7:31.0,,M. Turner misses 2-pt jump shot from 18 ft,10,11
1,7:28.0,,Offensive rebound by T. Evans,10,11
1,7:22.0,,T. Evans misses 3-pt jump shot from 27 ft,10,11
1,7:18.0,Defensive rebound by W. Cauley-Stein,,10,11
1,7:13.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,10,11
1,7:11.0,Offensive rebound by N. Bjelica,,10,11
1,7:05.0,B. Hield makes 3-pt jump shot from 27 ft (assist by N. Bjelica),,13,11
1,6:53.0,,M. Turner misses 2-pt jump shot from 5 ft (block by W. Cauley-Stein),13,11
1,6:52.0,,Offensive rebound by Team,13,11
1,6:52.0,,Indiana full timeout,13,11
1,6:44.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,13,11
1,6:40.0,Defensive rebound by N. Bjelica,,13,11
1,6:29.0,Shooting foul by M. Turner (drawn by W. Cauley-Stein),,13,11
1,6:29.0,W. Cauley-Stein makes free throw 1 of 2,,14,11
1,6:29.0,W. Cauley-Stein makes free throw 2 of 2,,15,11
1,6:19.0,,D. Collison misses 3-pt jump shot from 24 ft,15,11
1,6:17.0,Defensive rebound by N. Bjelica,,15,11
1,6:12.0,B. Hield misses 3-pt jump shot from 26 ft,,15,11
1,6:08.0,Offensive rebound by N. Bjelica,,15,11
1,6:06.0,B. Hield makes 2-pt layup from 2 ft (assist by N. Bjelica),,17,11
1,5:53.0,,Shooting foul by D. Fox (drawn by D. Collison),17,11
1,5:53.0,,D. Collison makes free throw 1 of 2,17,12
1,5:53.0,J. Jackson enters the game for B. Bogdanović,,17,12
1,5:53.0,F. Mason enters the game for D. Fox,,17,12
1,5:53.0,,D. Collison makes free throw 2 of 2,17,13
1,5:37.0,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by F. Mason),,19,13
1,5:20.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by T. Evans),19,15
1,5:03.0,W. Cauley-Stein misses 2-pt jump shot from 1 ft (block by M. Turner),,19,15
1,5:01.0,,Defensive rebound by T. Young,19,15
1,4:53.0,,T. Evans misses 3-pt jump shot from 23 ft,19,15
1,4:50.0,,Offensive rebound by T. Young,19,15
1,4:49.0,,T. Young makes 2-pt jump shot at rim,19,17
1,4:30.0,W. Cauley-Stein misses 2-pt layup from 3 ft,,19,17
1,4:26.0,Offensive rebound by B. Hield,,19,17
1,4:26.0,B. Hield makes 2-pt layup at rim,,21,17
1,4:15.0,,Personal foul by J. Jackson (drawn by M. Turner),21,17
1,4:15.0,M. Bagley enters the game for W. Cauley-Stein,,21,17
1,4:15.0,,D. Sabonis enters the game for T. Young,21,17
1,4:07.0,,Shooting foul by M. Bagley (drawn by B. Bogdanović),21,17
1,4:07.0,,B. Bogdanović makes free throw 1 of 2,21,18
1,4:07.0,Sacramento full timeout,,21,18
1,4:07.0,,B. Bogdanović makes free throw 2 of 2,21,19
1,3:50.0,J. Jackson makes 2-pt jump shot from 7 ft,,23,19
1,3:39.0,,Shooting foul by F. Mason (drawn by B. Bogdanović),23,19
1,3:39.0,,B. Bogdanović makes free throw 1 of 2,23,20
1,3:39.0,B. Bogdanović enters the game for N. Bjelica,,23,20
1,3:39.0,K. Koufos enters the game for B. Hield,,23,20
1,3:39.0,,C. Joseph enters the game for T. Evans,23,20
1,3:39.0,,B. Bogdanović makes free throw 2 of 2,23,21
1,3:32.0,F. Mason misses 3-pt jump shot from 27 ft,,23,21
1,3:28.0,,Defensive rebound by M. Turner,23,21
1,3:20.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,23,21
1,3:19.0,,Offensive rebound by M. Turner,23,21
1,3:12.0,,M. Turner misses 2-pt hook shot from 8 ft,23,21
