QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
1,11:47.0,,T. Harris misses 3-pt jump shot from 26 ft,0,0
1,11:43.0,Defensive rebound by K. Lowry,,0,0
1,11:28.0,Turnover by D. Green (bad pass),,0,0
1,11:28.0,Loose ball foul by M. Gasol (drawn by T. Harris),,0,0
1,11:19.0,,J. Redick misses 3-pt jump shot from 26 ft,0,0
1,11:17.0,Defensive rebound by M. Gasol,,0,0
1,11:07.0,P. Siakam misses 2-pt layup from 2 ft,,0,0
1,11:05.0,,Defensive rebound by T. Harris,0,0
1,11:03.0,,B. Simmons misses 2-pt layup from 2 ft (block by M. Gasol),0,0
1,11:03.0,,Offensive rebound by Team,0,0
1,10:56.0,,J. Embiid misses 2-pt jump shot from 12 ft (block by M. Gasol),0,0
1,10:52.0,Defensive rebound by D. Green,,0,0
1,10:47.0,K. Leonard misses 3-pt jump shot from 25 ft,,0,0
1,10:44.0,,Defensive rebound by J. Embiid,0,0
1,10:35.0,,T. Harris makes 2-pt dunk from 1 ft,0,2
1,10:30.0,Turnover by D. Green (step out of bounds),,0,2
1,10:13.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Butler),0,4
1,9:56.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by P. Siakam),,3,4
1,9:44.0,,J. Butler misses 2-pt layup from 3 ft,3,4
1,9:43.0,,Offensive rebound by J. Butler,3,4
1,9:38.0,,J. Butler makes 2-pt layup from 2 ft,3,6
1,9:27.0,P. Siakam makes 2-pt jump shot from 13 ft (assist by K. Lowry),,5,6
1,9:10.0,,J. Butler makes 2-pt layup from 2 ft (assist by J. Embiid),5,8
1,9:01.0,K. Leonard misses 2-pt jump shot from 7 ft,,5,8
1,8:58.0,,Defensive rebound by J. Embiid,5,8
1,8:49.0,,J. Butler makes 2-pt jump shot from 12 ft (assist by T. Harris),5,10
1,8:32.0,P. Siakam misses 3-pt jump shot from 22 ft,,5,10
1,8:29.0,,Defensive rebound by J. Embiid,5,10
1,8:14.0,,Personal foul by K. Lowry (drawn by J. Butler),5,10
1,8:05.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by B. Simmons),5,13
1,8:04.0,Toronto full timeout,,5,13
1,7:55.0,P. Siakam makes 3-pt jump shot from 25 ft (assist by K. Lowry),,8,13
1,7:40.0,,Turnover by J. Redick (bad pass),8,13
1,7:22.0,,Violation by Team (kicked ball),8,13
1,7:16.0,P. Siakam makes 2-pt layup from 3 ft,,10,13
1,6:58.0,,Turnover by J. Embiid (traveling),10,13
1,6:58.0,,J. Ennis enters the game for J. Embiid,10,13
1,6:58.0,,B. Marjanović enters the game for J. Redick,10,13
1,6:49.0,Personal foul by B. Simmons (drawn by K. Leonard),,10,13
1,6:47.0,M. Gasol misses 3-pt jump shot from 26 ft,,10,13
1,6:43.0,,Defensive rebound by J. Ennis,10,13
1,6:24.0,,J. Butler misses 2-pt jump shot from 4 ft,10,13
1,6:21.0,Defensive rebound by K. Leonard,,10,13
1,6:19.0,Personal foul by B. Simmons (drawn by K. Leonard),,10,13
1,6:17.0,D. Green misses 3-pt jump shot from 26 ft,,10,13
1,6:11.0,Offensive rebound by P. Siakam,,10,13
1,5:58.0,M. Gasol misses 2-pt jump shot from 21 ft,,10,13
1,5:56.0,Offensive rebound by P. Siakam,,10,13
1,5:48.0,K. Leonard makes 2-pt layup from 2 ft (assist by P. Siakam),,12,13
1,5:29.0,,Turnover by T. Harris (bad pass; steal by P. Siakam),12,13
1,5:25.0,Turnover by P. Siakam (traveling),,12,13
1,5:25.0,S. Ibaka enters the game for P. Siakam,,12,13
1,5:06.0,,J. Butler misses 2-pt jump shot from 18 ft,12,13
1,5:03.0,Defensive rebound by K. Leonard,,12,13
1,5:01.0,Shooting foul by J. Ennis (drawn by K. Leonard),,12,13
1,5:01.0,K. Leonard makes free throw 1 of 2,,13,13
1,5:01.0,K. Leonard makes free throw 2 of 2,,14,13
1,4:44.0,,T. Harris misses 2-pt jump shot from 16 ft,14,13
1,4:39.0,Defensive rebound by S. Ibaka,,14,13
1,4:35.0,Shooting foul by B. Marjanović (drawn by S. Ibaka),,14,13
1,4:35.0,S. Ibaka misses free throw 1 of 2,,14,13
1,4:35.0,Offensive rebound by Team,,14,13
1,4:35.0,P. Siakam enters the game for M. Gasol,,14,13
1,4:35.0,,J. Embiid enters the game for J. Butler,14,13
1,4:35.0,,M. Scott enters the game for B. Marjanović,14,13
1,4:35.0,S. Ibaka makes free throw 2 of 2,,15,13
1,4:26.0,,Personal foul by S. Ibaka (drawn by J. Embiid),15,13
1,4:12.0,,J. Ennis misses 2-pt layup from 4 ft,15,13
1,4:08.0,,Offensive rebound by J. Embiid,15,13
1,4:08.0,,J. Embiid misses 2-pt layup at rim,15,13
1,4:08.0,Defensive rebound by K. Leonard,,15,13
1,4:03.0,Turnover by K. Leonard (lost ball; steal by J. Ennis),,15,13
1,4:01.0,,J. Ennis misses 2-pt layup from 4 ft (block by S. Ibaka),15,13
1,4:00.0,,Offensive rebound by T. Harris,15,13
1,3:58.0,,B. Simmons makes 2-pt layup from 3 ft (assist by T. Harris),15,15
1,3:39.0,S. Ibaka misses 2-pt jump shot from 17 ft,,15,15
1,3:37.0,,Defensive rebound by T. Harris,15,15
1,3:33.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by B. Simmons),15,18
