QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
1,11:43.0,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Conley),,2,0
1,11:26.0,,A. Bradley makes 2-pt jump shot from 16 ft (assist by D. Gallinari),2,2
1,11:09.0,K. Anderson makes 2-pt layup from 2 ft (assist by J. Jackson),,4,2
1,10:55.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by M. Gortat),4,4
1,10:46.0,Turnover by G. Temple (out of bounds lost ball),,4,4
1,10:31.0,,M. Gortat makes 2-pt jump shot from 6 ft (assist by D. Gallinari),4,6
1,10:10.0,K. Anderson makes 2-pt layup from 1 ft (assist by J. Jackson),,6,6
1,9:56.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,6,6
1,9:54.0,Defensive rebound by M. Gasol,,6,6
1,9:36.0,K. Anderson misses 2-pt jump shot from 4 ft,,6,6
1,9:34.0,,Defensive rebound by D. Gallinari,6,6
1,9:25.0,,D. Gallinari misses 2-pt jump shot from 20 ft,6,6
1,9:23.0,Defensive rebound by M. Conley,,6,6
1,9:10.0,J. Jackson makes 3-pt jump shot from 27 ft (assist by M. Gasol),,9,6
1,8:49.0,,T. Harris misses 2-pt jump shot from 17 ft,9,6
1,8:47.0,Defensive rebound by M. Gasol,,9,6
1,8:44.0,Shooting foul by D. Gallinari (drawn by J. Jackson),,9,6
1,8:44.0,,LA Clippers full timeout,9,6
1,8:44.0,J. Jackson makes free throw 1 of 2,,10,6
1,8:44.0,J. Jackson misses free throw 2 of 2,,10,6
1,8:41.0,,Defensive rebound by M. Gortat,10,6
1,8:21.0,,D. Gallinari misses 2-pt layup from 2 ft (block by J. Jackson),10,6
1,8:21.0,Defensive rebound by Team,,10,6
1,8:05.0,G. Temple misses 2-pt jump shot from 5 ft,,10,6
1,8:02.0,,Defensive rebound by D. Gallinari,10,6
1,7:55.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,10,8
1,7:33.0,J. Jackson misses 3-pt jump shot from 23 ft,,10,8
1,7:31.0,Offensive rebound by G. Temple,,10,8
1,7:30.0,J. Jackson misses 2-pt jump shot from 14 ft,,10,8
1,7:30.0,Offensive rebound by Team,,10,8
1,7:30.0,Turnover by Team (shot clock),,10,8
1,7:18.0,,M. Gortat makes 2-pt dunk from 1 ft (assist by A. Bradley),10,10
1,7:00.0,Turnover by J. Jackson (traveling),,10,10
1,6:43.0,,M. Gortat misses 2-pt hook shot from 2 ft,10,10
1,6:38.0,Defensive rebound by M. Gasol,,10,10
1,6:27.0,K. Anderson makes 3-pt jump shot from 23 ft (assist by M. Gasol),,13,10
