QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SACRAMENTO_ACTION,BROOKLYN_SCORE,SACRAMENTO_SCORE
1,11:42.0,D. Russell misses 2-pt jump shot from 17 ft,,0,0
1,11:38.0,,Defensive rebound by W. Cauley-Stein,0,0
1,11:19.0,,D. Fox misses 3-pt jump shot from 24 ft,0,0
1,11:17.0,Defensive rebound by R. Kurucs,,0,0
1,11:09.0,J. Allen misses 2-pt hook shot from 5 ft,,0,0
1,11:06.0,,Defensive rebound by N. Bjelica,0,0
1,10:58.0,,Turnover by H. Barnes (bad pass; steal by J. Harris),0,0
1,10:37.0,D. Russell makes 2-pt jump shot from 13 ft,,2,0
1,10:26.0,,W. Cauley-Stein makes 2-pt layup from 1 ft,2,2
1,10:15.0,R. Kurucs misses 3-pt jump shot from 25 ft,,2,2
1,10:11.0,,Defensive rebound by W. Cauley-Stein,2,2
1,10:06.0,,D. Fox makes 2-pt jump shot from 13 ft,2,4
1,9:56.0,D. Russell misses 3-pt jump shot from 26 ft,,2,4
1,9:53.0,,Defensive rebound by N. Bjelica,2,4
1,9:46.0,,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),2,6
1,9:25.0,C. LeVert misses 2-pt layup from 2 ft,,2,6
1,9:22.0,Offensive rebound by C. LeVert,,2,6
1,9:20.0,D. Russell makes 3-pt jump shot from 25 ft (assist by C. LeVert),,5,6
1,9:01.0,,N. Bjelica misses 2-pt layup from 3 ft (block by R. Kurucs),5,6
1,9:01.0,,Offensive rebound by Team,5,6
1,8:52.0,,B. Hield makes 2-pt layup from 4 ft (assist by W. Cauley-Stein),5,8
1,8:42.0,J. Harris makes 2-pt jump shot from 20 ft,,7,8
1,8:23.0,,D. Fox misses 2-pt jump shot from 9 ft,7,8
1,8:21.0,,Offensive rebound by B. Hield,7,8
1,8:19.0,,Turnover by B. Hield (lost ball; steal by R. Kurucs),7,8
1,8:15.0,C. LeVert makes 2-pt dunk from 1 ft (assist by D. Russell),,9,8
1,8:09.0,,B. Hield misses 3-pt jump shot from 25 ft,9,8
1,8:09.0,,Offensive rebound by W. Cauley-Stein,9,8
1,8:02.0,,B. Hield misses 3-pt jump shot from 25 ft,9,8
1,7:59.0,Defensive rebound by J. Harris,,9,8
1,7:52.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,11,8
1,7:52.0,,Sacramento full timeout,11,8
1,7:28.0,,Turnover by W. Cauley-Stein (bad pass; steal by J. Harris),11,8
1,7:21.0,D. Russell misses 3-pt jump shot from 26 ft,,11,8
1,7:17.0,Offensive rebound by J. Allen,,11,8
1,7:17.0,J. Allen misses 2-pt layup at rim,,11,8
1,7:16.0,,Defensive rebound by N. Bjelica,11,8
1,7:04.0,,Turnover by H. Barnes (traveling),11,8
1,7:04.0,,H. Giles enters the game for W. Cauley-Stein,11,8
1,6:55.0,Turnover by D. Russell (bad pass; steal by H. Giles),,11,8
1,6:50.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),11,11
1,6:30.0,J. Harris makes 2-pt layup from 1 ft,,13,11
1,6:15.0,,H. Giles misses 2-pt layup from 3 ft,13,11
1,6:12.0,,Offensive rebound by N. Bjelica,13,11
1,6:12.0,,N. Bjelica misses 2-pt layup from 4 ft,13,11
1,6:10.0,Defensive rebound by J. Harris,,13,11
1,5:53.0,D. Russell misses 3-pt jump shot from 22 ft,,13,11
1,5:50.0,,Defensive rebound by N. Bjelica,13,11
1,5:48.0,,D. Fox makes 2-pt jump shot from 18 ft,13,13
1,5:28.0,C. LeVert makes 2-pt jump shot from 4 ft,,15,13
1,5:22.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Fox),15,16
1,5:13.0,Turnover by D. Russell (bad pass),,15,16
1,5:13.0,D. Carroll enters the game for R. Kurucs,,15,16
1,5:13.0,S. Dinwiddie enters the game for C. LeVert,,15,16
1,5:13.0,,M. Bagley enters the game for N. Bjelica,15,16
1,5:13.0,,B. Bogdanović enters the game for B. Hield,15,16
1,5:00.0,,H. Giles misses 2-pt jump shot from 11 ft,15,16
1,4:56.0,Defensive rebound by J. Allen,,15,16
1,4:49.0,J. Allen misses 2-pt layup from 4 ft,,15,16
1,4:46.0,Offensive rebound by J. Allen,,15,16
1,4:42.0,D. Carroll misses 3-pt jump shot from 25 ft,,15,16
1,4:39.0,,Defensive rebound by H. Barnes,15,16
1,4:30.0,,M. Bagley makes 2-pt jump shot from 16 ft (assist by D. Fox),15,18
1,4:28.0,Brooklyn full timeout,,15,18
1,4:19.0,Offensive foul by J. Allen (drawn by D. Fox),,15,18
1,4:19.0,Turnover by J. Allen (offensive foul),,15,18
1,4:10.0,,Def 3 sec tech foul by Team,15,18
1,4:10.0,,B. Bogdanović makes technical free throw,15,19
1,3:59.0,,H. Giles makes 2-pt layup from 3 ft,15,21
1,3:52.0,Personal foul by B. Bogdanović (drawn by S. Dinwiddie),,15,21
1,3:52.0,E. Davis enters the game for J. Allen,,15,21
1,3:52.0,C. LeVert enters the game for D. Russell,,15,21
1,3:45.0,J. Harris makes 3-pt jump shot from 26 ft (assist by C. LeVert),,18,21
1,3:37.0,,D. Fox misses 2-pt jump shot from 18 ft,18,21
1,3:34.0,,Offensive rebound by M. Bagley,18,21
1,3:32.0,,M. Bagley makes 2-pt jump shot from 3 ft,18,23
1,3:20.0,E. Davis misses 2-pt layup from 2 ft,,18,23
1,3:15.0,,Defensive rebound by H. Barnes,18,23
1,3:02.0,,M. Bagley makes 3-pt jump shot from 25 ft (assist by H. Giles),18,26
1,2:44.0,C. LeVert misses 2-pt jump shot from 23 ft,,18,26
1,2:42.0,,Defensive rebound by H. Barnes,18,26
1,2:36.0,,M. Bagley makes 2-pt hook shot from 7 ft (assist by D. Fox),18,28
1,2:33.0,Brooklyn full timeout,,18,28
