QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHICAGO_ACTION,MEMPHIS_SCORE,CHICAGO_SCORE
1,11:45.0,,R. Lopez makes 2-pt layup from 1 ft (assist by Z. LaVine),0,2
1,11:29.0,Turnover by A. Bradley (traveling),,0,2
1,11:08.0,,Turnover by L. Markkanen (3 sec),0,2
1,10:49.0,J. Jackson makes 2-pt layup from 2 ft (assist by A. Bradley),,2,2
1,10:29.0,,R. Lopez makes 2-pt layup from 1 ft,2,4
1,10:17.0,J. Jackson misses 2-pt layup at rim,,2,4
1,10:10.0,Offensive rebound by I. Rabb,,2,4
1,10:10.0,I. Rabb makes 2-pt layup from 1 ft,,4,4
1,10:01.0,,Turnover by Z. LaVine (bad pass; steal by I. Rabb),4,4
1,9:57.0,J. Holiday misses 3-pt jump shot from 25 ft,,4,4
1,9:55.0,,Defensive rebound by L. Markkanen,4,4
1,9:52.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by L. Markkanen),4,7
1,9:30.0,J. Holiday misses 3-pt jump shot from 25 ft,,4,7
1,9:30.0,,Defensive rebound by R. Arcidiacono,4,7
1,9:18.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by L. Markkanen),4,10
1,8:57.0,Turnover by J. Jackson (bad pass; steal by R. Arcidiacono),,4,10
1,8:54.0,,O. Porter makes 2-pt dunk from 1 ft (assist by R. Lopez),4,12
1,8:54.0,Memphis full timeout,,4,12
1,8:54.0,J. Valančiūnas enters the game for I. Rabb,,4,12
1,8:38.0,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by M. Conley),,6,12
1,8:19.0,,R. Lopez makes 2-pt hook shot from 6 ft (assist by Z. LaVine),6,14
1,8:05.0,J. Jackson makes 2-pt layup at rim (assist by M. Conley),,8,14
1,7:54.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by R. Arcidiacono),8,16
1,7:41.0,Turnover by J. Valančiūnas (bad pass; steal by L. Markkanen),,8,16
1,7:36.0,,R. Arcidiacono makes 2-pt layup from 1 ft (assist by L. Markkanen),8,18
1,7:26.0,A. Bradley makes 2-pt jump shot from 16 ft (assist by J. Holiday),,10,18
1,7:07.0,,R. Lopez makes 2-pt jump shot from 7 ft (assist by R. Arcidiacono),10,20
1,6:53.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by A. Bradley),,12,20
1,6:33.0,,Z. LaVine misses 3-pt jump shot from 25 ft,12,20
1,6:30.0,Defensive rebound by J. Valančiūnas,,12,20
1,6:22.0,J. Jackson makes 3-pt jump shot from 23 ft (assist by J. Holiday),,15,20
1,6:03.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by Z. LaVine),15,23
1,5:53.0,Personal foul by R. Lopez (drawn by J. Valančiūnas),,15,23
1,5:53.0,C. Miles enters the game for M. Conley,,15,23
1,5:53.0,D. Wright enters the game for J. Holiday,,15,23
1,5:53.0,,W. Selden enters the game for O. Porter,15,23
1,5:39.0,A. Bradley misses 2-pt jump shot from 18 ft,,15,23
1,5:35.0,Offensive rebound by J. Valančiūnas,,15,23
1,5:34.0,J. Valančiūnas misses 2-pt layup from 2 ft (block by R. Lopez),,15,23
1,5:34.0,,Defensive rebound by L. Markkanen,15,23
1,5:28.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by R. Arcidiacono),15,25
1,5:12.0,C. Miles misses 3-pt jump shot from 22 ft,,15,25
1,5:08.0,,Defensive rebound by Z. LaVine,15,25
1,5:03.0,,R. Lopez makes 2-pt layup from 2 ft (assist by Z. LaVine),15,27
1,4:49.0,C. Miles makes 2-pt jump shot from 17 ft (assist by J. Valančiūnas),,17,27
1,4:36.0,,Z. LaVine misses 3-pt jump shot from 26 ft,17,27
1,4:34.0,Defensive rebound by J. Valančiūnas,,17,27
1,4:19.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by A. Bradley),,19,27
1,4:19.0,,Chicago full timeout,19,27
1,4:07.0,,R. Lopez makes 2-pt dunk from 1 ft (assist by R. Arcidiacono),19,29
1,3:41.0,J. Valančiūnas misses 2-pt layup from 2 ft,,19,29
1,3:39.0,,Defensive rebound by W. Selden,19,29
1,3:29.0,,W. Selden misses 3-pt jump shot from 25 ft,19,29
1,3:26.0,Defensive rebound by J. Valančiūnas,,19,29
1,3:18.0,C. Miles makes 2-pt jump shot from 14 ft (assist by A. Bradley),,21,29
1,3:00.0,,Z. LaVine misses 2-pt layup from 3 ft,21,29
1,2:57.0,Defensive rebound by J. Jackson,,21,29
1,2:54.0,A. Bradley makes 2-pt jump shot from 21 ft,,23,29
1,2:38.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),23,32
1,2:25.0,J. Valančiūnas misses 2-pt jump shot from 19 ft,,23,32
1,2:21.0,,Defensive rebound by R. Arcidiacono,23,32
1,2:15.0,,Turnover by R. Arcidiacono (bad pass; steal by A. Bradley),23,32
1,2:10.0,A. Bradley makes 3-pt jump shot from 25 ft,,26,32
1,1:53.0,,Offensive foul by L. Markkanen (drawn by D. Wright),26,32
1,1:53.0,,Turnover by L. Markkanen (offensive foul),26,32
1,1:53.0,B. Caboclo enters the game for J. Jackson,,26,32
1,1:53.0,J. Noah enters the game for J. Valančiūnas,,26,32
1,1:53.0,,T. Luwawu-Cabarrot enters the game for Z. LaVine,26,32
1,1:40.0,Turnover by A. Bradley (step out of bounds),,26,32
1,1:40.0,M. Conley enters the game for A. Bradley,,26,32
1,1:40.0,,S. Harrison enters the game for R. Lopez,26,32
1,1:21.0,,L. Markkanen misses 3-pt jump shot from 27 ft,26,32
1,1:17.0,Defensive rebound by B. Caboclo,,26,32
1,1:13.0,C. Miles misses 3-pt jump shot from 25 ft,,26,32
1,1:11.0,,Defensive rebound by W. Selden,26,32
1,1:03.0,,W. Selden misses 2-pt jump shot from 11 ft,26,32
1,1:00.0,Defensive rebound by J. Noah,,26,32
1,1:00.0,Shooting foul by W. Selden (drawn by M. Conley),,26,32
1,1:00.0,M. Conley makes free throw 1 of 2,,27,32
1,1:00.0,M. Conley misses free throw 2 of 2,,27,32
1,0:57.0,Offensive rebound by B. Caboclo,,27,32
1,0:57.0,B. Caboclo makes 2-pt layup from 2 ft,,29,32
1,0:45.0,,R. Arcidiacono misses 2-pt layup from 3 ft (block by D. Wright),29,32
1,0:42.0,Defensive rebound by B. Caboclo,,29,32
1,0:40.0,M. Conley makes 3-pt jump shot from 25 ft,,32,32
1,0:31.0,,S. Harrison makes 2-pt layup from 2 ft (assist by R. Arcidiacono),32,34
1,0:10.0,B. Caboclo misses 3-pt jump shot from 23 ft,,32,34
1,0:06.0,,Defensive rebound by R. Arcidiacono,32,34
1,0:03.0,,Shooting foul by J. Noah (drawn by T. Luwawu-Cabarrot),32,34
1,0:03.0,,T. Luwawu-Cabarrot makes free throw 1 of 2,32,35
1,0:03.0,,T. Luwawu-Cabarrot makes free throw 2 of 2,32,36
1,0:00.0,M. Conley misses 3-pt jump shot from 30 ft,,32,36
1,0:00.0,Offensive rebound by Team,,32,36
2,11:47.0,M. Conley makes 2-pt jump shot from 7 ft,,34,36
2,11:30.0,,O. Porter makes 2-pt jump shot from 19 ft,34,38
2,11:20.0,B. Caboclo makes 3-pt jump shot from 26 ft (assist by J. Noah),,37,38
2,11:02.0,,Turnover by W. Selden (traveling),37,38
2,10:55.0,Personal foul by C. Felício (drawn by J. Noah),,37,38
2,10:45.0,C. Miles misses 3-pt jump shot from 23 ft,,37,38
2,10:41.0,,Defensive rebound by S. Harrison,37,38
