QUARTER,TIME_REMAINING,DALLAS_ACTION,UTAH_ACTION,DALLAS_SCORE,UTAH_SCORE
1,11:48.0,Personal foul by D. Favors (drawn by D. Jordan),,0,0
1,11:39.0,W. Matthews makes 2-pt hook shot from 8 ft (assist by D. Smith),,2,0
1,11:18.0,,D. Favors misses 2-pt jump shot from 17 ft,2,0
1,11:15.0,Defensive rebound by D. Jordan,,2,0
1,11:05.0,H. Barnes misses 2-pt layup from 4 ft (block by D. Favors),,2,0
1,11:05.0,Offensive rebound by Team,,2,0
1,11:04.0,Turnover by H. Barnes (lost ball; steal by R. Rubio),,2,0
1,10:57.0,,R. Rubio makes 2-pt jump shot from 12 ft,2,2
1,10:45.0,Turnover by D. Jordan (bad pass; steal by R. Rubio),,2,2
1,10:36.0,,D. Mitchell makes 2-pt jump shot from 16 ft,2,4
1,10:35.0,Dallas full timeout,,2,4
1,10:23.0,H. Barnes misses 2-pt layup from 4 ft (block by R. Gobert),,2,4
1,10:20.0,,Defensive rebound by D. Favors,2,4
1,10:12.0,,D. Mitchell misses 3-pt jump shot from 26 ft,2,4
1,10:10.0,Defensive rebound by L. Dončić,,2,4
1,10:06.0,D. Jordan misses 2-pt dunk from 2 ft,,2,4
1,10:04.0,,Defensive rebound by R. Gobert,2,4
1,9:52.0,,J. Ingles misses 3-pt jump shot from 27 ft,2,4
1,9:49.0,,Offensive rebound by R. Gobert,2,4
1,9:46.0,,R. Gobert misses 2-pt layup from 2 ft (block by D. Jordan),2,4
1,9:43.0,Defensive rebound by W. Matthews,,2,4
1,9:33.0,L. Dončić makes 2-pt jump shot from 6 ft,,4,4
1,9:14.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by D. Mitchell),4,7
1,9:05.0,Personal foul by D. Mitchell (drawn by W. Matthews),,4,7
1,8:59.0,W. Matthews misses 2-pt jump shot from 7 ft,,4,7
1,8:57.0,,Defensive rebound by R. Gobert,4,7
1,8:50.0,,R. Rubio misses 2-pt jump shot from 18 ft,4,7
1,8:47.0,Defensive rebound by H. Barnes,,4,7
1,8:39.0,D. Jordan misses 2-pt layup from 6 ft (block by D. Favors),,4,7
1,8:34.0,,Defensive rebound by R. Rubio,4,7
1,8:25.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),4,9
