QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DENVER_ACTION,MILWAUKEE_SCORE,DENVER_SCORE
1,11:43.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),0,3
1,11:15.0,Turnover by Team (shot clock),,0,3
1,10:58.0,,J. Murray misses 2-pt layup from 3 ft,0,3
1,10:55.0,Defensive rebound by G. Antetokounmpo,,0,3
1,10:45.0,Turnover by K. Middleton (bad pass; steal by N. Jokić),,0,3
1,10:39.0,,Turnover by N. Jokić (bad pass; steal by M. Brogdon),0,3
1,10:34.0,B. Lopez misses 3-pt jump shot from 26 ft,,0,3
1,10:32.0,,Defensive rebound by Team,0,3
1,10:12.0,,N. Jokić makes 2-pt jump shot from 17 ft (assist by P. Millsap),0,5
1,9:47.0,B. Lopez makes 2-pt layup from 2 ft (assist by M. Brogdon),,2,5
1,9:29.0,,P. Millsap misses 3-pt jump shot from 25 ft,2,5
1,9:26.0,Defensive rebound by E. Bledsoe,,2,5
1,9:19.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,5,5
1,9:03.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by N. Jokić),5,8
1,8:40.0,K. Middleton misses 3-pt jump shot from 25 ft,,5,8
1,8:37.0,,Defensive rebound by G. Harris,5,8
1,8:30.0,,Turnover by N. Jokić (lost ball; steal by G. Antetokounmpo),5,8
1,8:20.0,Personal foul by J. Hernangómez (drawn by G. Antetokounmpo),,5,8
1,8:14.0,M. Brogdon makes 2-pt hook shot from 3 ft (assist by B. Lopez),,7,8
1,7:58.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by J. Murray),7,10
1,7:48.0,B. Lopez misses 2-pt jump shot from 10 ft,,7,10
1,7:45.0,,Defensive rebound by P. Millsap,7,10
1,7:39.0,,P. Millsap misses 2-pt layup from 1 ft (block by B. Lopez),7,10
1,7:36.0,Defensive rebound by M. Brogdon,,7,10
1,7:30.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,9,10
1,7:13.0,,N. Jokić misses 3-pt jump shot from 24 ft,9,10
1,7:10.0,Defensive rebound by K. Middleton,,9,10
1,7:05.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,9,10
1,7:02.0,,Defensive rebound by J. Hernangómez,9,10
1,6:51.0,,N. Jokić misses 2-pt jump shot from 15 ft,9,10
1,6:49.0,Defensive rebound by G. Antetokounmpo,,9,10
1,6:36.0,B. Lopez makes 3-pt jump shot from 22 ft (assist by E. Bledsoe),,12,10
1,6:19.0,,Turnover by G. Harris (bad pass; steal by E. Bledsoe),12,10
1,6:17.0,Shooting foul by G. Harris (drawn by M. Brogdon),,12,10
1,6:17.0,,Denver full timeout,12,10
1,6:17.0,E. İlyasova enters the game for K. Middleton,,12,10
1,6:17.0,M. Brogdon makes free throw 1 of 2,,13,10
1,6:17.0,M. Brogdon makes free throw 2 of 2,,14,10
1,6:11.0,,J. Murray makes 2-pt jump shot from 9 ft,14,12
1,6:04.0,Shooting foul by G. Harris (drawn by E. Bledsoe),,14,12
1,6:04.0,E. Bledsoe makes free throw 1 of 2,,15,12
1,6:04.0,K. Middleton enters the game for M. Brogdon,,15,12
1,6:04.0,,M. Morris enters the game for G. Harris,15,12
1,6:04.0,E. Bledsoe makes free throw 2 of 2,,16,12
1,5:59.0,,Personal foul by E. Bledsoe (drawn by J. Murray),16,12
1,5:51.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by M. Morris),16,15
1,5:33.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,18,15
1,5:23.0,,J. Hernangómez makes 3-pt jump shot from 24 ft (assist by N. Jokić),18,18
1,5:02.0,Turnover by E. Bledsoe (bad pass; steal by J. Murray),,18,18
1,4:57.0,,J. Murray makes 2-pt layup from 1 ft,18,20
1,4:57.0,D. DiVincenzo enters the game for G. Antetokounmpo,,18,20
1,4:57.0,J. Henson enters the game for B. Lopez,,18,20
1,4:35.0,J. Henson misses 2-pt hook shot from 8 ft,,18,20
1,4:33.0,,Defensive rebound by N. Jokić,18,20
1,4:24.0,,J. Hernangómez misses 2-pt layup from 1 ft,18,20
1,4:22.0,Defensive rebound by J. Henson,,18,20
1,4:17.0,J. Henson makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,21,20
1,3:59.0,,N. Jokić misses 2-pt jump shot from 14 ft,21,20
1,3:55.0,Defensive rebound by E. Bledsoe,,21,20
