QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
1,11:41.0,,K. Olynyk misses 2-pt layup from 1 ft,0,0
1,11:37.0,,Offensive rebound by B. Adebayo,0,0
1,11:37.0,,B. Adebayo makes 2-pt layup at rim,0,2
1,11:19.0,K. Lowry misses 2-pt layup from 1 ft,,0,2
1,11:18.0,Offensive rebound by Team,,0,2
1,11:12.0,Personal foul by K. Olynyk (drawn by K. Lowry),,0,2
1,10:57.0,S. Ibaka makes 2-pt jump shot from 14 ft (assist by P. McCaw),,2,2
1,10:49.0,,Personal foul by P. Siakam (drawn by K. Olynyk),2,2
1,10:41.0,,D. Waiters makes 2-pt jump shot from 19 ft,2,4
1,10:27.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,5,4
1,10:07.0,,J. Richardson misses 3-pt jump shot from 27 ft,5,4
1,10:04.0,Defensive rebound by S. Ibaka,,5,4
1,9:51.0,Turnover by K. Lowry (lost ball; steal by K. Olynyk),,5,4
1,9:41.0,,Turnover by D. Waiters (bad pass; steal by D. Green),5,4
1,9:37.0,Turnover by D. Green (bad pass; steal by K. Olynyk),,5,4
1,9:23.0,,J. Winslow misses 2-pt jump shot from 12 ft,5,4
1,9:21.0,Defensive rebound by S. Ibaka,,5,4
1,9:16.0,S. Ibaka misses 3-pt jump shot from 25 ft,,5,4
1,9:12.0,Offensive rebound by P. Siakam,,5,4
1,9:10.0,P. Siakam makes 3-pt jump shot from 23 ft,,8,4
1,8:50.0,,J. Winslow makes 2-pt dunk from 2 ft,8,6
1,8:39.0,P. Siakam misses 3-pt jump shot from 24 ft,,8,6
1,8:36.0,,Defensive rebound by K. Olynyk,8,6
1,8:28.0,Violation by Team (kicked ball),,8,6
1,8:12.0,,J. Winslow misses 2-pt layup from 2 ft,8,6
1,8:10.0,Defensive rebound by K. Lowry,,8,6
1,8:06.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),,10,6
1,7:53.0,,J. Richardson misses 2-pt layup from 2 ft (block by S. Ibaka),10,6
1,7:49.0,Defensive rebound by K. Lowry,,10,6
1,7:47.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),,13,6
1,7:28.0,,D. Waiters makes 2-pt layup from 1 ft (assist by B. Adebayo),13,8
1,7:18.0,K. Lowry makes 3-pt jump shot from 26 ft,,16,8
1,7:05.0,,J. Richardson makes 2-pt jump shot from 13 ft,16,10
1,6:51.0,Personal foul by J. Richardson (drawn by K. Lowry),,16,10
1,6:51.0,,Miami full timeout,16,10
1,6:37.0,Turnover by (5 sec),,16,10
1,6:25.0,,B. Adebayo makes 2-pt jump shot from 13 ft (assist by D. Waiters),16,12
1,6:08.0,S. Ibaka makes 2-pt hook shot from 3 ft,,18,12
1,5:55.0,,K. Olynyk misses 3-pt jump shot from 23 ft,18,12
1,5:53.0,,Offensive rebound by K. Olynyk,18,12
1,5:47.0,,D. Waiters misses 2-pt layup from 2 ft,18,12
1,5:45.0,Defensive rebound by D. Green,,18,12
1,5:32.0,D. Green misses 2-pt jump shot from 12 ft,,18,12
1,5:29.0,,Defensive rebound by B. Adebayo,18,12
1,5:26.0,,B. Adebayo misses 2-pt layup from 1 ft,18,12
1,5:26.0,Defensive rebound by P. Siakam,,18,12
1,5:21.0,D. Green makes 3-pt jump shot from 25 ft (assist by P. Siakam),,21,12
1,5:05.0,,D. Waiters misses 3-pt jump shot from 25 ft,21,12
1,5:03.0,Defensive rebound by P. McCaw,,21,12
1,5:00.0,Shooting foul by B. Adebayo (drawn by P. Siakam),,21,12
1,5:00.0,P. Siakam misses free throw 1 of 2,,21,12
1,5:00.0,Offensive rebound by Team,,21,12
1,5:00.0,M. Gasol enters the game for S. Ibaka,,21,12
1,5:00.0,J. Lin enters the game for K. Lowry,,21,12
1,5:00.0,,D. Jones enters the game for K. Olynyk,21,12
1,5:00.0,,D. Wade enters the game for J. Richardson,21,12
1,5:00.0,P. Siakam makes free throw 2 of 2,,22,12
1,4:42.0,,D. Wade makes 3-pt jump shot from 22 ft (assist by B. Adebayo),22,15
1,4:30.0,P. Siakam makes 2-pt layup from 2 ft (assist by D. Green),,24,15
1,4:06.0,,Turnover by D. Jones (lost ball; steal by M. Gasol),24,15
1,4:02.0,Personal foul by D. Waiters (drawn by P. Siakam),,24,15
1,4:02.0,,G. Dragić enters the game for B. Adebayo,24,15
1,4:02.0,,H. Whiteside enters the game for D. Waiters,24,15
1,3:53.0,Toronto full timeout,,24,15
1,3:45.0,D. Green misses 3-pt jump shot from 23 ft,,24,15
1,3:42.0,,Defensive rebound by G. Dragić,24,15
1,3:34.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by G. Dragić),24,17
1,3:21.0,P. McCaw misses 2-pt layup from 2 ft,,24,17
1,3:19.0,Offensive rebound by M. Gasol,,24,17
1,3:12.0,D. Green makes 3-pt jump shot from 25 ft (assist by P. McCaw),,27,17
1,3:12.0,N. Powell enters the game for P. McCaw,,27,17
1,2:47.0,,H. Whiteside makes 2-pt hook shot from 6 ft (assist by G. Dragić),27,19
1,2:32.0,M. Gasol misses 2-pt jump shot from 10 ft,,27,19
1,2:29.0,,Defensive rebound by G. Dragić,27,19
1,2:25.0,,Shooting foul by D. Green (drawn by G. Dragić),27,19
1,2:25.0,,G. Dragić misses free throw 1 of 3,27,19
1,2:25.0,,Offensive rebound by Team,27,19
1,2:25.0,,G. Dragić makes free throw 2 of 3,27,20
1,2:25.0,O. Anunoby enters the game for D. Green,,27,20
1,2:25.0,,J. Richardson enters the game for J. Winslow,27,20
1,2:25.0,,G. Dragić makes free throw 3 of 3,27,21
1,2:12.0,Turnover by P. Siakam (lost ball; steal by D. Wade),,27,21
1,2:05.0,,G. Dragić misses 3-pt jump shot from 26 ft,27,21
1,2:03.0,Defensive rebound by N. Powell,,27,21
1,1:53.0,N. Powell makes 3-pt jump shot from 26 ft (assist by P. Siakam),,30,21
1,1:36.0,,D. Wade makes 2-pt jump shot from 13 ft,30,23
1,1:19.0,J. Lin misses 2-pt jump shot from 17 ft,,30,23
1,1:17.0,,Defensive rebound by D. Wade,30,23
