QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
1,11:47.0,,E. Fournier makes 2-pt jump shot from 10 ft (assist by N. Vučević),0,2
1,11:31.0,Shooting foul by D. Augustin (drawn by E. Bledsoe),,0,2
1,11:31.0,E. Bledsoe misses free throw 1 of 2,,0,2
1,11:31.0,Offensive rebound by Team,,0,2
1,11:31.0,E. Bledsoe makes free throw 2 of 2,,1,2
1,11:19.0,,E. Fournier misses 2-pt jump shot from 10 ft (block by B. Lopez),1,2
1,11:19.0,,Offensive rebound by Team,1,2
1,11:11.0,,N. Vučević misses 2-pt jump shot from 13 ft,1,2
1,11:06.0,Defensive rebound by G. Antetokounmpo,,1,2
1,10:55.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Isaac),,1,2
1,10:39.0,,J. Isaac makes 2-pt jump shot from 10 ft (assist by D. Augustin),1,4
1,10:30.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,4,4
1,10:06.0,,Turnover by Team (shot clock),4,4
1,9:52.0,B. Lopez misses 3-pt jump shot from 25 ft,,4,4
1,9:50.0,,Defensive rebound by N. Vučević,4,4
1,9:45.0,,N. Vučević misses 3-pt jump shot from 26 ft,4,4
1,9:42.0,Defensive rebound by E. Bledsoe,,4,4
1,9:37.0,Shooting foul by J. Isaac (drawn by G. Antetokounmpo),,4,4
1,9:37.0,G. Antetokounmpo makes free throw 1 of 2,,5,4
1,9:37.0,G. Antetokounmpo makes free throw 2 of 2,,6,4
1,9:27.0,,N. Vučević misses 2-pt layup from 4 ft (block by B. Lopez),6,4
1,9:24.0,,Offensive rebound by J. Isaac,6,4
1,9:21.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by J. Isaac),6,7
1,9:16.0,Personal foul by J. Isaac (drawn by G. Antetokounmpo),,6,7
1,9:08.0,K. Middleton misses 2-pt jump shot from 14 ft,,6,7
1,9:05.0,,Defensive rebound by E. Fournier,6,7
1,8:58.0,,N. Vučević misses 2-pt hook shot from 10 ft,6,7
1,8:55.0,Defensive rebound by M. Brogdon,,6,7
1,8:46.0,K. Middleton misses 2-pt jump shot from 11 ft,,6,7
1,8:42.0,,Defensive rebound by J. Isaac,6,7
1,8:34.0,,N. Vučević makes 2-pt layup from 1 ft (assist by J. Simmons),6,9
1,8:18.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,8,9
1,8:02.0,,J. Isaac misses 3-pt jump shot from 25 ft,8,9
1,7:58.0,Defensive rebound by E. Bledsoe,,8,9
1,7:51.0,Milwaukee full timeout,,8,9
1,7:51.0,S. Brown enters the game for M. Brogdon,,8,9
