QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,TORONTO_ACTION,SAN ANTONIO_SCORE,TORONTO_SCORE
1,11:39.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by P. Siakam),0,3
1,11:23.0,Turnover by D. White (bad pass; steal by K. Leonard),,0,3
1,11:16.0,,Turnover by K. Leonard (bad pass; steal by R. Gay),0,3
1,11:03.0,R. Gay misses 3-pt jump shot from 27 ft,,0,3
1,11:00.0,,Defensive rebound by S. Ibaka,0,3
1,10:47.0,,S. Ibaka misses 2-pt layup from 2 ft (block by D. DeRozan),0,3
1,10:47.0,,Offensive rebound by Team,0,3
1,10:42.0,,K. Lowry misses 3-pt jump shot from 27 ft,0,3
1,10:39.0,Defensive rebound by R. Gay,,0,3
1,10:29.0,B. Forbes misses 3-pt jump shot from 23 ft (block by K. Leonard),,0,3
1,10:25.0,,Defensive rebound by P. Siakam,0,3
1,10:22.0,,P. Siakam makes 2-pt layup from 2 ft,0,5
1,10:11.0,D. DeRozan makes 2-pt layup from 1 ft,,2,5
1,10:11.0,Shooting foul by S. Ibaka (drawn by D. DeRozan),,2,5
1,10:11.0,D. DeRozan makes free throw 1 of 1,,3,5
1,9:57.0,,K. Leonard misses 2-pt jump shot from 19 ft,3,5
1,9:53.0,Defensive rebound by R. Gay,,3,5
1,9:46.0,L. Aldridge misses 2-pt jump shot from 15 ft,,3,5
1,9:44.0,,Defensive rebound by K. Lowry,3,5
1,9:41.0,,Shooting foul by D. White (drawn by K. Lowry),3,5
1,9:41.0,,K. Lowry makes free throw 1 of 2,3,6
1,9:41.0,,K. Lowry makes free throw 2 of 2,3,7
1,9:22.0,D. DeRozan misses 2-pt jump shot from 18 ft,,3,7
1,9:20.0,,Defensive rebound by K. Leonard,3,7
1,9:15.0,,K. Leonard misses 2-pt layup from 1 ft,3,7
1,9:13.0,,Offensive rebound by K. Leonard,3,7
1,9:12.0,,K. Leonard misses 2-pt layup from 2 ft (block by L. Aldridge),3,7
1,9:09.0,,Offensive rebound by K. Leonard,3,7
1,9:06.0,,K. Leonard makes 2-pt jump shot from 6 ft,3,9
1,8:53.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,6,9
1,8:40.0,,Turnover by K. Lowry (bad pass; steal by D. DeRozan),6,9
1,8:33.0,Turnover by D. DeRozan (bad pass; steal by P. Siakam),,6,9
1,8:27.0,,D. Green misses 3-pt jump shot from 24 ft,6,9
1,8:24.0,Defensive rebound by B. Forbes,,6,9
1,8:02.0,R. Gay makes 2-pt jump shot from 16 ft (assist by D. DeRozan),,8,9
1,7:45.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Lowry),8,12
1,7:24.0,Turnover by L. Aldridge (lost ball; steal by K. Lowry),,8,12
1,7:18.0,,K. Lowry misses 3-pt jump shot from 27 ft,8,12
1,7:15.0,Defensive rebound by D. White,,8,12
1,7:08.0,L. Aldridge makes 2-pt layup at rim (assist by D. White),,10,12
1,6:52.0,,Personal foul by R. Gay (drawn by K. Leonard),10,12
1,6:52.0,,Toronto full timeout,10,12
1,6:52.0,P. Mills enters the game for D. White,,10,12
1,6:52.0,,M. Gasol enters the game for S. Ibaka,10,12
1,6:38.0,,D. Green makes 3-pt jump shot from 25 ft (assist by M. Gasol),10,15
1,6:26.0,L. Aldridge misses 2-pt jump shot from 17 ft,,10,15
1,6:24.0,,Defensive rebound by D. Green,10,15
1,6:18.0,,M. Gasol misses 2-pt jump shot from 17 ft,10,15
1,6:16.0,Defensive rebound by R. Gay,,10,15
1,6:08.0,R. Gay makes 2-pt jump shot from 10 ft,,12,15
1,5:52.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by M. Gasol),12,18
1,5:35.0,P. Mills misses 3-pt jump shot from 26 ft,,12,18
1,5:33.0,,Defensive rebound by P. Siakam,12,18
1,5:22.0,,M. Gasol misses 2-pt jump shot from 20 ft,12,18
1,5:20.0,Defensive rebound by Team,,12,18
1,5:20.0,M. Belinelli enters the game for B. Forbes,,12,18
1,5:20.0,D. Bertāns enters the game for R. Gay,,12,18
1,5:02.0,P. Mills makes 2-pt layup from 2 ft (assist by M. Belinelli),,14,18
1,4:54.0,,K. Leonard misses 3-pt jump shot from 23 ft,14,18
1,4:52.0,Defensive rebound by L. Aldridge,,14,18
1,4:45.0,Turnover by M. Belinelli (bad pass; steal by K. Lowry),,14,18
1,4:39.0,,Turnover by K. Lowry (bad pass; steal by D. DeRozan),14,18
1,4:35.0,M. Belinelli misses 3-pt jump shot from 27 ft,,14,18
1,4:32.0,,Defensive rebound by D. Green,14,18
1,4:26.0,,K. Lowry misses 3-pt jump shot from 23 ft,14,18
1,4:24.0,,Offensive rebound by M. Gasol,14,18
1,4:13.0,,M. Gasol misses 2-pt jump shot from 8 ft,14,18
1,4:10.0,Defensive rebound by D. DeRozan,,14,18
1,4:05.0,Shooting foul by M. Gasol (drawn by D. DeRozan),,14,18
1,4:05.0,D. DeRozan makes free throw 1 of 2,,15,18
1,4:05.0,J. Poeltl enters the game for L. Aldridge,,15,18
1,4:05.0,,O. Anunoby enters the game for D. Green,15,18
1,4:05.0,,J. Lin enters the game for P. Siakam,15,18
1,4:05.0,D. DeRozan makes free throw 2 of 2,,16,18
1,3:52.0,,Offensive foul by M. Gasol (drawn by J. Poeltl),16,18
1,3:52.0,,Turnover by M. Gasol (offensive foul),16,18
1,3:52.0,,S. Ibaka enters the game for M. Gasol,16,18
1,3:40.0,D. DeRozan misses 2-pt jump shot from 16 ft,,16,18
1,3:39.0,Offensive rebound by Team,,16,18
1,3:39.0,,Loose ball foul by K. Leonard (drawn by J. Poeltl),16,18
1,3:34.0,Turnover by D. DeRozan (bad pass; steal by J. Lin),,16,18
1,3:23.0,,O. Anunoby makes 3-pt jump shot from 24 ft (assist by K. Lowry),16,21
1,3:22.0,San Antonio full timeout,,16,21
1,3:22.0,,P. McCaw enters the game for K. Leonard,16,21
1,3:12.0,Offensive foul by J. Poeltl (drawn by O. Anunoby),,16,21
1,3:12.0,Turnover by J. Poeltl (offensive foul),,16,21
1,3:12.0,B. Forbes enters the game for D. DeRozan,,16,21
1,2:59.0,,Turnover by K. Lowry (bad pass; steal by J. Poeltl),16,21
1,2:52.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by B. Forbes),,19,21
1,2:24.0,,J. Lin misses 3-pt jump shot from 25 ft,19,21
1,2:21.0,Defensive rebound by M. Belinelli,,19,21
1,2:15.0,Shooting foul by P. McCaw (drawn by P. Mills),,19,21
1,2:15.0,P. Mills makes free throw 1 of 2,,20,21
1,2:15.0,,N. Powell enters the game for K. Lowry,20,21
1,2:15.0,P. Mills makes free throw 2 of 2,,21,21
1,2:00.0,,J. Lin misses 2-pt layup from 1 ft (block by J. Poeltl),21,21
1,1:57.0,Defensive rebound by P. Mills,,21,21
1,1:54.0,B. Forbes misses 3-pt jump shot from 26 ft,,21,21
1,1:50.0,,Defensive rebound by J. Lin,21,21
1,1:45.0,,N. Powell misses 2-pt layup from 1 ft,21,21
1,1:41.0,,Offensive rebound by S. Ibaka,21,21
1,1:41.0,,S. Ibaka misses 2-pt layup at rim,21,21
1,1:40.0,Defensive rebound by D. Bertāns,,21,21
1,1:36.0,M. Belinelli misses 3-pt jump shot from 27 ft,,21,21
1,1:35.0,,Defensive rebound by S. Ibaka,21,21
1,1:20.0,,J. Lin misses 3-pt jump shot from 23 ft (block by J. Poeltl),21,21
1,1:16.0,Defensive rebound by P. Mills,,21,21
1,1:10.0,M. Belinelli misses 2-pt jump shot from 11 ft,,21,21
1,1:07.0,Offensive rebound by J. Poeltl,,21,21
1,1:00.0,B. Forbes makes 2-pt jump shot from 19 ft,,23,21
1,0:45.0,,S. Ibaka misses 2-pt hook shot from 8 ft,23,21
1,0:43.0,,Offensive rebound by S. Ibaka,23,21
1,0:43.0,,S. Ibaka makes 2-pt hook shot from 1 ft,23,23
1,0:35.0,P. Mills misses 3-pt jump shot from 27 ft,,23,23
1,0:32.0,,Defensive rebound by P. McCaw,23,23
1,0:25.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by J. Lin),23,26
1,0:07.0,Turnover by M. Belinelli (traveling),,23,26
1,0:02.0,,J. Lin misses 3-pt jump shot from 29 ft,23,26
1,0:02.0,Defensive rebound by J. Poeltl,,23,26
2,11:44.0,D. White misses 3-pt jump shot from 26 ft,,23,26
2,11:42.0,,Defensive rebound by N. Powell,23,26
2,11:31.0,,M. Gasol misses 2-pt jump shot from 10 ft,23,26
2,11:28.0,Defensive rebound by L. Aldridge,,23,26
2,11:16.0,D. White misses 2-pt jump shot from 3 ft,,23,26
2,11:13.0,Offensive rebound by M. Belinelli,,23,26
2,11:10.0,M. Belinelli misses 3-pt jump shot from 24 ft,,23,26
2,11:08.0,,Defensive rebound by N. Powell,23,26
2,11:03.0,,N. Powell misses 2-pt layup from 2 ft,23,26
2,11:01.0,Defensive rebound by M. Belinelli,,23,26
2,10:48.0,D. White misses 2-pt jump shot from 4 ft,,23,26
2,10:46.0,,Defensive rebound by M. Gasol,23,26
2,10:38.0,,P. McCaw misses 3-pt jump shot from 26 ft,23,26
2,10:34.0,Defensive rebound by D. White,,23,26
2,10:16.0,L. Aldridge misses 2-pt jump shot from 15 ft,,23,26
2,10:14.0,,Defensive rebound by P. McCaw,23,26
2,10:06.0,,N. Powell makes 2-pt layup from 1 ft (assist by M. Gasol),23,28
2,10:06.0,San Antonio full timeout,,23,28
2,10:06.0,D. DeRozan enters the game for M. Belinelli,,23,28
2,9:47.0,R. Gay makes 2-pt jump shot from 10 ft,,25,28
2,9:35.0,,Shooting foul by L. Aldridge (drawn by J. Lin),25,28
2,9:35.0,,J. Lin makes free throw 1 of 2,25,29
2,9:35.0,,J. Lin makes free throw 2 of 2,25,30
2,9:24.0,Personal foul by M. Gasol (drawn by L. Aldridge),,25,30
2,9:24.0,,S. Ibaka enters the game for M. Gasol,25,30
2,9:13.0,D. White misses 3-pt jump shot from 26 ft,,25,30
2,9:10.0,Offensive rebound by R. Gay,,25,30
2,9:04.0,D. DeRozan makes 2-pt layup from 1 ft (assist by L. Aldridge),,27,30
2,8:43.0,,O. Anunoby makes 3-pt jump shot from 26 ft (assist by P. McCaw),27,33
2,8:29.0,Personal foul by O. Anunoby (drawn by D. Bertāns),,27,33
2,8:29.0,,P. Siakam enters the game for P. McCaw,27,33
2,8:23.0,D. DeRozan makes 2-pt jump shot from 12 ft,,29,33
2,8:07.0,,Turnover by P. Siakam (bad pass; steal by D. Bertāns),29,33
2,8:03.0,D. Bertāns makes 3-pt jump shot from 27 ft,,32,33
2,7:47.0,,P. Siakam misses 2-pt jump shot from 6 ft,32,33
2,7:44.0,Defensive rebound by D. White,,32,33
2,7:32.0,D. Bertāns misses 2-pt jump shot from 9 ft,,32,33
2,7:30.0,Offensive rebound by L. Aldridge,,32,33
2,7:30.0,Shooting foul by P. Siakam (drawn by L. Aldridge),,32,33
2,7:30.0,L. Aldridge makes free throw 1 of 2,,33,33
2,7:30.0,M. Belinelli enters the game for D. Bertāns,,33,33
2,7:30.0,P. Mills enters the game for D. White,,33,33
2,7:30.0,,D. Green enters the game for O. Anunoby,33,33
2,7:30.0,,K. Leonard enters the game for N. Powell,33,33
2,7:30.0,L. Aldridge makes free throw 2 of 2,,34,33
2,7:19.0,,K. Leonard misses 2-pt jump shot from 3 ft,34,33
2,7:17.0,,Offensive rebound by S. Ibaka,34,33
2,7:17.0,,S. Ibaka misses 2-pt layup from 4 ft,34,33
