QUARTER,TIME_REMAINING,BROOKLYN_ACTION,GOLDEN STATE_ACTION,BROOKLYN_SCORE,GOLDEN STATE_SCORE
1,11:43.0,D. Russell makes 2-pt jump shot from 12 ft,,2,0
1,11:22.0,,K. Durant misses 2-pt jump shot from 18 ft,2,0
1,11:21.0,Defensive rebound by J. Dudley,,2,0
1,11:13.0,Personal foul by K. Thompson (drawn by J. Allen),,2,0
1,11:10.0,D. Russell makes 3-pt jump shot from 29 ft (assist by J. Harris),,5,0
1,10:52.0,,Personal foul by J. Allen (drawn by D. Jones),5,0
1,10:47.0,,K. Thompson misses 3-pt jump shot from 26 ft,5,0
1,10:45.0,,Offensive rebound by K. Durant,5,0
1,10:39.0,,K. Durant makes 2-pt layup from 3 ft,5,2
1,10:29.0,J. Harris misses 3-pt jump shot from 23 ft,,5,2
1,10:27.0,,Defensive rebound by J. Jerebko,5,2
1,10:24.0,,Turnover by K. Thompson (out of bounds lost ball),5,2
1,10:09.0,Turnover by J. Dudley (bad pass; steal by K. Durant),,5,2
1,10:05.0,,K. Thompson misses 2-pt layup from 2 ft,5,2
1,10:04.0,Defensive rebound by D. Russell,,5,2
1,9:57.0,J. Harris misses 2-pt layup from 3 ft (block by D. Jones),,5,2
1,9:55.0,,Defensive rebound by Q. Cook,5,2
1,9:50.0,,K. Thompson makes 2-pt layup from 3 ft (assist by Q. Cook),5,4
1,9:39.0,Shooting foul by K. Thompson (drawn by C. LeVert),,5,4
1,9:39.0,,Technical foul by K. Thompson,5,4
1,9:39.0,D. Russell makes technical free throw,,6,4
1,9:39.0,C. LeVert misses free throw 1 of 2,,6,4
1,9:39.0,Offensive rebound by Team,,6,4
1,9:39.0,C. LeVert makes free throw 2 of 2,,7,4
1,9:26.0,,Q. Cook makes 2-pt jump shot from 19 ft (assist by K. Durant),7,6
1,9:12.0,Shooting foul by D. Jones (drawn by J. Harris),,7,6
1,9:12.0,J. Harris makes free throw 1 of 2,,8,6
1,9:12.0,J. Harris makes free throw 2 of 2,,9,6
1,8:58.0,,Q. Cook makes 2-pt jump shot from 17 ft,9,8
1,8:50.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),,11,8
1,8:48.0,,Golden State full timeout,11,8
