QUARTER,TIME_REMAINING,UTAH_ACTION,PHILADELPHIA_ACTION,UTAH_SCORE,PHILADELPHIA_SCORE
1,11:46.0,J. Ingles misses 2-pt jump shot from 8 ft,,0,0
1,11:44.0,Offensive rebound by R. Gobert,,0,0
1,11:44.0,R. Gobert makes 2-pt dunk from 1 ft,,2,0
1,11:25.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),2,2
1,11:09.0,Turnover by D. Mitchell (bad pass; steal by J. Embiid),,2,2
1,11:05.0,,Shooting foul by D. Mitchell (drawn by B. Simmons),2,2
1,11:05.0,,B. Simmons misses free throw 1 of 2,2,2
1,11:05.0,,Offensive rebound by Team,2,2
1,11:05.0,,B. Simmons makes free throw 2 of 2,2,3
1,10:55.0,D. Mitchell misses 2-pt jump shot from 20 ft,,2,3
1,10:52.0,,Defensive rebound by B. Simmons,2,3
1,10:43.0,,J. Redick makes 2-pt layup from 4 ft (assist by J. Embiid),2,5
1,10:34.0,Turnover by R. Rubio (bad pass),,2,5
1,10:25.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by B. Simmons),2,8
1,10:13.0,J. Ingles misses 3-pt jump shot from 26 ft,,2,8
1,10:09.0,,Defensive rebound by B. Simmons,2,8
1,10:00.0,,J. Embiid makes 2-pt jump shot from 3 ft,2,10
1,10:00.0,Utah full timeout,,2,10
1,9:40.0,Shooting foul by J. Redick (drawn by R. Rubio),,2,10
1,9:40.0,R. Rubio misses free throw 1 of 2,,2,10
1,9:40.0,Offensive rebound by Team,,2,10
1,9:40.0,R. Rubio misses free throw 2 of 2,,2,10
1,9:38.0,,Defensive rebound by J. Embiid,2,10
1,9:25.0,,J. Embiid makes 2-pt jump shot from 8 ft,2,12
1,9:04.0,R. Gobert misses 2-pt jump shot from 9 ft,,2,12
1,9:01.0,Offensive rebound by D. Favors,,2,12
1,8:56.0,D. Mitchell makes 2-pt jump shot from 8 ft,,4,12
1,8:39.0,,Turnover by J. Butler (off goaltending),4,12
1,8:28.0,D. Mitchell misses 2-pt layup from 6 ft (block by J. Embiid),,4,12
1,8:27.0,,Defensive rebound by J. Embiid,4,12
1,8:27.0,,Personal foul by R. Gobert (drawn by J. Embiid),4,12
1,8:16.0,,Shooting foul by J. Ingles (drawn by J. Embiid),4,12
1,8:16.0,,J. Embiid makes free throw 1 of 2,4,13
1,8:16.0,J. Crowder enters the game for D. Favors,,4,13
1,8:16.0,,J. Embiid makes free throw 2 of 2,4,14
1,7:52.0,D. Mitchell misses 3-pt jump shot from 26 ft,,4,14
1,7:49.0,,Defensive rebound by J. Embiid,4,14
1,7:37.0,,W. Chandler makes 2-pt jump shot from 6 ft,4,16
1,7:24.0,Personal foul by W. Chandler (drawn by J. Crowder),,4,16
1,7:24.0,,A. Johnson enters the game for W. Chandler,4,16
1,7:24.0,,M. Muscala enters the game for J. Embiid,4,16
1,7:24.0,,L. Shamet enters the game for J. Redick,4,16
1,7:17.0,J. Ingles makes 2-pt layup from 3 ft (assist by R. Gobert),,6,16
1,6:58.0,,M. Muscala makes 3-pt jump shot from 23 ft (assist by J. Butler),6,19
1,6:40.0,D. Mitchell misses 2-pt jump shot from 14 ft,,6,19
1,6:38.0,,Defensive rebound by B. Simmons,6,19
1,6:33.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),6,21
1,6:20.0,Shooting foul by A. Johnson (drawn by R. Gobert),,6,21
1,6:20.0,R. Gobert makes free throw 1 of 2,,7,21
1,6:20.0,A. Burks enters the game for D. Mitchell,,7,21
1,6:20.0,R. Gobert makes free throw 2 of 2,,8,21
1,6:04.0,,B. Simmons misses 2-pt jump shot from 6 ft,8,21
1,6:03.0,Defensive rebound by A. Burks,,8,21
1,6:03.0,Personal foul by A. Johnson (drawn by R. Gobert),,8,21
1,6:03.0,D. Favors enters the game for R. Gobert,,8,21
1,5:56.0,Personal foul by B. Simmons (drawn by D. Favors),,8,21
1,5:56.0,D. Favors makes free throw 1 of 2,,9,21
1,5:56.0,D. Favors misses free throw 2 of 2,,9,21
1,5:54.0,,Defensive rebound by B. Simmons,9,21
1,5:46.0,,Offensive foul by J. Butler (drawn by J. Ingles),9,21
1,5:46.0,,Turnover by J. Butler (offensive foul),9,21
1,5:36.0,Shooting foul by L. Shamet (drawn by R. Rubio),,9,21
1,5:36.0,R. Rubio misses free throw 1 of 2,,9,21
1,5:36.0,Offensive rebound by Team,,9,21
1,5:36.0,R. Rubio makes free throw 2 of 2,,10,21
1,5:19.0,,L. Shamet makes 3-pt jump shot from 24 ft (assist by J. Butler),10,24
1,5:12.0,Personal foul by M. Muscala (drawn by J. Crowder),,10,24
1,5:12.0,J. Crowder makes free throw 1 of 2,,11,24
1,5:12.0,J. Crowder makes free throw 2 of 2,,12,24
1,5:01.0,,Turnover by L. Shamet (bad pass),12,24
1,4:52.0,J. Crowder misses 2-pt layup from 3 ft,,12,24
1,4:50.0,Offensive rebound by Team,,12,24
1,4:34.0,J. Ingles misses 2-pt jump shot from 20 ft,,12,24
1,4:31.0,,Defensive rebound by B. Simmons,12,24
1,4:29.0,,Shooting foul by A. Burks (drawn by B. Simmons),12,24
1,4:29.0,,B. Simmons makes free throw 1 of 2,12,25
1,4:29.0,,B. Simmons misses free throw 2 of 2,12,25
1,4:28.0,Defensive rebound by J. Crowder,,12,25
1,4:21.0,R. Rubio makes 3-pt jump shot from 26 ft,,15,25
1,3:58.0,,A. Johnson makes 3-pt jump shot from 26 ft (assist by B. Simmons),15,28
1,3:36.0,D. Favors makes 2-pt layup from 3 ft (assist by A. Burks),,17,28
1,3:36.0,,Philadelphia full timeout,17,28
1,3:36.0,D. Exum enters the game for J. Ingles,,17,28
1,3:36.0,R. O'Neale enters the game for R. Rubio,,17,28
1,3:36.0,,J. Embiid enters the game for J. Butler,17,28
1,3:36.0,,M. Fultz enters the game for A. Johnson,17,28
1,3:36.0,,F. Korkmaz enters the game for L. Shamet,17,28
1,3:36.0,,J. Redick enters the game for B. Simmons,17,28
1,3:20.0,,M. Fultz makes 2-pt jump shot from 19 ft,17,30
1,3:01.0,D. Favors makes 2-pt dunk at rim (assist by D. Exum),,19,30
1,2:40.0,,M. Muscala makes 3-pt jump shot from 23 ft (assist by M. Fultz),19,33
1,2:29.0,Shooting foul by F. Korkmaz (drawn by J. Crowder),,19,33
1,2:29.0,J. Crowder misses free throw 1 of 2,,19,33
1,2:29.0,Offensive rebound by Team,,19,33
1,2:29.0,R. Gobert enters the game for D. Favors,,19,33
1,2:29.0,J. Crowder makes free throw 2 of 2,,20,33
1,2:21.0,,Personal foul by R. O'Neale (drawn by M. Fultz),20,33
1,2:21.0,,M. Fultz makes free throw 1 of 2,20,34
1,2:21.0,,M. Fultz misses free throw 2 of 2,20,34
1,2:19.0,Defensive rebound by R. Gobert,,20,34
1,2:12.0,Turnover by D. Exum (lost ball; steal by M. Muscala),,20,34
1,1:58.0,,Shooting foul by A. Burks (drawn by J. Embiid),20,34
1,1:58.0,,J. Embiid makes free throw 1 of 2,20,35
