QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA LAKERS_ACTION,NEW ORLEANS_SCORE,LA LAKERS_SCORE
4,3:01.0,Defensive rebound by J. Randle,,104,109
4,2:46.0,E. Moore misses 2-pt jump shot from 14 ft,,104,109
4,2:46.0,,Defensive rebound by Team,104,109
4,2:26.0,,L. James makes 2-pt layup from 3 ft,104,111
4,2:03.0,E. Moore misses 2-pt jump shot from 7 ft,,104,111
4,2:01.0,,Defensive rebound by Team,104,111
4,1:38.0,,L. James misses 2-pt layup from 2 ft,104,111
4,1:36.0,Defensive rebound by D. Miller,,104,111
4,1:36.0,Personal foul by L. James (drawn by A. Davis),,104,111
4,1:36.0,A. Davis misses free throw 1 of 2,,104,111
4,1:36.0,Offensive rebound by Team,,104,111
4,1:36.0,A. Davis misses free throw 2 of 2,,104,111
4,1:34.0,,Defensive rebound by I. Zubac,104,111
4,1:19.0,,L. James misses 2-pt layup from 4 ft (block by J. Holiday),104,111
4,1:19.0,,Offensive rebound by Team,104,111
4,1:19.0,,LA Lakers full timeout,104,111
4,1:13.0,,L. James misses 3-pt jump shot from 26 ft,104,111
4,1:08.0,,Offensive rebound by L. James,104,111
4,1:08.0,,Shooting foul by J. Randle (drawn by L. James),104,111
4,1:08.0,,L. James misses free throw 1 of 2,104,111
4,1:08.0,,Offensive rebound by Team,104,111
4,1:08.0,,L. James misses free throw 2 of 2,104,111
4,1:06.0,Defensive rebound by J. Holiday,,104,111
4,0:57.0,J. Randle misses 2-pt layup from 3 ft (block by I. Zubac),,104,111
4,0:53.0,,Defensive rebound by L. Ball,104,111
4,0:38.0,,K. Kuzma misses 3-pt jump shot from 28 ft,104,111
4,0:36.0,Defensive rebound by A. Davis,,104,111
4,0:36.0,New Orleans full timeout,,104,111
4,0:34.0,J. Holiday misses 3-pt jump shot from 24 ft,,104,111
4,0:31.0,,Defensive rebound by B. Ingram,104,111
4,0:31.0,,Personal take foul by E. Moore (drawn by B. Ingram),104,111
4,0:31.0,,B. Ingram makes free throw 1 of 2,104,112
4,0:31.0,,B. Ingram misses free throw 2 of 2,104,112
4,0:30.0,Defensive rebound by J. Randle,,104,112
4,0:25.0,D. Miller misses 3-pt jump shot from 26 ft,,104,112
4,0:23.0,,Defensive rebound by L. Ball,104,112
4,0:02.0,,Turnover by Team (shot clock),104,112
