QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
1,11:57.0,Shooting foul by M. Muscala (drawn by D. Green),,0,0
1,11:57.0,D. Green makes free throw 1 of 2,,1,0
1,11:57.0,D. Green makes free throw 2 of 2,,2,0
1,11:40.0,,J. Embiid misses 2-pt jump shot from 12 ft,2,0
1,11:37.0,,Offensive rebound by B. Simmons,2,0
1,11:37.0,,B. Simmons makes 2-pt layup from 1 ft,2,2
1,11:14.0,P. Siakam misses 2-pt layup from 1 ft,,2,2
1,11:12.0,,Defensive rebound by J. Embiid,2,2
1,11:10.0,,Shooting foul by G. Monroe (drawn by B. Simmons),2,2
1,11:10.0,,B. Simmons misses free throw 1 of 2,2,2
1,11:10.0,,Offensive rebound by Team,2,2
1,11:10.0,,B. Simmons makes free throw 2 of 2,2,3
1,11:00.0,K. Lowry misses 3-pt jump shot from 28 ft,,2,3
1,10:56.0,,Defensive rebound by B. Simmons,2,3
1,10:53.0,,J. Redick misses 3-pt jump shot from 26 ft,2,3
1,10:50.0,Defensive rebound by K. Lowry,,2,3
1,10:36.0,P. Siakam misses 3-pt jump shot from 27 ft,,2,3
1,10:32.0,,Defensive rebound by J. Redick,2,3
1,10:21.0,,Shooting foul by K. Lowry (drawn by J. Butler),2,3
1,10:21.0,,J. Butler makes free throw 1 of 2,2,4
1,10:21.0,,J. Butler makes free throw 2 of 2,2,5
1,10:08.0,G. Monroe makes 2-pt layup from 3 ft (assist by K. Lowry),,4,5
1,9:53.0,,J. Embiid makes 2-pt jump shot from 21 ft (assist by B. Simmons),4,7
1,9:46.0,Turnover by D. Green (bad pass; steal by J. Butler),,4,7
1,9:43.0,,J. Butler misses 2-pt layup from 2 ft,4,7
1,9:41.0,Defensive rebound by D. Green,,4,7
1,9:40.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Lowry),,6,7
1,9:40.0,Shooting foul by M. Muscala (drawn by P. Siakam),,6,7
1,9:40.0,,T. McConnell enters the game for M. Muscala,6,7
1,9:40.0,P. Siakam makes free throw 1 of 1,,7,7
1,9:30.0,,J. Embiid misses 2-pt jump shot from 20 ft,7,7
1,9:27.0,Defensive rebound by K. Lowry,,7,7
1,9:22.0,K. Lowry makes 2-pt jump shot from 20 ft,,9,7
1,8:58.0,,T. McConnell misses 2-pt jump shot from 14 ft,9,7
1,8:56.0,Defensive rebound by D. Green,,9,7
1,8:50.0,D. Green misses 3-pt jump shot from 25 ft,,9,7
1,8:47.0,,Defensive rebound by J. Butler,9,7
1,8:41.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Butler),9,9
1,8:22.0,D. Green misses 2-pt jump shot from 19 ft (block by J. Butler),,9,9
1,8:19.0,,Defensive rebound by B. Simmons,9,9
1,8:17.0,,T. McConnell misses 3-pt jump shot from 24 ft,9,9
1,8:14.0,Defensive rebound by O. Anunoby,,9,9
1,8:08.0,P. Siakam makes 2-pt layup from 2 ft (assist by G. Monroe),,11,9
1,7:57.0,,J. Butler makes 2-pt layup from 1 ft (assist by T. McConnell),11,11
1,7:47.0,K. Lowry misses 3-pt jump shot from 28 ft,,11,11
1,7:45.0,,Defensive rebound by J. Embiid,11,11
1,7:36.0,,B. Simmons misses 2-pt layup at rim,11,11
1,7:34.0,Defensive rebound by K. Lowry,,11,11
1,7:23.0,D. Green misses 2-pt layup from 2 ft,,11,11
1,7:18.0,Offensive rebound by G. Monroe,,11,11
1,7:18.0,G. Monroe makes 2-pt layup from 1 ft,,13,11
1,7:02.0,,J. Butler misses 2-pt jump shot from 6 ft,13,11
1,7:00.0,Defensive rebound by G. Monroe,,13,11
1,6:54.0,Personal foul by B. Simmons (drawn by K. Lowry),,13,11
1,6:54.0,,Philadelphia full timeout,13,11
1,6:54.0,,J. Bolden enters the game for J. Embiid,13,11
1,6:54.0,,L. Shamet enters the game for J. Redick,13,11
1,6:48.0,G. Monroe misses 2-pt jump shot from 9 ft (block by J. Bolden),,13,11
1,6:44.0,,Defensive rebound by J. Bolden,13,11
1,6:40.0,,T. McConnell misses 2-pt jump shot from 15 ft,13,11
1,6:40.0,,Offensive rebound by J. Bolden,13,11
1,6:35.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Bolden),13,13
1,6:24.0,O. Anunoby misses 2-pt jump shot from 3 ft,,13,13
1,6:23.0,,Defensive rebound by B. Simmons,13,13
1,6:18.0,,J. Bolden misses 3-pt jump shot from 26 ft,13,13
1,6:16.0,Defensive rebound by Team,,13,13
1,6:03.0,Turnover by O. Anunoby (traveling),,13,13
1,6:03.0,F. VanVleet enters the game for G. Monroe,,13,13
1,5:51.0,,J. Butler misses 2-pt layup from 1 ft,13,13
1,5:47.0,,Offensive rebound by J. Butler,13,13
1,5:47.0,,J. Butler makes 2-pt layup at rim,13,15
1,5:41.0,D. Green misses 2-pt layup from 4 ft (block by J. Bolden),,13,15
1,5:37.0,,Defensive rebound by J. Bolden,13,15
1,5:35.0,,Turnover by B. Simmons (bad pass),13,15
1,5:20.0,P. Siakam makes 2-pt layup from 2 ft,,15,15
1,5:12.0,,Shooting foul by O. Anunoby (drawn by B. Simmons),15,15
1,5:12.0,,B. Simmons misses free throw 1 of 2,15,15
1,5:12.0,,Offensive rebound by Team,15,15
1,5:12.0,,B. Simmons makes free throw 2 of 2,15,16
1,5:02.0,P. Siakam misses 2-pt layup from 3 ft,,15,16
1,5:00.0,,Defensive rebound by J. Butler,15,16
1,4:56.0,,L. Shamet misses 3-pt jump shot from 25 ft,15,16
1,4:56.0,,Offensive rebound by Team,15,16
1,4:54.0,Loose ball foul by D. Green (drawn by J. Butler),,15,16
1,4:46.0,,Shooting foul by D. Green (drawn by J. Butler),15,16
1,4:46.0,,J. Butler makes free throw 1 of 2,15,17
1,4:46.0,N. Powell enters the game for D. Green,,15,17
1,4:46.0,,J. Butler makes free throw 2 of 2,15,18
1,4:25.0,K. Lowry misses 2-pt jump shot from 10 ft (block by J. Bolden),,15,18
1,4:22.0,Offensive rebound by P. Siakam,,15,18
1,4:21.0,P. Siakam misses 3-pt jump shot from 26 ft,,15,18
1,4:19.0,,Defensive rebound by B. Simmons,15,18
1,4:14.0,,J. Butler misses 3-pt jump shot from 25 ft,15,18
1,4:10.0,Defensive rebound by P. Siakam,,15,18
1,4:04.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Lowry),,17,18
1,3:52.0,,Technical foul by J. Butler,17,18
1,3:52.0,K. Lowry makes technical free throw,,18,18
1,3:37.0,,Turnover by Team (shot clock),18,18
1,3:23.0,Personal foul by T. McConnell (drawn by P. Siakam),,18,18
1,3:23.0,Toronto full timeout,,18,18
1,3:23.0,G. Monroe enters the game for P. Siakam,,18,18
1,3:23.0,,J. Embiid enters the game for J. Butler,18,18
1,3:23.0,,F. Korkmaz enters the game for L. Shamet,18,18
1,3:23.0,,J. Redick enters the game for B. Simmons,18,18
1,3:18.0,K. Lowry makes 3-pt jump shot from 28 ft (assist by O. Anunoby),,21,18
1,3:05.0,,Turnover by F. Korkmaz (lost ball; steal by K. Lowry),21,18
1,3:01.0,K. Lowry makes 2-pt layup from 2 ft,,23,18
1,2:42.0,,J. Redick misses 2-pt jump shot from 20 ft,23,18
1,2:38.0,Defensive rebound by N. Powell,,23,18
1,2:33.0,Personal foul by T. McConnell (drawn by K. Lowry),,23,18
1,2:33.0,K. Lowry makes free throw 1 of 2,,24,18
1,2:33.0,C. Miles enters the game for O. Anunoby,,24,18
1,2:33.0,K. Lowry makes free throw 2 of 2,,25,18
1,2:24.0,,Personal foul by G. Monroe (drawn by J. Embiid),25,18
1,2:24.0,,J. Embiid misses free throw 1 of 2,25,18
1,2:24.0,,Offensive rebound by Team,25,18
1,2:24.0,D. Wright enters the game for K. Lowry,,25,18
1,2:24.0,,J. Embiid makes free throw 2 of 2,25,19
1,2:06.0,D. Wright misses 3-pt jump shot from 24 ft,,25,19
1,2:02.0,Offensive rebound by G. Monroe,,25,19
1,2:01.0,G. Monroe misses 2-pt layup from 3 ft (block by J. Embiid),,25,19
1,1:58.0,,Defensive rebound by F. Korkmaz,25,19
1,1:55.0,,J. Embiid makes 2-pt dunk at rim (assist by J. Redick),25,21
1,1:30.0,Turnover by C. Miles (bad pass; steal by F. Korkmaz),,25,21
1,1:29.0,,Personal take foul by C. Miles (drawn by F. Korkmaz),25,21
1,1:29.0,,F. Korkmaz makes free throw 1 of 2,25,22
1,1:29.0,,F. Korkmaz makes free throw 2 of 2,25,23
1,1:14.0,C. Miles misses 3-pt jump shot from 25 ft,,25,23
1,1:12.0,,Defensive rebound by F. Korkmaz,25,23
1,1:01.0,,J. Embiid makes 2-pt layup from 2 ft (assist by T. McConnell),25,25
1,0:53.0,F. VanVleet misses 2-pt layup from 2 ft,,25,25
1,0:51.0,,Defensive rebound by J. Redick,25,25
1,0:34.0,,Shooting foul by C. Miles (drawn by J. Embiid),25,25
1,0:34.0,,J. Embiid makes free throw 1 of 2,25,26
1,0:34.0,,J. Embiid makes free throw 2 of 2,25,27
1,0:30.0,F. VanVleet makes 3-pt jump shot from 28 ft,,28,27
1,0:10.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by T. McConnell),28,29
1,0:02.0,F. VanVleet makes 2-pt jump shot from 20 ft,,30,29
2,11:47.0,,Shooting foul by G. Monroe (drawn by J. Embiid),30,29
2,11:47.0,,J. Embiid makes free throw 1 of 2,30,30
2,11:47.0,P. Siakam enters the game for G. Monroe,,30,30
2,11:47.0,,J. Embiid makes free throw 2 of 2,30,31
2,11:32.0,P. Siakam misses 3-pt jump shot from 27 ft,,30,31
2,11:26.0,,Defensive rebound by J. Embiid,30,31
2,11:21.0,,J. Bolden makes 2-pt dunk from 1 ft (assist by T. McConnell),30,33
2,11:06.0,F. VanVleet makes 2-pt jump shot from 21 ft,,32,33
2,10:40.0,,T. McConnell misses 2-pt jump shot from 15 ft,32,33
2,10:39.0,Defensive rebound by Team,,32,33
2,10:39.0,,Loose ball foul by J. Embiid (drawn by N. Powell),32,33
2,10:39.0,,Technical foul by J. Embiid,32,33
2,10:39.0,N. Powell makes technical free throw,,33,33
2,10:28.0,F. VanVleet makes 3-pt jump shot from 27 ft (assist by P. Siakam),,36,33
2,10:15.0,,Turnover by J. Embiid (bad pass; steal by D. Wright),36,33
2,10:13.0,P. Siakam makes 2-pt dunk from 1 ft (assist by D. Wright),,38,33
2,10:13.0,,Philadelphia full timeout,38,33
2,10:13.0,O. Anunoby enters the game for C. Miles,,38,33
2,9:57.0,,J. Butler misses 2-pt jump shot from 6 ft,38,33
2,9:55.0,Defensive rebound by P. Siakam,,38,33
2,9:48.0,F. VanVleet misses 2-pt jump shot from 21 ft,,38,33
2,9:43.0,,Defensive rebound by T. McConnell,38,33
2,9:40.0,,T. McConnell misses 2-pt layup from 2 ft,38,33
2,9:40.0,,Offensive rebound by J. Embiid,38,33
2,9:40.0,,J. Embiid makes 2-pt layup from 1 ft,38,35
2,9:40.0,,Shooting foul by O. Anunoby (drawn by J. Embiid),38,35
2,9:40.0,,J. Embiid makes free throw 1 of 1,38,36
2,9:24.0,P. Siakam misses 2-pt hook shot from 2 ft,,38,36
2,9:22.0,,Defensive rebound by J. Embiid,38,36
2,9:17.0,,J. Bolden misses 2-pt layup at rim,38,36
2,9:14.0,Defensive rebound by D. Wright,,38,36
2,9:07.0,P. Siakam misses 3-pt jump shot from 24 ft,,38,36
2,9:03.0,,Defensive rebound by J. Embiid,38,36
2,8:58.0,,J. Redick makes 3-pt jump shot from 28 ft (assist by T. McConnell),38,39
2,8:58.0,D. Green enters the game for N. Powell,,38,39
2,8:58.0,K. Lowry enters the game for F. VanVleet,,38,39
2,8:58.0,,L. Shamet enters the game for T. McConnell,38,39
2,8:58.0,,B. Simmons enters the game for J. Redick,38,39
2,8:35.0,P. Siakam makes 2-pt jump shot from 21 ft (assist by K. Lowry),,40,39
2,8:21.0,,Turnover by J. Bolden (bad pass),40,39
2,8:16.0,Shooting foul by J. Bolden (drawn by D. Wright),,40,39
2,8:16.0,D. Wright makes free throw 1 of 2,,41,39
2,8:16.0,D. Wright makes free throw 2 of 2,,42,39
2,8:05.0,,Turnover by J. Butler (bad pass; steal by P. Siakam),42,39
2,7:52.0,O. Anunoby makes 3-pt jump shot from 27 ft (assist by D. Wright),,45,39
2,7:30.0,,J. Embiid makes 2-pt layup from 1 ft,45,41
2,7:17.0,Personal foul by L. Shamet (drawn by D. Wright),,45,41
2,7:17.0,,M. Muscala enters the game for J. Embiid,45,41
2,7:08.0,K. Lowry misses 2-pt layup from 2 ft,,45,41
2,7:06.0,,Defensive rebound by J. Bolden,45,41
2,7:02.0,,J. Butler makes 2-pt dunk from 1 ft (assist by B. Simmons),45,43
2,6:38.0,D. Green makes 2-pt jump shot from 3 ft,,47,43
2,6:17.0,,B. Simmons makes 2-pt layup from 1 ft (assist by L. Shamet),47,45
2,6:03.0,Turnover by K. Lowry (lost ball; steal by J. Butler),,47,45
2,5:59.0,,B. Simmons makes 2-pt dunk at rim (assist by J. Butler),47,47
2,5:59.0,Toronto full timeout,,47,47
2,5:44.0,K. Lowry misses 3-pt jump shot from 28 ft,,47,47
2,5:41.0,,Defensive rebound by J. Bolden,47,47
2,5:35.0,,L. Shamet misses 3-pt jump shot from 24 ft,47,47
2,5:32.0,Defensive rebound by O. Anunoby,,47,47
2,5:29.0,K. Lowry misses 3-pt jump shot from 27 ft,,47,47
2,5:25.0,Offensive rebound by D. Wright,,47,47
2,5:18.0,P. Siakam misses 2-pt layup from 2 ft,,47,47
2,5:18.0,,Defensive rebound by J. Butler,47,47
2,5:06.0,,Offensive foul by L. Shamet (drawn by K. Lowry),47,47
2,5:06.0,,Turnover by L. Shamet (offensive foul),47,47
2,5:06.0,,J. Embiid enters the game for J. Bolden,47,47
2,4:45.0,D. Green misses 3-pt jump shot from 28 ft,,47,47
2,4:39.0,Offensive rebound by P. Siakam,,47,47
2,4:38.0,P. Siakam makes 2-pt layup from 1 ft,,49,47
2,4:17.0,,J. Embiid makes 2-pt jump shot from 18 ft,49,49
2,4:11.0,Shooting foul by L. Shamet (drawn by D. Wright),,49,49
2,4:11.0,D. Wright misses free throw 1 of 2,,49,49
2,4:11.0,Offensive rebound by Team,,49,49
2,4:11.0,,F. Korkmaz enters the game for J. Butler,49,49
2,4:11.0,,T. McConnell enters the game for M. Muscala,49,49
2,4:11.0,,J. Redick enters the game for L. Shamet,49,49
2,4:11.0,D. Wright misses free throw 2 of 2,,49,49
2,4:09.0,,Defensive rebound by F. Korkmaz,49,49
2,3:49.0,,J. Embiid makes 2-pt dunk at rim,49,51
2,3:41.0,P. Siakam makes 2-pt jump shot from 8 ft (assist by D. Wright),,51,51
2,3:30.0,,Shooting foul by O. Anunoby (drawn by J. Redick),51,51
2,3:30.0,,J. Redick makes free throw 1 of 2,51,52
2,3:30.0,N. Powell enters the game for O. Anunoby,,51,52
2,3:30.0,F. VanVleet enters the game for D. Wright,,51,52
2,3:30.0,,J. Redick makes free throw 2 of 2,51,53
2,3:09.0,Turnover by D. Green (bad pass; steal by F. Korkmaz),,51,53
2,3:01.0,,T. McConnell makes 2-pt layup at rim (assist by B. Simmons),51,55
2,2:40.0,D. Green misses 3-pt jump shot from 24 ft,,51,55
2,2:38.0,,Defensive rebound by T. McConnell,51,55
2,2:34.0,,Personal foul by F. VanVleet (drawn by B. Simmons),51,55
2,2:31.0,,J. Redick misses 2-pt layup at rim,51,55
2,2:29.0,Defensive rebound by P. Siakam,,51,55
2,2:25.0,N. Powell makes 3-pt jump shot from 26 ft (assist by P. Siakam),,54,55
2,2:11.0,,T. McConnell makes 2-pt layup at rim,54,57
2,1:53.0,F. VanVleet misses 2-pt jump shot from 9 ft,,54,57
2,1:51.0,,Defensive rebound by B. Simmons,54,57
2,1:43.0,,J. Embiid makes 2-pt jump shot from 21 ft,54,59
2,1:33.0,P. Siakam makes 2-pt jump shot from 2 ft,,56,59
2,1:33.0,Shooting foul by J. Embiid (drawn by P. Siakam),,56,59
2,1:33.0,C. Boucher enters the game for D. Green,,56,59
2,1:33.0,P. Siakam makes free throw 1 of 1,,57,59
2,1:14.0,,T. McConnell makes 2-pt jump shot from 16 ft (assist by B. Simmons),57,61
2,1:04.0,K. Lowry makes 2-pt layup from 1 ft,,59,61
2,0:42.0,,J. Embiid misses 2-pt layup from 3 ft,59,61
2,0:40.0,Defensive rebound by K. Lowry,,59,61
2,0:37.0,Turnover by C. Boucher (traveling),,59,61
2,0:34.0,,Personal foul by C. Boucher (drawn by J. Embiid),59,61
2,0:34.0,,J. Embiid misses free throw 1 of 2,59,61
2,0:34.0,,Offensive rebound by Team,59,61
2,0:34.0,,J. Embiid makes free throw 2 of 2,59,62
2,0:15.0,F. VanVleet misses 3-pt jump shot from 26 ft,,59,62
2,0:12.0,,Defensive rebound by B. Simmons,59,62
2,0:02.0,,F. Korkmaz makes 3-pt jump shot from 24 ft (assist by J. Redick),59,65
3,11:45.0,,Def 3 sec tech foul by Team,59,65
3,11:45.0,,J. Redick makes technical free throw,59,66
3,11:35.0,,J. Embiid makes 2-pt jump shot from 16 ft (assist by J. Butler),59,68
3,11:08.0,D. Green makes 2-pt jump shot from 17 ft,,61,68
