QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
1,11:44.0,,A. Baynes makes 2-pt layup from 5 ft,0,2
1,11:26.0,Turnover by W. Matthews (out of bounds lost ball),,0,2
1,11:19.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by M. Smart),0,5
1,11:03.0,W. Matthews misses 2-pt jump shot from 21 ft,,0,5
1,11:01.0,,Defensive rebound by J. Tatum,0,5
1,10:49.0,,J. Tatum misses 2-pt jump shot from 16 ft,0,5
1,10:47.0,Defensive rebound by M. Turner,,0,5
1,10:38.0,Shooting foul by J. Tatum (drawn by D. Collison),,0,5
1,10:38.0,D. Collison misses free throw 1 of 2,,0,5
1,10:38.0,Offensive rebound by Team,,0,5
1,10:38.0,T. Evans enters the game for W. Matthews,,0,5
1,10:38.0,D. Collison makes free throw 2 of 2,,1,5
1,10:26.0,,A. Baynes misses 2-pt jump shot from 18 ft,1,5
1,10:24.0,,Offensive rebound by A. Horford,1,5
1,10:20.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),1,7
1,9:55.0,D. Collison misses 2-pt jump shot from 20 ft,,1,7
1,9:53.0,,Defensive rebound by A. Baynes,1,7
1,9:48.0,,A. Horford makes 2-pt dunk from 1 ft (assist by M. Smart),1,9
1,9:42.0,Indiana full timeout,,1,9
1,9:34.0,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by D. Collison),,3,9
1,9:15.0,,A. Horford misses 2-pt jump shot from 12 ft,3,9
1,9:14.0,Defensive rebound by T. Evans,,3,9
1,9:06.0,Turnover by T. Young (bad pass),,3,9
1,8:48.0,,A. Baynes makes 3-pt jump shot from 26 ft (assist by J. Tatum),3,12
1,8:33.0,T. Evans makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,6,12
1,8:18.0,,J. Tatum misses 2-pt jump shot from 14 ft,6,12
1,8:17.0,,Offensive rebound by A. Baynes,6,12
1,8:16.0,,A. Baynes makes 2-pt layup at rim,6,14
1,8:03.0,Shooting foul by A. Baynes (drawn by T. Young),,6,14
1,8:03.0,T. Young makes free throw 1 of 2,,7,14
1,8:03.0,T. Young misses free throw 2 of 2,,7,14
1,8:03.0,,Defensive rebound by A. Horford,7,14
1,7:52.0,,A. Baynes misses 2-pt hook shot from 3 ft (block by M. Turner),7,14
1,7:50.0,Defensive rebound by T. Young,,7,14
1,7:37.0,M. Turner misses 2-pt jump shot from 18 ft,,7,14
1,7:35.0,,Defensive rebound by J. Tatum,7,14
1,7:29.0,,K. Irving makes 2-pt jump shot from 16 ft (assist by J. Tatum),7,16
1,7:12.0,B. Bogdanović makes 2-pt jump shot from 20 ft,,9,16
1,6:58.0,,M. Smart misses 3-pt jump shot from 25 ft,9,16
1,6:56.0,Defensive rebound by D. Collison,,9,16
1,6:45.0,D. Collison misses 2-pt jump shot from 20 ft,,9,16
1,6:43.0,,Defensive rebound by J. Tatum,9,16
1,6:33.0,,A. Horford misses 2-pt jump shot from 16 ft,9,16
1,6:32.0,,Offensive rebound by A. Baynes,9,16
1,6:30.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by A. Baynes),9,19
1,6:11.0,Turnover by T. Young (bad pass; steal by M. Smart),,9,19
1,6:08.0,,Shooting foul by T. Evans (drawn by J. Tatum),9,19
1,6:08.0,,J. Tatum misses free throw 1 of 2,9,19
1,6:08.0,,Offensive rebound by Team,9,19
1,6:08.0,,M. Morris enters the game for A. Horford,9,19
1,6:08.0,,J. Tatum makes free throw 2 of 2,9,20
1,5:53.0,Shooting foul by M. Smart (drawn by B. Bogdanović),,9,20
1,5:53.0,B. Bogdanović makes free throw 1 of 2,,10,20
1,5:53.0,D. Sabonis enters the game for T. Young,,10,20
1,5:53.0,B. Bogdanović makes free throw 2 of 2,,11,20
1,5:39.0,,M. Morris makes 2-pt layup from 1 ft (assist by K. Irving),11,22
1,5:21.0,D. Collison makes 2-pt layup at rim (assist by D. Sabonis),,13,22
1,5:13.0,,K. Irving misses 3-pt jump shot from 28 ft,13,22
1,5:12.0,Defensive rebound by Team,,13,22
1,5:12.0,,G. Hayward enters the game for J. Tatum,13,22
1,5:01.0,T. Evans misses 2-pt jump shot from 18 ft,,13,22
1,4:59.0,,Defensive rebound by K. Irving,13,22
1,4:48.0,,G. Hayward misses 3-pt jump shot from 23 ft,13,22
1,4:46.0,,Offensive rebound by Team,13,22
1,4:46.0,Loose ball foul by D. Sabonis (drawn by A. Baynes),,13,22
1,4:40.0,,Turnover by K. Irving (bad pass; steal by B. Bogdanović),13,22
1,4:38.0,Personal foul by M. Morris (drawn by B. Bogdanović),,13,22
1,4:30.0,Shooting foul by A. Baynes (drawn by D. Sabonis),,13,22
1,4:30.0,D. Sabonis makes free throw 1 of 2,,14,22
1,4:30.0,C. Joseph enters the game for D. Collison,,14,22
1,4:30.0,,J. Brown enters the game for M. Smart,14,22
1,4:30.0,D. Sabonis misses free throw 2 of 2,,14,22
1,4:30.0,,Defensive rebound by G. Hayward,14,22
