QUARTER,TIME_REMAINING,DALLAS_ACTION,TORONTO_ACTION,DALLAS_SCORE,TORONTO_SCORE
1,7:36.0,Defensive rebound by D. Jordan,,2,12
1,7:30.0,J. Brunson misses 2-pt jump shot from 18 ft,,2,12
1,7:28.0,,Defensive rebound by D. Green,2,12
1,7:25.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),2,14
1,7:03.0,H. Barnes misses 3-pt jump shot from 25 ft,,2,14
1,7:01.0,,Defensive rebound by D. Green,2,14
1,6:53.0,,Shooting foul by H. Barnes (drawn by J. Valančiūnas),2,14
1,6:53.0,,J. Valančiūnas makes free throw 1 of 2,2,15
1,6:53.0,J. Barea enters the game for H. Barnes,,2,15
1,6:53.0,D. Finney-Smith enters the game for J. Brunson,,2,15
1,6:53.0,,J. Valančiūnas makes free throw 2 of 2,2,16
1,6:43.0,L. Dončić misses 2-pt layup from 1 ft,,2,16
1,6:41.0,,Defensive rebound by D. Green,2,16
1,6:36.0,,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by K. Lowry),2,18
1,6:19.0,Turnover by J. Barea (bad pass; steal by K. Leonard),,2,18
1,6:15.0,,K. Leonard misses 3-pt jump shot from 27 ft,2,18
1,6:12.0,Defensive rebound by L. Dončić,,2,18
1,6:07.0,Shooting foul by J. Valančiūnas (drawn by D. Jordan),,2,18
1,6:07.0,D. Jordan makes free throw 1 of 2,,3,18
1,6:07.0,D. Jordan makes free throw 2 of 2,,4,18
1,5:54.0,,D. Green misses 3-pt jump shot from 26 ft,4,18
1,5:50.0,Defensive rebound by D. Finney-Smith,,4,18
1,5:40.0,L. Dončić makes 2-pt jump shot from 13 ft,,6,18
1,5:27.0,,P. Siakam makes 2-pt layup from 1 ft,6,20
1,5:16.0,Personal foul by K. Lowry (drawn by W. Matthews),,6,20
1,5:02.0,W. Matthews makes 3-pt jump shot from 29 ft,,9,20
1,4:53.0,,Offensive foul by J. Valančiūnas (drawn by L. Dončić),9,20
1,4:53.0,,Turnover by J. Valančiūnas (offensive foul),9,20
1,4:53.0,D. Powell enters the game for D. Jordan,,9,20
1,4:53.0,,S. Ibaka enters the game for J. Valančiūnas,9,20
1,4:42.0,J. Barea makes 2-pt layup from 1 ft,,11,20
1,4:30.0,,K. Leonard makes 2-pt jump shot from 10 ft,11,22
1,4:19.0,Shooting foul by D. Green (drawn by L. Dončić),,11,22
1,4:19.0,L. Dončić makes free throw 1 of 2,,12,22
1,4:19.0,M. Kleber enters the game for W. Matthews,,12,22
1,4:19.0,,M. Richardson enters the game for K. Leonard,12,22
1,4:19.0,L. Dončić makes free throw 2 of 2,,13,22
1,4:06.0,,K. Lowry makes 2-pt layup from 2 ft (assist by P. Siakam),13,24
1,3:57.0,D. Powell makes 2-pt layup from 1 ft (assist by J. Barea),,15,24
1,3:44.0,,Shooting foul by D. Powell (drawn by D. Green),15,24
1,3:44.0,,D. Green makes free throw 1 of 3,15,25
1,3:44.0,,D. Green makes free throw 2 of 3,15,26
1,3:44.0,H. Barnes enters the game for L. Dončić,,15,26
1,3:44.0,,D. Green makes free throw 3 of 3,15,27
1,3:35.0,J. Barea misses 2-pt jump shot from 3 ft,,15,27
1,3:33.0,,Defensive rebound by K. Lowry,15,27
1,3:28.0,,Turnover by S. Ibaka (lost ball; steal by M. Kleber),15,27
1,3:19.0,D. Powell makes 2-pt layup from 2 ft,,17,27
1,3:10.0,,S. Ibaka makes 2-pt layup from 2 ft (assist by K. Lowry),17,29
1,2:53.0,J. Barea makes 2-pt jump shot from 10 ft,,19,29
1,2:36.0,,M. Richardson misses 3-pt jump shot from 27 ft,19,29
1,2:32.0,,Offensive rebound by D. Green,19,29
1,2:26.0,,D. Green makes 3-pt jump shot from 23 ft (assist by P. Siakam),19,32
1,2:11.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by J. Barea),,22,32
1,2:04.0,,Personal foul by D. Finney-Smith (drawn by K. Lowry),22,32
1,2:04.0,,Toronto full timeout,22,32
1,2:04.0,,C. Miles enters the game for D. Green,22,32
1,2:04.0,,N. Powell enters the game for P. Siakam,22,32
1,2:04.0,,K. Lowry makes free throw 1 of 2,22,33
1,2:04.0,,K. Lowry misses free throw 2 of 2,22,33
1,2:02.0,Defensive rebound by D. Powell,,22,33
1,1:52.0,J. Barea misses 2-pt layup from 3 ft (block by S. Ibaka),,22,33
1,1:50.0,,Defensive rebound by C. Miles,22,33
1,1:46.0,,S. Ibaka makes 2-pt jump shot from 3 ft (assist by K. Lowry),22,35
1,1:46.0,,Shooting foul by D. Powell (drawn by S. Ibaka),22,35
1,1:46.0,,L. Brown enters the game for K. Lowry,22,35
1,1:46.0,,S. Ibaka makes free throw 1 of 1,22,36
1,1:24.0,H. Barnes misses 2-pt hook shot from 4 ft,,22,36
1,1:23.0,,Defensive rebound by L. Brown,22,36
1,1:10.0,,C. Miles makes 3-pt jump shot from 23 ft (assist by S. Ibaka),22,39
1,1:07.0,Dallas full timeout,,22,39
1,0:55.0,H. Barnes makes 2-pt jump shot from 6 ft,,24,39
1,0:55.0,Shooting foul by N. Powell (drawn by H. Barnes),,24,39
1,0:55.0,H. Barnes makes free throw 1 of 1,,25,39
1,0:34.0,,S. Ibaka misses 2-pt jump shot from 12 ft,25,39
1,0:32.0,Defensive rebound by M. Kleber,,25,39
1,0:24.0,H. Barnes misses 2-pt layup from 2 ft (block by S. Ibaka),,25,39
1,0:23.0,Offensive rebound by Team,,25,39
1,0:11.0,H. Barnes misses 3-pt jump shot from 25 ft,,25,39
1,0:08.0,Offensive rebound by Team,,25,39
1,0:08.0,,Loose ball foul by L. Brown (drawn by M. Kleber),25,39
1,0:08.0,M. Kleber misses free throw 1 of 2,,25,39
1,0:08.0,Offensive rebound by Team,,25,39
1,0:08.0,J. Brunson enters the game for J. Barea,,25,39
1,0:08.0,M. Kleber makes free throw 2 of 2,,26,39
1,0:03.0,,L. Brown misses 3-pt jump shot from 26 ft,26,39
1,0:03.0,,Offensive rebound by S. Ibaka,26,39
2,11:43.0,H. Barnes misses 2-pt layup from 2 ft,,26,39
2,11:40.0,,Defensive rebound by N. Powell,26,39
2,11:18.0,,S. Ibaka misses 2-pt hook shot from 11 ft,26,39
2,11:16.0,Defensive rebound by M. Kleber,,26,39
2,11:10.0,H. Barnes makes 2-pt layup from 2 ft (assist by J. Barea),,28,39
2,11:01.0,,Turnover by L. Brown (bad pass; steal by D. Powell),28,39
2,10:55.0,Turnover by D. Powell (bad pass; steal by K. Leonard),,28,39
2,10:51.0,,C. Miles makes 3-pt jump shot from 24 ft (assist by K. Leonard),28,42
2,10:49.0,Dallas full timeout,,28,42
2,10:49.0,J. Brunson enters the game for D. Finney-Smith,,28,42
2,10:39.0,Personal foul by C. Miles (drawn by M. Kleber),,28,42
2,10:35.0,J. Barea misses 2-pt jump shot from 10 ft,,28,42
2,10:33.0,Offensive rebound by J. Barea,,28,42
2,10:31.0,J. Barea makes 2-pt jump shot from 1 ft,,30,42
2,10:15.0,,K. Leonard makes 2-pt jump shot from 18 ft,30,44
2,10:03.0,J. Barea misses 2-pt layup from 4 ft,,30,44
2,10:01.0,,Defensive rebound by S. Ibaka,30,44
2,9:53.0,,L. Brown misses 2-pt jump shot from 6 ft,30,44
2,9:51.0,Defensive rebound by M. Kleber,,30,44
2,9:43.0,J. Brunson misses 2-pt jump shot from 9 ft,,30,44
2,9:41.0,,Defensive rebound by K. Leonard,30,44
2,9:37.0,,C. Miles misses 2-pt layup from 2 ft (block by M. Kleber),30,44
2,9:37.0,,Offensive rebound by Team,30,44
2,9:37.0,L. Dončić enters the game for J. Barea,,30,44
2,9:37.0,W. Matthews enters the game for H. Barnes,,30,44
2,9:37.0,Violation by Team (delay of game),,30,44
2,9:31.0,,S. Ibaka misses 3-pt jump shot from 25 ft,30,44
2,9:27.0,Defensive rebound by M. Kleber,,30,44
2,9:07.0,W. Matthews misses 3-pt jump shot from 27 ft,,30,44
2,9:04.0,,Defensive rebound by C. Miles,30,44
2,9:01.0,,S. Ibaka misses 2-pt layup from 4 ft,30,44
2,8:58.0,,Offensive rebound by S. Ibaka,30,44
2,8:55.0,,Turnover by S. Ibaka (bad pass; steal by J. Brunson),30,44
2,8:49.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by M. Kleber),,33,44
2,8:25.0,,Turnover by S. Ibaka (3 sec),33,44
2,8:18.0,Turnover by L. Dončić (bad pass; steal by C. Miles),,33,44
2,8:15.0,,C. Miles makes 2-pt dunk from 2 ft,33,46
2,7:55.0,W. Matthews makes 2-pt jump shot from 11 ft,,35,46
2,7:37.0,,K. Leonard makes 2-pt jump shot from 11 ft,35,48
2,7:18.0,Shooting foul by C. Miles (drawn by L. Dončić),,35,48
2,7:18.0,L. Dončić makes free throw 1 of 2,,36,48
2,7:18.0,D. Jordan enters the game for D. Powell,,36,48
2,7:18.0,,K. Lowry enters the game for L. Brown,36,48
2,7:18.0,,P. Siakam enters the game for N. Powell,36,48
2,7:18.0,L. Dončić makes free throw 2 of 2,,37,48
2,7:02.0,,Personal foul by W. Matthews (drawn by K. Leonard),37,48
2,6:57.0,,K. Leonard misses 2-pt jump shot from 7 ft,37,48
2,6:54.0,Defensive rebound by M. Kleber,,37,48
2,6:54.0,,J. Valančiūnas enters the game for S. Ibaka,37,48
2,6:45.0,M. Kleber makes 2-pt dunk from 1 ft (assist by W. Matthews),,39,48
2,6:33.0,,C. Miles makes 2-pt layup from 1 ft (assist by K. Lowry),39,50
2,6:22.0,W. Matthews makes 2-pt layup from 1 ft (assist by D. Jordan),,41,50
2,6:02.0,,J. Valančiūnas misses 2-pt hook shot from 3 ft,41,50
2,6:00.0,Defensive rebound by D. Jordan,,41,50
2,5:55.0,J. Brunson misses 2-pt layup from 2 ft (block by K. Lowry),,41,50
2,5:55.0,Offensive rebound by Team,,41,50
2,5:55.0,,D. Green enters the game for C. Miles,41,50
2,5:51.0,W. Matthews makes 2-pt jump shot from 10 ft (assist by L. Dončić),,43,50
2,5:37.0,,J. Valančiūnas misses 2-pt layup from 2 ft (block by M. Kleber),43,50
2,5:34.0,Defensive rebound by J. Brunson,,43,50
2,5:25.0,W. Matthews misses 2-pt layup from 1 ft,,43,50
2,5:21.0,Offensive rebound by D. Jordan,,43,50
2,5:21.0,D. Jordan makes 2-pt dunk at rim,,45,50
2,5:20.0,,Toronto full timeout,45,50
2,5:07.0,,K. Lowry makes 3-pt jump shot from 27 ft (assist by J. Valančiūnas),45,53
2,4:45.0,D. Jordan makes 2-pt hook shot from 7 ft,,47,53
2,4:32.0,,Personal foul by J. Brunson (drawn by K. Leonard),47,53
2,4:32.0,D. Finney-Smith enters the game for W. Matthews,,47,53
2,4:17.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),47,55
2,3:54.0,M. Kleber misses 3-pt jump shot from 30 ft,,47,55
