QUARTER,TIME_REMAINING,PHOENIX_ACTION,MIAMI_ACTION,PHOENIX_SCORE,MIAMI_SCORE
4,0:17.0,Personal foul by J. Richardson (drawn by D. Booker),,120,121
4,0:17.0,D. Booker makes free throw 1 of 2,,121,121
4,0:17.0,K. Oubre enters the game for J. Crawford,,121,121
4,0:17.0,D. Booker makes free throw 2 of 2,,122,121
4,0:17.0,,Miami full timeout,122,121
4,0:17.0,J. Jackson enters the game for D. Booker,,122,121
4,0:17.0,T. Johnson enters the game for T. Daniels,,122,121
4,0:03.0,,D. Wade misses 2-pt jump shot from 16 ft,122,121
4,0:02.0,,Offensive rebound by B. Adebayo,122,121
4,0:02.0,,B. Adebayo misses 2-pt layup from 1 ft,122,121
4,0:02.0,Defensive rebound by K. Oubre,,122,121
4,0:02.0,Personal foul by B. Adebayo (drawn by K. Oubre),,122,121
4,0:02.0,,D. Robinson enters the game for B. Adebayo,122,121
4,0:02.0,K. Oubre makes free throw 1 of 2,,123,121
4,0:02.0,K. Oubre makes free throw 2 of 2,,124,121
4,0:01.0,,D. Wade misses 3-pt jump shot from 52 ft,124,121
4,0:00.0,,Offensive rebound by Team,124,121
