QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
1,11:48.0,,J. Teague makes 2-pt jump shot from 11 ft,0,2
1,11:21.0,J. Jackson makes 2-pt hook shot from 6 ft (assist by M. Conley),,2,2
1,11:06.0,,A. Wiggins misses 2-pt jump shot from 21 ft,2,2
1,11:03.0,Defensive rebound by G. Temple,,2,2
1,10:49.0,Turnover by M. Gasol (lost ball; steal by R. Covington),,2,2
1,10:35.0,,K. Towns misses 2-pt hook shot from 7 ft (block by M. Gasol),2,2
1,10:35.0,Defensive rebound by J. Jackson,,2,2
1,10:21.0,K. Anderson makes 2-pt layup from 1 ft (assist by M. Gasol),,4,2
1,10:12.0,,J. Teague misses 2-pt jump shot from 17 ft,4,2
1,10:08.0,Defensive rebound by M. Gasol,,4,2
1,9:48.0,K. Anderson misses 3-pt jump shot from 23 ft,,4,2
1,9:45.0,,Defensive rebound by K. Towns,4,2
1,9:33.0,,Turnover by T. Gibson (lost ball; steal by M. Gasol),4,2
1,9:28.0,Personal foul by K. Towns (drawn by G. Temple),,4,2
1,9:22.0,G. Temple misses 3-pt jump shot from 25 ft,,4,2
1,9:19.0,,Defensive rebound by K. Towns,4,2
1,9:10.0,,Turnover by A. Wiggins (bad pass; steal by K. Anderson),4,2
1,9:04.0,J. Jackson misses 2-pt jump shot from 8 ft,,4,2
1,9:01.0,,Defensive rebound by K. Towns,4,2
1,8:52.0,,T. Gibson misses 2-pt jump shot from 5 ft,4,2
1,8:51.0,Defensive rebound by Team,,4,2
1,8:30.0,M. Conley misses 2-pt jump shot from 14 ft,,4,2
1,8:26.0,Offensive rebound by M. Gasol,,4,2
1,8:21.0,G. Temple misses 2-pt layup from 2 ft,,4,2
1,8:19.0,,Defensive rebound by K. Towns,4,2
1,8:12.0,,R. Covington makes 3-pt jump shot from 22 ft (assist by J. Teague),4,5
1,8:00.0,Turnover by K. Anderson (bad pass; steal by R. Covington),,4,5
1,7:53.0,,Turnover by J. Teague (bad pass; steal by K. Anderson),4,5
1,7:49.0,M. Conley makes 2-pt layup from 2 ft (assist by K. Anderson),,6,5
1,7:35.0,,Turnover by A. Wiggins (out of bounds lost ball),6,5
1,7:27.0,Turnover by M. Conley (lost ball; steal by T. Gibson),,6,5
1,7:22.0,,T. Gibson makes 2-pt dunk from 2 ft (assist by J. Teague),6,7
1,7:02.0,K. Anderson makes 2-pt layup from 2 ft,,8,7
1,6:50.0,,Turnover by J. Teague (bad pass),8,7
1,6:50.0,,Minnesota full timeout,8,7
1,6:34.0,M. Conley makes 3-pt jump shot from 24 ft (assist by K. Anderson),,11,7
1,6:15.0,,J. Teague misses 2-pt jump shot from 6 ft,11,7
1,6:14.0,,Offensive rebound by T. Gibson,11,7
1,6:12.0,,T. Gibson misses 2-pt layup from 2 ft (block by J. Jackson),11,7
1,6:12.0,,Offensive rebound by Team,11,7
1,6:11.0,,Personal foul by J. Jackson (drawn by T. Gibson),11,7
1,6:11.0,J. Green enters the game for J. Jackson,,11,7
1,6:01.0,,K. Towns misses 2-pt layup from 11 ft (block by M. Gasol),11,7
1,5:58.0,Defensive rebound by K. Anderson,,11,7
1,5:55.0,M. Conley misses 3-pt jump shot from 24 ft,,11,7
1,5:52.0,,Defensive rebound by K. Towns,11,7
1,5:42.0,,Turnover by K. Towns (bad pass; steal by G. Temple),11,7
1,5:38.0,Turnover by G. Temple (bad pass; steal by J. Teague),,11,7
1,5:33.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by J. Teague),11,10
1,5:14.0,G. Temple misses 2-pt layup from 3 ft,,11,10
1,5:11.0,,Defensive rebound by K. Towns,11,10
1,5:03.0,,Personal foul by M. Conley (drawn by K. Towns),11,10
1,5:03.0,S. Mack enters the game for M. Conley,,11,10
1,5:03.0,W. Selden enters the game for G. Temple,,11,10
1,5:03.0,,D. Rose enters the game for R. Covington,11,10
1,5:03.0,,D. Šarić enters the game for T. Gibson,11,10
1,4:49.0,,J. Teague misses 2-pt jump shot from 20 ft,11,10
1,4:47.0,Defensive rebound by K. Anderson,,11,10
1,4:36.0,S. Mack misses 2-pt jump shot from 20 ft,,11,10
1,4:33.0,,Defensive rebound by D. Šarić,11,10
1,4:28.0,,Shooting foul by K. Anderson (drawn by D. Rose),11,10
1,4:28.0,,D. Rose makes free throw 1 of 2,11,11
1,4:28.0,,T. Jones enters the game for J. Teague,11,11
1,4:28.0,,D. Rose makes free throw 2 of 2,11,12
1,4:13.0,Shooting foul by A. Wiggins (drawn by M. Gasol),,11,12
1,4:13.0,M. Gasol makes free throw 1 of 2,,12,12
1,4:13.0,M. Gasol misses free throw 2 of 2,,12,12
1,4:11.0,,Defensive rebound by K. Towns,12,12
1,3:57.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),12,14
1,3:43.0,W. Selden misses 2-pt jump shot from 7 ft,,12,14
1,3:42.0,,Defensive rebound by K. Towns,12,14
1,3:32.0,,T. Jones misses 3-pt jump shot from 23 ft,12,14
1,3:29.0,Defensive rebound by M. Gasol,,12,14
1,3:22.0,M. Gasol misses 3-pt jump shot from 25 ft,,12,14
1,3:20.0,,Defensive rebound by D. Šarić,12,14
1,3:11.0,,K. Towns misses 2-pt layup from 6 ft (block by K. Anderson),12,14
1,3:09.0,Defensive rebound by M. Gasol,,12,14
1,3:05.0,J. Green misses 2-pt jump shot from 15 ft,,12,14
1,3:01.0,Offensive rebound by M. Gasol,,12,14
1,2:49.0,S. Mack misses 2-pt jump shot from 10 ft,,12,14
1,2:47.0,,Defensive rebound by D. Šarić,12,14
1,2:43.0,,D. Rose misses 2-pt jump shot from 5 ft,12,14
1,2:40.0,Defensive rebound by W. Selden,,12,14
1,2:35.0,Memphis full timeout,,12,14
1,2:35.0,M. Brooks enters the game for K. Anderson,,12,14
1,2:35.0,O. Casspi enters the game for M. Gasol,,12,14
1,2:35.0,J. Jackson enters the game for J. Green,,12,14
1,2:26.0,Turnover by W. Selden (bad pass; steal by D. Rose),,12,14
1,2:15.0,,K. Towns makes 2-pt layup from 1 ft (assist by A. Wiggins),12,16
1,1:56.0,J. Jackson makes 2-pt dunk at rim (assist by M. Brooks),,14,16
1,1:32.0,,Turnover by A. Wiggins (lost ball; steal by M. Brooks),14,16
1,1:28.0,Offensive foul by J. Jackson (drawn by K. Towns),,14,16
1,1:28.0,Turnover by J. Jackson (offensive foul),,14,16
1,1:28.0,I. Rabb enters the game for J. Jackson,,14,16
1,1:28.0,,G. Dieng enters the game for K. Towns,14,16
1,1:12.0,,A. Wiggins makes 2-pt jump shot from 12 ft,14,18
1,0:55.0,I. Rabb misses 2-pt layup from 1 ft,,14,18
1,0:53.0,,Defensive rebound by G. Dieng,14,18
1,0:47.0,,Personal foul by W. Selden (drawn by G. Dieng),14,18
1,0:44.0,,Shooting foul by I. Rabb (drawn by D. Rose),14,18
1,0:44.0,,D. Rose makes free throw 1 of 2,14,19
1,0:44.0,M. Conley enters the game for W. Selden,,14,19
1,0:44.0,,D. Rose makes free throw 2 of 2,14,20
1,0:23.0,M. Brooks misses 2-pt layup from 2 ft,,14,20
1,0:21.0,,Defensive rebound by G. Dieng,14,20
1,0:21.0,,Turnover by G. Dieng (traveling),14,20
