QUARTER,TIME_REMAINING,HOUSTON_ACTION,UTAH_ACTION,HOUSTON_SCORE,UTAH_SCORE
1,11:39.0,,Turnover by D. Mitchell (bad pass; steal by P. Tucker),0,0
1,11:24.0,P. Tucker makes 3-pt jump shot from 25 ft (assist by E. Gordon),,3,0
1,11:11.0,,J. Crowder makes 2-pt layup from 2 ft (assist by R. Rubio),3,2
1,10:49.0,Personal foul by J. Crowder (drawn by P. Tucker),,3,2
1,10:41.0,Offensive foul by J. Harden (drawn by R. Rubio),,3,2
1,10:41.0,Turnover by J. Harden (offensive foul),,3,2
1,10:29.0,,R. Gobert misses 2-pt dunk from 3 ft,3,2
1,10:27.0,Defensive rebound by C. Capela,,3,2
1,10:18.0,C. Paul makes 2-pt jump shot from 9 ft (assist by C. Capela),,5,2
1,10:01.0,,Turnover by D. Mitchell (bad pass; steal by J. Harden),5,2
1,9:55.0,J. Harden misses 2-pt layup from 2 ft,,5,2
1,9:55.0,Offensive rebound by Team,,5,2
1,9:50.0,C. Paul misses 2-pt jump shot from 14 ft,,5,2
1,9:47.0,,Defensive rebound by R. Gobert,5,2
1,9:33.0,,J. Ingles misses 3-pt jump shot from 25 ft,5,2
1,9:31.0,,Offensive rebound by Team,5,2
1,9:29.0,,D. Mitchell misses 3-pt jump shot from 24 ft,5,2
1,9:26.0,,Offensive rebound by R. Gobert,5,2
1,9:24.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. Gobert),5,5
1,9:10.0,J. Harden misses 2-pt layup from 3 ft (block by R. Gobert),,5,5
1,9:10.0,Offensive rebound by C. Capela,,5,5
1,9:10.0,Shooting foul by D. Mitchell (drawn by C. Capela),,5,5
1,9:10.0,C. Capela misses free throw 1 of 2,,5,5
1,9:10.0,Offensive rebound by Team,,5,5
1,9:10.0,C. Capela makes free throw 2 of 2,,6,5
1,8:55.0,,J. Crowder makes 2-pt layup from 2 ft (assist by J. Ingles),6,7
1,8:42.0,C. Capela misses 2-pt layup from 3 ft (block by R. Rubio),,6,7
1,8:42.0,Offensive rebound by Team,,6,7
1,8:40.0,Personal foul by J. Ingles (drawn by C. Paul),,6,7
1,8:38.0,Turnover by C. Paul (bad pass; steal by J. Crowder),,6,7
1,8:35.0,,J. Crowder makes 2-pt dunk from 1 ft,6,9
1,8:21.0,Turnover by C. Paul (bad pass),,6,9
1,8:09.0,,D. Mitchell misses 2-pt jump shot from 9 ft,6,9
1,8:07.0,,Offensive rebound by D. Mitchell,6,9
1,8:07.0,,D. Mitchell makes 2-pt layup from 3 ft,6,11
1,7:56.0,J. Harden makes 3-pt jump shot from 24 ft,,9,11
1,7:39.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by R. Gobert),9,14
1,7:24.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Harden),,12,14
1,7:07.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),12,17
1,6:46.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Capela),,15,17
1,6:34.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by J. Ingles),15,20
1,6:19.0,Shooting foul by D. Mitchell (drawn by E. Gordon),,15,20
1,6:19.0,,Utah full timeout,15,20
1,6:19.0,D. House enters the game for C. Paul,,15,20
1,6:19.0,,R. O'Neale enters the game for D. Mitchell,15,20
1,6:19.0,E. Gordon misses free throw 1 of 2,,15,20
1,6:19.0,Offensive rebound by Team,,15,20
1,6:19.0,E. Gordon makes free throw 2 of 2,,16,20
1,6:07.0,,R. Rubio misses 2-pt jump shot from 13 ft,16,20
1,6:05.0,Defensive rebound by J. Harden,,16,20
1,5:59.0,Turnover by E. Gordon (traveling),,16,20
1,5:48.0,,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),16,22
1,5:28.0,J. Harden misses 2-pt jump shot from 7 ft (block by R. Gobert),,16,22
1,5:25.0,Offensive rebound by D. House,,16,22
1,5:21.0,Turnover by Team (shot clock),,16,22
1,5:21.0,,G. Niang enters the game for J. Ingles,16,22
1,5:11.0,,Shooting foul by P. Tucker (drawn by J. Crowder),16,22
1,5:11.0,,J. Crowder makes free throw 1 of 2,16,23
1,5:11.0,A. Rivers enters the game for E. Gordon,,16,23
1,5:11.0,,J. Crowder makes free throw 2 of 2,16,24
1,4:54.0,Turnover by C. Capela (out of bounds lost ball),,16,24
1,4:54.0,K. Faried enters the game for C. Capela,,16,24
1,4:43.0,,R. Rubio makes 2-pt layup from 3 ft,16,26
1,4:38.0,Houston full timeout,,16,26
1,4:30.0,J. Harden misses 3-pt jump shot from 26 ft,,16,26
1,4:28.0,,Defensive rebound by Team,16,26
1,4:28.0,Loose ball foul by K. Faried (drawn by R. Rubio),,16,26
1,4:05.0,,R. Rubio misses 2-pt layup from 1 ft,16,26
1,4:05.0,Defensive rebound by Team,,16,26
1,4:05.0,G. Green enters the game for P. Tucker,,16,26
1,3:54.0,A. Rivers misses 2-pt jump shot from 7 ft,,16,26
1,3:51.0,,Defensive rebound by R. Gobert,16,26
1,3:39.0,,R. Rubio makes 2-pt layup from 3 ft (assist by J. Crowder),16,28
1,3:26.0,G. Green misses 2-pt jump shot from 14 ft,,16,28
1,3:23.0,,Defensive rebound by J. Crowder,16,28
1,3:03.0,,Shooting foul by D. House (drawn by R. Rubio),16,28
1,3:03.0,,R. Rubio makes free throw 1 of 2,16,29
1,3:03.0,,D. Favors enters the game for J. Crowder,16,29
1,3:03.0,,K. Korver enters the game for R. Gobert,16,29
1,3:03.0,,R. Rubio makes free throw 2 of 2,16,30
1,2:50.0,J. Harden makes 2-pt layup from 2 ft,,18,30
1,2:36.0,,G. Niang misses 2-pt jump shot from 3 ft (block by G. Green),18,30
1,2:35.0,,Offensive rebound by Team,18,30
1,2:35.0,C. Paul enters the game for J. Harden,,18,30
1,2:35.0,,J. Ingles enters the game for R. Rubio,18,30
1,2:32.0,,D. Favors misses 2-pt layup from 5 ft (block by C. Paul),18,30
1,2:29.0,Defensive rebound by A. Rivers,,18,30
1,2:28.0,A. Rivers misses 2-pt layup from 2 ft (block by G. Niang),,18,30
1,2:24.0,,Defensive rebound by R. O'Neale,18,30
1,2:14.0,,G. Niang misses 3-pt jump shot from 27 ft,18,30
1,2:12.0,Defensive rebound by Team,,18,30
1,2:12.0,,D. Mitchell enters the game for R. O'Neale,18,30
1,1:52.0,Personal foul by D. Favors (drawn by C. Paul),,18,30
1,1:52.0,C. Paul makes free throw 1 of 2,,19,30
1,1:52.0,C. Paul makes free throw 2 of 2,,20,30
1,1:38.0,,D. Favors misses 2-pt hook shot from 5 ft,20,30
1,1:36.0,Defensive rebound by K. Faried,,20,30
1,1:32.0,Personal foul by K. Korver (drawn by C. Paul),,20,30
1,1:32.0,C. Paul makes free throw 1 of 2,,21,30
1,1:32.0,C. Paul makes free throw 2 of 2,,22,30
1,1:23.0,,Personal foul by A. Rivers (drawn by D. Mitchell),22,30
1,1:23.0,,T. Sefolosha enters the game for K. Korver,22,30
1,1:08.0,,J. Ingles misses 3-pt jump shot from 25 ft,22,30
1,1:06.0,Defensive rebound by D. House,,22,30
1,0:49.0,A. Rivers misses 2-pt jump shot from 4 ft,,22,30
1,0:47.0,,Defensive rebound by D. Favors,22,30
1,0:39.0,,Turnover by J. Ingles (bad pass; steal by C. Paul),22,30
1,0:36.0,A. Rivers makes 2-pt dunk from 2 ft (assist by C. Paul),,24,30
1,0:15.0,,Shooting foul by G. Green (drawn by D. Mitchell),24,30
1,0:15.0,,D. Mitchell makes free throw 1 of 2,24,31
1,0:15.0,,R. O'Neale enters the game for G. Niang,24,31
1,0:15.0,,D. Mitchell makes free throw 2 of 2,24,32
1,0:01.0,C. Paul misses 3-pt jump shot from 27 ft,,24,32
1,0:01.0,,Defensive rebound by D. Mitchell,24,32
2,11:50.0,K. Faried misses 2-pt jump shot from 6 ft,,24,32
2,11:47.0,,Defensive rebound by D. Favors,24,32
2,11:33.0,,D. Mitchell misses 2-pt jump shot from 6 ft,24,32
2,11:33.0,,Offensive rebound by D. Favors,24,32
2,11:33.0,,Shooting foul by E. Gordon (drawn by D. Favors),24,32
2,11:33.0,,D. Favors makes free throw 1 of 2,24,33
2,11:33.0,C. Capela enters the game for K. Faried,,24,33
2,11:33.0,,D. Favors misses free throw 2 of 2,24,33
2,11:32.0,Defensive rebound by G. Green,,24,33
2,11:21.0,C. Paul misses 3-pt jump shot from 27 ft,,24,33
2,11:17.0,,Defensive rebound by R. O'Neale,24,33
2,11:07.0,,D. Favors makes 2-pt layup from 2 ft (assist by D. Mitchell),24,35
2,11:07.0,,Shooting foul by C. Paul (drawn by D. Favors),24,35
2,11:07.0,,D. Favors makes free throw 1 of 1,24,36
2,10:50.0,E. Gordon misses 2-pt layup from 3 ft,,24,36
2,10:49.0,,Defensive rebound by Team,24,36
2,10:33.0,,Personal foul by A. Rivers (drawn by R. O'Neale),24,36
2,10:33.0,D. House enters the game for G. Green,,24,36
2,10:33.0,P. Tucker enters the game for A. Rivers,,24,36
2,10:18.0,,J. Ingles misses 2-pt jump shot from 6 ft,24,36
2,10:16.0,,Offensive rebound by J. Ingles,24,36
2,10:11.0,,Turnover by J. Ingles (bad pass; steal by P. Tucker),24,36
2,10:01.0,C. Capela misses 2-pt layup from 3 ft (block by R. O'Neale),,24,36
2,9:59.0,Offensive rebound by C. Paul,,24,36
2,9:59.0,Personal foul by T. Sefolosha (drawn by P. Tucker),,24,36
2,9:59.0,,R. Rubio enters the game for J. Ingles,24,36
2,9:55.0,C. Paul makes 2-pt layup from 2 ft,,26,36
2,9:35.0,,R. O'Neale misses 3-pt jump shot from 26 ft,26,36
2,9:32.0,Defensive rebound by C. Paul,,26,36
2,9:32.0,J. Harden enters the game for D. House,,26,36
2,9:22.0,E. Gordon misses 3-pt jump shot from 25 ft,,26,36
2,9:20.0,,Defensive rebound by R. O'Neale,26,36
2,9:13.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,26,36
2,9:10.0,,Offensive rebound by D. Favors,26,36
2,9:09.0,,D. Favors misses 2-pt layup from 1 ft (block by C. Paul),26,36
2,9:06.0,Defensive rebound by C. Paul,,26,36
2,9:03.0,C. Paul makes 3-pt jump shot from 25 ft,,29,36
2,8:45.0,,Turnover by R. Rubio (back court),29,36
2,8:39.0,C. Paul misses 3-pt jump shot from 25 ft,,29,36
2,8:33.0,Offensive rebound by C. Capela,,29,36
2,8:29.0,J. Harden misses 2-pt dunk from 2 ft,,29,36
2,8:29.0,Offensive rebound by C. Paul,,29,36
2,8:21.0,C. Paul misses 2-pt layup from 2 ft,,29,36
2,8:20.0,,Defensive rebound by D. Favors,29,36
2,8:13.0,,Shooting foul by E. Gordon (drawn by D. Favors),29,36
2,8:13.0,,D. Favors makes free throw 1 of 2,29,37
2,8:13.0,A. Rivers enters the game for C. Paul,,29,37
2,8:13.0,,D. Favors makes free throw 2 of 2,29,38
2,7:59.0,J. Harden makes 3-pt jump shot from 25 ft,,32,38
2,7:36.0,,Personal foul by C. Capela (drawn by R. O'Neale),32,38
2,7:36.0,,R. O'Neale misses free throw 1 of 2,32,38
2,7:36.0,,Offensive rebound by Team,32,38
2,7:36.0,,J. Crowder enters the game for D. Favors,32,38
2,7:36.0,,R. Gobert enters the game for T. Sefolosha,32,38
2,7:36.0,,R. O'Neale makes free throw 2 of 2,32,39
