QUARTER,TIME_REMAINING,PORTLAND_ACTION,ORLANDO_ACTION,PORTLAND_SCORE,ORLANDO_SCORE
1,11:33.0,A. Aminu misses 2-pt layup from 1 ft (block by J. Isaac),,0,0
1,11:28.0,Offensive rebound by A. Aminu,,0,0
1,11:27.0,A. Aminu misses 2-pt layup from 1 ft (block by J. Isaac),,0,0
1,11:23.0,,Defensive rebound by A. Gordon,0,0
1,11:16.0,,A. Gordon misses 2-pt jump shot from 8 ft,0,0
1,11:13.0,Defensive rebound by A. Aminu,,0,0
1,11:01.0,J. Nurkić makes 2-pt jump shot from 18 ft (assist by A. Aminu),,2,0
1,10:44.0,,Turnover by J. Isaac (bad pass; steal by J. Nurkić),2,0
1,10:40.0,Turnover by J. Nurkić (bad pass; steal by D. Augustin),,2,0
1,10:34.0,,E. Fournier misses 3-pt jump shot from 26 ft,2,0
1,10:31.0,Defensive rebound by J. Nurkić,,2,0
1,10:26.0,C. McCollum makes 2-pt jump shot from 12 ft (assist by D. Lillard),,4,0
1,10:08.0,,Turnover by N. Vučević (traveling),4,0
1,9:53.0,Personal foul by E. Fournier (drawn by C. McCollum),,4,0
1,9:44.0,J. Nurkić misses 2-pt hook shot from 3 ft,,4,0
1,9:42.0,,Defensive rebound by N. Vučević,4,0
1,9:24.0,,N. Vučević misses 2-pt jump shot from 13 ft,4,0
1,9:22.0,Defensive rebound by A. Aminu,,4,0
1,9:15.0,D. Lillard misses 2-pt jump shot from 16 ft,,4,0
1,9:13.0,,Defensive rebound by Team,4,0
1,9:07.0,,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),4,2
1,9:07.0,,Shooting foul by A. Aminu (drawn by E. Fournier),4,2
1,9:07.0,,E. Fournier makes free throw 1 of 1,4,3
1,8:56.0,J. Nurkić makes 2-pt layup from 2 ft (assist by C. McCollum),,6,3
1,8:56.0,Shooting foul by A. Gordon (drawn by J. Nurkić),,6,3
1,8:56.0,J. Nurkić misses free throw 1 of 1,,6,3
1,8:56.0,,Defensive rebound by N. Vučević,6,3
1,8:42.0,,Personal foul by C. McCollum (drawn by E. Fournier),6,3
1,8:34.0,,A. Gordon misses 2-pt jump shot from 13 ft,6,3
1,8:31.0,Defensive rebound by J. Nurkić,,6,3
1,8:24.0,Turnover by J. Nurkić (traveling),,6,3
1,8:11.0,,N. Vučević makes 2-pt jump shot from 21 ft (assist by E. Fournier),6,5
