QUARTER,TIME_REMAINING,DALLAS_ACTION,BOSTON_ACTION,DALLAS_SCORE,BOSTON_SCORE
1,11:39.0,,J. Tatum misses 2-pt jump shot from 17 ft,0,0
1,11:37.0,Defensive rebound by D. Jordan,,0,0
1,11:21.0,D. Smith misses 3-pt jump shot from 28 ft,,0,0
1,11:19.0,,Defensive rebound by T. Rozier,0,0
1,11:05.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by J. Brown),0,3
1,10:49.0,Turnover by W. Matthews (bad pass; steal by J. Tatum),,0,3
1,10:45.0,,J. Tatum makes 2-pt dunk from 1 ft,0,5
1,10:29.0,Personal foul by J. Tatum (drawn by H. Barnes),,0,5
1,10:23.0,L. Dončić makes 3-pt jump shot from 27 ft,,3,5
1,10:10.0,,M. Smart makes 2-pt layup from 1 ft,3,7
1,9:58.0,W. Matthews misses 3-pt jump shot from 23 ft,,3,7
1,9:56.0,Offensive rebound by D. Jordan,,3,7
1,9:54.0,D. Smith makes 2-pt jump shot from 8 ft (assist by D. Jordan),,5,7
1,9:38.0,,Turnover by J. Tatum (lost ball; steal by D. Smith),5,7
1,9:33.0,L. Dončić misses 2-pt layup from 4 ft,,5,7
1,9:31.0,,Defensive rebound by A. Horford,5,7
1,9:26.0,,T. Rozier misses 3-pt jump shot from 23 ft,5,7
1,9:24.0,Defensive rebound by L. Dončić,,5,7
1,9:13.0,Turnover by L. Dončić (bad pass; steal by J. Brown),,5,7
1,9:09.0,,T. Rozier misses 3-pt jump shot from 23 ft,5,7
1,9:07.0,Defensive rebound by W. Matthews,,5,7
1,9:03.0,Turnover by D. Smith (lost ball; steal by A. Horford),,5,7
1,9:03.0,,Personal take foul by D. Jordan (drawn by A. Horford),5,7
1,8:53.0,,J. Brown makes 2-pt layup from 1 ft (assist by A. Horford),5,9
1,8:53.0,Dallas full timeout,,5,9
1,8:32.0,Turnover by L. Dončić (bad pass; steal by J. Brown),,5,9
1,8:26.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by T. Rozier),5,12
1,8:09.0,Turnover by D. Smith (bad pass; steal by T. Rozier),,5,12
1,7:57.0,,Turnover by J. Tatum (bad pass; steal by D. Jordan),5,12
1,7:52.0,H. Barnes misses 3-pt jump shot from 27 ft,,5,12
1,7:50.0,Offensive rebound by D. Jordan,,5,12
1,7:43.0,D. Smith misses 2-pt layup from 2 ft,,5,12
1,7:41.0,,Defensive rebound by A. Horford,5,12
1,7:35.0,,J. Brown makes 2-pt jump shot from 19 ft,5,14
1,7:18.0,H. Barnes misses 2-pt jump shot from 17 ft,,5,14
1,7:16.0,,Defensive rebound by A. Horford,5,14
1,7:06.0,,J. Tatum makes 3-pt jump shot from 27 ft (assist by A. Horford),5,17
1,6:45.0,L. Dončić misses 3-pt jump shot from 25 ft,,5,17
1,6:43.0,,Defensive rebound by J. Tatum,5,17
1,6:36.0,,A. Horford misses 3-pt jump shot from 27 ft,5,17
1,6:34.0,Defensive rebound by W. Matthews,,5,17
1,6:22.0,D. Smith misses 3-pt jump shot from 27 ft,,5,17
1,6:18.0,Offensive rebound by D. Jordan,,5,17
1,6:16.0,L. Dončić makes 2-pt layup from 1 ft (assist by D. Jordan),,7,17
1,5:55.0,,A. Horford makes 2-pt hook shot from 5 ft (assist by J. Brown),7,19
1,5:35.0,W. Matthews makes 2-pt jump shot from 19 ft,,9,19
1,5:21.0,,J. Tatum misses 3-pt jump shot from 25 ft,9,19
1,5:19.0,,Offensive rebound by A. Horford,9,19
1,5:14.0,,J. Tatum misses 3-pt jump shot from 23 ft,9,19
1,5:12.0,Defensive rebound by D. Jordan,,9,19
1,5:08.0,D. Smith makes 2-pt layup from 1 ft,,11,19
1,5:08.0,Shooting foul by J. Brown (drawn by D. Smith),,11,19
1,5:08.0,,G. Hayward enters the game for J. Brown,11,19
1,5:08.0,,D. Theis enters the game for A. Horford,11,19
1,5:08.0,D. Smith makes free throw 1 of 1,,12,19
1,4:55.0,,Turnover by G. Hayward (lost ball; steal by W. Matthews),12,19
1,4:55.0,Personal take foul by G. Hayward (drawn by H. Barnes),,12,19
1,4:40.0,Turnover by W. Matthews (traveling),,12,19
1,4:26.0,,J. Tatum makes 2-pt jump shot from 12 ft,12,21
1,4:12.0,D. Jordan makes 2-pt dunk from 2 ft (assist by L. Dončić),,14,21
1,3:57.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by D. Theis),14,24
1,3:43.0,L. Dončić misses 3-pt jump shot from 23 ft,,14,24
1,3:40.0,,Defensive rebound by J. Tatum,14,24
1,3:37.0,,J. Tatum misses 3-pt jump shot from 25 ft,14,24
1,3:35.0,Defensive rebound by L. Dončić,,14,24
1,3:28.0,D. Smith misses 3-pt jump shot from 22 ft,,14,24
1,3:28.0,Offensive rebound by D. Jordan,,14,24
1,3:25.0,D. Jordan makes 2-pt dunk from 2 ft,,16,24
1,3:18.0,,Boston full timeout,16,24
1,3:18.0,J. Barea enters the game for D. Smith,,16,24
1,3:18.0,,B. Wanamaker enters the game for T. Rozier,16,24
1,3:10.0,,M. Smart misses 3-pt jump shot from 24 ft,16,24
1,3:08.0,Defensive rebound by D. Jordan,,16,24
1,2:56.0,Personal foul by J. Tatum (drawn by H. Barnes),,16,24
1,2:43.0,H. Barnes makes 2-pt hook shot from 4 ft,,18,24
1,2:28.0,,J. Tatum misses 3-pt jump shot from 25 ft,18,24
1,2:27.0,Defensive rebound by L. Dončić,,18,24
1,2:17.0,Shooting foul by M. Smart (drawn by H. Barnes),,18,24
1,2:17.0,H. Barnes makes free throw 1 of 2,,19,24
1,2:17.0,D. Finney-Smith enters the game for L. Dončić,,19,24
1,2:17.0,D. Harris enters the game for D. Jordan,,19,24
1,2:17.0,D. Powell enters the game for W. Matthews,,19,24
1,2:17.0,,J. Brown enters the game for M. Smart,19,24
1,2:17.0,,S. Ojeleye enters the game for J. Tatum,19,24
1,2:17.0,H. Barnes makes free throw 2 of 2,,20,24
1,2:01.0,,S. Ojeleye makes 2-pt layup at rim (assist by G. Hayward),20,26
1,1:46.0,J. Barea makes 2-pt jump shot from 7 ft,,22,26
1,1:30.0,,G. Hayward misses 3-pt jump shot from 25 ft,22,26
1,1:28.0,,Offensive rebound by S. Ojeleye,22,26
1,1:27.0,,J. Brown misses 3-pt jump shot from 26 ft,22,26
1,1:25.0,Defensive rebound by J. Barea,,22,26
1,1:07.0,Personal foul by S. Ojeleye (drawn by J. Barea),,22,26
1,1:07.0,J. Barea misses free throw 1 of 2,,22,26
1,1:07.0,Offensive rebound by Team,,22,26
1,1:07.0,D. Nowitzki enters the game for H. Barnes,,22,26
1,1:07.0,J. Barea makes free throw 2 of 2,,23,26
1,0:53.0,,G. Hayward makes 2-pt jump shot from 12 ft (assist by B. Wanamaker),23,28
1,0:45.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,23,28
1,0:43.0,,Defensive rebound by D. Theis,23,28
1,0:37.0,,B. Wanamaker makes 3-pt jump shot from 26 ft,23,31
1,0:24.0,J. Barea misses 3-pt jump shot from 25 ft,,23,31
1,0:22.0,,Defensive rebound by D. Theis,23,31
1,0:03.0,,B. Wanamaker makes 3-pt jump shot from 26 ft (assist by G. Hayward),23,34
2,11:46.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,23,34
2,11:44.0,,Defensive rebound by G. Hayward,23,34
2,11:30.0,,G. Hayward misses 2-pt jump shot from 15 ft,23,34
2,11:28.0,Defensive rebound by D. Powell,,23,34
