QUARTER,TIME_REMAINING,MIAMI_ACTION,ATLANTA_ACTION,MIAMI_SCORE,ATLANTA_SCORE
1,12:00.0,,Violation by Team (delay of game),0,0
1,11:46.0,,A. Len makes 3-pt jump shot from 23 ft (assist by T. Young),0,3
1,11:22.0,J. Winslow misses 3-pt jump shot from 27 ft,,0,3
1,11:17.0,Offensive rebound by R. McGruder,,0,3
1,11:17.0,R. McGruder makes 2-pt layup at rim,,2,3
1,11:11.0,,O. Spellman makes 3-pt jump shot from 25 ft (assist by T. Young),2,6
1,10:49.0,R. McGruder makes 2-pt jump shot from 19 ft,,4,6
1,10:23.0,,K. Bazemore misses 2-pt layup from 2 ft (block by H. Whiteside),4,6
1,10:23.0,,Offensive rebound by Team,4,6
1,10:21.0,,Turnover by Team (shot clock),4,6
1,10:03.0,J. Richardson misses 3-pt jump shot from 25 ft,,4,6
1,10:00.0,,Defensive rebound by T. Prince,4,6
1,9:56.0,,T. Young makes 3-pt jump shot from 27 ft (assist by T. Prince),4,9
1,9:42.0,K. Olynyk misses 3-pt jump shot from 27 ft,,4,9
1,9:39.0,,Defensive rebound by K. Bazemore,4,9
1,9:33.0,,T. Prince misses 3-pt jump shot from 23 ft,4,9
1,9:29.0,Defensive rebound by H. Whiteside,,4,9
1,9:23.0,K. Olynyk misses 3-pt jump shot from 25 ft,,4,9
1,9:20.0,,Defensive rebound by T. Young,4,9
1,9:13.0,,Turnover by K. Bazemore (traveling),4,9
1,9:01.0,J. Richardson makes 2-pt jump shot from 6 ft,,6,9
1,8:53.0,,Turnover by A. Len (traveling),6,9
1,8:40.0,H. Whiteside makes 3-pt jump shot from 25 ft (assist by J. Richardson),,9,9
1,8:22.0,,A. Len makes 3-pt jump shot from 24 ft (assist by T. Prince),9,12
1,8:09.0,R. McGruder makes 3-pt jump shot from 25 ft (assist by J. Richardson),,12,12
1,8:00.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by T. Young),12,15
1,7:49.0,J. Richardson makes 3-pt jump shot from 24 ft,,15,15
1,7:36.0,,T. Young misses 3-pt jump shot from 28 ft,15,15
1,7:31.0,Defensive rebound by K. Olynyk,,15,15
1,7:27.0,Personal foul by T. Prince (drawn by J. Richardson),,15,15
1,7:27.0,,Technical foul by T. Prince,15,15
1,7:27.0,J. Richardson makes technical free throw,,16,15
1,7:27.0,Turnover by (5 sec),,16,15
1,7:15.0,,O. Spellman makes 2-pt layup from 2 ft (assist by T. Young),16,17
