QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
1,11:44.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,2,0
1,11:24.0,,B. Bogdanović makes 2-pt jump shot from 6 ft (assist by M. Turner),2,2
1,11:08.0,T. Young misses 2-pt layup from 2 ft,,2,2
1,11:07.0,,Defensive rebound by Team,2,2
1,10:50.0,,D. Collison makes 3-pt jump shot from 27 ft (assist by M. Turner),2,5
1,10:35.0,A. Len misses 2-pt dunk from 1 ft (block by M. Turner),,2,5
1,10:33.0,Offensive rebound by A. Len,,2,5
1,10:29.0,Personal foul by D. Collison (drawn by T. Young),,2,5
1,10:26.0,J. Collins makes 3-pt jump shot from 27 ft (assist by A. Len),,5,5
1,10:03.0,,M. Turner misses 3-pt jump shot from 26 ft,5,5
1,9:59.0,Defensive rebound by D. Hamilton,,5,5
1,9:57.0,Offensive foul by A. Len (drawn by M. Turner),,5,5
1,9:57.0,Turnover by A. Len (offensive foul),,5,5
1,9:44.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by M. Turner),5,7
1,9:21.0,D. Hamilton misses 2-pt jump shot from 12 ft,,5,7
1,9:18.0,Offensive rebound by A. Len,,5,7
1,9:18.0,A. Len makes 2-pt layup at rim,,7,7
1,8:57.0,,V. Oladipo makes 2-pt layup from 1 ft,7,9
1,8:46.0,T. Young makes 3-pt jump shot from 27 ft,,10,9
1,8:30.0,,V. Oladipo makes 2-pt jump shot from 19 ft (assist by D. Collison),10,11
1,8:18.0,D. Hamilton misses 3-pt jump shot from 23 ft,,10,11
1,8:15.0,,Defensive rebound by M. Turner,10,11
1,8:09.0,,Turnover by T. Young (bad pass; steal by T. Young),10,11
1,7:59.0,J. Collins makes 2-pt layup from 1 ft (assist by D. Hamilton),,12,11
1,7:48.0,,Turnover by B. Bogdanović (step out of bounds),12,11
1,7:35.0,K. Huerter makes 3-pt jump shot from 29 ft (assist by T. Young),,15,11
1,7:23.0,,Personal foul by T. Young (drawn by D. Collison),15,11
1,7:23.0,D. Bembry enters the game for D. Hamilton,,15,11
1,7:23.0,A. Poythress enters the game for A. Len,,15,11
1,7:13.0,,B. Bogdanović misses 2-pt layup at rim (block by K. Huerter),15,11
1,7:13.0,,Offensive rebound by Team,15,11
1,7:11.0,,B. Bogdanović misses 2-pt jump shot from 15 ft,15,11
1,7:07.0,Defensive rebound by A. Poythress,,15,11
1,7:01.0,Turnover by K. Huerter (bad pass; steal by V. Oladipo),,15,11
1,6:57.0,,V. Oladipo misses 3-pt jump shot from 27 ft,15,11
1,6:54.0,,Offensive rebound by T. Young,15,11
1,6:46.0,,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by D. Collison),15,13
1,6:26.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,17,13
1,6:14.0,,T. Young misses 2-pt layup at rim,17,13
1,6:12.0,Defensive rebound by J. Collins,,17,13
1,6:09.0,T. Young makes 3-pt jump shot from 28 ft (assist by J. Collins),,20,13
1,5:57.0,,Personal foul by K. Huerter (drawn by M. Turner),20,13
1,5:57.0,,Indiana full timeout,20,13
1,5:47.0,,T. Young makes 2-pt dunk at rim (assist by V. Oladipo),20,15
1,5:33.0,K. Huerter misses 3-pt jump shot from 28 ft,,20,15
1,5:28.0,,Defensive rebound by M. Turner,20,15
1,5:25.0,,Shooting foul by D. Bembry (drawn by D. Collison),20,15
1,5:25.0,,D. Collison makes free throw 1 of 2,20,16
1,5:25.0,V. Carter enters the game for J. Collins,,20,16
1,5:25.0,J. Lin enters the game for T. Young,,20,16
1,5:25.0,,D. Collison makes free throw 2 of 2,20,17
1,5:11.0,V. Carter misses 3-pt jump shot from 23 ft,,20,17
1,5:07.0,,Defensive rebound by B. Bogdanović,20,17
1,4:57.0,,T. Young misses 2-pt hook shot from 3 ft,20,17
1,4:54.0,,Offensive rebound by M. Turner,20,17
1,4:54.0,,M. Turner makes 2-pt layup from 1 ft,20,19
1,4:45.0,Def 3 sec tech foul by Team,,20,19
1,4:45.0,J. Lin makes technical free throw,,21,19
1,4:45.0,,C. Joseph enters the game for B. Bogdanović,21,19
1,4:45.0,,D. Sabonis enters the game for T. Young,21,19
1,4:34.0,Turnover by V. Carter (lost ball; steal by V. Oladipo),,21,19
1,4:29.0,,V. Oladipo misses 2-pt layup from 3 ft (block by D. Bembry),21,19
1,4:25.0,Defensive rebound by D. Bembry,,21,19
1,4:22.0,D. Bembry misses 2-pt layup from 3 ft (block by M. Turner),,21,19
1,4:18.0,,Defensive rebound by V. Oladipo,21,19
1,4:17.0,,D. Collison makes 2-pt layup from 1 ft (assist by V. Oladipo),21,21
1,4:06.0,Turnover by K. Huerter (bad pass; steal by V. Oladipo),,21,21
1,3:47.0,,M. Turner makes 2-pt dunk from 1 ft (assist by C. Joseph),21,23
1,3:26.0,K. Huerter misses 2-pt layup from 3 ft,,21,23
1,3:26.0,,Defensive rebound by Team,21,23
1,3:07.0,,Def 3 sec tech foul by Team,21,23
1,3:07.0,,D. Collison makes technical free throw,21,24
1,3:07.0,J. Anderson enters the game for K. Huerter,,21,24
1,3:00.0,Violation by Team (kicked ball),,21,24
1,2:56.0,,V. Oladipo misses 2-pt jump shot from 18 ft,21,24
1,2:54.0,,Offensive rebound by D. Sabonis,21,24
1,2:54.0,,Shooting foul by A. Poythress (drawn by D. Sabonis),21,24
1,2:54.0,Atlanta full timeout,,21,24
1,2:54.0,J. Collins enters the game for D. Bembry,,21,24
1,2:54.0,A. Len enters the game for V. Carter,,21,24
1,2:54.0,T. Young enters the game for A. Poythress,,21,24
1,2:54.0,,T. Evans enters the game for D. Collison,21,24
1,2:54.0,,D. Sabonis makes free throw 1 of 2,21,25
1,2:54.0,,D. Sabonis makes free throw 2 of 2,21,26
1,2:39.0,J. Collins misses 2-pt jump shot from 14 ft,,21,26
1,2:36.0,,Defensive rebound by M. Turner,21,26
1,2:28.0,,D. Sabonis makes 2-pt layup at rim (assist by C. Joseph),21,28
1,2:28.0,,D. McDermott enters the game for V. Oladipo,21,28
1,2:28.0,,T. Young enters the game for M. Turner,21,28
1,2:09.0,A. Len misses 3-pt jump shot from 24 ft,,21,28
1,2:06.0,,Defensive rebound by T. Evans,21,28
1,2:03.0,,Shooting foul by A. Len (drawn by C. Joseph),21,28
1,2:03.0,,C. Joseph makes free throw 1 of 2,21,29
1,2:03.0,M. Plumlee enters the game for A. Len,,21,29
1,2:03.0,,C. Joseph makes free throw 2 of 2,21,30
1,1:51.0,M. Plumlee makes 2-pt layup from 1 ft,,23,30
1,1:35.0,,D. McDermott misses 2-pt layup from 7 ft,23,30
1,1:31.0,Defensive rebound by J. Lin,,23,30
1,1:28.0,J. Lin makes 2-pt layup from 1 ft,,25,30
1,1:08.0,,Shooting foul by J. Collins (drawn by T. Young),25,30
1,1:08.0,,T. Young misses free throw 1 of 2,25,30
1,1:08.0,,Offensive rebound by Team,25,30
1,1:08.0,T. Dorsey enters the game for J. Anderson,,25,30
1,1:08.0,,T. Young misses free throw 2 of 2,25,30
1,1:05.0,,Offensive rebound by D. Sabonis,25,30
1,0:54.0,,Shooting foul by T. Young (drawn by T. Evans),25,30
1,0:54.0,,T. Evans misses free throw 1 of 2,25,30
1,0:54.0,,Offensive rebound by Team,25,30
1,0:54.0,K. Huerter enters the game for T. Young,,25,30
1,0:54.0,,T. Evans makes free throw 2 of 2,25,31
1,0:43.0,T. Dorsey misses 3-pt jump shot from 23 ft,,25,31
1,0:40.0,Offensive rebound by J. Collins,,25,31
1,0:34.0,J. Lin misses 3-pt jump shot from 27 ft,,25,31
1,0:31.0,Offensive rebound by J. Collins,,25,31
1,0:29.0,J. Collins misses 2-pt layup from 1 ft,,25,31
1,0:27.0,,Defensive rebound by D. Sabonis,25,31
1,0:20.0,,T. Young makes 2-pt layup from 1 ft (assist by T. Evans),25,33
1,0:04.0,Personal foul by T. Young (drawn by J. Lin),,25,33
1,0:00.0,J. Lin misses 2-pt jump shot from 11 ft,,25,33
1,0:00.0,Offensive rebound by Team,,25,33
2,11:48.0,,D. McDermott misses 2-pt jump shot from 21 ft,25,33
2,11:44.0,Defensive rebound by J. Collins,,25,33
2,11:28.0,Turnover by T. Young (bad pass),,25,33
2,11:17.0,,T. Young misses 2-pt layup at rim,25,33
2,11:16.0,Defensive rebound by M. Plumlee,,25,33
2,11:06.0,T. Dorsey makes 2-pt layup from 1 ft (assist by M. Plumlee),,27,33
2,11:06.0,Shooting foul by T. Evans (drawn by T. Dorsey),,27,33
2,11:06.0,T. Dorsey makes free throw 1 of 1,,28,33
2,10:52.0,,D. Sabonis misses 2-pt hook shot from 4 ft,28,33
2,10:47.0,Defensive rebound by T. Dorsey,,28,33
2,10:44.0,M. Plumlee makes 2-pt dunk from 2 ft (assist by T. Young),,30,33
2,10:25.0,,C. Joseph makes 2-pt jump shot from 19 ft,30,35
2,10:11.0,Personal foul by T. Young (drawn by T. Young),,30,35
2,10:08.0,Offensive foul by T. Young (drawn by T. Young),,30,35
2,10:08.0,Turnover by T. Young (offensive foul),,30,35
2,10:08.0,J. Lin enters the game for T. Young,,30,35
2,9:55.0,,T. Evans misses 2-pt layup from 1 ft,30,35
2,9:52.0,,Offensive rebound by D. Sabonis,30,35
2,9:52.0,,D. Sabonis makes 2-pt layup from 1 ft,30,37
