QUARTER,TIME_REMAINING,LA LAKERS_ACTION,UTAH_ACTION,LA LAKERS_SCORE,UTAH_SCORE
1,11:41.0,Personal foul by D. Favors (drawn by J. McGee),,0,0
1,11:36.0,R. Rondo misses 2-pt jump shot from 14 ft,,0,0
1,11:35.0,,Defensive rebound by Team,0,0
1,11:19.0,,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Rubio),0,3
1,11:01.0,K. Kuzma misses 2-pt jump shot from 18 ft,,0,3
1,10:58.0,,Defensive rebound by D. Favors,0,3
1,10:52.0,,D. Favors misses 2-pt jump shot from 11 ft,0,3
1,10:49.0,Defensive rebound by K. Caldwell-Pope,,0,3
1,10:37.0,L. Stephenson misses 3-pt jump shot from 23 ft,,0,3
1,10:34.0,,Defensive rebound by J. Ingles,0,3
1,10:24.0,,R. Rubio misses 2-pt layup from 4 ft,0,3
1,10:22.0,,Offensive rebound by R. Gobert,0,3
1,10:22.0,,R. Gobert misses 2-pt layup from 2 ft,0,3
1,10:22.0,Defensive rebound by R. Rondo,,0,3
1,10:17.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,0,3
1,10:15.0,,Defensive rebound by J. Ingles,0,3
1,10:02.0,,D. Favors misses 2-pt hook shot from 2 ft (block by J. McGee),0,3
1,10:00.0,,Offensive rebound by R. Gobert,0,3
1,9:58.0,,J. Ingles misses 3-pt jump shot from 25 ft,0,3
1,9:56.0,Defensive rebound by R. Rondo,,0,3
1,9:50.0,L. Stephenson misses 2-pt layup from 3 ft,,0,3
1,9:48.0,,Defensive rebound by J. Ingles,0,3
1,9:43.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by J. Ingles),0,6
1,9:25.0,K. Kuzma makes 3-pt jump shot from 27 ft (assist by L. Stephenson),,3,6
1,9:08.0,,D. Favors makes 2-pt layup from 2 ft (assist by D. Mitchell),3,8
1,8:53.0,R. Rondo misses 2-pt layup from 3 ft,,3,8
1,8:52.0,Offensive rebound by J. McGee,,3,8
1,8:52.0,Shooting foul by R. Gobert (drawn by J. McGee),,3,8
1,8:52.0,J. McGee makes free throw 1 of 2,,4,8
1,8:52.0,J. McGee makes free throw 2 of 2,,5,8
1,8:38.0,,D. Favors makes 2-pt jump shot from 17 ft (assist by R. Rubio),5,10
1,8:17.0,K. Kuzma makes 3-pt jump shot from 28 ft (assist by R. Rondo),,8,10
1,7:59.0,,R. Gobert makes 2-pt hook shot from 4 ft (assist by J. Ingles),8,12
1,7:48.0,K. Kuzma makes 2-pt jump shot from 18 ft (assist by R. Rondo),,10,12
1,7:32.0,,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),10,14
