QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
1,11:44.0,J. Brown misses 3-pt jump shot from 27 ft,,0,0
1,11:40.0,,Defensive rebound by B. Bogdanović,0,0
1,11:20.0,,M. Turner misses 2-pt jump shot from 19 ft,0,0
1,11:17.0,Defensive rebound by J. Brown,,0,0
1,11:14.0,J. Tatum misses 3-pt jump shot from 25 ft,,0,0
1,11:07.0,,Defensive rebound by V. Oladipo,0,0
1,11:06.0,,Personal foul by J. Tatum (drawn by T. Young),0,0
1,11:00.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),0,2
1,10:43.0,A. Horford misses 3-pt jump shot from 27 ft,,0,2
1,10:40.0,,Defensive rebound by M. Turner,0,2
1,10:29.0,,Shooting foul by K. Irving (drawn by B. Bogdanović),0,2
1,10:29.0,,B. Bogdanović makes free throw 1 of 2,0,3
1,10:29.0,,B. Bogdanović misses free throw 2 of 2,0,3
1,10:27.0,Defensive rebound by J. Tatum,,0,3
1,10:15.0,K. Irving misses 3-pt jump shot from 26 ft,,0,3
1,10:12.0,,Defensive rebound by V. Oladipo,0,3
1,10:08.0,,V. Oladipo misses 3-pt jump shot from 28 ft,0,3
1,10:05.0,Defensive rebound by J. Brown,,0,3
1,10:01.0,Turnover by K. Irving (lost ball; steal by B. Bogdanović),,0,3
1,9:56.0,,D. Collison makes 2-pt layup from 3 ft (assist by V. Oladipo),0,5
1,9:36.0,G. Hayward misses 3-pt jump shot from 23 ft,,0,5
1,9:32.0,,Defensive rebound by T. Young,0,5
1,9:19.0,,B. Bogdanović misses 2-pt jump shot from 13 ft,0,5
1,9:15.0,Defensive rebound by J. Tatum,,0,5
1,9:12.0,J. Brown misses 2-pt layup from 1 ft,,0,5
1,9:08.0,Offensive rebound by G. Hayward,,0,5
1,9:08.0,G. Hayward misses 2-pt layup from 1 ft,,0,5
1,9:08.0,Offensive rebound by J. Brown,,0,5
1,9:08.0,J. Brown misses 2-pt layup from 1 ft,,0,5
1,9:08.0,,Defensive rebound by M. Turner,0,5
1,9:03.0,,T. Young makes 2-pt dunk from 2 ft (assist by D. Collison),0,7
1,8:48.0,G. Hayward misses 3-pt jump shot from 23 ft,,0,7
1,8:45.0,Offensive rebound by A. Horford,,0,7
1,8:45.0,A. Horford makes 2-pt layup from 1 ft,,2,7
1,8:26.0,,T. Young misses 2-pt hook shot from 2 ft,2,7
1,8:20.0,Defensive rebound by A. Horford,,2,7
1,8:16.0,J. Tatum misses 3-pt jump shot from 29 ft,,2,7
