QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
1,11:46.0,D. Green misses 2-pt layup from 9 ft (block by B. Lopez),,0,0
1,11:42.0,,Defensive rebound by E. İlyasova,0,0
1,11:31.0,,Turnover by B. Lopez (bad pass; steal by P. Siakam),0,0
1,11:27.0,Turnover by D. Green (step out of bounds),,0,0
1,11:12.0,,E. İlyasova makes 2-pt layup from 4 ft (assist by E. Bledsoe),0,2
1,10:57.0,P. Siakam makes 2-pt layup from 1 ft,,2,2
1,10:39.0,,B. Lopez misses 2-pt jump shot from 19 ft,2,2
1,10:35.0,,Offensive rebound by E. İlyasova,2,2
1,10:35.0,,E. İlyasova misses 2-pt layup at rim,2,2
1,10:34.0,Defensive rebound by D. Green,,2,2
1,10:33.0,P. Siakam misses 3-pt jump shot from 24 ft,,2,2
1,10:30.0,,Defensive rebound by M. Brogdon,2,2
1,10:27.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by K. Middleton),2,5
1,10:07.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by N. Powell),,4,5
1,9:54.0,,E. Bledsoe makes 2-pt layup from 1 ft,4,7
1,9:38.0,P. Siakam misses 2-pt layup from 1 ft,,4,7
1,9:33.0,,Defensive rebound by M. Brogdon,4,7
1,9:30.0,,M. Brogdon makes 2-pt layup from 2 ft,4,9
1,9:17.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by K. Lowry),,6,9
1,9:06.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,6,9
1,9:04.0,Defensive rebound by K. Lowry,,6,9
1,8:54.0,Turnover by P. Siakam (lost ball; steal by K. Middleton),,6,9
1,8:42.0,,M. Brogdon makes 2-pt layup from 3 ft,6,11
1,8:31.0,Personal foul by E. Bledsoe (drawn by S. Ibaka),,6,11
1,8:24.0,Offensive foul by P. Siakam (drawn by E. İlyasova),,6,11
1,8:24.0,Turnover by P. Siakam (offensive foul),,6,11
1,8:07.0,,M. Brogdon misses 2-pt layup from 2 ft (block by P. Siakam),6,11
1,8:03.0,,Offensive rebound by E. İlyasova,6,11
1,8:03.0,,E. İlyasova makes 2-pt layup from 1 ft,6,13
1,7:55.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),,8,13
1,7:42.0,,K. Middleton misses 3-pt jump shot from 27 ft,8,13
1,7:38.0,Defensive rebound by S. Ibaka,,8,13
1,7:34.0,K. Lowry misses 3-pt jump shot from 28 ft,,8,13
1,7:31.0,,Defensive rebound by B. Lopez,8,13
1,7:24.0,,B. Lopez misses 3-pt jump shot from 29 ft,8,13
1,7:21.0,Defensive rebound by P. Siakam,,8,13
1,7:14.0,P. Siakam makes 2-pt hook shot from 4 ft,,10,13
1,6:52.0,,E. Bledsoe misses 2-pt jump shot from 12 ft,10,13
1,6:50.0,Defensive rebound by K. Lowry,,10,13
