QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MEMPHIS_ACTION,LA LAKERS_SCORE,MEMPHIS_SCORE
1,11:42.0,B. Ingram makes 3-pt jump shot from 29 ft (assist by K. Kuzma),,3,0
1,11:26.0,,I. Rabb makes 2-pt hook shot from 9 ft,3,2
1,11:09.0,Turnover by L. James (lost ball; steal by A. Bradley),,3,2
1,10:55.0,,J. Valančiūnas makes 2-pt layup from 1 ft,3,4
1,10:40.0,J. McGee makes 2-pt dunk from 1 ft (assist by K. Kuzma),,5,4
1,10:28.0,,Shooting foul by J. McGee (drawn by J. Valančiūnas),5,4
1,10:28.0,,J. Valančiūnas makes free throw 1 of 2,5,5
1,10:28.0,,J. Valančiūnas makes free throw 2 of 2,5,6
1,10:16.0,B. Ingram makes 2-pt layup from 1 ft,,7,6
1,10:11.0,,Personal foul by K. Kuzma (drawn by I. Rabb),7,6
1,10:00.0,,M. Conley makes 2-pt jump shot from 15 ft,7,8
1,9:40.0,L. James makes 2-pt layup from 1 ft (assist by R. Bullock),,9,8
1,9:24.0,,Turnover by J. Valančiūnas (lost ball; steal by L. James),9,8
1,9:19.0,Turnover by K. Kuzma (bad pass),,9,8
1,9:07.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by M. Conley),9,10
1,8:50.0,L. James makes 2-pt layup from 1 ft,,11,10
1,8:40.0,,I. Rabb misses 2-pt jump shot from 9 ft,11,10
1,8:38.0,Defensive rebound by J. McGee,,11,10
1,8:31.0,J. McGee misses 2-pt jump shot from 10 ft,,11,10
1,8:28.0,,Defensive rebound by J. Valančiūnas,11,10
1,8:18.0,,J. Holiday misses 3-pt jump shot from 26 ft,11,10
1,8:14.0,Defensive rebound by J. McGee,,11,10
1,8:09.0,B. Ingram makes 2-pt layup from 2 ft,,13,10
1,7:53.0,,J. Holiday misses 3-pt jump shot from 23 ft,13,10
1,7:52.0,,Offensive rebound by J. Valančiūnas,13,10
1,7:52.0,,J. Valančiūnas makes 2-pt layup from 1 ft,13,12
1,7:52.0,,Shooting foul by J. McGee (drawn by J. Valančiūnas),13,12
1,7:52.0,T. Chandler enters the game for J. McGee,,13,12
1,7:52.0,,J. Valančiūnas misses free throw 1 of 1,13,12
1,7:49.0,Defensive rebound by L. James,,13,12
1,7:38.0,B. Ingram misses 2-pt jump shot from 12 ft,,13,12
1,7:35.0,,Defensive rebound by A. Bradley,13,12
1,7:27.0,,J. Valančiūnas misses 2-pt jump shot from 9 ft,13,12
1,7:24.0,,Offensive rebound by J. Valančiūnas,13,12
1,7:21.0,,J. Holiday misses 3-pt jump shot from 23 ft,13,12
1,7:19.0,,Offensive rebound by I. Rabb,13,12
1,7:15.0,,J. Valančiūnas misses 2-pt hook shot from 7 ft,13,12
1,7:10.0,,Offensive rebound by I. Rabb,13,12
1,7:10.0,,I. Rabb makes 2-pt layup at rim,13,14
1,6:58.0,K. Kuzma makes 2-pt layup from 1 ft (assist by L. James),,15,14
1,6:53.0,,Personal foul by T. Chandler (drawn by M. Conley),15,14
1,6:53.0,,Memphis full timeout,15,14
1,6:35.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by A. Bradley),15,16
1,6:15.0,L. James makes 2-pt layup from 1 ft (assist by T. Chandler),,17,16
1,6:04.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,17,16
1,5:59.0,Defensive rebound by L. James,,17,16
1,5:55.0,B. Ingram makes 2-pt layup from 1 ft (assist by L. James),,19,16
1,5:39.0,,A. Bradley misses 3-pt jump shot from 26 ft,19,16
1,5:36.0,,Offensive rebound by J. Valančiūnas,19,16
1,5:32.0,,J. Valančiūnas makes 2-pt jump shot from 6 ft,19,18
1,5:16.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by T. Chandler),,22,18
1,5:01.0,,A. Bradley makes 3-pt jump shot from 25 ft,22,21
1,4:48.0,Personal foul by J. Holiday (drawn by B. Ingram),,22,21
