QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
1,11:45.0,,Shooting foul by K. Leonard (drawn by G. Antetokounmpo),0,0
1,11:45.0,,G. Antetokounmpo misses free throw 1 of 2,0,0
1,11:45.0,,Offensive rebound by Team,0,0
1,11:45.0,,G. Antetokounmpo misses free throw 2 of 2,0,0
1,11:41.0,,Offensive rebound by K. Middleton,0,0
1,11:40.0,,K. Middleton misses 2-pt jump shot from 15 ft,0,0
1,11:37.0,Defensive rebound by M. Gasol,,0,0
1,11:26.0,D. Green misses 3-pt jump shot from 23 ft,,0,0
1,11:23.0,,Defensive rebound by K. Middleton,0,0
1,11:19.0,,E. Bledsoe makes 2-pt jump shot from 16 ft (assist by K. Middleton),0,2
1,11:03.0,Turnover by M. Gasol (bad pass; steal by B. Lopez),,0,2
1,10:57.0,,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),0,5
1,10:41.0,K. Leonard makes 3-pt jump shot from 27 ft,,3,5
1,10:29.0,,Shooting foul by P. Siakam (drawn by E. Bledsoe),3,5
1,10:29.0,,E. Bledsoe makes free throw 1 of 2,3,6
1,10:29.0,,E. Bledsoe makes free throw 2 of 2,3,7
1,10:25.0,Offensive foul by P. Siakam (drawn by B. Lopez),,3,7
1,10:25.0,Turnover by P. Siakam (offensive foul),,3,7
1,10:25.0,N. Powell enters the game for P. Siakam,,3,7
1,10:14.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,3,7
1,10:12.0,Defensive rebound by K. Leonard,,3,7
1,10:06.0,K. Lowry misses 3-pt jump shot from 23 ft,,3,7
1,10:02.0,,Defensive rebound by M. Brogdon,3,7
1,9:59.0,,Turnover by E. Bledsoe (bad pass; steal by K. Lowry),3,7
1,9:52.0,K. Lowry misses 3-pt jump shot from 28 ft,,3,7
1,9:47.0,,Defensive rebound by M. Brogdon,3,7
1,9:37.0,,B. Lopez makes 2-pt hook shot from 3 ft (assist by K. Middleton),3,9
1,9:23.0,Turnover by K. Lowry (bad pass; steal by M. Brogdon),,3,9
