QUARTER,TIME_REMAINING,MIAMI_ACTION,MILWAUKEE_ACTION,MIAMI_SCORE,MILWAUKEE_SCORE
1,11:47.0,,G. Antetokounmpo makes 2-pt hook shot from 4 ft (assist by K. Middleton),0,2
1,11:47.0,,Shooting foul by K. Olynyk (drawn by G. Antetokounmpo),0,2
1,11:47.0,,G. Antetokounmpo makes free throw 1 of 1,0,3
1,11:28.0,Turnover by K. Olynyk (lost ball; steal by T. Snell),,0,3
1,11:19.0,,K. Middleton misses 3-pt jump shot from 29 ft,0,3
1,11:16.0,Defensive rebound by K. Olynyk,,0,3
1,11:15.0,Turnover by D. Waiters (bad pass),,0,3
1,11:03.0,,Turnover by E. Bledsoe (bad pass),0,3
1,10:51.0,B. Adebayo makes 2-pt jump shot from 16 ft,,2,3
1,10:34.0,,Turnover by B. Lopez (lost ball),2,3
1,10:34.0,,Loose ball foul by B. Lopez (drawn by B. Adebayo),2,3
1,10:15.0,D. Waiters makes 3-pt jump shot from 27 ft (assist by D. Jones),,5,3
1,10:04.0,,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by K. Middleton),5,5
1,9:45.0,D. Jones makes 3-pt jump shot from 27 ft (assist by J. Richardson),,8,5
1,9:36.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),8,7
1,9:24.0,B. Adebayo makes 2-pt jump shot from 15 ft,,10,7
1,9:10.0,,Personal foul by B. Adebayo (drawn by G. Antetokounmpo),10,7
1,9:01.0,,G. Antetokounmpo makes 2-pt hook shot from 5 ft (assist by B. Lopez),10,9
1,8:48.0,K. Olynyk misses 3-pt jump shot from 25 ft,,10,9
1,8:45.0,,Defensive rebound by G. Antetokounmpo,10,9
1,8:35.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,10,11
1,8:09.0,B. Adebayo misses 2-pt jump shot from 17 ft,,10,11
1,8:05.0,Offensive rebound by D. Jones,,10,11
1,8:04.0,D. Jones makes 2-pt layup from 1 ft,,12,11
1,7:45.0,,B. Lopez misses 2-pt jump shot from 12 ft,12,11
1,7:38.0,,Offensive rebound by K. Middleton,12,11
