QUARTER,TIME_REMAINING,PHOENIX_ACTION,DENVER_ACTION,PHOENIX_SCORE,DENVER_SCORE
1,11:44.0,,G. Harris makes 3-pt jump shot from 22 ft (assist by J. Murray),0,3
1,11:27.0,Turnover by J. Jackson (bad pass; steal by P. Millsap),,0,3
1,11:20.0,,W. Barton misses 3-pt jump shot from 24 ft,0,3
1,11:18.0,Defensive rebound by D. Bender,,0,3
1,11:08.0,E. Okobo misses 3-pt jump shot from 25 ft,,0,3
1,11:04.0,,Defensive rebound by P. Millsap,0,3
1,10:57.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by M. Plumlee),0,6
1,10:43.0,J. Jackson makes 2-pt layup from 4 ft (assist by D. Bender),,2,6
1,10:43.0,Shooting foul by J. Murray (drawn by J. Jackson),,2,6
1,10:43.0,J. Jackson makes free throw 1 of 1,,3,6
1,10:32.0,,J. Murray makes 2-pt jump shot from 16 ft,3,8
1,10:14.0,D. Booker misses 2-pt jump shot from 12 ft,,3,8
1,10:12.0,,Defensive rebound by P. Millsap,3,8
1,10:03.0,,P. Millsap makes 2-pt dunk from 2 ft (assist by M. Plumlee),3,10
1,9:49.0,Offensive foul by D. Booker (drawn by M. Plumlee),,3,10
1,9:49.0,Turnover by D. Booker (offensive foul),,3,10
1,9:39.0,,J. Murray misses 2-pt jump shot from 14 ft,3,10
1,9:34.0,Defensive rebound by E. Okobo,,3,10
1,9:33.0,,Violation by Team (kicked ball),3,10
1,9:21.0,D. Booker misses 3-pt jump shot from 24 ft,,3,10
1,9:17.0,,Defensive rebound by P. Millsap,3,10
1,9:13.0,,W. Barton makes 2-pt dunk at rim (assist by P. Millsap),3,12
1,9:09.0,Phoenix full timeout,,3,12
1,9:00.0,J. Jackson makes 2-pt layup from 1 ft (assist by E. Okobo),,5,12
1,8:34.0,,P. Millsap misses 2-pt layup from 2 ft (block by J. Jackson),5,12
1,8:32.0,Defensive rebound by M. Bridges,,5,12
1,8:29.0,D. Booker misses 2-pt layup from 1 ft,,5,12
1,8:26.0,,Defensive rebound by G. Harris,5,12
1,8:23.0,,Shooting foul by E. Okobo (drawn by G. Harris),5,12
1,8:23.0,,G. Harris makes free throw 1 of 2,5,13
1,8:23.0,,G. Harris makes free throw 2 of 2,5,14
1,8:05.0,Turnover by D. Booker (bad pass; steal by G. Harris),,5,14
1,7:49.0,,Turnover by P. Millsap (bad pass; steal by D. Bender),5,14
1,7:44.0,J. Jackson misses 2-pt layup from 2 ft,,5,14
1,7:42.0,,Defensive rebound by P. Millsap,5,14
1,7:38.0,,J. Murray makes 3-pt jump shot from 25 ft,5,17
1,7:19.0,D. Booker makes 3-pt jump shot from 28 ft (assist by E. Okobo),,8,17
1,7:00.0,,J. Murray misses 2-pt layup from 6 ft,8,17
1,6:56.0,,Offensive rebound by M. Plumlee,8,17
1,6:56.0,,M. Plumlee misses 2-pt layup from 1 ft,8,17
1,6:55.0,Defensive rebound by M. Bridges,,8,17
1,6:51.0,D. Booker makes 2-pt jump shot from 4 ft,,10,17
1,6:28.0,,G. Harris misses 3-pt jump shot from 26 ft,10,17
1,6:26.0,Defensive rebound by Team,,10,17
1,6:26.0,K. Oubre enters the game for M. Bridges,,10,17
1,6:11.0,D. Booker makes 2-pt layup from 2 ft,,12,17
1,6:02.0,,Personal foul by J. Jackson (drawn by P. Millsap),12,17
1,6:02.0,,T. Craig enters the game for G. Harris,12,17
1,5:53.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by P. Millsap),12,19
1,5:37.0,D. Bender makes 3-pt jump shot from 25 ft (assist by K. Oubre),,15,19
1,5:23.0,,J. Murray makes 2-pt layup from 3 ft,15,21
1,5:11.0,Shooting foul by P. Millsap (drawn by J. Jackson),,15,21
1,5:11.0,J. Jackson makes free throw 1 of 2,,16,21
1,5:11.0,,T. Lyles enters the game for M. Plumlee,16,21
