QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
1,11:43.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by J. Murray),,3,0
1,11:22.0,,C. McCollum misses 3-pt jump shot from 27 ft,3,0
1,11:18.0,Defensive rebound by G. Harris,,3,0
1,11:03.0,,Violation by Team (kicked ball),3,0
1,10:55.0,Turnover by J. Murray (lost ball; steal by C. McCollum),,3,0
1,10:53.0,,C. McCollum makes 2-pt dunk from 1 ft (assist by J. Nurkić),3,2
1,10:27.0,Turnover by J. Hernangómez (lost ball; steal by M. Harkless),,3,2
1,10:03.0,,J. Nurkić makes 2-pt layup from 1 ft,3,4
1,9:50.0,J. Murray misses 2-pt jump shot from 5 ft,,3,4
1,9:48.0,Offensive rebound by N. Jokić,,3,4
1,9:45.0,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by N. Jokić),,6,4
1,9:28.0,,C. McCollum makes 2-pt jump shot from 15 ft (assist by D. Lillard),6,6
1,9:08.0,J. Hernangómez makes 3-pt jump shot from 27 ft (assist by J. Murray),,9,6
1,8:51.0,,J. Nurkić makes 2-pt jump shot from 18 ft,9,8
1,8:37.0,G. Harris makes 2-pt layup from 3 ft (assist by N. Jokić),,11,8
1,8:24.0,,Turnover by A. Aminu (lost ball; steal by P. Millsap),11,8
1,8:22.0,J. Murray misses 2-pt layup from 1 ft,,11,8
1,8:21.0,Offensive rebound by J. Hernangómez,,11,8
1,8:21.0,J. Hernangómez misses 2-pt layup from 6 ft,,11,8
1,8:19.0,,Defensive rebound by A. Aminu,11,8
1,8:10.0,,C. McCollum makes 2-pt layup from 1 ft,11,10
1,7:51.0,N. Jokić makes 2-pt layup from 2 ft,,13,10
1,7:38.0,,C. McCollum makes 2-pt layup from 3 ft,13,12
1,7:22.0,Shooting foul by C. McCollum (drawn by J. Hernangómez),,13,12
1,7:22.0,J. Hernangómez makes free throw 1 of 2,,14,12
1,7:22.0,J. Hernangómez misses free throw 2 of 2,,14,12
1,7:20.0,,Defensive rebound by M. Harkless,14,12
1,7:10.0,,A. Aminu makes 3-pt jump shot from 27 ft (assist by D. Lillard),14,15
1,6:54.0,J. Murray makes 2-pt layup from 2 ft,,16,15
1,6:41.0,,D. Lillard misses 3-pt jump shot from 28 ft,16,15
1,6:39.0,Defensive rebound by J. Hernangómez,,16,15
1,6:28.0,G. Harris makes 2-pt layup at rim (assist by N. Jokić),,18,15
1,6:28.0,Shooting foul by J. Nurkić (drawn by G. Harris),,18,15
1,6:28.0,,Portland full timeout,18,15
1,6:28.0,G. Harris makes free throw 1 of 1,,19,15
1,6:15.0,,M. Harkless misses 2-pt jump shot from 8 ft,19,15
1,6:12.0,Defensive rebound by P. Millsap,,19,15
1,6:08.0,Personal foul by A. Aminu (drawn by N. Jokić),,19,15
1,6:00.0,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),,21,15
1,5:44.0,,M. Harkless makes 2-pt layup from 1 ft (assist by A. Aminu),21,17
1,5:22.0,P. Millsap makes 2-pt jump shot from 4 ft,,23,17
1,5:05.0,,Turnover by M. Harkless (bad pass; steal by P. Millsap),23,17
1,5:04.0,Shooting foul by M. Harkless (drawn by P. Millsap),,23,17
1,5:04.0,M. Morris enters the game for J. Murray,,23,17
1,5:04.0,,E. Turner enters the game for M. Harkless,23,17
1,5:04.0,P. Millsap makes free throw 1 of 2,,24,17
1,5:04.0,P. Millsap makes free throw 2 of 2,,25,17
1,4:45.0,,C. McCollum misses 2-pt jump shot from 15 ft,25,17
1,4:44.0,Defensive rebound by J. Hernangómez,,25,17
1,4:25.0,G. Harris makes 3-pt jump shot from 22 ft (assist by J. Hernangómez),,28,17
1,4:04.0,,D. Lillard misses 3-pt jump shot from 27 ft,28,17
1,4:03.0,Defensive rebound by J. Hernangómez,,28,17
1,3:54.0,P. Millsap misses 2-pt jump shot from 4 ft,,28,17
1,3:52.0,,Defensive rebound by E. Turner,28,17
1,3:42.0,,Shooting foul by J. Hernangómez (drawn by A. Aminu),28,17
1,3:42.0,,A. Aminu makes free throw 1 of 2,28,18
1,3:42.0,,M. Leonard enters the game for J. Nurkić,28,18
1,3:42.0,,A. Aminu makes free throw 2 of 2,28,19
1,3:24.0,G. Harris misses 2-pt layup from 3 ft (block by C. McCollum),,28,19
1,3:24.0,Offensive rebound by Team,,28,19
1,3:24.0,M. Plumlee enters the game for N. Jokić,,28,19
