QUARTER,TIME_REMAINING,NEW YORK_ACTION,OKLAHOMA CITY_ACTION,NEW YORK_SCORE,OKLAHOMA CITY_SCORE
1,11:46.0,,P. George misses 3-pt jump shot from 26 ft,0,0
1,11:42.0,Defensive rebound by K. Knox,,0,0
1,11:41.0,Turnover by K. Knox (out of bounds lost ball),,0,0
1,11:31.0,,S. Adams makes 2-pt dunk at rim (assist by D. Schröder),0,2
1,11:19.0,Personal foul by P. George (drawn by T. Hardaway),,0,2
1,11:11.0,Turnover by T. Hardaway (lost ball; steal by D. Schröder),,0,2
1,11:07.0,,T. Ferguson makes 2-pt layup from 2 ft (assist by D. Schröder),0,4
1,10:53.0,M. Robinson makes 2-pt hook shot from 7 ft (assist by E. Mudiay),,2,4
1,10:41.0,,D. Schröder makes 2-pt jump shot from 15 ft,2,6
1,10:27.0,E. Mudiay makes 2-pt jump shot from 13 ft (assist by M. Robinson),,4,6
1,10:13.0,,S. Adams makes 2-pt dunk from 1 ft (assist by P. George),4,8
1,10:01.0,K. Knox makes 2-pt jump shot from 3 ft,,6,8
1,9:39.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by T. Ferguson),6,11
1,9:28.0,M. Robinson misses 2-pt layup from 2 ft,,6,11
1,9:26.0,,Defensive rebound by J. Grant,6,11
1,9:16.0,,S. Adams misses 2-pt hook shot from 2 ft,6,11
1,9:12.0,Defensive rebound by T. Hardaway,,6,11
1,9:06.0,T. Hardaway misses 2-pt layup from 2 ft (block by P. George),,6,11
1,9:05.0,,Defensive rebound by S. Adams,6,11
1,9:02.0,,D. Schröder misses 2-pt jump shot from 1 ft (block by M. Robinson),6,11
1,9:01.0,,Offensive rebound by P. George,6,11
1,9:01.0,,Shooting foul by K. Knox (drawn by P. George),6,11
1,9:01.0,,P. George makes free throw 1 of 2,6,12
1,9:01.0,,P. George makes free throw 2 of 2,6,13
1,8:50.0,T. Hardaway misses 3-pt jump shot from 26 ft,,6,13
1,8:47.0,,Defensive rebound by T. Ferguson,6,13
1,8:36.0,,P. George makes 2-pt jump shot from 12 ft,6,15
1,8:24.0,E. Mudiay makes 2-pt layup from 1 ft,,8,15
1,8:13.0,,Personal foul by M. Robinson (drawn by S. Adams),8,15
1,8:05.0,,P. George makes 2-pt jump shot from 9 ft,8,17
1,7:53.0,K. Knox misses 3-pt jump shot from 23 ft,,8,17
1,7:53.0,,Defensive rebound by J. Grant,8,17
1,7:45.0,,Offensive foul by J. Grant (drawn by N. Vonleh),8,17
1,7:45.0,,Turnover by J. Grant (offensive foul),8,17
1,7:34.0,K. Knox misses 2-pt layup from 3 ft,,8,17
1,7:32.0,,Defensive rebound by S. Adams,8,17
1,7:29.0,,P. George misses 3-pt jump shot from 25 ft,8,17
1,7:26.0,,Offensive rebound by S. Adams,8,17
1,7:23.0,,J. Grant makes 2-pt layup from 2 ft (assist by S. Adams),8,19
1,7:18.0,New York full timeout,,8,19
1,7:12.0,T. Hardaway makes 3-pt jump shot from 26 ft,,11,19
1,6:48.0,,Offensive foul by J. Grant (drawn by T. Hardaway),11,19
1,6:48.0,,Turnover by J. Grant (offensive foul),11,19
1,6:30.0,Shooting foul by P. George (drawn by T. Hardaway),,11,19
1,6:30.0,T. Hardaway makes free throw 1 of 2,,12,19
1,6:30.0,A. Trier enters the game for N. Vonleh,,12,19
1,6:30.0,,P. Patterson enters the game for J. Grant,12,19
