QUARTER,TIME_REMAINING,PORTLAND_ACTION,OKLAHOMA CITY_ACTION,PORTLAND_SCORE,OKLAHOMA CITY_SCORE
1,11:46.0,D. Lillard misses 3-pt jump shot from 25 ft,,0,0
1,11:43.0,,Defensive rebound by S. Adams,0,0
1,11:29.0,,P. George makes 2-pt jump shot from 10 ft,0,2
1,11:11.0,M. Harkless misses 2-pt layup from 2 ft,,0,2
1,11:09.0,,Defensive rebound by S. Adams,0,2
1,11:05.0,,P. George misses 3-pt jump shot from 26 ft,0,2
1,11:01.0,Defensive rebound by A. Aminu,,0,2
1,10:54.0,Turnover by D. Lillard (bad pass; steal by T. Ferguson),,0,2
1,10:51.0,,T. Ferguson makes 2-pt layup from 1 ft,0,4
1,10:35.0,J. Nurkić misses 3-pt jump shot from 25 ft,,0,4
1,10:31.0,,Defensive rebound by T. Ferguson,0,4
1,10:25.0,,S. Adams makes 2-pt jump shot from 8 ft (assist by R. Westbrook),0,6
1,10:03.0,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),,2,6
1,9:56.0,,Shooting foul by M. Harkless (drawn by P. George),2,6
1,9:56.0,,P. George makes free throw 1 of 2,2,7
1,9:56.0,,P. George makes free throw 2 of 2,2,8
1,9:42.0,Personal foul by J. Grant (drawn by A. Aminu),,2,8
1,9:28.0,Turnover by J. Nurkić (lost ball; steal by P. George),,2,8
1,9:24.0,,Shooting foul by A. Aminu (drawn by J. Grant),2,8
1,9:24.0,,J. Grant misses free throw 1 of 2,2,8
1,9:24.0,,Offensive rebound by Team,2,8
1,9:24.0,,J. Grant makes free throw 2 of 2,2,9
1,9:05.0,C. McCollum misses 2-pt jump shot from 8 ft,,2,9
1,9:01.0,Offensive rebound by J. Nurkić,,2,9
1,9:01.0,J. Nurkić misses 2-pt layup at rim,,2,9
1,8:59.0,Offensive rebound by J. Nurkić,,2,9
1,8:59.0,J. Nurkić makes 2-pt layup at rim,,4,9
1,8:54.0,,S. Adams makes 2-pt hook shot from 5 ft (assist by R. Westbrook),4,11
1,8:43.0,Shooting foul by T. Ferguson (drawn by J. Nurkić),,4,11
1,8:43.0,J. Nurkić misses free throw 1 of 2,,4,11
1,8:43.0,Offensive rebound by Team,,4,11
1,8:43.0,J. Nurkić makes free throw 2 of 2,,5,11
1,8:34.0,,Turnover by R. Westbrook (bad pass),5,11
1,8:27.0,D. Lillard misses 3-pt jump shot from 25 ft,,5,11
1,8:24.0,Offensive rebound by M. Harkless,,5,11
1,8:23.0,M. Harkless misses 2-pt layup from 1 ft,,5,11
1,8:21.0,Offensive rebound by J. Nurkić,,5,11
1,8:17.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,7,11
1,8:03.0,,R. Westbrook makes 2-pt jump shot from 17 ft,7,13
1,7:51.0,C. McCollum makes 2-pt layup from 1 ft,,9,13
1,7:40.0,,Turnover by R. Westbrook (lost ball; steal by D. Lillard),9,13
1,7:34.0,Personal foul by S. Adams (drawn by D. Lillard),,9,13
1,7:20.0,Shooting foul by P. George (drawn by A. Aminu),,9,13
1,7:20.0,A. Aminu misses free throw 1 of 2,,9,13
1,7:20.0,Offensive rebound by Team,,9,13
1,7:20.0,,Oklahoma City full timeout,9,13
1,7:20.0,A. Aminu makes free throw 2 of 2,,10,13
1,7:09.0,,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),10,16
1,6:47.0,C. McCollum misses 3-pt jump shot from 24 ft,,10,16
1,6:44.0,Offensive rebound by J. Nurkić,,10,16
1,6:44.0,J. Nurkić misses 2-pt layup at rim,,10,16
1,6:44.0,,Defensive rebound by Team,10,16
1,6:37.0,,Personal foul by M. Harkless (drawn by J. Grant),10,16
1,6:33.0,,Shooting foul by D. Lillard (drawn by R. Westbrook),10,16
1,6:33.0,,R. Westbrook makes free throw 1 of 2,10,17
1,6:33.0,E. Turner enters the game for M. Harkless,,10,17
1,6:33.0,,R. Westbrook makes free throw 2 of 2,10,18
1,6:22.0,A. Aminu misses 3-pt jump shot from 25 ft,,10,18
1,6:18.0,,Defensive rebound by T. Ferguson,10,18
1,6:13.0,,P. George misses 3-pt jump shot from 25 ft,10,18
1,6:10.0,Defensive rebound by Team,,10,18
1,6:10.0,,D. Schröder enters the game for P. George,10,18
1,6:00.0,Shooting foul by D. Schröder (drawn by D. Lillard),,10,18
1,6:00.0,D. Lillard makes free throw 1 of 2,,11,18
1,6:00.0,J. Layman enters the game for E. Turner,,11,18
1,6:00.0,D. Lillard makes free throw 2 of 2,,12,18
1,5:48.0,,T. Ferguson misses 3-pt jump shot from 25 ft,12,18
1,5:44.0,Defensive rebound by A. Aminu,,12,18
1,5:24.0,C. McCollum misses 2-pt layup from 6 ft,,12,18
1,5:21.0,,Defensive rebound by J. Grant,12,18
1,5:09.0,,J. Grant misses 2-pt layup from 2 ft (block by J. Nurkić),12,18
1,5:07.0,Defensive rebound by J. Nurkić,,12,18
1,4:57.0,Personal foul by R. Westbrook (drawn by J. Nurkić),,12,18
1,4:57.0,J. Nurkić makes free throw 1 of 2,,13,18
1,4:57.0,J. Nurkić misses free throw 2 of 2,,13,18
1,4:55.0,,Defensive rebound by J. Grant,13,18
1,4:45.0,,R. Westbrook misses 2-pt jump shot from 11 ft,13,18
1,4:41.0,Defensive rebound by A. Aminu,,13,18
1,4:31.0,Turnover by J. Nurkić (bad pass; steal by T. Ferguson),,13,18
1,4:27.0,,Turnover by S. Adams (lost ball; steal by D. Lillard),13,18
