QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MINNESOTA_ACTION,NEW ORLEANS_SCORE,MINNESOTA_SCORE
1,11:45.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,2,0
1,11:15.0,,J. Okogie makes 2-pt layup from 3 ft,2,2
1,11:06.0,A. Davis makes 3-pt jump shot from 26 ft (assist by E. Moore),,5,2
1,10:52.0,,K. Towns misses 3-pt jump shot from 25 ft,5,2
1,10:49.0,Defensive rebound by E. Moore,,5,2
1,10:46.0,Turnover by A. Davis (traveling),,5,2
1,10:35.0,,A. Wiggins misses 3-pt jump shot from 25 ft (block by J. Holiday),5,2
1,10:32.0,Defensive rebound by A. Davis,,5,2
1,10:30.0,J. Holiday makes 2-pt layup from 1 ft (assist by A. Davis),,7,2
1,10:21.0,,A. Wiggins misses 2-pt layup from 11 ft,7,2
1,10:16.0,,Offensive rebound by K. Towns,7,2
1,10:16.0,,K. Towns makes 2-pt layup at rim,7,4
1,10:08.0,E. Payton makes 3-pt jump shot from 26 ft (assist by J. Randle),,10,4
1,9:50.0,,K. Towns misses 2-pt hook shot from 8 ft,10,4
1,9:48.0,,Offensive rebound by K. Towns,10,4
1,9:46.0,,K. Towns misses 2-pt hook shot from 4 ft,10,4
1,9:44.0,,Offensive rebound by K. Towns,10,4
1,9:38.0,,J. Teague misses 3-pt jump shot from 22 ft,10,4
1,9:36.0,Defensive rebound by J. Randle,,10,4
1,9:25.0,E. Moore misses 3-pt jump shot from 27 ft,,10,4
1,9:21.0,,Defensive rebound by K. Towns,10,4
1,9:20.0,,Turnover by K. Towns (bad pass),10,4
1,9:05.0,A. Davis misses 2-pt jump shot from 13 ft,,10,4
1,9:02.0,,Defensive rebound by J. Teague,10,4
1,9:00.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),10,6
1,8:52.0,A. Davis misses 2-pt layup from 1 ft,,10,6
1,8:50.0,Offensive rebound by A. Davis,,10,6
1,8:50.0,A. Davis misses 2-pt layup from 1 ft,,10,6
1,8:50.0,Offensive rebound by Team,,10,6
1,8:50.0,,Loose ball foul by T. Gibson (drawn by A. Davis),10,6
1,8:48.0,J. Holiday misses 2-pt jump shot from 9 ft,,10,6
1,8:44.0,Offensive rebound by J. Holiday,,10,6
1,8:44.0,J. Holiday makes 2-pt layup from 1 ft,,12,6
1,8:36.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),12,8
1,8:23.0,A. Davis makes 2-pt jump shot from 21 ft (assist by E. Payton),,14,8
1,8:07.0,,A. Wiggins misses 3-pt jump shot from 28 ft,14,8
1,8:05.0,Defensive rebound by J. Randle,,14,8
1,7:58.0,Turnover by J. Randle (bad pass; steal by A. Wiggins),,14,8
1,7:53.0,,J. Teague misses 3-pt jump shot from 24 ft,14,8
1,7:50.0,Defensive rebound by E. Moore,,14,8
1,7:48.0,Turnover by J. Randle (bad pass),,14,8
1,7:40.0,,J. Okogie misses 3-pt jump shot from 25 ft,14,8
1,7:38.0,Defensive rebound by A. Davis,,14,8
1,7:30.0,Turnover by E. Payton (bad pass),,14,8
1,7:19.0,,K. Towns makes 2-pt jump shot from 17 ft (assist by J. Teague),14,10
1,6:59.0,Turnover by E. Moore (bad pass),,14,10
