QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
1,11:53.0,,Turnover by N. Jokić (bad pass),0,0
1,11:33.0,L. Aldridge misses 2-pt jump shot from 17 ft,,0,0
1,11:31.0,,Defensive rebound by M. Plumlee,0,0
1,11:24.0,,J. Murray misses 2-pt jump shot from 15 ft,0,0
1,11:19.0,,Offensive rebound by M. Plumlee,0,0
1,11:18.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,0,0
1,11:15.0,,Offensive rebound by M. Plumlee,0,0
1,11:14.0,,J. Hernangómez makes 2-pt layup from 1 ft (assist by M. Plumlee),0,2
1,11:14.0,San Antonio full timeout,,0,2
1,10:49.0,R. Gay makes 2-pt jump shot from 5 ft (assist by L. Aldridge),,2,2
1,10:28.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),2,5
1,10:17.0,D. DeRozan makes 2-pt jump shot from 15 ft,,4,5
1,9:55.0,,N. Jokić misses 3-pt jump shot from 25 ft,4,5
1,9:52.0,Defensive rebound by D. DeRozan,,4,5
1,9:42.0,Turnover by D. DeRozan (bad pass),,4,5
1,9:28.0,,J. Murray misses 2-pt jump shot from 13 ft,4,5
1,9:25.0,Defensive rebound by B. Forbes,,4,5
1,9:20.0,B. Forbes makes 3-pt jump shot from 25 ft,,7,5
1,9:05.0,,N. Jokić makes 2-pt jump shot from 4 ft (assist by J. Murray),7,7
1,8:43.0,R. Gay makes 2-pt layup from 3 ft (assist by B. Forbes),,9,7
1,8:24.0,,T. Craig makes 3-pt jump shot from 25 ft (assist by J. Hernangómez),9,10
1,8:08.0,B. Forbes misses 2-pt layup from 3 ft,,9,10
1,8:06.0,,Defensive rebound by N. Jokić,9,10
1,8:02.0,,Personal foul by R. Gay (drawn by M. Plumlee),9,10
1,7:46.0,,J. Murray misses 3-pt jump shot from 25 ft,9,10
1,7:43.0,,Offensive rebound by M. Plumlee,9,10
1,7:41.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by M. Plumlee),9,13
1,7:20.0,D. DeRozan misses 2-pt jump shot from 20 ft,,9,13
1,7:19.0,,Defensive rebound by N. Jokić,9,13
1,7:00.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by M. Plumlee),9,15
1,7:00.0,San Antonio full timeout,,9,15
1,6:50.0,Personal foul by N. Jokić (drawn by L. Aldridge),,9,15
1,6:38.0,R. Gay misses 3-pt jump shot from 23 ft,,9,15
1,6:36.0,,Defensive rebound by N. Jokić,9,15
1,6:31.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,9,15
1,6:27.0,,Offensive rebound by M. Plumlee,9,15
1,6:24.0,,Turnover by T. Craig (out of bounds lost ball),9,15
1,6:24.0,P. Mills enters the game for D. White,,9,15
1,6:00.0,R. Gay misses 2-pt jump shot from 15 ft,,9,15
1,5:56.0,,Defensive rebound by J. Murray,9,15
1,5:49.0,,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),9,17
1,5:31.0,B. Forbes misses 2-pt jump shot from 7 ft,,9,17
1,5:30.0,Offensive rebound by L. Aldridge,,9,17
1,5:29.0,L. Aldridge makes 2-pt layup from 1 ft,,11,17
1,5:08.0,,Personal foul by P. Mills (drawn by M. Plumlee),11,17
1,5:08.0,M. Belinelli enters the game for B. Forbes,,11,17
1,5:08.0,D. Bertāns enters the game for R. Gay,,11,17
1,5:08.0,,M. Morris enters the game for N. Jokić,11,17
1,4:58.0,,J. Murray misses 2-pt jump shot from 9 ft,11,17
1,4:54.0,,Offensive rebound by J. Murray,11,17
1,4:54.0,,J. Murray misses 2-pt layup at rim,11,17
1,4:54.0,,Offensive rebound by J. Murray,11,17
1,4:54.0,,Shooting foul by D. Bertāns (drawn by J. Murray),11,17
1,4:54.0,,J. Murray misses free throw 1 of 2,11,17
1,4:54.0,,Offensive rebound by Team,11,17
1,4:54.0,,J. Murray makes free throw 2 of 2,11,18
1,4:38.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by P. Mills),,14,18
1,4:25.0,,M. Morris misses 2-pt jump shot from 8 ft,14,18
1,4:23.0,,Offensive rebound by M. Morris,14,18
1,4:21.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,14,18
1,4:18.0,Defensive rebound by D. Bertāns,,14,18
1,4:07.0,L. Aldridge misses 2-pt jump shot from 9 ft,,14,18
1,4:04.0,,Defensive rebound by T. Craig,14,18
1,3:50.0,,T. Craig misses 3-pt jump shot from 24 ft,14,18
1,3:45.0,Defensive rebound by M. Belinelli,,14,18
1,3:39.0,M. Belinelli makes 2-pt layup from 3 ft,,16,18
1,3:39.0,,Violation by Team (def goaltending),16,18
1,3:39.0,,Denver full timeout,16,18
1,3:39.0,,M. Beasley enters the game for T. Craig,16,18
1,3:39.0,,N. Jokić enters the game for M. Plumlee,16,18
1,3:19.0,,J. Murray makes 3-pt jump shot from 28 ft (assist by M. Morris),16,21
1,3:05.0,Turnover by M. Belinelli (step out of bounds),,16,21
1,3:05.0,,T. Lyles enters the game for J. Hernangómez,16,21
1,2:52.0,,M. Beasley makes 2-pt jump shot from 15 ft (assist by N. Jokić),16,23
1,2:36.0,Personal foul by T. Lyles (drawn by L. Aldridge),,16,23
1,2:36.0,R. Gay enters the game for D. DeRozan,,16,23
1,2:26.0,L. Aldridge misses 2-pt jump shot from 10 ft,,16,23
1,2:22.0,,Defensive rebound by T. Lyles,16,23
1,2:09.0,,N. Jokić makes 2-pt jump shot from 5 ft (assist by T. Lyles),16,25
1,2:02.0,P. Mills misses 3-pt jump shot from 25 ft,,16,25
1,1:59.0,,Defensive rebound by M. Morris,16,25
1,1:48.0,,J. Murray misses 2-pt layup from 2 ft,16,25
1,1:46.0,Defensive rebound by M. Belinelli,,16,25
1,1:38.0,L. Aldridge makes 2-pt layup from 1 ft (assist by R. Gay),,18,25
1,1:15.0,,T. Lyles makes 2-pt layup from 2 ft,18,27
1,1:09.0,Shooting foul by M. Morris (drawn by P. Mills),,18,27
1,1:09.0,P. Mills makes free throw 1 of 2,,19,27
1,1:09.0,J. Poeltl enters the game for L. Aldridge,,19,27
1,1:09.0,,B. Goodwin enters the game for J. Murray,19,27
