QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA LAKERS_ACTION,BROOKLYN_SCORE,LA LAKERS_SCORE
1,11:43.0,,J. McGee makes 2-pt hook shot from 1 ft (assist by L. James),0,2
1,11:22.0,D. Carroll misses 3-pt jump shot from 26 ft,,0,2
1,11:20.0,Offensive rebound by J. Allen,,0,2
1,11:20.0,J. Allen makes 2-pt dunk from 2 ft,,2,2
1,11:09.0,,K. Kuzma misses 2-pt layup from 2 ft,2,2
1,11:08.0,Defensive rebound by J. Allen,,2,2
1,11:06.0,D. Russell misses 2-pt layup from 1 ft,,2,2
1,11:06.0,Offensive rebound by J. Allen,,2,2
1,11:00.0,J. Allen makes 2-pt dunk from 1 ft,,4,2
1,10:54.0,,Personal foul by R. Kurucs (drawn by L. James),4,2
1,10:45.0,,L. James misses 2-pt jump shot from 4 ft,4,2
1,10:43.0,Defensive rebound by R. Kurucs,,4,2
1,10:34.0,J. Allen misses 2-pt layup from 1 ft (block by J. McGee),,4,2
1,10:31.0,,Defensive rebound by J. McGee,4,2
1,10:22.0,,J. McGee makes 2-pt layup from 2 ft (assist by L. James),4,4
1,10:12.0,Turnover by D. Russell (lost ball; steal by R. Bullock),,4,4
1,10:07.0,,K. Kuzma misses 3-pt jump shot from 26 ft,4,4
1,10:03.0,Defensive rebound by J. Harris,,4,4
1,9:55.0,Turnover by J. Allen (lost ball; steal by R. Rondo),,4,4
1,9:45.0,,J. McGee makes 2-pt layup from 1 ft (assist by R. Rondo),4,6
1,9:34.0,Personal foul by R. Bullock (drawn by J. Harris),,4,6
1,9:22.0,J. Harris misses 2-pt jump shot from 10 ft,,4,6
1,9:20.0,,Defensive rebound by J. McGee,4,6
1,9:13.0,,Personal foul by D. Russell (drawn by K. Kuzma),4,6
1,9:01.0,,L. James misses 2-pt jump shot from 9 ft,4,6
1,9:01.0,,Offensive rebound by J. McGee,4,6
1,8:59.0,,J. McGee misses 2-pt layup from 2 ft,4,6
1,8:58.0,,Offensive rebound by J. McGee,4,6
1,8:50.0,,J. McGee makes 2-pt layup at rim,4,8
1,8:46.0,R. Kurucs makes 3-pt jump shot from 23 ft (assist by D. Russell),,7,8
1,8:23.0,,K. Kuzma misses 3-pt jump shot from 27 ft,7,8
1,8:21.0,Defensive rebound by D. Carroll,,7,8
1,8:15.0,D. Carroll misses 3-pt jump shot from 28 ft,,7,8
1,8:14.0,,Defensive rebound by J. McGee,7,8
1,8:07.0,,K. Kuzma misses 2-pt layup from 2 ft,7,8
1,8:05.0,Defensive rebound by J. Allen,,7,8
1,8:01.0,J. Harris makes 3-pt jump shot from 23 ft (assist by R. Kurucs),,10,8
1,7:36.0,,J. McGee makes 2-pt dunk from 3 ft (assist by L. James),10,10
1,7:21.0,D. Russell makes 2-pt layup from 2 ft,,12,10
1,7:07.0,,R. Rondo misses 3-pt jump shot from 25 ft,12,10
1,7:04.0,Defensive rebound by J. Allen,,12,10
1,6:59.0,D. Carroll misses 3-pt jump shot from 25 ft,,12,10
1,6:58.0,,Defensive rebound by Team,12,10
1,6:58.0,,LA Lakers full timeout,12,10
