QUARTER,TIME_REMAINING,DENVER_ACTION,GOLDEN STATE_ACTION,DENVER_SCORE,GOLDEN STATE_SCORE
1,11:46.0,,K. Durant makes 2-pt jump shot from 14 ft (assist by D. Green),0,2
1,11:29.0,N. Jokić misses 2-pt jump shot from 11 ft,,0,2
1,11:28.0,,Defensive rebound by D. Green,0,2
1,11:19.0,,D. Cousins misses 3-pt jump shot from 28 ft,0,2
1,11:17.0,Defensive rebound by W. Barton,,0,2
1,11:06.0,Personal foul by K. Durant (drawn by N. Jokić),,0,2
1,11:00.0,G. Harris misses 2-pt layup from 6 ft,,0,2
1,10:58.0,,Defensive rebound by D. Cousins,0,2
1,10:58.0,,Personal foul by G. Harris (drawn by D. Cousins),0,2
1,10:40.0,,D. Cousins misses 2-pt hook shot from 1 ft,0,2
1,10:39.0,Defensive rebound by P. Millsap,,0,2
1,10:28.0,W. Barton misses 3-pt jump shot from 23 ft,,0,2
1,10:27.0,,Defensive rebound by D. Green,0,2
1,10:22.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),0,5
1,10:10.0,Personal foul by K. Thompson (drawn by G. Harris),,0,5
1,10:03.0,J. Murray misses 2-pt jump shot from 13 ft (block by D. Cousins),,0,5
1,10:01.0,,Defensive rebound by D. Green,0,5
1,9:57.0,,K. Thompson misses 3-pt jump shot from 26 ft,0,5
1,9:55.0,Defensive rebound by W. Barton,,0,5
1,9:53.0,Shooting foul by D. Green (drawn by G. Harris),,0,5
1,9:53.0,G. Harris makes free throw 1 of 2,,1,5
1,9:53.0,G. Harris misses free throw 2 of 2,,1,5
1,9:52.0,,Defensive rebound by D. Green,1,5
1,9:40.0,,K. Thompson misses 2-pt layup from 4 ft,1,5
1,9:39.0,,Offensive rebound by K. Thompson,1,5
1,9:38.0,,K. Thompson makes 2-pt layup from 1 ft,1,7
1,9:27.0,N. Jokić makes 2-pt hook shot from 5 ft,,3,7
1,9:15.0,,K. Thompson misses 2-pt jump shot from 19 ft,3,7
1,9:14.0,Defensive rebound by W. Barton,,3,7
1,9:09.0,Turnover by W. Barton (lost ball; steal by K. Thompson),,3,7
1,9:05.0,,K. Durant makes 2-pt jump shot from 11 ft (assist by K. Thompson),3,9
1,8:46.0,P. Millsap misses 3-pt jump shot from 26 ft,,3,9
1,8:44.0,,Defensive rebound by D. Green,3,9
1,8:39.0,,D. Cousins makes 2-pt layup from 3 ft (assist by D. Green),3,11
