QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BOSTON_ACTION,GOLDEN STATE_SCORE,BOSTON_SCORE
1,11:46.0,,K. Irving misses 2-pt layup from 1 ft,0,0
1,11:43.0,,Offensive rebound by A. Horford,0,0
1,11:43.0,,A. Horford misses 2-pt layup from 1 ft,0,0
1,11:42.0,Defensive rebound by D. Green,,0,0
1,11:39.0,S. Curry misses 2-pt layup from 4 ft,,0,0
1,11:39.0,,Defensive rebound by M. Morris,0,0
1,11:29.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by K. Irving),0,3
1,11:04.0,D. Cousins makes 2-pt jump shot from 17 ft,,2,3
1,10:49.0,,M. Smart makes 2-pt layup from 3 ft (assist by K. Irving),2,5
1,10:43.0,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),,4,5
1,10:34.0,,M. Morris misses 3-pt jump shot from 24 ft,4,5
1,10:32.0,Defensive rebound by D. Green,,4,5
1,10:26.0,K. Thompson misses 2-pt layup from 2 ft,,4,5
1,10:25.0,,Defensive rebound by A. Horford,4,5
1,10:18.0,,J. Tatum misses 3-pt jump shot from 24 ft,4,5
1,10:16.0,Defensive rebound by D. Cousins,,4,5
1,10:08.0,K. Durant misses 2-pt jump shot from 18 ft,,4,5
1,10:06.0,,Defensive rebound by K. Irving,4,5
1,10:01.0,,K. Irving makes 3-pt jump shot from 27 ft,4,8
1,9:46.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),,7,8
1,9:31.0,,K. Irving misses 2-pt jump shot from 13 ft,7,8
1,9:28.0,,Offensive rebound by A. Horford,7,8
1,9:27.0,,K. Irving makes 3-pt jump shot from 24 ft (assist by A. Horford),7,11
1,9:14.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Cousins),,10,11
1,8:50.0,,M. Morris misses 2-pt jump shot from 19 ft,10,11
1,8:48.0,Defensive rebound by K. Durant,,10,11
1,8:42.0,K. Durant misses 3-pt jump shot from 27 ft,,10,11
1,8:40.0,,Defensive rebound by M. Morris,10,11
1,8:29.0,,Turnover by A. Horford (lost ball; steal by D. Green),10,11
1,8:24.0,K. Durant makes 2-pt dunk from 1 ft (assist by D. Cousins),,12,11
1,8:10.0,,J. Tatum misses 2-pt layup from 2 ft (block by K. Durant),12,11
1,8:09.0,,Offensive rebound by M. Smart,12,11
1,8:08.0,,Shooting foul by K. Thompson (drawn by J. Tatum),12,11
1,8:08.0,,J. Tatum makes free throw 1 of 2,12,12
1,8:08.0,,J. Tatum makes free throw 2 of 2,12,13
1,7:57.0,S. Curry misses 3-pt jump shot from 26 ft,,12,13
1,7:55.0,,Defensive rebound by A. Horford,12,13
1,7:46.0,,A. Horford makes 2-pt dunk from 1 ft (assist by K. Irving),12,15
1,7:46.0,Golden State full timeout,,12,15
1,7:32.0,K. Thompson misses 3-pt jump shot from 27 ft,,12,15
1,7:30.0,,Defensive rebound by M. Morris,12,15
1,7:17.0,,Turnover by K. Irving (lost ball; steal by D. Cousins),12,15
1,7:12.0,S. Curry misses 3-pt jump shot from 27 ft,,12,15
1,7:09.0,Offensive rebound by D. Cousins,,12,15
1,7:08.0,D. Cousins makes 2-pt dunk from 1 ft,,14,15
1,6:48.0,,A. Horford makes 2-pt jump shot from 13 ft (assist by K. Irving),14,17
1,6:24.0,K. Durant makes 2-pt hook shot from 4 ft (assist by K. Thompson),,16,17
1,6:12.0,,J. Tatum makes 2-pt dunk from 2 ft (assist by A. Horford),16,19
1,5:52.0,K. Durant misses 2-pt jump shot from 13 ft,,16,19
1,5:50.0,,Defensive rebound by J. Tatum,16,19
1,5:47.0,Loose ball foul by S. Curry (drawn by M. Smart),,16,19
1,5:47.0,A. Iguodala enters the game for D. Green,,16,19
1,5:36.0,,M. Morris misses 3-pt jump shot from 24 ft,16,19
1,5:32.0,Defensive rebound by D. Cousins,,16,19
1,5:23.0,Turnover by K. Thompson (lost ball; steal by A. Horford),,16,19
1,5:19.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by M. Smart),16,22
1,5:08.0,K. Thompson misses 3-pt jump shot from 28 ft,,16,22
1,5:06.0,,Defensive rebound by A. Horford,16,22
1,4:50.0,,Personal foul by D. Cousins (drawn by K. Irving),16,22
1,4:50.0,K. Looney enters the game for D. Cousins,,16,22
1,4:50.0,,G. Hayward enters the game for M. Morris,16,22
1,4:40.0,,Turnover by A. Horford (back court),16,22
1,4:27.0,K. Durant makes 2-pt jump shot from 14 ft (assist by A. Iguodala),,18,22
1,4:11.0,,A. Horford misses 2-pt dunk from 5 ft (block by A. Iguodala),18,22
1,4:09.0,Defensive rebound by K. Looney,,18,22
1,4:06.0,K. Durant makes 2-pt dunk from 2 ft (assist by S. Curry),,20,22
1,3:51.0,,Shooting foul by S. Curry (drawn by G. Hayward),20,22
1,3:51.0,,G. Hayward makes free throw 1 of 2,20,23
1,3:51.0,A. McKinnie enters the game for S. Curry,,20,23
1,3:51.0,,J. Brown enters the game for M. Smart,20,23
1,3:51.0,,T. Rozier enters the game for J. Tatum,20,23
1,3:51.0,,G. Hayward makes free throw 2 of 2,20,24
1,3:35.0,K. Durant makes 2-pt jump shot from 14 ft,,22,24
1,3:21.0,,K. Irving misses 2-pt hook shot from 10 ft (block by K. Durant),22,24
1,3:18.0,Defensive rebound by K. Looney,,22,24
1,3:09.0,K. Looney misses 2-pt layup from 7 ft (block by G. Hayward),,22,24
1,3:07.0,,Defensive rebound by J. Brown,22,24
1,3:02.0,,Boston full timeout,22,24
1,2:57.0,,K. Irving misses 3-pt jump shot from 25 ft,22,24
1,2:55.0,Defensive rebound by K. Looney,,22,24
1,2:40.0,Personal foul by J. Brown (drawn by K. Durant),,22,24
1,2:40.0,,A. Baynes enters the game for A. Horford,22,24
1,2:35.0,K. Durant misses 3-pt jump shot from 27 ft,,22,24
1,2:33.0,,Defensive rebound by A. Baynes,22,24
1,2:19.0,,Shooting foul by K. Durant (drawn by K. Irving),22,24
1,2:19.0,,K. Irving makes free throw 1 of 2,22,25
1,2:19.0,D. Green enters the game for K. Thompson,,22,25
1,2:19.0,,K. Irving makes free throw 2 of 2,22,26
1,2:07.0,K. Durant makes 2-pt jump shot from 17 ft (assist by D. Green),,24,26
1,1:51.0,,T. Rozier misses 3-pt jump shot from 23 ft,24,26
