QUARTER,TIME_REMAINING,DALLAS_ACTION,MEMPHIS_ACTION,DALLAS_SCORE,MEMPHIS_SCORE
1,11:38.0,,J. Holiday misses 2-pt layup from 1 ft,0,0
1,11:36.0,,Offensive rebound by J. Holiday,0,0
1,11:34.0,,B. Caboclo makes 3-pt jump shot from 25 ft (assist by J. Holiday),0,3
1,11:15.0,J. Jackson makes 3-pt jump shot from 23 ft (assist by J. Brunson),,3,3
1,10:51.0,,T. Dorsey misses 2-pt jump shot from 10 ft,3,3
1,10:48.0,Defensive rebound by D. Nowitzki,,3,3
1,10:41.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Brunson),,5,3
1,10:20.0,,Shooting foul by J. Brunson (drawn by J. Holiday),5,3
1,10:20.0,,J. Holiday makes free throw 1 of 2,5,4
1,10:20.0,,J. Holiday makes free throw 2 of 2,5,5
1,10:05.0,C. Lee misses 3-pt jump shot from 26 ft,,5,5
1,10:01.0,,Defensive rebound by I. Rabb,5,5
1,9:53.0,,T. Dorsey makes 3-pt jump shot from 26 ft (assist by D. Wright),5,8
1,9:31.0,D. Powell makes 2-pt layup from 1 ft (assist by D. Nowitzki),,7,8
1,9:19.0,,J. Holiday misses 2-pt jump shot from 20 ft,7,8
1,9:17.0,,Offensive rebound by B. Caboclo,7,8
1,9:17.0,,B. Caboclo misses 2-pt layup at rim,7,8
1,9:17.0,Defensive rebound by D. Powell,,7,8
1,9:07.0,J. Brunson makes 2-pt jump shot from 10 ft,,9,8
1,8:51.0,,T. Dorsey misses 2-pt layup from 5 ft,9,8
1,8:51.0,Defensive rebound by Team,,9,8
1,8:38.0,D. Powell makes 2-pt layup from 3 ft (assist by J. Brunson),,11,8
1,8:38.0,Shooting foul by I. Rabb (drawn by D. Powell),,11,8
1,8:38.0,D. Powell makes free throw 1 of 1,,12,8
1,8:23.0,,Turnover by B. Caboclo (bad pass; steal by C. Lee),12,8
1,8:20.0,J. Jackson makes 2-pt layup from 1 ft (assist by C. Lee),,14,8
1,8:19.0,,Memphis full timeout,14,8
1,8:09.0,,Personal foul by C. Lee (drawn by T. Dorsey),14,8
1,8:02.0,,B. Caboclo misses 3-pt jump shot from 25 ft,14,8
1,7:58.0,Defensive rebound by D. Nowitzki,,14,8
1,7:47.0,J. Jackson makes 2-pt layup from 1 ft (assist by D. Powell),,16,8
1,7:36.0,,D. Wright misses 2-pt layup from 3 ft (block by D. Nowitzki),16,8
1,7:36.0,,Offensive rebound by Team,16,8
1,7:36.0,D. Finney-Smith enters the game for D. Nowitzki,,16,8
1,7:36.0,S. Mejri enters the game for D. Powell,,16,8
1,7:36.0,,C. Parsons enters the game for B. Caboclo,16,8
1,7:36.0,,T. Zeller enters the game for I. Rabb,16,8
1,7:20.0,,D. Wright misses 3-pt jump shot from 26 ft,16,8
1,7:17.0,,Offensive rebound by T. Zeller,16,8
1,7:16.0,,T. Zeller misses 2-pt hook shot from 3 ft,16,8
1,7:12.0,Defensive rebound by J. Brunson,,16,8
1,7:11.0,Personal foul by D. Wright (drawn by J. Brunson),,16,8
1,7:04.0,J. Brunson misses 2-pt jump shot from 2 ft,,16,8
1,7:01.0,,Defensive rebound by C. Parsons,16,8
1,6:57.0,,T. Dorsey makes 3-pt jump shot from 23 ft (assist by C. Parsons),16,11
1,6:39.0,Turnover by S. Mejri (traveling),,16,11
1,6:28.0,,D. Wright makes 2-pt layup from 1 ft,16,13
1,6:16.0,J. Jackson misses 3-pt jump shot from 26 ft,,16,13
1,6:13.0,,Defensive rebound by D. Wright,16,13
1,6:04.0,,T. Dorsey misses 3-pt jump shot from 25 ft,16,13
1,6:01.0,Defensive rebound by S. Mejri,,16,13
1,5:50.0,J. Jackson makes 2-pt jump shot from 13 ft (assist by J. Brunson),,18,13
1,5:29.0,,C. Parsons makes 3-pt jump shot from 26 ft (assist by T. Dorsey),18,16
1,5:10.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,18,16
1,5:08.0,,Defensive rebound by D. Wright,18,16
1,4:52.0,,T. Zeller makes 2-pt jump shot from 8 ft (assist by C. Parsons),18,18
1,4:52.0,Dallas full timeout,,18,18
1,4:52.0,T. Burke enters the game for J. Brunson,,18,18
1,4:52.0,D. Macon enters the game for C. Lee,,18,18
1,4:52.0,,J. Washburn enters the game for J. Holiday,18,18
1,4:37.0,Turnover by D. Macon (bad pass; steal by C. Parsons),,18,18
1,4:34.0,,C. Parsons misses 2-pt layup from 2 ft,18,18
1,4:32.0,,Offensive rebound by T. Dorsey,18,18
1,4:23.0,,C. Parsons misses 2-pt jump shot from 12 ft,18,18
1,4:19.0,Defensive rebound by S. Mejri,,18,18
1,4:08.0,T. Burke misses 2-pt jump shot from 18 ft,,18,18
1,4:05.0,,Defensive rebound by C. Parsons,18,18
1,3:49.0,,T. Zeller misses 2-pt hook shot from 6 ft,18,18
1,3:47.0,Defensive rebound by S. Mejri,,18,18
1,3:32.0,T. Burke makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith),,21,18
1,3:14.0,,D. Wright misses 3-pt jump shot from 26 ft,21,18
1,3:09.0,Defensive rebound by D. Macon,,21,18
1,2:53.0,T. Burke misses 3-pt jump shot from 26 ft,,21,18
1,2:50.0,,Defensive rebound by D. Wright,21,18
1,2:47.0,,Shooting foul by D. Finney-Smith (drawn by D. Wright),21,18
1,2:47.0,,D. Wright makes free throw 1 of 2,21,19
1,2:47.0,D. Harris enters the game for J. Jackson,,21,19
1,2:47.0,,J. Holiday enters the game for T. Dorsey,21,19
1,2:47.0,,D. Wright misses free throw 2 of 2,21,19
1,2:45.0,Defensive rebound by D. Finney-Smith,,21,19
1,2:23.0,Turnover by Team (shot clock),,21,19
1,2:23.0,,J. Carter enters the game for D. Wright,21,19
1,2:08.0,,T. Zeller misses 2-pt hook shot from 1 ft,21,19
1,2:07.0,Defensive rebound by S. Mejri,,21,19
1,2:00.0,Shooting foul by T. Zeller (drawn by D. Macon),,21,19
1,2:00.0,D. Macon misses free throw 1 of 2,,21,19
1,2:00.0,Offensive rebound by Team,,21,19
1,2:00.0,D. Macon makes free throw 2 of 2,,22,19
1,1:39.0,,J. Carter makes 3-pt jump shot from 27 ft (assist by C. Parsons),22,22
1,1:24.0,D. Macon misses 2-pt jump shot from 15 ft,,22,22
1,1:22.0,,Defensive rebound by C. Parsons,22,22
1,1:13.0,,J. Carter makes 2-pt jump shot from 8 ft (assist by C. Parsons),22,24
1,0:47.0,D. Macon makes 2-pt jump shot from 10 ft (assist by S. Mejri),,24,24
1,0:36.0,,J. Carter misses 2-pt jump shot from 3 ft,24,24
1,0:35.0,,Offensive rebound by Team,24,24
1,0:35.0,Loose ball foul by T. Burke (drawn by T. Zeller),,24,24
1,0:31.0,,Personal foul by D. Finney-Smith (drawn by C. Parsons),24,24
1,0:31.0,,C. Parsons makes free throw 1 of 2,24,25
1,0:31.0,R. Broekhoff enters the game for D. Finney-Smith,,24,25
1,0:31.0,,C. Parsons makes free throw 2 of 2,24,26
1,0:21.0,S. Mejri misses 3-pt jump shot from 26 ft,,24,26
1,0:17.0,Offensive rebound by R. Broekhoff,,24,26
1,0:17.0,R. Broekhoff misses 2-pt layup from 1 ft,,24,26
1,0:17.0,,Defensive rebound by J. Holiday,24,26
1,0:03.0,,Turnover by C. Parsons (bad pass),24,26
1,0:00.0,D. Harris misses 3-pt jump shot from 45 ft,,24,26
1,0:00.0,Offensive rebound by Team,,24,26
2,11:39.0,D. Nowitzki makes 2-pt jump shot from 15 ft (assist by T. Burke),,26,26
2,11:25.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Carter),26,29
2,10:56.0,D. Powell makes 2-pt layup from 1 ft (assist by T. Burke),,28,29
2,10:40.0,,T. Dorsey misses 3-pt jump shot from 26 ft,28,29
2,10:36.0,Defensive rebound by D. Nowitzki,,28,29
2,10:21.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,28,29
2,10:18.0,,Defensive rebound by T. Zeller,28,29
2,10:03.0,,T. Dorsey makes 3-pt jump shot from 25 ft (assist by B. Caboclo),28,32
2,9:48.0,T. Burke makes 3-pt jump shot from 29 ft,,31,32
2,9:32.0,,T. Zeller makes 2-pt layup from 1 ft (assist by T. Dorsey),31,34
2,9:20.0,Shooting foul by J. Holiday (drawn by D. Harris),,31,34
2,9:20.0,D. Harris misses free throw 1 of 2,,31,34
2,9:20.0,Offensive rebound by Team,,31,34
2,9:20.0,D. Harris makes free throw 2 of 2,,32,34
2,9:12.0,,Shooting foul by T. Burke (drawn by J. Carter),32,34
2,9:12.0,,J. Carter makes free throw 1 of 2,32,35
2,9:12.0,,J. Carter makes free throw 2 of 2,32,36
2,8:58.0,T. Burke misses 3-pt jump shot from 23 ft,,32,36
2,8:56.0,,Defensive rebound by B. Caboclo,32,36
2,8:50.0,,J. Holiday misses 3-pt jump shot from 25 ft,32,36
2,8:46.0,Defensive rebound by D. Macon,,32,36
2,8:40.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,32,36
2,8:37.0,,Defensive rebound by J. Holiday,32,36
2,8:31.0,,Turnover by T. Dorsey (bad pass),32,36
2,8:31.0,,I. Rabb enters the game for T. Zeller,32,36
2,8:18.0,T. Burke makes 2-pt layup from 1 ft,,34,36
2,7:58.0,,J. Holiday makes 2-pt dunk from 1 ft,34,38
2,7:40.0,D. Nowitzki misses 2-pt jump shot from 10 ft,,34,38
2,7:37.0,,Defensive rebound by T. Dorsey,34,38
2,7:32.0,,T. Dorsey misses 3-pt jump shot from 26 ft,34,38
2,7:28.0,Defensive rebound by D. Nowitzki,,34,38
2,7:11.0,Shooting foul by J. Carter (drawn by D. Harris),,34,38
2,7:11.0,D. Harris makes free throw 1 of 2,,35,38
2,7:11.0,,D. Wright enters the game for T. Dorsey,35,38
2,7:11.0,D. Harris misses free throw 2 of 2,,35,38
2,7:09.0,,Defensive rebound by D. Wright,35,38
2,7:03.0,,J. Holiday makes 2-pt dunk at rim (assist by D. Wright),35,40
2,7:02.0,Dallas full timeout,,35,40
2,7:02.0,R. Broekhoff enters the game for D. Harris,,35,40
2,6:49.0,D. Powell makes 2-pt layup from 1 ft (assist by T. Burke),,37,40
2,6:49.0,Shooting foul by I. Rabb (drawn by D. Powell),,37,40
2,6:49.0,D. Powell misses free throw 1 of 1,,37,40
2,6:47.0,,Defensive rebound by D. Wright,37,40
2,6:35.0,,I. Rabb makes 2-pt hook shot from 9 ft (assist by D. Wright),37,42
2,6:14.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,37,42
2,6:12.0,,Defensive rebound by J. Holiday,37,42
2,6:04.0,,J. Carter makes 3-pt jump shot from 25 ft (assist by I. Rabb),37,45
2,5:46.0,Personal foul by J. Carter (drawn by T. Burke),,37,45
2,5:46.0,,C. Parsons enters the game for J. Holiday,37,45
2,5:38.0,T. Burke makes 2-pt jump shot from 12 ft,,39,45
2,5:24.0,,B. Caboclo misses 3-pt jump shot from 25 ft,39,45
2,5:21.0,Defensive rebound by D. Nowitzki,,39,45
2,5:09.0,D. Macon misses 3-pt jump shot from 23 ft,,39,45
2,5:06.0,,Defensive rebound by B. Caboclo,39,45
2,4:57.0,,I. Rabb misses 2-pt jump shot from 10 ft,39,45
2,4:54.0,Defensive rebound by D. Powell,,39,45
2,4:42.0,D. Powell makes 2-pt dunk at rim (assist by D. Macon),,41,45
2,4:32.0,,Memphis full timeout,41,45
2,4:32.0,J. Brunson enters the game for T. Burke,,41,45
2,4:32.0,D. Finney-Smith enters the game for D. Nowitzki,,41,45
2,4:32.0,S. Mejri enters the game for D. Powell,,41,45
2,4:32.0,,T. Dorsey enters the game for J. Carter,41,45
2,4:19.0,,C. Parsons misses 3-pt jump shot from 25 ft,41,45
2,4:15.0,,Offensive rebound by B. Caboclo,41,45
2,4:15.0,,Turnover by B. Caboclo (lost ball; steal by J. Brunson),41,45
2,4:11.0,J. Brunson misses 2-pt layup from 1 ft,,41,45
2,4:08.0,,Defensive rebound by C. Parsons,41,45
2,4:00.0,,Personal foul by J. Brunson (drawn by T. Dorsey),41,45
2,4:00.0,,T. Zeller enters the game for I. Rabb,41,45
2,3:51.0,,D. Wright makes 2-pt jump shot from 9 ft,41,47
2,3:39.0,Personal foul by C. Parsons (drawn by J. Brunson),,41,47
2,3:39.0,J. Brunson makes free throw 1 of 2,,42,47
2,3:39.0,J. Brunson makes free throw 2 of 2,,43,47
2,3:27.0,,C. Parsons misses 3-pt jump shot from 25 ft,43,47
2,3:25.0,Defensive rebound by Team,,43,47
2,3:25.0,,Loose ball foul by T. Zeller (drawn by S. Mejri),43,47
2,3:25.0,S. Mejri makes free throw 1 of 2,,44,47
2,3:25.0,C. Lee enters the game for D. Macon,,44,47
2,3:25.0,S. Mejri makes free throw 2 of 2,,45,47
2,3:07.0,,Shooting foul by C. Lee (drawn by T. Zeller),45,47
2,3:07.0,,T. Zeller misses free throw 1 of 2,45,47
2,3:07.0,,Offensive rebound by Team,45,47
2,3:07.0,,J. Holiday enters the game for B. Caboclo,45,47
2,3:07.0,,T. Zeller makes free throw 2 of 2,45,48
2,2:52.0,R. Broekhoff makes 3-pt jump shot from 26 ft (assist by J. Brunson),,48,48
2,2:38.0,,T. Dorsey misses 2-pt layup at rim (block by S. Mejri),48,48
2,2:33.0,Defensive rebound by C. Lee,,48,48
2,2:21.0,J. Brunson misses 3-pt jump shot from 23 ft,,48,48
2,2:18.0,,Defensive rebound by T. Dorsey,48,48
2,2:17.0,,C. Parsons makes 2-pt layup from 1 ft (assist by T. Dorsey),48,50
2,2:00.0,Personal foul by C. Parsons (drawn by J. Brunson),,48,50
2,2:00.0,J. Brunson makes free throw 1 of 2,,49,50
2,2:00.0,,B. Caboclo enters the game for C. Parsons,49,50
2,2:00.0,J. Brunson makes free throw 2 of 2,,50,50
2,1:47.0,,J. Holiday misses 2-pt layup from 1 ft (block by S. Mejri),50,50
2,1:43.0,Defensive rebound by D. Finney-Smith,,50,50
2,1:42.0,D. Finney-Smith makes 2-pt layup from 1 ft,,52,50
2,1:31.0,,D. Wright misses 2-pt jump shot from 9 ft,52,50
2,1:25.0,,Offensive rebound by T. Zeller,52,50
2,1:25.0,,T. Zeller makes 2-pt hook shot from 4 ft,52,52
2,1:12.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,52,52
2,1:09.0,,Defensive rebound by T. Zeller,52,52
2,1:03.0,,T. Dorsey misses 3-pt jump shot from 26 ft,52,52
2,1:00.0,Defensive rebound by D. Finney-Smith,,52,52
2,0:59.0,Dallas full timeout,,52,52
2,0:59.0,D. Macon enters the game for C. Lee,,52,52
2,0:59.0,,J. Carter enters the game for T. Dorsey,52,52
2,0:52.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,52,52
2,0:48.0,,Defensive rebound by D. Wright,52,52
2,0:36.0,,Shooting foul by D. Macon (drawn by J. Holiday),52,52
2,0:36.0,,J. Holiday makes free throw 1 of 2,52,53
