QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MIAMI_ACTION,MEMPHIS_SCORE,MIAMI_SCORE
1,11:41.0,M. Gasol makes 2-pt hook shot from 7 ft,,2,0
1,11:24.0,,Turnover by B. Adebayo (bad pass; steal by K. Anderson),2,0
1,11:17.0,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Conley),,5,0
1,10:54.0,,J. Winslow makes 3-pt jump shot from 25 ft (assist by J. Johnson),5,3
1,10:39.0,M. Gasol makes 2-pt jump shot from 13 ft (assist by M. Conley),,7,3
1,10:33.0,,Turnover by J. Winslow (bad pass; steal by M. Conley),7,3
1,10:24.0,J. Jackson misses 2-pt hook shot from 4 ft (block by J. Johnson),,7,3
1,10:20.0,,Defensive rebound by J. Richardson,7,3
1,10:15.0,,J. Winslow makes 3-pt jump shot from 29 ft (assist by J. Richardson),7,6
1,9:53.0,G. Temple makes 2-pt layup from 1 ft (assist by J. Jackson),,9,6
1,9:45.0,,Shooting foul by J. Jackson (drawn by J. Johnson),9,6
1,9:45.0,,J. Johnson makes free throw 1 of 2,9,7
1,9:45.0,,J. Johnson misses free throw 2 of 2,9,7
1,9:42.0,Defensive rebound by G. Temple,,9,7
1,9:21.0,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Conley),,12,7
1,9:02.0,,J. Richardson misses 2-pt jump shot from 18 ft,12,7
1,9:00.0,Defensive rebound by M. Gasol,,12,7
1,8:42.0,J. Jackson makes 2-pt hook shot from 6 ft,,14,7
1,8:25.0,,B. Adebayo misses 2-pt layup from 2 ft,14,7
1,8:21.0,,Offensive rebound by B. Adebayo,14,7
1,8:18.0,,Turnover by B. Adebayo (bad pass; steal by J. Jackson),14,7
1,8:15.0,Personal foul by J. Johnson (drawn by M. Gasol),,14,7
1,8:07.0,M. Conley makes 2-pt layup from 1 ft,,16,7
1,8:07.0,Shooting foul by R. McGruder (drawn by M. Conley),,16,7
1,8:07.0,M. Conley makes free throw 1 of 1,,17,7
1,7:59.0,,J. Johnson misses 3-pt jump shot from 25 ft,17,7
1,7:56.0,Defensive rebound by M. Gasol,,17,7
1,7:40.0,Shooting foul by J. Johnson (drawn by J. Jackson),,17,7
1,7:40.0,J. Jackson makes free throw 1 of 2,,18,7
1,7:40.0,J. Jackson makes free throw 2 of 2,,19,7
1,7:38.0,,Miami full timeout,19,7
1,7:38.0,,D. Jones enters the game for J. Johnson,19,7
1,7:38.0,,D. Wade enters the game for R. McGruder,19,7
1,7:21.0,,D. Jones misses 2-pt jump shot from 5 ft (block by J. Jackson),19,7
1,7:21.0,,Offensive rebound by B. Adebayo,19,7
1,7:21.0,,B. Adebayo makes 2-pt layup from 2 ft,19,9
1,7:21.0,,Shooting foul by M. Gasol (drawn by B. Adebayo),19,9
1,7:21.0,,B. Adebayo misses free throw 1 of 1,19,9
1,7:18.0,Defensive rebound by K. Anderson,,19,9
1,7:08.0,Personal foul by B. Adebayo (drawn by M. Gasol),,19,9
1,6:56.0,M. Gasol misses 2-pt jump shot from 10 ft,,19,9
1,6:51.0,,Defensive rebound by D. Wade,19,9
1,6:47.0,,J. Richardson makes 2-pt layup from 3 ft (assist by J. Winslow),19,11
1,6:33.0,J. Jackson misses 3-pt jump shot from 24 ft,,19,11
1,6:30.0,,Defensive rebound by J. Winslow,19,11
1,6:25.0,,J. Winslow misses 2-pt jump shot from 5 ft,19,11
1,6:25.0,,Offensive rebound by Team,19,11
1,6:25.0,Loose ball foul by J. Jackson (drawn by B. Adebayo),,19,11
1,6:25.0,J. Green enters the game for J. Jackson,,19,11
1,6:12.0,,J. Winslow makes 2-pt layup from 2 ft,19,13
1,5:55.0,J. Green makes 2-pt jump shot from 19 ft (assist by K. Anderson),,21,13
1,5:44.0,,D. Wade misses 2-pt layup from 2 ft,21,13
1,5:40.0,Defensive rebound by J. Green,,21,13
1,5:34.0,K. Anderson makes 2-pt layup from 2 ft,,23,13
1,5:09.0,,J. Richardson makes 2-pt dunk from 2 ft,23,15
1,4:55.0,M. Conley misses 2-pt jump shot from 13 ft,,23,15
1,4:53.0,,Defensive rebound by D. Jones,23,15
1,4:41.0,,D. Jones makes 2-pt layup from 3 ft (assist by J. Winslow),23,17
1,4:39.0,Memphis full timeout,,23,17
1,4:39.0,J. Holiday enters the game for K. Anderson,,23,17
1,4:39.0,S. Mack enters the game for M. Conley,,23,17
1,4:20.0,J. Green makes 3-pt jump shot from 23 ft (assist by M. Gasol),,26,17
1,4:00.0,,D. Wade makes 3-pt jump shot from 25 ft (assist by J. Richardson),26,20
1,3:40.0,G. Temple misses 3-pt jump shot from 27 ft,,26,20
1,3:36.0,,Defensive rebound by J. Richardson,26,20
1,3:23.0,,D. Wade misses 3-pt jump shot from 23 ft,26,20
