QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
1,11:42.0,,Turnover by M. Smart (bad pass; steal by J. Isaac),0,0
1,11:34.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by D. Augustin),,2,0
1,11:17.0,,K. Irving misses 2-pt jump shot from 10 ft,2,0
1,11:15.0,Defensive rebound by N. Vučević,,2,0
1,11:11.0,A. Gordon misses 3-pt jump shot from 26 ft,,2,0
1,11:09.0,,Defensive rebound by A. Horford,2,0
1,10:56.0,,A. Horford makes 2-pt hook shot from 3 ft (assist by M. Smart),2,2
1,10:44.0,A. Gordon misses 2-pt hook shot from 7 ft,,2,2
1,10:42.0,Offensive rebound by N. Vučević,,2,2
1,10:41.0,N. Vučević misses 2-pt hook shot from 3 ft,,2,2
1,10:40.0,Offensive rebound by A. Gordon,,2,2
1,10:39.0,A. Gordon makes 2-pt layup at rim,,4,2
1,10:22.0,,A. Horford makes 2-pt jump shot from 14 ft,4,4
1,10:06.0,E. Fournier makes 2-pt jump shot from 9 ft (assist by D. Augustin),,6,4
1,9:50.0,,A. Horford makes 2-pt hook shot from 7 ft,6,6
1,9:30.0,N. Vučević makes 2-pt jump shot from 11 ft (assist by D. Augustin),,8,6
1,9:18.0,,K. Irving makes 2-pt jump shot from 22 ft (assist by A. Baynes),8,8
1,8:51.0,N. Vučević makes 2-pt hook shot from 7 ft,,10,8
1,8:40.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),10,11
1,8:28.0,Personal foul by M. Smart (drawn by E. Fournier),,10,11
1,8:15.0,D. Augustin misses 2-pt jump shot from 15 ft,,10,11
1,8:14.0,Offensive rebound by Team,,10,11
1,8:14.0,Turnover by Team (shot clock),,10,11
1,8:04.0,,J. Tatum misses 2-pt layup from 8 ft (block by N. Vučević),10,11
1,8:02.0,,Offensive rebound by M. Smart,10,11
1,7:57.0,,M. Smart misses 3-pt jump shot from 26 ft,10,11
1,7:55.0,Defensive rebound by A. Gordon,,10,11
1,7:45.0,N. Vučević makes 2-pt hook shot from 2 ft (assist by D. Augustin),,12,11
1,7:26.0,,J. Tatum misses 2-pt jump shot from 15 ft,12,11
1,7:24.0,Defensive rebound by D. Augustin,,12,11
1,7:11.0,A. Gordon misses 2-pt jump shot from 13 ft,,12,11
1,7:09.0,Offensive rebound by N. Vučević,,12,11
1,7:09.0,J. Isaac misses 2-pt layup from 4 ft (block by K. Irving),,12,11
1,7:07.0,Offensive rebound by Team,,12,11
1,7:03.0,A. Gordon misses 3-pt jump shot from 23 ft,,12,11
1,7:01.0,,Defensive rebound by J. Tatum,12,11
1,6:49.0,,Boston full timeout,12,11
1,6:49.0,,G. Hayward enters the game for A. Baynes,12,11
1,6:49.0,,M. Morris enters the game for M. Smart,12,11
1,6:40.0,,A. Horford misses 2-pt hook shot from 6 ft,12,11
1,6:38.0,,Offensive rebound by M. Morris,12,11
1,6:33.0,,K. Irving misses 3-pt jump shot from 26 ft,12,11
1,6:31.0,Defensive rebound by N. Vučević,,12,11
1,6:12.0,Turnover by N. Vučević (bad pass; steal by A. Horford),,12,11
1,6:00.0,,Shooting foul by N. Vučević (drawn by A. Horford),12,11
1,6:00.0,,A. Horford makes free throw 1 of 2,12,12
1,6:00.0,W. Iwundu enters the game for A. Gordon,,12,12
1,6:00.0,,J. Brown enters the game for J. Tatum,12,12
1,6:00.0,,A. Horford makes free throw 2 of 2,12,13
1,5:46.0,Turnover by N. Vučević (lost ball; steal by K. Irving),,12,13
1,5:43.0,,J. Brown misses 2-pt layup from 2 ft (block by J. Isaac),12,13
1,5:41.0,,Offensive rebound by Team,12,13
1,5:31.0,,A. Horford misses 2-pt jump shot from 20 ft,12,13
1,5:28.0,Defensive rebound by D. Augustin,,12,13
1,5:21.0,D. Augustin makes 2-pt layup from 3 ft,,14,13
1,5:11.0,,K. Irving misses 2-pt jump shot from 19 ft,14,13
1,5:09.0,Defensive rebound by N. Vučević,,14,13
1,4:52.0,E. Fournier misses 2-pt jump shot from 20 ft,,14,13
1,4:50.0,,Defensive rebound by G. Hayward,14,13
1,4:40.0,,G. Hayward makes 2-pt jump shot from 23 ft (assist by A. Horford),14,15
1,4:28.0,D. Augustin misses 2-pt layup from 3 ft,,14,15
1,4:26.0,Offensive rebound by D. Augustin,,14,15
1,4:25.0,Turnover by D. Augustin (bad pass; steal by J. Brown),,14,15
1,4:19.0,,J. Brown makes 2-pt layup from 1 ft (assist by K. Irving),14,17
1,4:19.0,Orlando full timeout,,14,17
1,4:19.0,T. Ross enters the game for E. Fournier,,14,17
1,4:07.0,N. Vučević makes 2-pt hook shot from 7 ft (assist by D. Augustin),,16,17
1,3:54.0,,K. Irving misses 2-pt hook shot from 6 ft,16,17
1,3:52.0,Defensive rebound by Team,,16,17
1,3:52.0,,Loose ball foul by A. Horford (drawn by J. Isaac),16,17
1,3:32.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by D. Augustin),,19,17
1,3:15.0,,M. Morris misses 2-pt jump shot from 15 ft,19,17
1,3:10.0,Defensive rebound by T. Ross,,19,17
1,3:02.0,T. Ross makes 3-pt jump shot from 26 ft (assist by D. Augustin),,22,17
1,2:45.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Horford),22,20
1,2:29.0,N. Vučević misses 3-pt jump shot from 26 ft,,22,20
1,2:27.0,,Defensive rebound by M. Morris,22,20
1,2:13.0,,Turnover by A. Horford (3 sec),22,20
1,2:13.0,K. Birch enters the game for D. Augustin,,22,20
1,2:13.0,M. Carter-Williams enters the game for J. Isaac,,22,20
1,2:13.0,A. Gordon enters the game for N. Vučević,,22,20
1,2:13.0,,T. Rozier enters the game for K. Irving,22,20
1,2:06.0,T. Ross misses 3-pt jump shot from 26 ft,,22,20
1,2:04.0,,Defensive rebound by T. Rozier,22,20
1,1:54.0,,T. Rozier misses 2-pt jump shot from 11 ft,22,20
1,1:52.0,Defensive rebound by T. Ross,,22,20
1,1:46.0,K. Birch makes 2-pt dunk from 1 ft (assist by T. Ross),,24,20
1,1:24.0,,A. Horford makes 2-pt layup from 2 ft (assist by T. Rozier),24,22
1,1:04.0,W. Iwundu misses 3-pt jump shot from 26 ft,,24,22
1,1:03.0,,Defensive rebound by Team,24,22
1,1:03.0,,D. Theis enters the game for A. Horford,24,22
1,0:49.0,,Personal foul by M. Carter-Williams (drawn by D. Theis),24,22
1,0:43.0,,G. Hayward makes 2-pt jump shot from 6 ft,24,24
1,0:32.0,T. Ross makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,27,24
1,0:15.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by G. Hayward),27,27
1,0:04.0,T. Ross misses 3-pt jump shot from 26 ft,,27,27
1,0:02.0,,Defensive rebound by D. Theis,27,27
