QUARTER,TIME_REMAINING,PORTLAND_ACTION,CLEVELAND_ACTION,PORTLAND_SCORE,CLEVELAND_SCORE
1,11:39.0,J. Nurkić misses 2-pt hook shot from 10 ft,,0,0
1,11:37.0,,Defensive rebound by K. Love,0,0
1,11:20.0,,K. Love misses 2-pt jump shot from 10 ft,0,0
1,11:18.0,Defensive rebound by J. Nurkić,,0,0
1,11:14.0,,Violation by Team (kicked ball),0,0
1,11:08.0,Personal foul by C. Sexton (drawn by M. Harkless),,0,0
1,10:58.0,M. Harkless makes 2-pt jump shot from 8 ft,,2,0
1,10:42.0,,C. Osman misses 2-pt jump shot from 15 ft,2,0
1,10:40.0,Defensive rebound by C. McCollum,,2,0
1,10:32.0,J. Nurkić misses 2-pt layup from 2 ft,,2,0
1,10:30.0,,Defensive rebound by K. Love,2,0
1,10:27.0,,B. Knight misses 3-pt jump shot from 26 ft,2,0
1,10:25.0,Defensive rebound by M. Harkless,,2,0
1,10:06.0,D. Lillard makes 2-pt jump shot from 5 ft,,4,0
1,9:52.0,,C. Sexton misses 2-pt layup from 3 ft (block by D. Lillard),4,0
1,9:52.0,,Offensive rebound by Team,4,0
1,9:44.0,,Personal foul by M. Harkless (drawn by K. Love),4,0
1,9:39.0,,Offensive foul by C. Sexton (drawn by D. Lillard),4,0
1,9:39.0,,Turnover by C. Sexton (offensive foul),4,0
1,9:26.0,C. McCollum makes 2-pt jump shot from 6 ft (assist by J. Nurkić),,6,0
1,9:20.0,,Personal foul by D. Lillard (drawn by C. Sexton),6,0
1,9:03.0,,Turnover by K. Love (lost ball; steal by M. Harkless),6,0
1,8:57.0,C. McCollum makes 2-pt layup from 1 ft,,8,0
1,8:57.0,,Cleveland full timeout,8,0
1,8:45.0,,K. Love misses 2-pt jump shot from 10 ft (block by A. Aminu),8,0
1,8:42.0,Defensive rebound by A. Aminu,,8,0
1,8:39.0,Turnover by D. Lillard (bad pass),,8,0
1,8:24.0,,Turnover by K. Love (bad pass; steal by C. McCollum),8,0
1,8:19.0,C. McCollum makes 3-pt jump shot from 27 ft (assist by D. Lillard),,11,0
1,8:02.0,,C. Sexton misses 3-pt jump shot from 25 ft,11,0
1,8:00.0,Defensive rebound by C. McCollum,,11,0
1,7:57.0,C. McCollum makes 3-pt jump shot from 27 ft,,14,0
1,7:38.0,,K. Love misses 3-pt jump shot from 29 ft,14,0
1,7:35.0,Defensive rebound by J. Nurkić,,14,0
1,7:26.0,C. McCollum misses 2-pt jump shot from 14 ft,,14,0
1,7:24.0,,Defensive rebound by K. Love,14,0
1,7:12.0,,K. Love misses 2-pt layup from 1 ft,14,0
1,7:10.0,Defensive rebound by C. McCollum,,14,0
1,7:03.0,Offensive foul by J. Nurkić (drawn by B. Knight),,14,0
1,7:03.0,Turnover by J. Nurkić (offensive foul),,14,0
1,7:03.0,,J. Clarkson enters the game for B. Knight,14,0
