QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DALLAS_ACTION,LA CLIPPERS_SCORE,DALLAS_SCORE
1,11:45.0,A. Bradley misses 2-pt jump shot from 18 ft,,0,0
1,11:42.0,,Defensive rebound by W. Matthews,0,0
1,11:35.0,,D. Jordan misses 2-pt hook shot from 5 ft,0,0
1,11:33.0,Defensive rebound by D. Gallinari,,0,0
1,11:26.0,D. Gallinari makes 2-pt jump shot from 20 ft,,2,0
1,11:01.0,,H. Barnes misses 2-pt layup from 3 ft,2,0
1,10:59.0,,Offensive rebound by H. Barnes,2,0
1,10:59.0,,H. Barnes makes 2-pt layup from 1 ft,2,2
1,10:44.0,A. Bradley makes 2-pt layup from 2 ft,,4,2
1,10:36.0,,Personal foul by S. Gilgeous-Alexander (drawn by W. Matthews),4,2
1,10:27.0,,Turnover by W. Matthews (bad pass; steal by S. Gilgeous-Alexander),4,2
1,10:21.0,Shooting foul by W. Matthews (drawn by S. Gilgeous-Alexander),,4,2
1,10:21.0,S. Gilgeous-Alexander makes free throw 1 of 2,,5,2
1,10:21.0,S. Gilgeous-Alexander makes free throw 2 of 2,,6,2
1,10:01.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by D. Smith),6,5
1,9:44.0,T. Harris makes 3-pt jump shot from 27 ft (assist by D. Gallinari),,9,5
1,9:30.0,,W. Matthews misses 3-pt jump shot from 26 ft,9,5
1,9:28.0,Defensive rebound by M. Gortat,,9,5
1,9:20.0,D. Gallinari misses 3-pt jump shot from 26 ft,,9,5
1,9:17.0,,Defensive rebound by W. Matthews,9,5
1,9:12.0,,H. Barnes misses 3-pt jump shot from 29 ft,9,5
1,9:08.0,Defensive rebound by M. Gortat,,9,5
1,9:02.0,T. Harris misses 2-pt jump shot from 12 ft,,9,5
1,8:59.0,,Defensive rebound by D. Smith,9,5
1,8:51.0,,D. Smith makes 2-pt layup from 1 ft,9,7
1,8:38.0,Shooting foul by D. Jordan (drawn by S. Gilgeous-Alexander),,9,7
1,8:38.0,S. Gilgeous-Alexander makes free throw 1 of 2,,10,7
1,8:38.0,S. Gilgeous-Alexander makes free throw 2 of 2,,11,7
1,8:27.0,,H. Barnes makes 2-pt layup from 2 ft (assist by W. Matthews),11,9
1,8:15.0,Offensive foul by M. Gortat (drawn by D. Finney-Smith),,11,9
1,8:15.0,Turnover by M. Gortat (offensive foul),,11,9
1,7:56.0,,H. Barnes makes 3-pt jump shot from 27 ft,11,12
1,7:35.0,M. Gortat makes 2-pt layup from 2 ft (assist by A. Bradley),,13,12
1,7:19.0,,W. Matthews makes 2-pt jump shot from 4 ft,13,14
1,7:01.0,D. Gallinari makes 2-pt jump shot from 23 ft,,15,14
1,6:37.0,,H. Barnes makes 2-pt jump shot from 6 ft (assist by D. Jordan),15,16
1,6:37.0,,Shooting foul by A. Bradley (drawn by H. Barnes),15,16
1,6:37.0,,Dallas full timeout,15,16
1,6:37.0,,H. Barnes makes free throw 1 of 1,15,17
1,6:22.0,M. Gortat misses 2-pt jump shot from 14 ft,,15,17
1,6:19.0,,Defensive rebound by D. Jordan,15,17
1,6:15.0,,Turnover by D. Smith (bad pass),15,17
1,6:08.0,Personal foul by D. Jordan (drawn by M. Gortat),,15,17
1,6:00.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,,17,17
1,5:40.0,,W. Matthews misses 2-pt jump shot from 7 ft,17,17
1,5:38.0,Defensive rebound by D. Gallinari,,17,17
1,5:30.0,T. Harris misses 2-pt jump shot from 15 ft,,17,17
1,5:26.0,,Defensive rebound by D. Jordan,17,17
1,5:04.0,,H. Barnes makes 3-pt jump shot from 27 ft (assist by D. Smith),17,20
1,4:54.0,D. Gallinari misses 2-pt layup from 2 ft,,17,20
1,4:51.0,Offensive rebound by D. Gallinari,,17,20
1,4:49.0,D. Gallinari makes 2-pt layup at rim,,19,20
1,4:29.0,,H. Barnes misses 2-pt layup from 2 ft,19,20
1,4:27.0,Defensive rebound by D. Gallinari,,19,20
1,4:21.0,T. Harris makes 2-pt jump shot from 13 ft,,21,20
1,4:00.0,,W. Matthews makes 2-pt layup from 1 ft (assist by D. Jordan),21,22
1,3:46.0,Shooting foul by D. Finney-Smith (drawn by D. Gallinari),,21,22
1,3:46.0,D. Gallinari makes free throw 1 of 3,,22,22
1,3:46.0,D. Gallinari makes free throw 2 of 3,,23,22
1,3:46.0,P. Beverley enters the game for S. Gilgeous-Alexander,,23,22
1,3:46.0,,J. Barea enters the game for D. Jordan,23,22
1,3:46.0,,D. Powell enters the game for D. Smith,23,22
1,3:46.0,D. Gallinari makes free throw 3 of 3,,24,22
1,3:34.0,,Shooting foul by A. Bradley (drawn by W. Matthews),24,22
1,3:34.0,,W. Matthews makes free throw 1 of 2,24,23
1,3:34.0,,W. Matthews makes free throw 2 of 2,24,24
1,3:18.0,D. Gallinari makes 2-pt jump shot from 23 ft,,26,24
1,3:06.0,,Offensive foul by W. Matthews (drawn by A. Bradley),26,24
1,3:06.0,,Turnover by W. Matthews (offensive foul),26,24
1,3:06.0,L. Williams enters the game for A. Bradley,,26,24
1,3:06.0,,D. Harris enters the game for W. Matthews,26,24
1,2:49.0,L. Williams misses 2-pt layup from 2 ft,,26,24
1,2:47.0,,Defensive rebound by H. Barnes,26,24
1,2:42.0,,J. Barea makes 2-pt jump shot from 10 ft,26,26
1,2:29.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by T. Harris),,29,26
1,2:28.0,Violation by Team (delay of game),,29,26
1,2:16.0,,J. Barea makes 2-pt jump shot from 7 ft,29,28
1,2:16.0,,Shooting foul by P. Beverley (drawn by J. Barea),29,28
1,2:16.0,LA Clippers full timeout,,29,28
1,2:16.0,M. Scott enters the game for D. Gallinari,,29,28
1,2:16.0,,S. Mejri enters the game for D. Finney-Smith,29,28
1,2:16.0,,J. Barea makes free throw 1 of 1,29,29
1,1:56.0,M. Scott misses 2-pt jump shot from 10 ft,,29,29
1,1:53.0,,Defensive rebound by D. Powell,29,29
1,1:40.0,,D. Harris misses 2-pt jump shot from 17 ft,29,29
1,1:35.0,Defensive rebound by L. Williams,,29,29
1,1:31.0,T. Harris misses 3-pt jump shot from 26 ft,,29,29
1,1:27.0,,Defensive rebound by D. Powell,29,29
1,1:11.0,,H. Barnes misses 3-pt jump shot from 26 ft,29,29
1,1:08.0,Defensive rebound by P. Beverley,,29,29
1,1:05.0,T. Harris makes 2-pt layup from 3 ft (assist by P. Beverley),,31,29
1,0:47.0,,H. Barnes makes 2-pt jump shot from 14 ft,31,31
1,0:29.0,L. Williams makes 2-pt jump shot from 3 ft (assist by T. Harris),,33,31
1,0:07.0,,J. Barea makes 3-pt jump shot from 23 ft (assist by D. Powell),33,34
1,0:00.0,L. Williams makes 2-pt jump shot from 21 ft,,35,34
2,11:44.0,,D. Harris makes 2-pt jump shot from 4 ft,35,36
2,11:44.0,,Shooting foul by S. Thornwell (drawn by D. Harris),35,36
