QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DALLAS_ACTION,LA CLIPPERS_SCORE,DALLAS_SCORE
2,11:44.0,,D. Harris makes free throw 1 of 1,35,37
2,11:32.0,M. Scott makes 3-pt jump shot from 24 ft (assist by M. Harrell),,38,37
2,11:11.0,,J. Barea misses 2-pt jump shot from 16 ft,38,37
2,11:08.0,,Offensive rebound by S. Mejri,38,37
2,11:08.0,,Personal foul by M. Scott (drawn by S. Mejri),38,37
2,11:01.0,,D. Harris misses 2-pt layup from 4 ft (block by M. Harrell),38,37
2,10:58.0,Defensive rebound by P. Beverley,,38,37
2,10:46.0,M. Scott misses 3-pt jump shot from 26 ft,,38,37
2,10:46.0,,Defensive rebound by S. Mejri,38,37
2,10:34.0,,J. Barea misses 2-pt layup from 2 ft,38,37
2,10:33.0,Defensive rebound by M. Scott,,38,37
2,10:27.0,L. Williams misses 3-pt jump shot from 24 ft,,38,37
2,10:24.0,,Defensive rebound by D. Harris,38,37
2,10:13.0,,Shooting foul by M. Harrell (drawn by J. Barea),38,37
2,10:13.0,,J. Barea makes free throw 1 of 2,38,38
2,10:13.0,,J. Barea makes free throw 2 of 2,38,39
2,10:05.0,Personal foul by D. Powell (drawn by L. Williams),,38,39
2,10:02.0,Personal foul by D. Harris (drawn by L. Williams),,38,39
2,9:55.0,M. Harrell makes 2-pt jump shot from 3 ft (assist by M. Scott),,40,39
2,9:55.0,Shooting foul by D. Powell (drawn by M. Harrell),,40,39
2,9:55.0,M. Harrell misses free throw 1 of 1,,40,39
2,9:51.0,Offensive rebound by M. Scott,,40,39
2,9:46.0,L. Williams makes 2-pt jump shot from 5 ft,,42,39
2,9:45.0,Away from play foul by D. Harris (drawn by M. Harrell),,42,39
2,9:45.0,M. Harrell misses free throw 1 of 1,,42,39
2,9:45.0,,Defensive rebound by S. Mejri,42,39
2,9:41.0,,Turnover by S. Mejri (lost ball; steal by P. Beverley),42,39
2,9:31.0,M. Scott misses 2-pt jump shot from 16 ft,,42,39
2,9:28.0,,Defensive rebound by J. Barea,42,39
2,9:19.0,,Turnover by J. Barea (bad pass; steal by M. Harrell),42,39
2,9:09.0,M. Harrell makes 2-pt dunk from 2 ft (assist by P. Beverley),,44,39
2,9:09.0,,Dallas full timeout,44,39
2,8:52.0,,J. Brunson misses 2-pt jump shot from 12 ft,44,39
2,8:46.0,Defensive rebound by S. Thornwell,,44,39
2,8:39.0,M. Harrell misses 2-pt jump shot from 8 ft,,44,39
2,8:39.0,Offensive rebound by M. Harrell,,44,39
2,8:39.0,Shooting foul by S. Mejri (drawn by M. Harrell),,44,39
2,8:39.0,M. Harrell misses free throw 1 of 2,,44,39
2,8:39.0,Offensive rebound by Team,,44,39
2,8:39.0,,D. Jordan enters the game for S. Mejri,44,39
2,8:39.0,M. Harrell makes free throw 2 of 2,,45,39
2,8:27.0,,Personal foul by P. Beverley (drawn by J. Barea),45,39
2,8:22.0,,J. Barea misses 2-pt jump shot from 19 ft,45,39
2,8:19.0,,Offensive rebound by D. Powell,45,39
2,8:17.0,,D. Harris misses 3-pt jump shot from 23 ft,45,39
2,8:13.0,Defensive rebound by L. Williams,,45,39
2,8:10.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by L. Williams),,48,39
2,7:55.0,,J. Barea misses 2-pt jump shot from 17 ft,48,39
2,7:53.0,,Offensive rebound by D. Jordan,48,39
2,7:44.0,,J. Brunson misses 3-pt jump shot from 23 ft,48,39
2,7:40.0,Defensive rebound by S. Thornwell,,48,39
2,7:33.0,L. Williams misses 3-pt jump shot from 25 ft,,48,39
2,7:31.0,,Defensive rebound by D. Powell,48,39
2,7:23.0,,D. Harris misses 2-pt layup from 1 ft (block by S. Thornwell),48,39
2,7:18.0,Defensive rebound by M. Scott,,48,39
2,7:17.0,P. Beverley misses 3-pt jump shot from 25 ft,,48,39
2,7:13.0,,Defensive rebound by D. Jordan,48,39
2,7:06.0,,J. Barea makes 2-pt jump shot from 6 ft,48,41
2,6:46.0,M. Scott misses 2-pt jump shot from 6 ft,,48,41
2,6:43.0,,Defensive rebound by J. Barea,48,41
2,6:39.0,,J. Barea makes 2-pt layup from 1 ft,48,43
2,6:38.0,LA Clippers full timeout,,48,43
2,6:38.0,D. Gallinari enters the game for P. Beverley,,48,43
2,6:38.0,S. Gilgeous-Alexander enters the game for M. Scott,,48,43
2,6:38.0,T. Harris enters the game for S. Thornwell,,48,43
2,6:38.0,,H. Barnes enters the game for J. Brunson,48,43
2,6:38.0,,W. Matthews enters the game for D. Powell,48,43
2,6:23.0,S. Gilgeous-Alexander makes 2-pt jump shot from 7 ft (assist by T. Harris),,50,43
2,6:02.0,,H. Barnes misses 2-pt jump shot from 6 ft,50,43
2,6:00.0,Defensive rebound by T. Harris,,50,43
2,5:57.0,T. Harris misses 2-pt jump shot from 15 ft,,50,43
2,5:53.0,,Defensive rebound by D. Jordan,50,43
2,5:47.0,,J. Barea makes 2-pt layup from 2 ft,50,45
2,5:33.0,T. Harris makes 2-pt layup from 2 ft (assist by D. Gallinari),,52,45
2,5:19.0,,Personal foul by T. Harris (drawn by J. Barea),52,45
2,5:19.0,,J. Barea makes free throw 1 of 2,52,46
2,5:19.0,A. Bradley enters the game for L. Williams,,52,46
2,5:19.0,,D. Finney-Smith enters the game for D. Harris,52,46
2,5:19.0,,J. Barea makes free throw 2 of 2,52,47
2,4:58.0,S. Gilgeous-Alexander misses 2-pt jump shot from 8 ft,,52,47
2,4:54.0,,Defensive rebound by D. Jordan,52,47
2,4:48.0,,J. Barea makes 2-pt jump shot from 8 ft,52,49
2,4:29.0,D. Gallinari misses 2-pt jump shot from 10 ft,,52,49
2,4:27.0,,Defensive rebound by J. Barea,52,49
2,4:24.0,,Shooting foul by M. Harrell (drawn by D. Finney-Smith),52,49
2,4:24.0,,D. Finney-Smith misses free throw 1 of 2,52,49
2,4:24.0,,Offensive rebound by Team,52,49
2,4:24.0,,D. Smith enters the game for J. Barea,52,49
2,4:24.0,,D. Finney-Smith makes free throw 2 of 2,52,50
2,4:15.0,Turnover by S. Gilgeous-Alexander (bad pass),,52,50
2,4:08.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),52,52
2,3:52.0,A. Bradley misses 3-pt jump shot from 23 ft,,52,52
2,3:49.0,,Defensive rebound by D. Jordan,52,52
2,3:39.0,,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by W. Matthews),52,55
2,3:16.0,T. Harris misses 2-pt jump shot from 18 ft,,52,55
2,3:13.0,,Defensive rebound by D. Finney-Smith,52,55
2,3:07.0,,D. Smith misses 3-pt jump shot from 25 ft,52,55
2,3:03.0,Defensive rebound by D. Gallinari,,52,55
2,2:52.0,M. Harrell misses 2-pt hook shot from 3 ft,,52,55
2,2:51.0,,Defensive rebound by D. Smith,52,55
2,2:44.0,,H. Barnes makes 3-pt jump shot from 22 ft (assist by D. Smith),52,58
2,2:24.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,52,58
2,2:21.0,,Defensive rebound by D. Finney-Smith,52,58
2,2:15.0,,W. Matthews makes 2-pt layup from 2 ft (assist by D. Finney-Smith),52,60
2,1:54.0,D. Gallinari misses 2-pt layup from 4 ft,,52,60
2,1:52.0,,Defensive rebound by D. Jordan,52,60
2,1:45.0,,W. Matthews misses 3-pt jump shot from 27 ft,52,60
2,1:42.0,Defensive rebound by S. Gilgeous-Alexander,,52,60
2,1:38.0,D. Gallinari misses 2-pt jump shot from 11 ft,,52,60
2,1:38.0,Offensive rebound by M. Harrell,,52,60
2,1:33.0,M. Harrell misses 2-pt layup at rim,,52,60
2,1:31.0,Offensive rebound by M. Harrell,,52,60
2,1:31.0,M. Harrell makes 2-pt layup at rim,,54,60
2,1:17.0,,H. Barnes misses 3-pt jump shot from 25 ft,54,60
2,1:15.0,,Offensive rebound by W. Matthews,54,60
2,1:12.0,,H. Barnes misses 2-pt hook shot from 6 ft,54,60
2,1:09.0,,Offensive rebound by H. Barnes,54,60
2,1:06.0,,Turnover by H. Barnes (bad pass; steal by D. Gallinari),54,60
2,1:05.0,Personal foul by W. Matthews (drawn by D. Gallinari),,54,60
2,1:05.0,D. Gallinari makes free throw 1 of 2,,55,60
2,1:05.0,B. Marjanović enters the game for M. Harrell,,55,60
2,1:05.0,,J. Barea enters the game for W. Matthews,55,60
2,1:05.0,D. Gallinari makes free throw 2 of 2,,56,60
2,1:00.0,,Turnover by D. Smith (bad pass; steal by B. Marjanović),56,60
2,0:52.0,A. Bradley makes 2-pt jump shot from 17 ft,,58,60
2,0:36.0,,H. Barnes misses 2-pt jump shot from 13 ft,58,60
2,0:32.0,Defensive rebound by A. Bradley,,58,60
2,0:27.0,D. Gallinari misses 3-pt jump shot from 28 ft,,58,60
2,0:22.0,,Defensive rebound by D. Finney-Smith,58,60
2,0:03.0,,J. Barea misses 2-pt jump shot from 7 ft,58,60
2,0:00.0,,D. Jordan makes 2-pt layup from 1 ft,58,62
2,0:01.0,,Offensive rebound by D. Jordan,58,62
2,0:00.0,T. Harris misses 3-pt jump shot from 54 ft,,58,62
2,0:00.0,Offensive rebound by Team,,58,62
3,11:38.0,,W. Matthews misses 2-pt jump shot from 17 ft,58,62
3,11:34.0,Defensive rebound by M. Gortat,,58,62
3,11:23.0,T. Harris misses 2-pt jump shot from 16 ft,,58,62
3,11:21.0,,Defensive rebound by H. Barnes,58,62
3,11:04.0,,Turnover by H. Barnes (lost ball; steal by T. Harris),58,62
3,10:56.0,Shooting foul by D. Smith (drawn by T. Harris),,58,62
3,10:56.0,T. Harris makes free throw 1 of 2,,59,62
3,10:56.0,T. Harris makes free throw 2 of 2,,60,62
3,10:43.0,,Turnover by W. Matthews (bad pass),60,62
3,10:25.0,Turnover by A. Bradley (bad pass; steal by D. Finney-Smith),,60,62
3,10:20.0,,D. Finney-Smith misses 2-pt layup from 2 ft,60,62
3,10:18.0,Defensive rebound by M. Gortat,,60,62
3,10:15.0,D. Gallinari makes 2-pt dunk from 2 ft (assist by T. Harris),,62,62
3,10:01.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,62,62
3,9:58.0,Defensive rebound by A. Bradley,,62,62
3,9:49.0,A. Bradley misses 2-pt jump shot from 18 ft,,62,62
3,9:45.0,,Defensive rebound by D. Jordan,62,62
3,9:29.0,,H. Barnes makes 2-pt jump shot from 8 ft,62,64
3,9:15.0,S. Gilgeous-Alexander misses 2-pt jump shot from 17 ft,,62,64
3,9:12.0,,Defensive rebound by D. Finney-Smith,62,64
3,9:04.0,,D. Jordan makes 2-pt layup from 1 ft (assist by W. Matthews),62,66
3,9:04.0,LA Clippers full timeout,,62,66
3,8:44.0,T. Harris makes 2-pt jump shot from 18 ft,,64,66
3,8:23.0,,H. Barnes misses 2-pt layup from 1 ft,64,66
3,8:21.0,,Offensive rebound by H. Barnes,64,66
3,8:20.0,,H. Barnes misses 2-pt layup at rim,64,66
3,8:20.0,Defensive rebound by M. Gortat,,64,66
3,8:14.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by D. Gallinari),,67,66
3,8:00.0,,D. Smith makes 3-pt jump shot from 26 ft (assist by W. Matthews),67,69
3,7:37.0,Turnover by D. Gallinari (lost ball; steal by D. Smith),,67,69
3,7:35.0,,Personal foul by D. Gallinari (drawn by D. Smith),67,69
3,7:25.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Jordan),67,72
3,7:00.0,M. Gortat makes 2-pt layup from 1 ft (assist by A. Bradley),,69,72
3,6:43.0,,W. Matthews misses 2-pt layup from 3 ft (block by S. Gilgeous-Alexander),69,72
3,6:43.0,Defensive rebound by Team,,69,72
3,6:28.0,T. Harris misses 2-pt layup from 2 ft (block by H. Barnes),,69,72
3,6:25.0,,Defensive rebound by D. Jordan,69,72
3,6:20.0,,Turnover by D. Smith (out of bounds lost ball),69,72
3,6:20.0,,D. Harris enters the game for W. Matthews,69,72
3,6:02.0,M. Gortat misses 2-pt hook shot from 6 ft,,69,72
3,6:01.0,,Defensive rebound by D. Jordan,69,72
3,5:53.0,,D. Finney-Smith makes 2-pt jump shot from 19 ft,69,74
3,5:27.0,T. Harris misses 2-pt hook shot from 4 ft,,69,74
3,5:25.0,,Defensive rebound by D. Jordan,69,74
3,5:16.0,,D. Smith makes 2-pt jump shot from 18 ft,69,76
3,5:01.0,Personal foul by H. Barnes (drawn by T. Harris),,69,76
3,5:01.0,P. Beverley enters the game for A. Bradley,,69,76
3,5:01.0,L. Williams enters the game for S. Gilgeous-Alexander,,69,76
3,4:55.0,T. Harris misses 3-pt jump shot from 26 ft,,69,76
3,4:51.0,Offensive rebound by P. Beverley,,69,76
3,4:46.0,L. Williams makes 2-pt jump shot from 21 ft,,71,76
3,4:34.0,,D. Smith misses 3-pt jump shot from 28 ft,71,76
3,4:32.0,,Offensive rebound by D. Jordan,71,76
3,4:30.0,,D. Jordan misses 2-pt hook shot from 3 ft,71,76
3,4:26.0,,Offensive rebound by D. Jordan,71,76
3,4:26.0,,D. Jordan misses 2-pt layup at rim,71,76
3,4:26.0,Defensive rebound by T. Harris,,71,76
3,4:21.0,Turnover by T. Harris (lost ball; steal by D. Finney-Smith),,71,76
3,4:20.0,,D. Jordan makes 2-pt layup from 2 ft (assist by H. Barnes),71,78
3,4:20.0,,Shooting foul by M. Gortat (drawn by D. Jordan),71,78
3,4:20.0,M. Harrell enters the game for M. Gortat,,71,78
3,4:20.0,,W. Matthews enters the game for D. Finney-Smith,71,78
3,4:20.0,,D. Jordan makes free throw 1 of 1,71,79
3,4:09.0,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),,73,79
3,3:55.0,,Offensive foul by D. Jordan (drawn by T. Harris),73,79
3,3:55.0,,Turnover by D. Jordan (offensive foul),73,79
3,3:55.0,M. Scott enters the game for T. Harris,,73,79
3,3:47.0,P. Beverley misses 2-pt layup from 2 ft (block by D. Smith),,73,79
3,3:44.0,,Defensive rebound by D. Jordan,73,79
3,3:32.0,,H. Barnes misses 3-pt jump shot from 24 ft,73,79
3,3:29.0,Defensive rebound by M. Harrell,,73,79
3,3:21.0,D. Gallinari misses 3-pt jump shot from 26 ft,,73,79
3,3:19.0,,Defensive rebound by D. Jordan,73,79
3,3:10.0,,J. Barea enters the game for H. Barnes,73,79
3,3:10.0,,D. Finney-Smith enters the game for D. Smith,73,79
3,3:03.0,,Shooting foul by M. Harrell (drawn by D. Jordan),73,79
3,3:03.0,,D. Jordan makes free throw 1 of 2,73,80
3,3:03.0,A. Bradley enters the game for D. Gallinari,,73,80
3,3:03.0,,D. Jordan misses free throw 2 of 2,73,80
3,3:01.0,Defensive rebound by M. Scott,,73,80
3,2:53.0,M. Harrell makes 2-pt hook shot from 2 ft (assist by L. Williams),,75,80
3,2:41.0,,J. Barea makes 2-pt jump shot from 4 ft,75,82
3,2:33.0,Shooting foul by D. Harris (drawn by L. Williams),,75,82
3,2:33.0,,Dallas full timeout,75,82
3,2:33.0,L. Williams makes free throw 1 of 2,,76,82
3,2:33.0,L. Williams makes free throw 2 of 2,,77,82
3,2:16.0,,D. Jordan misses 2-pt layup from 2 ft,77,82
3,2:14.0,Defensive rebound by M. Harrell,,77,82
3,2:06.0,L. Williams makes 2-pt layup from 2 ft,,79,82
3,1:44.0,,W. Matthews misses 2-pt jump shot from 11 ft,79,82
3,1:39.0,,Offensive rebound by D. Jordan,79,82
3,1:38.0,,D. Jordan makes 2-pt dunk at rim,79,84
3,1:20.0,Turnover by L. Williams (bad pass),,79,84
3,1:20.0,,D. Powell enters the game for D. Jordan,79,84
3,1:08.0,,D. Powell makes 2-pt layup from 3 ft (assist by J. Barea),79,86
3,0:52.0,M. Scott misses 2-pt layup from 6 ft,,79,86
3,0:48.0,,Defensive rebound by D. Powell,79,86
3,0:38.0,,W. Matthews misses 2-pt layup from 2 ft,79,86
3,0:37.0,Defensive rebound by M. Harrell,,79,86
3,0:37.0,,Technical foul by W. Matthews,79,86
3,0:37.0,L. Williams makes technical free throw,,80,86
3,0:18.0,P. Beverley misses 2-pt jump shot from 15 ft,,80,86
3,0:15.0,,Defensive rebound by D. Powell,80,86
3,0:01.0,,Shooting foul by P. Beverley (drawn by D. Powell),80,86
3,0:01.0,,D. Powell makes free throw 1 of 2,80,87
3,0:01.0,,D. Powell makes free throw 2 of 2,80,88
3,0:01.0,Turnover by M. Scott (bad pass; steal by W. Matthews),,80,88
3,0:00.0,,W. Matthews misses 2-pt layup from 2 ft (block by P. Beverley),80,88
3,0:00.0,,Offensive rebound by Team,80,88
4,11:48.0,M. Harrell makes 2-pt hook shot from 4 ft (assist by P. Beverley),,82,88
4,11:22.0,,D. Powell misses 2-pt layup from 5 ft,82,88
4,11:17.0,,Offensive rebound by D. Finney-Smith,82,88
4,11:17.0,,D. Finney-Smith misses 2-pt layup from 2 ft,82,88
4,11:15.0,Defensive rebound by P. Beverley,,82,88
4,11:15.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,84,88
4,11:15.0,Shooting foul by W. Matthews (drawn by M. Harrell),,84,88
4,11:15.0,M. Harrell misses free throw 1 of 1,,84,88
4,11:12.0,,Defensive rebound by W. Matthews,84,88
4,11:04.0,,J. Barea misses 2-pt jump shot from 7 ft,84,88
4,10:59.0,Defensive rebound by M. Scott,,84,88
4,10:54.0,L. Williams misses 2-pt jump shot from 23 ft,,84,88
4,10:52.0,,Defensive rebound by W. Matthews,84,88
4,10:51.0,,Personal foul by M. Harrell (drawn by W. Matthews),84,88
4,10:45.0,,Offensive foul by D. Powell (drawn by M. Harrell),84,88
4,10:45.0,,Turnover by D. Powell (offensive foul),84,88
4,10:45.0,LA Clippers full timeout,,84,88
4,10:45.0,,H. Barnes enters the game for D. Harris,84,88
4,10:45.0,,D. Smith enters the game for W. Matthews,84,88
4,10:32.0,M. Harrell makes 2-pt layup from 5 ft,,86,88
4,10:18.0,,H. Barnes misses 2-pt jump shot from 8 ft (block by P. Beverley),86,88
4,10:17.0,,Offensive rebound by H. Barnes,86,88
4,10:16.0,,H. Barnes makes 2-pt layup at rim,86,90
4,10:16.0,,Shooting foul by M. Harrell (drawn by H. Barnes),86,90
4,10:16.0,,H. Barnes makes free throw 1 of 1,86,91
4,9:59.0,L. Williams misses 2-pt jump shot from 20 ft,,86,91
4,9:56.0,,Defensive rebound by D. Finney-Smith,86,91
4,9:42.0,,J. Barea misses 2-pt jump shot from 13 ft,86,91
4,9:38.0,Defensive rebound by A. Bradley,,86,91
4,9:34.0,L. Williams makes 3-pt jump shot from 25 ft (assist by A. Bradley),,89,91
4,9:17.0,,J. Barea misses 3-pt jump shot from 26 ft,89,91
4,9:14.0,,Offensive rebound by H. Barnes,89,91
4,9:10.0,Technical foul by P. Beverley,,89,91
4,9:10.0,P. Beverley ejected from game,,89,91
4,9:10.0,M. Teodosić enters the game for P. Beverley,,89,91
4,9:10.0,,H. Barnes makes technical free throw,89,92
4,9:10.0,D. Gallinari enters the game for M. Harrell,,89,92
4,9:10.0,T. Harris enters the game for M. Scott,,89,92
4,9:07.0,,Turnover by H. Barnes (lost ball; steal by M. Teodosić),89,92
4,9:04.0,A. Bradley misses 2-pt layup from 3 ft (block by D. Powell),,89,92
4,9:02.0,,Defensive rebound by J. Barea,89,92
4,8:59.0,,Shooting foul by T. Harris (drawn by H. Barnes),89,92
4,8:59.0,,H. Barnes makes free throw 1 of 2,89,93
4,8:59.0,,H. Barnes makes free throw 2 of 2,89,94
4,8:40.0,D. Gallinari misses 2-pt jump shot from 15 ft,,89,94
4,8:37.0,,Defensive rebound by H. Barnes,89,94
4,8:29.0,,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),89,96
4,8:18.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by L. Williams),,92,96
4,8:04.0,,Personal foul by M. Teodosić (drawn by D. Smith),92,96
4,8:04.0,S. Gilgeous-Alexander enters the game for M. Teodosić,,92,96
4,7:55.0,,Turnover by J. Barea (lost ball; steal by A. Bradley),92,96
4,7:48.0,D. Gallinari makes 3-pt jump shot from 25 ft,,95,96
4,7:35.0,,Turnover by J. Barea (lost ball; steal by A. Bradley),95,96
4,7:31.0,Turnover by T. Harris (lost ball; steal by D. Smith),,95,96
4,7:25.0,,D. Finney-Smith makes 2-pt dunk from 2 ft (assist by D. Smith),95,98
4,7:07.0,L. Williams misses 3-pt jump shot from 26 ft,,95,98
4,7:05.0,,Defensive rebound by J. Barea,95,98
4,6:53.0,,D. Powell makes 2-pt hook shot from 4 ft (assist by J. Barea),95,100
4,6:39.0,Shooting foul by D. Powell (drawn by T. Harris),,95,100
4,6:39.0,T. Harris makes free throw 1 of 2,,96,100
4,6:39.0,T. Harris makes free throw 2 of 2,,97,100
4,6:24.0,,H. Barnes misses 3-pt jump shot from 26 ft,97,100
4,6:21.0,,Offensive rebound by D. Powell,97,100
