QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
1,11:47.0,,D. Green makes 2-pt dunk from 2 ft (assist by A. Bogut),0,2
1,11:28.0,Personal foul by A. Bogut (drawn by C. McCollum),,0,2
1,11:16.0,A. Aminu misses 2-pt layup from 9 ft,,0,2
1,11:15.0,Offensive rebound by M. Harkless,,0,2
1,11:11.0,M. Harkless makes 2-pt layup from 2 ft,,2,2
1,10:52.0,,Shooting foul by M. Harkless (drawn by K. Thompson),2,2
1,10:52.0,,K. Thompson makes free throw 1 of 2,2,3
1,10:52.0,,K. Thompson makes free throw 2 of 2,2,4
1,10:41.0,D. Lillard misses 3-pt jump shot from 30 ft,,2,4
1,10:39.0,,Defensive rebound by A. Bogut,2,4
1,10:32.0,,D. Green misses 3-pt jump shot from 26 ft,2,4
1,10:29.0,Defensive rebound by Team,,2,4
1,10:13.0,C. McCollum makes 2-pt jump shot from 20 ft,,4,4
1,10:06.0,,Turnover by D. Green (bad pass; steal by D. Lillard),4,4
1,9:56.0,A. Aminu makes 2-pt dunk from 2 ft (assist by D. Lillard),,6,4
1,9:29.0,,D. Green makes 2-pt layup from 3 ft (assist by K. Thompson),6,6
1,9:15.0,C. McCollum misses 2-pt jump shot from 11 ft,,6,6
1,9:14.0,Offensive rebound by A. Aminu,,6,6
1,9:10.0,A. Aminu misses 2-pt layup from 1 ft,,6,6
1,9:10.0,,Defensive rebound by S. Curry,6,6
1,9:02.0,,K. Thompson makes 2-pt jump shot from 11 ft,6,8
1,8:42.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),,9,8
1,8:29.0,,K. Thompson misses 2-pt jump shot from 17 ft,9,8
1,8:28.0,Defensive rebound by A. Aminu,,9,8
1,8:24.0,Offensive foul by A. Aminu (drawn by D. Green),,9,8
1,8:24.0,Turnover by A. Aminu (offensive foul),,9,8
1,8:24.0,,K. Looney enters the game for A. Bogut,9,8
1,8:05.0,,K. Thompson misses 2-pt layup from 1 ft,9,8
1,8:04.0,Defensive rebound by M. Harkless,,9,8
1,7:59.0,C. McCollum makes 3-pt jump shot from 28 ft (assist by M. Harkless),,12,8
1,7:52.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),12,10
1,7:52.0,,Shooting foul by A. Aminu (drawn by D. Green),12,10
1,7:52.0,,D. Green misses free throw 1 of 1,12,10
1,7:51.0,Defensive rebound by E. Freedom,,12,10
1,7:39.0,Turnover by C. McCollum (bad pass; steal by A. Iguodala),,12,10
1,7:31.0,,S. Curry misses 3-pt jump shot from 25 ft,12,10
1,7:29.0,Defensive rebound by D. Lillard,,12,10
1,7:19.0,M. Harkless makes 3-pt jump shot from 26 ft (assist by D. Lillard),,15,10
1,7:04.0,,A. Iguodala misses 3-pt jump shot from 23 ft,15,10
1,7:02.0,Defensive rebound by A. Aminu,,15,10
1,6:55.0,E. Freedom misses 2-pt layup from 4 ft (block by D. Green),,15,10
1,6:54.0,,Defensive rebound by D. Green,15,10
1,6:47.0,,S. Curry makes 2-pt layup from 3 ft,15,12
1,6:30.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by C. McCollum),,18,12
1,6:21.0,,S. Curry makes 3-pt jump shot from 31 ft,18,15
1,6:00.0,Shooting foul by D. Green (drawn by A. Aminu),,18,15
1,6:00.0,,Golden State full timeout,18,15
1,6:00.0,M. Leonard enters the game for E. Freedom,,18,15
1,6:00.0,A. Aminu makes free throw 1 of 2,,19,15
1,6:00.0,A. Aminu makes free throw 2 of 2,,20,15
1,5:45.0,,A. Iguodala misses 3-pt jump shot from 23 ft,20,15
1,5:43.0,Defensive rebound by D. Lillard,,20,15
1,5:32.0,C. McCollum misses 2-pt jump shot from 10 ft,,20,15
1,5:31.0,Offensive rebound by M. Leonard,,20,15
1,5:25.0,M. Leonard misses 2-pt hook shot from 4 ft (block by D. Green),,20,15
1,5:24.0,,Defensive rebound by D. Green,20,15
1,5:16.0,,Turnover by S. Curry (bad pass; steal by C. McCollum),20,15
1,5:09.0,A. Aminu makes 2-pt dunk from 1 ft (assist by C. McCollum),,22,15
1,4:45.0,,K. Thompson misses 3-pt jump shot from 24 ft,22,15
1,4:43.0,Defensive rebound by A. Aminu,,22,15
1,4:38.0,D. Lillard misses 3-pt jump shot from 27 ft,,22,15
1,4:36.0,,Defensive rebound by D. Green,22,15
1,4:24.0,,K. Thompson misses 2-pt jump shot from 15 ft,22,15
1,4:23.0,,Offensive rebound by K. Looney,22,15
1,4:15.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green),22,18
1,3:56.0,M. Harkless misses 2-pt layup from 4 ft (block by D. Green),,22,18
1,3:54.0,,Defensive rebound by S. Curry,22,18
1,3:46.0,,A. Iguodala misses 2-pt layup from 3 ft,22,18
1,3:45.0,Defensive rebound by A. Aminu,,22,18
1,3:36.0,C. McCollum misses 3-pt jump shot from 28 ft,,22,18
1,3:34.0,,Defensive rebound by A. Iguodala,22,18
1,3:32.0,,Personal foul by C. McCollum (drawn by D. Green),22,18
1,3:32.0,R. Hood enters the game for A. Aminu,,22,18
1,3:32.0,,S. Livingston enters the game for A. Iguodala,22,18
1,3:32.0,,A. McKinnie enters the game for K. Thompson,22,18
1,3:28.0,,Personal foul by M. Harkless (drawn by D. Green),22,18
1,3:23.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by S. Livingston),22,21
1,3:22.0,Portland full timeout,,22,21
1,3:22.0,S. Curry enters the game for C. McCollum,,22,21
1,3:13.0,Offensive foul by M. Leonard (drawn by A. McKinnie),,22,21
1,3:13.0,Turnover by M. Leonard (offensive foul),,22,21
1,3:00.0,,Offensive foul by D. Green (drawn by D. Lillard),22,21
1,3:00.0,,Turnover by D. Green (offensive foul),22,21
1,2:46.0,R. Hood makes 2-pt jump shot from 17 ft,,24,21
1,2:23.0,,K. Looney makes 2-pt dunk from 1 ft (assist by D. Green),24,23
1,2:06.0,M. Harkless makes 3-pt jump shot from 26 ft (assist by M. Leonard),,27,23
1,1:55.0,,S. Livingston makes 2-pt jump shot from 9 ft (assist by S. Curry),27,25
1,1:34.0,M. Leonard misses 3-pt jump shot from 27 ft,,27,25
1,1:30.0,,Defensive rebound by S. Livingston,27,25
1,1:26.0,,Turnover by S. Curry (bad pass; steal by S. Curry),27,25
1,1:20.0,S. Curry misses 3-pt jump shot from 24 ft (block by D. Green),,27,25
1,1:19.0,Offensive rebound by Team,,27,25
1,1:19.0,Z. Collins enters the game for M. Harkless,,27,25
1,1:19.0,E. Turner enters the game for M. Leonard,,27,25
1,1:19.0,,J. Jerebko enters the game for D. Green,27,25
1,1:05.0,R. Hood makes 2-pt jump shot from 12 ft,,29,25
1,0:52.0,,S. Curry makes 2-pt jump shot from 16 ft (assist by J. Jerebko),29,27
1,0:36.0,Personal foul by A. McKinnie (drawn by D. Lillard),,29,27
1,0:31.0,D. Lillard misses 2-pt jump shot from 17 ft,,29,27
1,0:30.0,,Defensive rebound by J. Jerebko,29,27
1,0:10.0,,Shooting foul by Z. Collins (drawn by S. Curry),29,27
1,0:10.0,,S. Curry makes free throw 1 of 2,29,28
1,0:10.0,,S. Curry makes free throw 2 of 2,29,29
1,0:10.0,,J. Bell enters the game for J. Jerebko,29,29
1,0:01.0,E. Turner makes 2-pt jump shot from 10 ft (assist by D. Lillard),,31,29
2,11:46.0,Shooting foul by J. Jerebko (drawn by E. Turner),,31,29
2,11:46.0,E. Turner makes free throw 1 of 2,,32,29
2,11:46.0,E. Turner makes free throw 2 of 2,,33,29
2,11:34.0,,Shooting foul by Z. Collins (drawn by S. Livingston),33,29
2,11:34.0,,S. Livingston misses free throw 1 of 2,33,29
2,11:34.0,,Offensive rebound by Team,33,29
2,11:34.0,,S. Livingston makes free throw 2 of 2,33,30
2,11:23.0,R. Hood misses 3-pt jump shot from 27 ft,,33,30
2,11:21.0,,Defensive rebound by Q. Cook,33,30
2,10:57.0,,J. Jerebko misses 2-pt jump shot from 11 ft,33,30
2,10:55.0,,Offensive rebound by J. Jerebko,33,30
2,10:44.0,,J. Bell makes 2-pt jump shot from 8 ft (assist by J. Jerebko),33,32
2,10:25.0,C. McCollum misses 2-pt jump shot from 13 ft,,33,32
2,10:23.0,Offensive rebound by C. McCollum,,33,32
2,10:22.0,C. McCollum makes 2-pt layup from 2 ft,,35,32
2,10:05.0,,J. Bell misses 2-pt jump shot from 14 ft,35,32
2,10:04.0,Defensive rebound by E. Turner,,35,32
2,9:51.0,R. Hood makes 3-pt jump shot from 25 ft (assist by S. Curry),,38,32
2,9:32.0,,J. Jerebko misses 2-pt jump shot from 17 ft,38,32
2,9:31.0,,Offensive rebound by K. Thompson,38,32
2,9:22.0,,K. Thompson makes 2-pt jump shot from 17 ft,38,34
2,9:07.0,Offensive foul by Z. Collins (drawn by Q. Cook),,38,34
2,9:07.0,Turnover by Z. Collins (offensive foul),,38,34
2,8:53.0,,Offensive foul by J. Bell (drawn by R. Hood),38,34
2,8:53.0,,Turnover by J. Bell (offensive foul),38,34
2,8:42.0,C. McCollum misses 2-pt hook shot from 8 ft,,38,34
2,8:41.0,Offensive rebound by E. Turner,,38,34
2,8:30.0,Turnover by C. McCollum (bad pass),,38,34
2,8:14.0,,Turnover by K. Thompson (out of bounds lost ball),38,34
2,8:14.0,E. Freedom enters the game for Z. Collins,,38,34
2,7:55.0,C. McCollum makes 2-pt jump shot from 20 ft,,40,34
2,7:31.0,,J. Bell makes 2-pt dunk at rim (assist by S. Livingston),40,36
2,7:12.0,E. Turner misses 2-pt layup from 8 ft (block by J. Bell),,40,36
2,7:10.0,Offensive rebound by R. Hood,,40,36
2,7:08.0,R. Hood misses 3-pt jump shot from 28 ft,,40,36
2,7:06.0,Offensive rebound by E. Freedom,,40,36
2,7:04.0,E. Freedom makes 2-pt layup from 1 ft,,42,36
2,6:56.0,,K. Thompson misses 3-pt jump shot from 27 ft,42,36
2,6:54.0,,Offensive rebound by J. Jerebko,42,36
2,6:48.0,,K. Thompson misses 2-pt jump shot from 21 ft,42,36
