QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
1,11:42.0,,K. Lowry makes 3-pt jump shot from 28 ft (assist by D. Green),0,3
1,11:26.0,C. Zeller misses 2-pt layup from 3 ft,,0,3
1,11:24.0,,Defensive rebound by D. Green,0,3
1,11:11.0,,S. Ibaka misses 3-pt jump shot from 27 ft,0,3
1,11:09.0,,Offensive rebound by P. Siakam,0,3
1,11:07.0,,K. Lowry misses 3-pt jump shot from 27 ft,0,3
1,11:04.0,Defensive rebound by J. Lamb,,0,3
1,10:55.0,M. Williams misses 2-pt layup from 2 ft (block by S. Ibaka),,0,3
1,10:52.0,,Defensive rebound by K. Leonard,0,3
1,10:48.0,,K. Leonard makes 3-pt jump shot from 27 ft,0,6
1,10:29.0,K. Walker makes 2-pt jump shot from 12 ft,,2,6
1,10:14.0,,K. Leonard makes 2-pt jump shot from 12 ft (assist by K. Lowry),2,8
1,9:56.0,C. Zeller makes 2-pt hook shot from 4 ft (assist by K. Walker),,4,8
1,9:46.0,,P. Siakam makes 2-pt dunk from 1 ft (assist by K. Lowry),4,10
1,9:44.0,Charlotte full timeout,,4,10
1,9:26.0,J. Lamb misses 2-pt jump shot from 10 ft,,4,10
1,9:23.0,,Defensive rebound by D. Green,4,10
1,9:10.0,,S. Ibaka makes 2-pt hook shot from 4 ft (assist by D. Green),4,12
1,8:49.0,J. Lamb makes 2-pt jump shot from 17 ft (assist by N. Batum),,6,12
1,8:28.0,,S. Ibaka misses 3-pt jump shot from 26 ft,6,12
1,8:25.0,Defensive rebound by J. Lamb,,6,12
1,8:11.0,M. Williams misses 2-pt hook shot from 9 ft,,6,12
1,8:07.0,,Defensive rebound by K. Leonard,6,12
1,7:48.0,,Turnover by P. Siakam (lost ball; steal by M. Williams),6,12
1,7:43.0,Personal foul by P. Siakam (drawn by K. Walker),,6,12
1,7:35.0,K. Walker misses 2-pt layup from 5 ft,,6,12
1,7:32.0,Offensive rebound by C. Zeller,,6,12
1,7:29.0,J. Lamb misses 2-pt jump shot from 21 ft,,6,12
1,7:26.0,,Defensive rebound by S. Ibaka,6,12
1,7:23.0,,K. Lowry makes 2-pt layup from 3 ft,6,14
1,7:23.0,,Shooting foul by N. Batum (drawn by K. Lowry),6,14
1,7:23.0,,K. Lowry makes free throw 1 of 1,6,15
1,7:14.0,K. Walker misses 3-pt jump shot from 25 ft,,6,15
1,7:12.0,Offensive rebound by C. Zeller,,6,15
1,7:10.0,N. Batum misses 3-pt jump shot from 23 ft,,6,15
1,7:09.0,Offensive rebound by Team,,6,15
1,7:09.0,,Loose ball foul by P. Siakam (drawn by J. Lamb),6,15
1,6:57.0,J. Lamb misses 2-pt hook shot from 4 ft,,6,15
1,6:55.0,,Defensive rebound by D. Green,6,15
1,6:44.0,,K. Lowry misses 3-pt jump shot from 26 ft,6,15
1,6:41.0,Defensive rebound by M. Williams,,6,15
1,6:31.0,Shooting foul by K. Lowry (drawn by J. Lamb),,6,15
1,6:31.0,J. Lamb makes free throw 1 of 2,,7,15
1,6:31.0,J. Lamb makes free throw 2 of 2,,8,15
1,6:20.0,,K. Leonard makes 2-pt jump shot from 16 ft (assist by K. Lowry),8,17
1,5:56.0,M. Williams makes 2-pt dunk from 2 ft (assist by K. Walker),,10,17
1,5:44.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),10,20
1,5:31.0,N. Batum makes 2-pt jump shot from 16 ft (assist by K. Walker),,12,20
1,5:18.0,,S. Ibaka misses 2-pt jump shot from 10 ft,12,20
1,5:15.0,Defensive rebound by C. Zeller,,12,20
1,5:06.0,J. Lamb makes 2-pt layup from 4 ft,,14,20
1,4:59.0,,Personal foul by K. Walker (drawn by D. Green),14,20
1,4:59.0,M. Kidd-Gilchrist enters the game for J. Lamb,,14,20
1,4:59.0,M. Monk enters the game for M. Williams,,14,20
1,4:59.0,,O. Anunoby enters the game for P. Siakam,14,20
1,4:47.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),14,22
1,4:33.0,K. Walker makes 2-pt layup at rim,,16,22
1,4:22.0,,Personal foul by C. Zeller (drawn by K. Leonard),16,22
1,4:11.0,,S. Ibaka misses 2-pt jump shot from 8 ft,16,22
1,4:08.0,Defensive rebound by N. Batum,,16,22
1,4:01.0,K. Walker misses 3-pt jump shot from 26 ft (block by O. Anunoby),,16,22
1,3:58.0,,Defensive rebound by O. Anunoby,16,22
1,3:56.0,,D. Green misses 3-pt jump shot from 27 ft,16,22
1,3:53.0,,Offensive rebound by O. Anunoby,16,22
1,3:51.0,,O. Anunoby misses 2-pt layup from 1 ft (block by C. Zeller),16,22
1,3:48.0,Defensive rebound by K. Walker,,16,22
1,3:45.0,Turnover by C. Zeller (3 sec),,16,22
1,3:45.0,,Toronto full timeout,16,22
1,3:45.0,W. Hernangómez enters the game for K. Walker,,16,22
1,3:45.0,T. Parker enters the game for C. Zeller,,16,22
1,3:45.0,,J. Valančiūnas enters the game for S. Ibaka,16,22
1,3:28.0,,K. Leonard misses 3-pt jump shot from 26 ft,16,22
1,3:26.0,Defensive rebound by W. Hernangómez,,16,22
1,3:08.0,M. Monk misses 2-pt jump shot from 16 ft,,16,22
1,3:05.0,,Defensive rebound by J. Valančiūnas,16,22
1,2:56.0,,D. Green misses 3-pt jump shot from 23 ft,16,22
1,2:52.0,,Offensive rebound by J. Valančiūnas,16,22
1,2:50.0,,O. Anunoby makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),16,25
1,2:37.0,N. Batum misses 3-pt jump shot from 24 ft,,16,25
1,2:32.0,Offensive rebound by M. Kidd-Gilchrist,,16,25
1,2:32.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,,16,25
1,2:31.0,Offensive rebound by W. Hernangómez,,16,25
1,2:24.0,T. Parker misses 2-pt jump shot from 18 ft,,16,25
1,2:21.0,,Defensive rebound by D. Green,16,25
1,2:14.0,,K. Leonard misses 2-pt hook shot from 5 ft,16,25
1,2:11.0,Defensive rebound by M. Kidd-Gilchrist,,16,25
1,2:01.0,W. Hernangómez misses 2-pt layup from 6 ft (block by J. Valančiūnas),,16,25
1,1:59.0,Offensive rebound by M. Kidd-Gilchrist,,16,25
1,1:58.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,,18,25
1,1:52.0,,Shooting foul by M. Monk (drawn by K. Lowry),18,25
1,1:52.0,,K. Lowry makes free throw 1 of 2,18,26
1,1:52.0,M. Bridges enters the game for N. Batum,,18,26
1,1:52.0,,C. Miles enters the game for D. Green,18,26
1,1:52.0,,N. Powell enters the game for K. Leonard,18,26
1,1:52.0,,K. Lowry makes free throw 2 of 2,18,27
1,1:41.0,W. Hernangómez makes 2-pt dunk from 1 ft (assist by M. Monk),,20,27
1,1:28.0,,Turnover by O. Anunoby (bad pass),20,27
1,1:28.0,,F. VanVleet enters the game for K. Lowry,20,27
1,1:12.0,M. Kidd-Gilchrist makes 2-pt jump shot from 20 ft (assist by T. Parker),,22,27
1,0:58.0,,N. Powell misses 2-pt jump shot from 6 ft,22,27
1,0:56.0,,Offensive rebound by J. Valančiūnas,22,27
1,0:56.0,,J. Valančiūnas makes 2-pt layup at rim,22,29
1,0:40.0,T. Parker misses 2-pt jump shot from 12 ft,,22,29
1,0:37.0,,Defensive rebound by C. Miles,22,29
1,0:31.0,,C. Miles misses 3-pt jump shot from 28 ft,22,29
1,0:30.0,,Offensive rebound by Team,22,29
1,0:30.0,Loose ball foul by M. Kidd-Gilchrist (drawn by J. Valančiūnas),,22,29
1,0:30.0,,J. Valančiūnas makes free throw 1 of 2,22,30
1,0:30.0,M. Williams enters the game for M. Kidd-Gilchrist,,22,30
1,0:30.0,,J. Valančiūnas makes free throw 2 of 2,22,31
1,0:11.0,M. Bridges misses 3-pt jump shot from 26 ft (block by C. Miles),,22,31
1,0:07.0,,Defensive rebound by N. Powell,22,31
1,0:03.0,,F. VanVleet misses 2-pt layup from 2 ft,22,31
1,0:01.0,Defensive rebound by W. Hernangómez,,22,31
1,0:00.0,Turnover by W. Hernangómez (bad pass; steal by C. Miles),,22,31
1,0:00.0,,C. Miles misses 3-pt jump shot from 27 ft,22,31
1,0:00.0,,Offensive rebound by Team,22,31
2,11:39.0,M. Monk misses 3-pt jump shot from 23 ft,,22,31
2,11:36.0,,Defensive rebound by N. Powell,22,31
2,11:30.0,,Shooting foul by M. Kidd-Gilchrist (drawn by C. Miles),22,31
2,11:30.0,,C. Miles makes free throw 1 of 2,22,32
2,11:30.0,,C. Miles makes free throw 2 of 2,22,33
2,11:17.0,M. Kidd-Gilchrist misses 2-pt hook shot from 11 ft,,22,33
2,11:16.0,Offensive rebound by Team,,22,33
2,11:12.0,W. Hernangómez misses 2-pt jump shot from 11 ft,,22,33
2,11:09.0,,Defensive rebound by O. Anunoby,22,33
2,11:00.0,,J. Valančiūnas makes 2-pt layup from 3 ft,22,35
2,10:49.0,T. Parker makes 2-pt jump shot from 10 ft,,24,35
2,10:36.0,,N. Powell misses 3-pt jump shot from 23 ft,24,35
2,10:33.0,Defensive rebound by M. Monk,,24,35
2,10:18.0,W. Hernangómez makes 3-pt jump shot from 23 ft (assist by T. Parker),,27,35
2,9:58.0,,F. VanVleet misses 3-pt jump shot from 26 ft,27,35
2,9:56.0,,Offensive rebound by Team,27,35
2,9:56.0,N. Batum enters the game for M. Kidd-Gilchrist,,27,35
2,9:44.0,,F. VanVleet misses 2-pt layup from 2 ft (block by M. Monk),27,35
2,9:41.0,Defensive rebound by M. Bridges,,27,35
2,9:35.0,M. Monk makes 3-pt jump shot from 26 ft (assist by M. Bridges),,30,35
2,9:26.0,,Personal foul by M. Bridges (drawn by F. VanVleet),30,35
2,9:26.0,K. Walker enters the game for T. Parker,,30,35
2,9:16.0,,N. Powell makes 2-pt dunk from 1 ft,30,37
2,8:59.0,Shooting foul by C. Miles (drawn by W. Hernangómez),,30,37
2,8:59.0,W. Hernangómez makes free throw 1 of 2,,31,37
2,8:59.0,W. Hernangómez makes free throw 2 of 2,,32,37
2,8:36.0,,N. Powell misses 3-pt jump shot from 27 ft,32,37
2,8:32.0,Defensive rebound by W. Hernangómez,,32,37
2,8:25.0,K. Walker makes 2-pt jump shot from 6 ft,,34,37
2,8:10.0,,J. Valančiūnas makes 2-pt jump shot from 10 ft (assist by F. VanVleet),34,39
2,7:55.0,M. Bridges makes 2-pt dunk from 1 ft (assist by K. Walker),,36,39
