QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CLEVELAND_ACTION,SACRAMENTO_SCORE,CLEVELAND_SCORE
1,11:44.0,D. Fox makes 3-pt jump shot from 29 ft (assist by W. Cauley-Stein),,3,0
1,11:14.0,,T. Thompson makes 2-pt jump shot from 13 ft,3,2
1,10:57.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),,5,2
1,10:45.0,,Turnover by C. Sexton (offensive foul),5,2
1,10:45.0,,Offensive foul by C. Sexton (drawn by I. Shumpert),5,2
1,10:37.0,I. Shumpert makes 2-pt jump shot from 20 ft (assist by B. Hield),,7,2
1,10:34.0,,Cleveland full timeout,7,2
1,10:26.0,Violation by Team (kicked ball),,7,2
1,10:12.0,,R. Hood makes 2-pt jump shot from 21 ft,7,4
1,9:54.0,N. Bjelica misses 2-pt layup from 1 ft,,7,4
1,9:50.0,,Defensive rebound by T. Thompson,7,4
1,9:42.0,,C. Sexton misses 2-pt jump shot from 1 ft,7,4
1,9:39.0,Defensive rebound by W. Cauley-Stein,,7,4
1,9:35.0,N. Bjelica makes 3-pt jump shot from 31 ft (assist by D. Fox),,10,4
1,9:16.0,,C. Osman misses 2-pt jump shot from 7 ft (block by B. Hield),10,4
1,9:14.0,Defensive rebound by W. Cauley-Stein,,10,4
1,9:12.0,I. Shumpert misses 3-pt jump shot from 26 ft,,10,4
1,9:07.0,Offensive rebound by B. Hield,,10,4
1,9:04.0,B. Hield makes 3-pt jump shot from 23 ft,,13,4
1,8:45.0,,Personal foul by B. Hield (drawn by L. Nance),13,4
1,8:45.0,,C. Sexton misses 2-pt jump shot from 21 ft,13,4
1,8:44.0,Defensive rebound by N. Bjelica,,13,4
1,8:35.0,B. Hield makes 2-pt jump shot from 19 ft,,15,4
1,8:08.0,,L. Nance makes 2-pt jump shot from 12 ft (assist by R. Hood),15,6
1,7:56.0,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Fox),,17,6
1,7:45.0,,Offensive foul by T. Thompson (drawn by I. Shumpert),17,6
1,7:45.0,,Turnover by T. Thompson (offensive foul),17,6
1,7:30.0,Turnover by D. Fox (bad pass),,17,6
1,7:12.0,,C. Sexton makes 2-pt layup from 1 ft,17,8
1,6:59.0,N. Bjelica makes 2-pt dunk from 3 ft (assist by D. Fox),,19,8
1,6:38.0,,Shooting foul by N. Bjelica (drawn by L. Nance),19,8
1,6:38.0,,L. Nance misses free throw 1 of 2,19,8
1,6:38.0,,Offensive rebound by Team,19,8
1,6:38.0,,L. Nance makes free throw 2 of 2,19,9
1,6:30.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,22,9
1,6:11.0,,Personal foul by W. Cauley-Stein (drawn by C. Sexton),22,9
1,6:11.0,,J. Clarkson enters the game for R. Hood,22,9
1,5:56.0,,L. Nance misses 2-pt jump shot from 15 ft,22,9
1,5:53.0,Defensive rebound by D. Fox,,22,9
1,5:50.0,D. Fox makes 2-pt layup from 3 ft,,24,9
1,5:42.0,,Shooting foul by W. Cauley-Stein (drawn by C. Sexton),24,9
1,5:42.0,,C. Sexton makes free throw 1 of 2,24,10
1,5:42.0,K. Koufos enters the game for W. Cauley-Stein,,24,10
1,5:42.0,,A. Burks enters the game for L. Nance,24,10
1,5:42.0,,C. Sexton makes free throw 2 of 2,24,11
1,5:33.0,Offensive foul by K. Koufos (drawn by J. Clarkson),,24,11
1,5:33.0,Turnover by K. Koufos (offensive foul),,24,11
1,5:21.0,,J. Clarkson makes 2-pt jump shot from 16 ft (assist by C. Sexton),24,13
1,5:16.0,Personal foul by C. Osman (drawn by N. Bjelica),,24,13
1,5:16.0,M. Bagley enters the game for N. Bjelica,,24,13
1,5:16.0,B. Bogdanović enters the game for B. Hield,,24,13
1,5:04.0,I. Shumpert misses 3-pt jump shot from 24 ft,,24,13
1,5:01.0,Offensive rebound by B. Bogdanović,,24,13
