QUARTER,TIME_REMAINING,PHOENIX_ACTION,CLEVELAND_ACTION,PHOENIX_SCORE,CLEVELAND_SCORE
1,11:40.0,J. Jackson misses 2-pt jump shot from 18 ft,,0,0
1,11:37.0,,Defensive rebound by A. Žižić,0,0
1,11:33.0,,Turnover by A. Žižić (bad pass; steal by J. Jackson),0,0
1,11:29.0,J. Jackson makes 2-pt dunk from 3 ft,,2,0
1,11:22.0,,K. Love misses 3-pt jump shot from 26 ft,2,0
1,11:20.0,Defensive rebound by K. Oubre,,2,0
1,11:15.0,K. Oubre misses 3-pt jump shot from 26 ft,,2,0
1,11:12.0,,Defensive rebound by A. Žižić,2,0
1,10:52.0,,C. Osman misses 3-pt jump shot from 26 ft,2,0
1,10:49.0,,Offensive rebound by K. Love,2,0
1,10:40.0,,B. Knight misses 3-pt jump shot from 23 ft,2,0
1,10:37.0,Defensive rebound by T. Johnson,,2,0
1,10:31.0,K. Oubre makes 2-pt layup from 2 ft (assist by T. Johnson),,4,0
1,10:12.0,,A. Žižić makes 2-pt layup from 1 ft (assist by C. Osman),4,2
1,9:51.0,K. Oubre misses 2-pt jump shot from 7 ft (block by A. Žižić),,4,2
1,9:47.0,,Defensive rebound by B. Knight,4,2
1,9:46.0,,B. Knight misses 2-pt layup from 1 ft,4,2
1,9:46.0,Defensive rebound by T. Johnson,,4,2
1,9:46.0,Personal take foul by C. Osman (drawn by T. Johnson),,4,2
1,9:31.0,T. Johnson misses 2-pt jump shot from 8 ft,,4,2
1,9:29.0,,Defensive rebound by A. Žižić,4,2
1,9:19.0,,A. Žižić misses 2-pt jump shot from 11 ft,4,2
1,9:17.0,Defensive rebound by D. Ayton,,4,2
1,9:06.0,J. Jackson misses 3-pt jump shot from 26 ft,,4,2
1,9:03.0,,Defensive rebound by C. Sexton,4,2
1,8:58.0,,C. Sexton misses 2-pt jump shot from 13 ft,4,2
1,8:56.0,Defensive rebound by K. Oubre,,4,2
1,8:50.0,D. Ayton makes 2-pt hook shot from 12 ft (assist by K. Oubre),,6,2
1,8:40.0,,Offensive foul by K. Love (drawn by K. Oubre),6,2
1,8:40.0,,Turnover by K. Love (offensive foul),6,2
1,8:29.0,D. Ayton makes 2-pt layup from 2 ft (assist by D. Booker),,8,2
1,8:29.0,,Cleveland full timeout,8,2
1,8:14.0,,B. Knight makes 2-pt layup from 2 ft (assist by K. Love),8,4
1,7:56.0,J. Jackson misses 2-pt jump shot from 9 ft,,8,4
1,7:52.0,,Defensive rebound by K. Love,8,4
1,7:39.0,,Turnover by K. Love (bad pass; steal by T. Johnson),8,4
1,7:33.0,T. Johnson misses 2-pt layup from 2 ft,,8,4
1,7:28.0,,Defensive rebound by K. Love,8,4
1,7:24.0,,Turnover by K. Love (lost ball; steal by T. Johnson),8,4
1,7:19.0,D. Ayton makes 2-pt dunk from 2 ft (assist by D. Booker),,10,4
1,7:06.0,,C. Sexton misses 2-pt jump shot from 5 ft,10,4
1,7:03.0,Defensive rebound by D. Ayton,,10,4
1,6:59.0,D. Booker misses 2-pt layup from 3 ft,,10,4
1,6:53.0,,Defensive rebound by C. Sexton,10,4
1,6:50.0,,C. Osman makes 3-pt jump shot from 24 ft (assist by B. Knight),10,7
1,6:30.0,Shooting foul by A. Žižić (drawn by K. Oubre),,10,7
1,6:30.0,K. Oubre makes free throw 1 of 2,,11,7
1,6:30.0,E. Okobo enters the game for T. Johnson,,11,7
1,6:30.0,K. Oubre makes free throw 2 of 2,,12,7
1,6:03.0,,C. Osman misses 3-pt jump shot from 27 ft,12,7
1,6:01.0,Defensive rebound by D. Ayton,,12,7
1,5:57.0,K. Oubre makes 2-pt dunk from 2 ft (assist by E. Okobo),,14,7
1,5:29.0,,A. Žižić makes 2-pt hook shot from 6 ft,14,9
1,5:06.0,D. Ayton misses 2-pt jump shot from 12 ft,,14,9
