QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
1,8:18.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Paul),8,12
1,8:06.0,Personal foul by J. Harden (drawn by D. Šarić),,8,12
1,7:57.0,A. Wiggins misses 3-pt jump shot from 25 ft,,8,12
1,7:55.0,,Defensive rebound by C. Capela,8,12
1,7:44.0,,P. Tucker misses 3-pt jump shot from 24 ft,8,12
1,7:42.0,Defensive rebound by T. Jones,,8,12
1,7:38.0,J. Okogie makes 2-pt layup from 2 ft (assist by A. Wiggins),,10,12
1,7:22.0,,E. Gordon misses 3-pt jump shot from 24 ft,10,12
1,7:20.0,Defensive rebound by K. Towns,,10,12
1,7:12.0,T. Jones misses 3-pt jump shot from 27 ft,,10,12
1,7:11.0,,Defensive rebound by C. Paul,10,12
1,7:03.0,,Turnover by P. Tucker (bad pass; steal by A. Wiggins),10,12
1,6:53.0,Shooting foul by P. Tucker (drawn by K. Towns),,10,12
1,6:53.0,,Houston full timeout,10,12
1,6:53.0,,D. House enters the game for E. Gordon,10,12
1,6:53.0,,I. Shumpert enters the game for C. Paul,10,12
1,6:53.0,K. Towns misses free throw 1 of 2,,10,12
1,6:53.0,Offensive rebound by Team,,10,12
1,6:53.0,K. Towns makes free throw 2 of 2,,11,12
1,6:39.0,,D. House misses 3-pt jump shot from 22 ft,11,12
1,6:37.0,Defensive rebound by T. Jones,,11,12
1,6:34.0,A. Wiggins makes 2-pt layup from 1 ft (assist by T. Jones),,13,12
1,6:21.0,Violation by Team (kicked ball),,13,12
1,6:06.0,,J. Harden misses 3-pt jump shot from 29 ft,13,12
1,6:04.0,,Offensive rebound by C. Capela,13,12
1,5:57.0,,J. Harden misses 2-pt jump shot from 1 ft,13,12
1,5:53.0,,Offensive rebound by C. Capela,13,12
1,5:53.0,,C. Capela misses 2-pt layup from 1 ft,13,12
1,5:53.0,,Offensive rebound by C. Capela,13,12
1,5:45.0,,J. Harden misses 3-pt jump shot from 24 ft,13,12
1,5:41.0,,Offensive rebound by D. House,13,12
1,5:39.0,,C. Capela makes 2-pt layup from 2 ft (assist by D. House),13,14
1,5:39.0,Minnesota full timeout,,13,14
1,5:28.0,A. Wiggins misses 2-pt jump shot from 19 ft,,13,14
1,5:25.0,Offensive rebound by D. Šarić,,13,14
1,5:19.0,J. Okogie misses 3-pt jump shot from 24 ft,,13,14
1,5:17.0,Offensive rebound by J. Okogie,,13,14
1,5:14.0,Turnover by J. Okogie (bad pass; steal by P. Tucker),,13,14
1,4:49.0,,I. Shumpert misses 3-pt jump shot from 26 ft,13,14
1,4:46.0,Defensive rebound by D. Šarić,,13,14
1,4:39.0,A. Wiggins makes 2-pt jump shot from 22 ft,,15,14
1,4:33.0,,Shooting foul by K. Towns (drawn by D. House),15,14
1,4:33.0,,D. House misses free throw 1 of 2,15,14
1,4:33.0,,Offensive rebound by Team,15,14
1,4:33.0,K. Bates-Diop enters the game for D. Šarić,,15,14
1,4:33.0,T. Gibson enters the game for A. Wiggins,,15,14
1,4:33.0,,G. Green enters the game for P. Tucker,15,14
1,4:33.0,,D. House makes free throw 2 of 2,15,15
1,4:19.0,K. Towns makes 2-pt dunk from 2 ft (assist by T. Jones),,17,15
1,4:03.0,,J. Harden misses 2-pt layup from 9 ft (block by T. Gibson),17,15
1,4:03.0,,Offensive rebound by Team,17,15
1,4:03.0,,N. Hilário enters the game for C. Capela,17,15
1,4:00.0,,J. Harden misses 2-pt layup from 2 ft (block by K. Towns),17,15
1,3:56.0,Defensive rebound by T. Gibson,,17,15
1,3:47.0,K. Towns makes 2-pt jump shot from 8 ft,,19,15
1,3:40.0,,D. House makes 2-pt layup from 3 ft (assist by J. Harden),19,17
1,3:23.0,K. Towns misses 2-pt jump shot from 12 ft,,19,17
1,3:21.0,,Defensive rebound by N. Hilário,19,17
1,3:12.0,,J. Harden makes 2-pt jump shot from 4 ft,19,19
1,3:02.0,K. Towns makes 3-pt jump shot from 26 ft (assist by K. Bates-Diop),,22,19
1,2:51.0,,N. Hilário misses 2-pt layup from 6 ft (block by K. Towns),22,19
1,2:48.0,Defensive rebound by T. Jones,,22,19
1,2:26.0,K. Bates-Diop makes 3-pt jump shot from 30 ft (assist by T. Jones),,25,19
1,2:07.0,,J. Harden makes 3-pt jump shot from 25 ft,25,22
1,1:51.0,Def 3 sec tech foul by Team,,25,22
1,1:51.0,K. Towns makes technical free throw,,26,22
1,1:51.0,C. Reynolds enters the game for J. Okogie,,26,22
1,1:51.0,,C. Paul enters the game for J. Harden,26,22
1,1:41.0,C. Reynolds misses 3-pt jump shot from 28 ft,,26,22
1,1:39.0,Offensive rebound by T. Gibson,,26,22
1,1:35.0,K. Towns misses 2-pt layup from 4 ft,,26,22
1,1:35.0,Offensive rebound by K. Towns,,26,22
1,1:33.0,K. Towns misses 2-pt layup from 2 ft,,26,22
1,1:33.0,,Defensive rebound by I. Shumpert,26,22
1,1:22.0,,G. Green misses 3-pt jump shot from 22 ft,26,22
1,1:20.0,Defensive rebound by T. Gibson,,26,22
1,1:04.0,Shooting foul by D. House (drawn by K. Towns),,26,22
