QUARTER,TIME_REMAINING,DENVER_ACTION,SAN ANTONIO_ACTION,DENVER_SCORE,SAN ANTONIO_SCORE
1,11:44.0,,D. DeRozan makes 2-pt jump shot from 12 ft (assist by L. Aldridge),0,2
1,11:24.0,N. Jokić misses 2-pt layup from 4 ft,,0,2
1,11:23.0,,Defensive rebound by Team,0,2
1,11:23.0,Loose ball foul by N. Jokić (drawn by L. Aldridge),,0,2
1,11:06.0,,L. Aldridge makes 2-pt jump shot from 12 ft (assist by D. DeRozan),0,4
1,10:48.0,Turnover by N. Jokić (bad pass),,0,4
1,10:38.0,,L. Aldridge misses 2-pt dunk from 3 ft,0,4
1,10:34.0,Defensive rebound by T. Craig,,0,4
1,10:30.0,G. Harris makes 2-pt layup from 4 ft (assist by N. Jokić),,2,4
1,10:17.0,,L. Aldridge makes 2-pt jump shot from 10 ft,2,6
1,10:00.0,N. Jokić misses 2-pt jump shot from 5 ft,,2,6
1,9:55.0,Offensive rebound by N. Jokić,,2,6
1,9:55.0,N. Jokić makes 2-pt layup at rim,,4,6
1,9:43.0,,J. Poeltl makes 2-pt layup from 5 ft (assist by D. DeRozan),4,8
1,9:30.0,T. Craig misses 2-pt layup from 4 ft (block by D. White),,4,8
1,9:30.0,Offensive rebound by Team,,4,8
1,9:24.0,P. Millsap makes 2-pt layup from 6 ft,,6,8
1,9:10.0,,J. Poeltl makes 2-pt layup from 4 ft (assist by L. Aldridge),6,10
1,8:57.0,Shooting foul by J. Poeltl (drawn by N. Jokić),,6,10
1,8:57.0,N. Jokić makes free throw 1 of 2,,7,10
1,8:57.0,N. Jokić makes free throw 2 of 2,,8,10
1,8:40.0,,D. White misses 2-pt jump shot from 6 ft,8,10
1,8:37.0,,Offensive rebound by J. Poeltl,8,10
1,8:33.0,,D. DeRozan misses 2-pt jump shot from 20 ft,8,10
1,8:30.0,Defensive rebound by P. Millsap,,8,10
1,8:15.0,J. Murray misses 2-pt layup from 6 ft,,8,10
1,8:12.0,,Defensive rebound by D. DeRozan,8,10
1,8:06.0,,D. White makes 2-pt layup from 3 ft (assist by D. DeRozan),8,12
1,7:48.0,N. Jokić misses 3-pt jump shot from 26 ft,,8,12
1,7:48.0,,Defensive rebound by J. Poeltl,8,12
1,7:27.0,,L. Aldridge makes 3-pt jump shot from 24 ft (assist by D. DeRozan),8,15
1,7:26.0,Denver full timeout,,8,15
1,7:04.0,N. Jokić makes 2-pt hook shot from 6 ft,,10,15
1,6:57.0,,Personal foul by T. Craig (drawn by D. DeRozan),10,15
1,6:55.0,,Offensive foul by B. Forbes (drawn by P. Millsap),10,15
1,6:55.0,,Turnover by B. Forbes (offensive foul),10,15
1,6:44.0,N. Jokić misses 3-pt jump shot from 26 ft,,10,15
1,6:41.0,,Defensive rebound by B. Forbes,10,15
1,6:28.0,,L. Aldridge misses 2-pt jump shot from 22 ft,10,15
1,6:25.0,Defensive rebound by J. Murray,,10,15
1,6:12.0,J. Murray misses 3-pt jump shot from 23 ft,,10,15
1,6:08.0,,Defensive rebound by L. Aldridge,10,15
1,5:59.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),10,18
1,5:44.0,G. Harris makes 2-pt layup from 6 ft (assist by N. Jokić),,12,18
1,5:29.0,,L. Aldridge makes 2-pt layup from 4 ft (assist by D. White),12,20
1,5:18.0,P. Millsap misses 3-pt jump shot from 26 ft,,12,20
1,5:17.0,Offensive rebound by Team,,12,20
1,5:16.0,,Loose ball foul by J. Poeltl (drawn by J. Murray),12,20
1,5:16.0,,R. Gay enters the game for J. Poeltl,12,20
1,5:16.0,,P. Mills enters the game for D. White,12,20
1,5:04.0,J. Murray misses 2-pt jump shot from 7 ft,,12,20
1,5:00.0,,Defensive rebound by L. Aldridge,12,20
1,4:49.0,,B. Forbes makes 2-pt jump shot from 16 ft,12,22
1,4:38.0,N. Jokić misses 2-pt jump shot from 6 ft,,12,22
1,4:38.0,Offensive rebound by G. Harris,,12,22
1,4:27.0,P. Millsap makes 2-pt layup from 6 ft (assist by T. Craig),,14,22
1,4:13.0,,R. Gay makes 2-pt jump shot from 9 ft (assist by P. Mills),14,24
