QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
1,11:43.0,,P. Tucker makes 3-pt jump shot from 22 ft (assist by J. Harden),0,3
1,11:17.0,R. Rubio misses 3-pt jump shot from 23 ft,,0,3
1,11:15.0,,Defensive rebound by C. Capela,0,3
1,11:09.0,,J. Harden misses 3-pt jump shot from 26 ft,0,3
1,11:07.0,Defensive rebound by D. Mitchell,,0,3
1,11:02.0,D. Mitchell misses 2-pt layup from 2 ft (block by C. Capela),,0,3
1,10:59.0,,Defensive rebound by J. Harden,0,3
1,10:55.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by C. Paul),0,6
1,10:46.0,Turnover by J. Ingles (bad pass),,0,6
1,10:38.0,,C. Capela misses 2-pt jump shot from 8 ft,0,6
1,10:37.0,,Offensive rebound by P. Tucker,0,6
1,10:25.0,,E. Gordon misses 2-pt jump shot from 14 ft,0,6
1,10:23.0,Defensive rebound by J. Crowder,,0,6
1,10:13.0,R. Rubio makes 2-pt layup from 1 ft (assist by R. Gobert),,2,6
1,9:56.0,,P. Tucker misses 3-pt jump shot from 23 ft,2,6
1,9:54.0,Defensive rebound by J. Crowder,,2,6
1,9:34.0,D. Mitchell misses 2-pt jump shot from 21 ft,,2,6
1,9:32.0,,Defensive rebound by C. Capela,2,6
1,9:26.0,,E. Gordon makes 2-pt layup from 3 ft (assist by J. Harden),2,8
1,9:26.0,Utah full timeout,,2,8
1,9:03.0,J. Crowder misses 3-pt jump shot from 28 ft,,2,8
1,9:01.0,,Defensive rebound by E. Gordon,2,8
1,8:54.0,,Turnover by E. Gordon (bad pass; steal by R. Rubio),2,8
1,8:47.0,D. Mitchell misses 2-pt layup from 4 ft (block by C. Capela),,2,8
1,8:47.0,Offensive rebound by Team,,2,8
1,8:47.0,Shooting foul by E. Gordon (drawn by J. Crowder),,2,8
1,8:47.0,J. Crowder makes free throw 1 of 2,,3,8
1,8:47.0,J. Crowder makes free throw 2 of 2,,4,8
1,8:27.0,,J. Harden misses 2-pt hook shot from 9 ft,4,8
1,8:24.0,Defensive rebound by R. Rubio,,4,8
1,8:19.0,R. Gobert misses 2-pt layup from 6 ft (block by C. Capela),,4,8
1,8:17.0,,Defensive rebound by C. Paul,4,8
1,8:17.0,,Shooting foul by D. Mitchell (drawn by J. Harden),4,8
1,8:17.0,,J. Harden makes free throw 1 of 2,4,9
1,8:17.0,,J. Harden makes free throw 2 of 2,4,10
1,8:08.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Crowder),,6,10
1,7:54.0,,J. Harden misses 2-pt jump shot from 8 ft,6,10
1,7:52.0,Defensive rebound by J. Crowder,,6,10
1,7:49.0,J. Ingles misses 3-pt jump shot from 24 ft,,6,10
1,7:48.0,,Defensive rebound by Team,6,10
1,7:38.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),6,13
1,7:15.0,J. Ingles makes 2-pt jump shot from 6 ft (assist by D. Mitchell),,8,13
1,7:07.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by C. Paul),8,16
1,6:53.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,10,16
1,6:39.0,,C. Capela misses 2-pt hook shot from 7 ft,10,16
1,6:37.0,Defensive rebound by R. Gobert,,10,16
1,6:27.0,J. Crowder misses 2-pt layup from 2 ft,,10,16
1,6:25.0,Offensive rebound by R. Gobert,,10,16
1,6:22.0,R. Gobert makes 2-pt dunk from 2 ft,,12,16
1,6:06.0,,C. Paul misses 2-pt jump shot from 13 ft,12,16
1,6:04.0,Defensive rebound by D. Mitchell,,12,16
1,5:51.0,Turnover by R. Rubio (lost ball; steal by J. Harden),,12,16
1,5:45.0,,J. Harden misses 3-pt jump shot from 25 ft,12,16
1,5:43.0,Defensive rebound by Team,,12,16
1,5:43.0,K. Korver enters the game for J. Ingles,,12,16
1,5:43.0,,G. Green enters the game for C. Paul,12,16
1,5:29.0,R. Rubio misses 2-pt layup from 3 ft,,12,16
1,5:26.0,Offensive rebound by R. Gobert,,12,16
1,5:22.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by D. Mitchell),,15,16
1,5:07.0,,E. Gordon misses 2-pt jump shot from 20 ft,15,16
1,5:04.0,Defensive rebound by R. Gobert,,15,16
1,4:52.0,R. Rubio misses 3-pt jump shot from 23 ft,,15,16
1,4:48.0,,Defensive rebound by C. Capela,15,16
1,4:46.0,,Turnover by C. Capela (traveling),15,16
1,4:46.0,,N. Hilário enters the game for C. Capela,15,16
1,4:33.0,K. Korver misses 3-pt jump shot from 23 ft,,15,16
1,4:31.0,,Defensive rebound by E. Gordon,15,16
1,4:25.0,,J. Harden misses 3-pt jump shot from 27 ft,15,16
1,4:23.0,,Offensive rebound by N. Hilário,15,16
1,4:18.0,,J. Harden makes 2-pt layup from 2 ft (assist by N. Hilário),15,18
1,4:05.0,R. Rubio makes 2-pt jump shot from 17 ft (assist by R. Gobert),,17,18
1,3:50.0,,J. Harden misses 3-pt jump shot from 25 ft,17,18
1,3:48.0,Defensive rebound by R. Gobert,,17,18
1,3:48.0,D. Exum enters the game for J. Crowder,,17,18
1,3:48.0,D. Favors enters the game for R. Gobert,,17,18
1,3:48.0,T. Sefolosha enters the game for R. Rubio,,17,18
1,3:48.0,,D. House enters the game for E. Gordon,17,18
1,3:36.0,Shooting foul by D. House (drawn by K. Korver),,17,18
1,3:36.0,K. Korver makes free throw 1 of 3,,18,18
1,3:36.0,K. Korver misses free throw 2 of 3,,18,18
1,3:36.0,Offensive rebound by Team,,18,18
1,3:36.0,K. Korver makes free throw 3 of 3,,19,18
1,3:15.0,,J. Harden makes 2-pt dunk from 1 ft,19,20
1,2:54.0,K. Korver misses 3-pt jump shot from 22 ft,,19,20
1,2:52.0,,Defensive rebound by G. Green,19,20
1,2:42.0,,J. Harden makes 2-pt layup from 1 ft,19,22
1,2:42.0,,Shooting foul by D. Exum (drawn by J. Harden),19,22
1,2:42.0,,Houston full timeout,19,22
1,2:42.0,J. Ingles enters the game for K. Korver,,19,22
1,2:42.0,R. O'Neale enters the game for D. Mitchell,,19,22
1,2:42.0,,B. Knight enters the game for P. Tucker,19,22
1,2:42.0,,J. Harden makes free throw 1 of 1,19,23
1,2:30.0,Shooting foul by G. Green (drawn by D. Favors),,19,23
1,2:30.0,D. Favors misses free throw 1 of 2,,19,23
1,2:30.0,Offensive rebound by Team,,19,23
1,2:30.0,,C. Paul enters the game for J. Harden,19,23
1,2:30.0,D. Favors makes free throw 2 of 2,,20,23
1,2:10.0,,N. Hilário misses 2-pt layup from 7 ft,20,23
1,2:09.0,,Offensive rebound by Team,20,23
1,2:07.0,,D. House makes 2-pt jump shot from 19 ft (assist by C. Paul),20,25
1,1:54.0,R. O'Neale misses 2-pt layup from 3 ft,,20,25
1,1:51.0,,Defensive rebound by N. Hilário,20,25
1,1:36.0,,G. Green misses 2-pt jump shot from 9 ft,20,25
1,1:33.0,Defensive rebound by T. Sefolosha,,20,25
1,1:25.0,T. Sefolosha misses 2-pt layup from 1 ft,,20,25
1,1:23.0,,Defensive rebound by D. House,20,25
1,1:18.0,,B. Knight misses 3-pt jump shot from 23 ft,20,25
1,1:15.0,Defensive rebound by R. O'Neale,,20,25
1,1:05.0,R. O'Neale makes 3-pt jump shot from 24 ft (assist by D. Favors),,23,25
1,0:45.0,,C. Paul misses 2-pt jump shot from 16 ft,23,25
1,0:42.0,Defensive rebound by J. Ingles,,23,25
1,0:32.0,Turnover by J. Ingles (bad pass),,23,25
1,0:15.0,,Personal foul by D. Favors (drawn by C. Paul),23,25
1,0:01.0,,D. House misses 3-pt jump shot from 25 ft,23,25
1,0:00.0,Defensive rebound by D. Favors,,23,25
2,11:50.0,Turnover by D. Favors (bad pass),,23,25
2,11:35.0,,Shooting foul by R. O'Neale (drawn by C. Capela),23,25
2,11:35.0,,C. Capela misses free throw 1 of 2,23,25
2,11:35.0,,Offensive rebound by Team,23,25
2,11:35.0,,C. Capela misses free throw 2 of 2,23,25
2,11:35.0,Defensive rebound by T. Sefolosha,,23,25
2,11:23.0,D. Favors misses 2-pt jump shot from 12 ft,,23,25
2,11:21.0,,Defensive rebound by C. Capela,23,25
2,11:04.0,,B. Knight misses 2-pt jump shot from 12 ft,23,25
2,11:02.0,Defensive rebound by T. Sefolosha,,23,25
2,10:53.0,Turnover by D. Favors (bad pass; steal by C. Capela),,23,25
2,10:52.0,,Personal foul by R. O'Neale (drawn by C. Paul),23,25
2,10:39.0,,C. Capela misses 2-pt layup from 2 ft,23,25
2,10:37.0,Defensive rebound by T. Sefolosha,,23,25
2,10:29.0,D. Exum misses 3-pt jump shot from 23 ft,,23,25
2,10:28.0,Offensive rebound by D. Favors,,23,25
2,10:27.0,D. Favors misses 2-pt dunk from 2 ft,,23,25
2,10:27.0,Offensive rebound by Team,,23,25
2,10:13.0,J. Ingles misses 3-pt jump shot from 25 ft,,23,25
2,10:11.0,,Defensive rebound by C. Capela,23,25
2,10:03.0,,Shooting foul by D. Favors (drawn by E. Gordon),23,25
2,10:03.0,,E. Gordon makes free throw 1 of 2,23,26
2,10:03.0,K. Korver enters the game for J. Ingles,,23,26
2,10:03.0,D. Mitchell enters the game for R. O'Neale,,23,26
2,10:03.0,,E. Gordon makes free throw 2 of 2,23,27
2,9:49.0,D. Exum misses 2-pt layup from 1 ft,,23,27
2,9:47.0,,Defensive rebound by C. Capela,23,27
2,9:36.0,,B. Knight makes 3-pt jump shot from 25 ft (assist by C. Paul),23,30
2,9:11.0,K. Korver misses 3-pt jump shot from 31 ft,,23,30
2,9:11.0,Offensive rebound by Team,,23,30
2,9:11.0,Turnover by Team (shot clock),,23,30
2,9:11.0,,P. Tucker enters the game for D. House,23,30
2,8:52.0,,B. Knight misses 2-pt layup from 3 ft (block by K. Korver),23,30
