QUARTER,TIME_REMAINING,UTAH_ACTION,MIAMI_ACTION,UTAH_SCORE,MIAMI_SCORE
1,11:44.0,,W. Ellington misses 3-pt jump shot from 27 ft,0,0
1,11:43.0,,Offensive rebound by H. Whiteside,0,0
1,11:39.0,,H. Whiteside misses 2-pt hook shot from 2 ft (block by R. Gobert),0,0
1,11:39.0,,Offensive rebound by Team,0,0
1,11:39.0,,Turnover by J. Richardson (bad pass),0,0
1,11:27.0,J. Ingles misses 2-pt jump shot from 11 ft (block by H. Whiteside),,0,0
1,11:27.0,Offensive rebound by Team,,0,0
1,11:20.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Rubio),,3,0
1,11:10.0,,J. Johnson misses 2-pt jump shot from 8 ft,3,0
1,11:10.0,,Offensive rebound by Team,3,0
1,11:03.0,,H. Whiteside makes 2-pt dunk from 2 ft (assist by J. Richardson),3,2
1,10:43.0,J. Crowder misses 2-pt jump shot from 12 ft,,3,2
1,10:40.0,Offensive rebound by J. Crowder,,3,2
1,10:37.0,J. Crowder misses 3-pt jump shot from 24 ft (block by H. Whiteside),,3,2
1,10:31.0,,Defensive rebound by W. Ellington,3,2
1,10:22.0,,Turnover by J. Johnson (bad pass; steal by R. Gobert),3,2
1,10:15.0,Personal foul by H. Whiteside (drawn by R. Rubio),,3,2
1,10:02.0,R. Rubio makes 2-pt jump shot from 12 ft (assist by D. Mitchell),,5,2
1,9:48.0,,Turnover by J. Johnson (lost ball; steal by J. Ingles),5,2
1,9:46.0,R. Gobert misses 2-pt layup from 1 ft (block by J. Johnson),,5,2
1,9:44.0,Offensive rebound by R. Gobert,,5,2
1,9:41.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. Gobert),,8,2
1,9:23.0,,J. Richardson misses 2-pt hook shot from 11 ft,8,2
1,9:20.0,Defensive rebound by R. Rubio,,8,2
1,9:16.0,J. Ingles makes 2-pt layup from 2 ft,,10,2
1,9:16.0,,Miami full timeout,10,2
1,9:01.0,,R. McGruder misses 2-pt jump shot from 10 ft,10,2
1,8:57.0,,Offensive rebound by H. Whiteside,10,2
1,8:57.0,,H. Whiteside misses 2-pt layup at rim,10,2
1,8:57.0,,Offensive rebound by H. Whiteside,10,2
1,8:57.0,,Shooting foul by J. Crowder (drawn by H. Whiteside),10,2
1,8:57.0,,H. Whiteside misses free throw 1 of 2,10,2
1,8:57.0,,Offensive rebound by Team,10,2
1,8:57.0,,H. Whiteside misses free throw 2 of 2,10,2
1,8:53.0,Defensive rebound by D. Mitchell,,10,2
1,8:41.0,D. Mitchell makes 2-pt dunk from 1 ft (assist by J. Ingles),,12,2
1,8:26.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Richardson),12,5
1,8:09.0,R. Rubio makes 2-pt layup from 2 ft,,14,5
1,7:58.0,,J. Johnson misses 2-pt jump shot from 10 ft (block by R. Gobert),14,5
1,7:54.0,Defensive rebound by D. Mitchell,,14,5
1,7:49.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Crowder),,16,5
1,7:25.0,,Turnover by J. Richardson (lost ball; steal by J. Crowder),16,5
1,7:23.0,Shooting foul by W. Ellington (drawn by J. Crowder),,16,5
1,7:23.0,J. Crowder makes free throw 1 of 2,,17,5
1,7:23.0,,B. Adebayo enters the game for W. Ellington,17,5
1,7:23.0,,K. Olynyk enters the game for J. Johnson,17,5
1,7:23.0,,D. Wade enters the game for J. Richardson,17,5
1,7:23.0,,J. Winslow enters the game for H. Whiteside,17,5
1,7:23.0,J. Crowder makes free throw 2 of 2,,18,5
1,7:05.0,,D. Wade misses 2-pt jump shot from 11 ft,18,5
1,7:02.0,Defensive rebound by R. Gobert,,18,5
1,6:53.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,20,5
1,6:53.0,Technical foul by R. Gobert,,20,5
1,6:53.0,,K. Olynyk makes technical free throw,20,6
1,6:53.0,,J. Richardson enters the game for R. McGruder,20,6
1,6:40.0,,Personal foul by J. Crowder (drawn by K. Olynyk),20,6
1,6:40.0,D. Favors enters the game for J. Crowder,,20,6
1,6:25.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Wade),20,9
1,6:13.0,D. Mitchell makes 2-pt jump shot from 10 ft,,22,9
1,6:04.0,,Turnover by J. Winslow (lost ball; steal by J. Ingles),22,9
1,5:46.0,D. Mitchell misses 3-pt jump shot from 25 ft,,22,9
1,5:44.0,,Defensive rebound by J. Winslow,22,9
1,5:36.0,Violation by Team (kicked ball),,22,9
1,5:36.0,R. O'Neale enters the game for D. Mitchell,,22,9
1,5:31.0,,Shooting foul by R. Rubio (drawn by J. Richardson),22,9
1,5:31.0,,J. Richardson makes free throw 1 of 3,22,10
1,5:31.0,,J. Richardson makes free throw 2 of 3,22,11
1,5:31.0,,J. Richardson makes free throw 3 of 3,22,12
1,5:09.0,D. Favors misses 3-pt jump shot from 25 ft,,22,12
1,5:07.0,,Defensive rebound by J. Winslow,22,12
1,5:01.0,,J. Richardson makes 2-pt layup from 1 ft,22,14
1,4:47.0,R. Rubio makes 2-pt jump shot from 18 ft,,24,14
1,4:37.0,,J. Winslow makes 2-pt jump shot from 12 ft,24,16
1,4:22.0,J. Ingles misses 3-pt jump shot from 23 ft,,24,16
1,4:20.0,,Defensive rebound by K. Olynyk,24,16
1,4:12.0,,D. Wade misses 2-pt jump shot from 9 ft,24,16
1,4:10.0,Defensive rebound by J. Ingles,,24,16
1,4:06.0,R. Rubio misses 2-pt jump shot from 12 ft,,24,16
1,4:04.0,Offensive rebound by R. Gobert,,24,16
1,4:03.0,R. Gobert makes 2-pt dunk from 1 ft,,26,16
1,3:40.0,,B. Adebayo misses 2-pt jump shot from 8 ft,26,16
1,3:38.0,Defensive rebound by D. Favors,,26,16
