QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MILWAUKEE_ACTION,LA CLIPPERS_SCORE,MILWAUKEE_SCORE
1,11:42.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),0,3
1,11:27.0,L. Shamet makes 3-pt jump shot from 24 ft (assist by G. Temple),,3,3
1,11:14.0,,Personal foul by S. Gilgeous-Alexander (drawn by E. Bledsoe),3,3
1,11:08.0,,Offensive foul by G. Antetokounmpo (drawn by L. Shamet),3,3
1,11:08.0,,Turnover by G. Antetokounmpo (offensive foul),3,3
1,10:57.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,,5,3
1,10:45.0,,S. Brown misses 3-pt jump shot from 26 ft,5,3
1,10:42.0,Defensive rebound by G. Temple,,5,3
1,10:37.0,G. Temple misses 2-pt jump shot from 15 ft,,5,3
1,10:34.0,,Defensive rebound by K. Middleton,5,3
1,10:26.0,,K. Middleton makes 2-pt jump shot from 11 ft,5,5
1,10:17.0,Personal foul by K. Middleton (drawn by D. Gallinari),,5,5
1,10:12.0,D. Gallinari makes 3-pt jump shot from 27 ft (assist by G. Temple),,8,5
1,9:51.0,,G. Antetokounmpo makes 2-pt layup from 3 ft,8,7
1,9:37.0,D. Gallinari misses 2-pt jump shot from 16 ft,,8,7
1,9:33.0,,Defensive rebound by B. Lopez,8,7
1,9:28.0,,G. Antetokounmpo makes 3-pt jump shot from 24 ft,8,10
1,9:15.0,S. Gilgeous-Alexander misses 2-pt jump shot from 17 ft,,8,10
1,9:12.0,,Defensive rebound by B. Lopez,8,10
1,9:02.0,,E. Bledsoe misses 2-pt layup from 3 ft,8,10
1,8:59.0,Defensive rebound by S. Gilgeous-Alexander,,8,10
1,8:48.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,8,10
1,8:45.0,,Defensive rebound by B. Lopez,8,10
1,8:38.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by S. Brown),8,13
1,8:15.0,I. Zubac makes 2-pt jump shot from 19 ft,,10,13
1,7:52.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),10,15
1,7:28.0,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by I. Zubac),,13,15
1,7:13.0,,K. Middleton misses 2-pt jump shot from 11 ft,13,15
1,7:10.0,Defensive rebound by I. Zubac,,13,15
1,7:05.0,I. Zubac misses 2-pt dunk from 3 ft (block by S. Brown),,13,15
