QUARTER,TIME_REMAINING,ORLANDO_ACTION,MILWAUKEE_ACTION,ORLANDO_SCORE,MILWAUKEE_SCORE
1,11:43.0,N. Vučević misses 2-pt hook shot from 3 ft,,0,0
1,11:41.0,Offensive rebound by N. Vučević,,0,0
1,11:36.0,A. Gordon misses 3-pt jump shot from 27 ft,,0,0
1,11:33.0,,Defensive rebound by M. Brogdon,0,0
1,11:28.0,,Offensive foul by G. Antetokounmpo (drawn by A. Gordon),0,0
1,11:28.0,,Turnover by G. Antetokounmpo (offensive foul),0,0
1,11:13.0,D. Augustin misses 3-pt jump shot from 26 ft,,0,0
1,11:11.0,,Defensive rebound by G. Antetokounmpo,0,0
1,10:58.0,,G. Antetokounmpo misses 2-pt layup from 3 ft (block by N. Vučević),0,0
1,10:55.0,Defensive rebound by N. Vučević,,0,0
1,10:53.0,D. Augustin makes 3-pt jump shot from 27 ft,,3,0
1,10:33.0,,K. Middleton makes 2-pt jump shot from 4 ft (assist by E. Bledsoe),3,2
1,10:23.0,E. Fournier misses 2-pt layup from 7 ft (block by B. Lopez),,3,2
1,10:23.0,Offensive rebound by Team,,3,2
1,10:09.0,J. Isaac misses 2-pt jump shot from 16 ft,,3,2
1,10:06.0,,Defensive rebound by K. Middleton,3,2
1,10:02.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),3,4
1,9:46.0,J. Isaac misses 3-pt jump shot from 28 ft,,3,4
1,9:43.0,,Defensive rebound by G. Antetokounmpo,3,4
1,9:37.0,,E. Bledsoe misses 2-pt layup from 3 ft (block by J. Isaac),3,4
1,9:34.0,Defensive rebound by A. Gordon,,3,4
1,9:30.0,Shooting foul by E. Bledsoe (drawn by A. Gordon),,3,4
1,9:30.0,A. Gordon makes free throw 1 of 2,,4,4
1,9:30.0,A. Gordon makes free throw 2 of 2,,5,4
1,9:16.0,,K. Middleton misses 3-pt jump shot from 26 ft,5,4
1,9:13.0,Defensive rebound by N. Vučević,,5,4
1,9:05.0,E. Fournier makes 2-pt layup from 7 ft (assist by N. Vučević),,7,4
1,8:46.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),7,6
1,8:22.0,A. Gordon misses 2-pt layup from 6 ft (block by B. Lopez),,7,6
1,8:18.0,Offensive rebound by A. Gordon,,7,6
1,8:18.0,A. Gordon makes 2-pt dunk from 2 ft,,9,6
1,8:18.0,,Milwaukee full timeout,9,6
