QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA CLIPPERS_ACTION,NEW ORLEANS_SCORE,LA CLIPPERS_SCORE
1,11:44.0,Turnover by J. Holiday (bad pass; steal by D. Gallinari),,0,0
1,11:41.0,,Turnover by S. Gilgeous-Alexander (bad pass),0,0
1,11:27.0,A. Davis misses 2-pt jump shot from 16 ft,,0,0
1,11:23.0,,Defensive rebound by T. Harris,0,0
1,11:16.0,,A. Bradley misses 3-pt jump shot from 23 ft,0,0
1,11:10.0,Defensive rebound by A. Davis,,0,0
1,11:07.0,J. Randle makes 2-pt layup from 5 ft (assist by A. Davis),,2,0
1,10:42.0,,M. Gortat makes 2-pt hook shot from 4 ft (assist by S. Gilgeous-Alexander),2,2
1,10:34.0,Shooting foul by M. Gortat (drawn by J. Randle),,2,2
1,10:34.0,J. Randle makes free throw 1 of 2,,3,2
1,10:34.0,J. Randle makes free throw 2 of 2,,4,2
1,10:18.0,,Turnover by M. Gortat (bad pass; steal by J. Randle),4,2
1,10:14.0,J. Randle makes 2-pt dunk at rim,,6,2
1,9:47.0,,D. Gallinari makes 2-pt jump shot from 20 ft (assist by A. Bradley),6,4
1,9:32.0,A. Davis misses 2-pt hook shot from 13 ft,,6,4
1,9:29.0,,Defensive rebound by M. Gortat,6,4
1,9:21.0,,Turnover by D. Gallinari (bad pass; steal by A. Davis),6,4
1,9:13.0,E. Payton misses 2-pt layup from 2 ft,,6,4
1,9:10.0,,Defensive rebound by D. Gallinari,6,4
1,9:01.0,,T. Harris makes 2-pt jump shot from 13 ft (assist by S. Gilgeous-Alexander),6,6
1,8:50.0,J. Holiday makes 2-pt layup from 2 ft (assist by E. Payton),,8,6
1,8:39.0,,Shooting foul by J. Holiday (drawn by T. Harris),8,6
1,8:39.0,,T. Harris makes free throw 1 of 2,8,7
1,8:39.0,,T. Harris misses free throw 2 of 2,8,7
1,8:37.0,Defensive rebound by J. Randle,,8,7
1,8:24.0,J. Holiday misses 2-pt layup from 3 ft,,8,7
1,8:22.0,Offensive rebound by J. Holiday,,8,7
1,8:18.0,J. Randle makes 2-pt layup from 1 ft (assist by E. Moore),,10,7
1,8:03.0,,M. Gortat makes 2-pt layup from 2 ft (assist by D. Gallinari),10,9
1,7:50.0,A. Davis misses 2-pt hook shot from 5 ft (block by M. Gortat),,10,9
1,7:46.0,Offensive rebound by A. Davis,,10,9
1,7:36.0,J. Randle misses 2-pt jump shot from 10 ft,,10,9
1,7:33.0,Offensive rebound by J. Holiday,,10,9
1,7:30.0,J. Randle makes 2-pt layup from 1 ft (assist by J. Holiday),,12,9
1,7:16.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by D. Gallinari),12,12
1,6:56.0,J. Holiday makes 2-pt layup from 3 ft,,14,12
1,6:34.0,,M. Gortat misses 2-pt hook shot from 5 ft,14,12
1,6:32.0,Defensive rebound by E. Payton,,14,12
1,6:29.0,J. Holiday misses 3-pt jump shot from 24 ft,,14,12
1,6:25.0,,Defensive rebound by T. Harris,14,12
1,6:12.0,,D. Gallinari makes 3-pt jump shot from 28 ft,14,15
1,5:55.0,J. Holiday makes 2-pt hook shot from 6 ft (assist by A. Davis),,16,15
1,5:33.0,,Turnover by A. Bradley (bad pass; steal by J. Holiday),16,15
1,5:28.0,E. Moore makes 3-pt jump shot from 25 ft (assist by E. Payton),,19,15
1,5:26.0,,LA Clippers full timeout,19,15
